# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
8.147661156697267870e-01 5.727233001215142671e+00 5.294450297899737201e+00 9.348072073596383480e-02
7.579531722789060177e-01 6.340914122319955659e+00 5.124368289627960316e+00 9.241546814721571246e-02
7.247062510678142777e-01 3.345479873132330084e+00 5.022179984570796840e+00 7.985300835272070297e-02
4.912644322841946409e-01 6.617376326332522929e+00 4.998158893494322186e+00 2.109385293859531996e-01
1.014833153452785908e+00 3.720895853038742374e+00 5.154551454985117687e+00 1.815861584845238352e-01
5.905866541881678033e-01 1.156322123976221050e+01 5.295228014001670758e+00 6.541481589865187629e-02
5.172918120478743331e-01 7.567331989492843469e+00 4.859365615551486606e+00 1.158589910244402776e-01
6.429890709209706845e-01 5.039809613918587061e+00 5.128316839106904723e+00 8.281429352568725477e-02
7.662495851284015780e-01 9.561514425472138257e+00 4.890222483773135842e+00 7.401101027998287230e-02
8.875551177000828851e-01 4.140227664867477841e+00 5.488161005816048821e+00 2.657528108096845476e-01
6.488523544518717268e-01 5.835007383666880543e+00 5.024463984329993416e+00 2.069378300939686555e-02
7.039017979570554306e-01 4.244800698928378857e+00 5.223289976655878242e+00 1.932111830916506123e-01
7.428860603337907875e-01 8.959052915538118000e+00 5.602727238983107760e+00 9.118669317900172933e-02
5.153384922843077254e-01 3.703957334552320013e+00 5.461119645960221369e+00 7.446655413861709427e-02
4.223016642178370472e-01 4.338063513548815919e+00 5.343199051232028651e+00 2.865722977915947656e-01
5.367316079997895839e-01 4.077101876982651696e+00 5.108057860307263276e+00 1.611329681296093108e-01
6.887154889778240863e-01 1.499308665071609781e+01 5.246775717559963859e+00 9.503801841592893207e-02
5.799527626775159428e-01 8.457795764218287715e+00 5.215622639569168939e+00 7.643689258965760680e-02
6.594522272088877424e-01 3.881242649607628881e+00 5.052192245899997047e+00 8.150052119243736404e-02
6.555165739340524933e-01 8.305805974327295615e+00 5.376114684466799076e+00 1.218400408924729117e-01
4.049683571117614345e-01 6.193538255520206093e+00 5.070353721028357796e+00 7.808653470514757833e-02
5.889960965381795255e-01 3.986977232772513702e+00 5.195491377083357953e+00 8.144923944386482650e-02
8.299514809768496759e-01 6.860019697222027091e+00 5.080296105431878040e+00 4.511282235968849114e-02
5.703641579990867960e-01 5.167907167000509006e+00 5.128109911690822642e+00 1.004172882652025200e-01
9.222194408409896127e-01 4.566257157584496795e+00 5.303936091233115491e+00 3.903926670176116609e-01
