# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
6.157515400789017601e-01 1.225049707497744045e+01 4.498635511576499546e+00 1.684148606912945212e-01
8.616720411873379781e-01 4.479897773933466887e+00 5.100269669520582916e+00 1.201590158130393937e-01
7.172085909926125824e-01 7.809329708058323050e+00 5.003141093684233986e+00 1.536460560768919403e-01
7.837046865894058412e-01 2.876153967980613402e+00 5.015415892772449702e+00 1.422178000274982035e-01
8.114930321790638779e-01 5.194169333566060587e+00 4.886847689223188240e+00 1.935234658787148565e-01
8.377947932568626799e-01 5.948578269259678031e+00 5.012430166625132522e+00 1.625325293960060979e-01
1.013371722769124128e+00 4.125169875494067995e+00 4.909779188153057028e+00 1.421544824341257895e-01
7.435925277477404283e-01 6.054065486376363658e+00 5.114963522631166271e+00 1.171742352309223106e-01
8.774476186348477702e-01 5.161170040006888726e+00 5.033334689653530702e+00 2.093784794382358150e-01
1.014900197219617217e+00 5.048436111214993360e+00 5.081054916391214427e+00 1.534791888783582359e-01
9.047633694046293140e-01 5.331987526414409650e+00 5.055637623159772609e+00 9.522908165771802602e-02
8.354344706033772772e-01 4.060464586882468474e+00 4.856241137884136805e+00 2.662505192861981396e-01
1.057852056397805329e+00 5.103352180232514357e+00 4.911529301725190422e+00 1.295945201599470464e-01
9.305046430603651775e-01 3.969115856350286187e+00 5.391125212881878959e+00 1.582096609326542058e-01
1.080282047016001723e+00 5.652683518303404320e+00 5.012528027355738658e+00 8.352333481279400340e-02
9.674306634274313366e-01 4.491669780038131776e+00 5.111746537077620722e+00 1.213265159741000188e-01
9.857257554056242377e-01 2.888886617784221400e+00 5.070945187655938824e+00 1.565742434895639745e-01
8.105921894544187989e-01 4.896807115403072785e+00 5.058224693776850245e+00 8.159450920024234610e-02
6.932575158606611998e-01 5.008475338004493516e+00 4.887280215001471362e+00 1.527333815022210717e-01
1.319729596330712962e+00 4.863727833639939213e+00 5.074124282344063097e+00 1.169885597039103386e-01
8.168464560369278482e-01 9.910725505260305823e+00 5.083503879539028603e+00 1.198433420573992020e-01
1.450577124054776457e+00 3.887364714956099476e+00 4.922644755716035547e+00 1.709888648260571298e-01
1.175445383424176704e+00 7.437516117786052483e+00 4.845051416938989775e+00 2.444425524511581183e-01
1.354314077093300872e+00 4.455247202255851136e+00 5.344186278545777213e+00 2.364470219727919653e-01
8.729809106614764280e-01 4.620140545749840122e+00 5.283610158172725058e+00 1.344517959870825674e-01
8.975431700659878276e-01 6.430939837675241577e+00 5.140131424485241851e+00 1.355887042807182585e-01
8.259701073446072961e-01 5.490035232108660068e+00 5.028811083726022702e+00 1.771630810382837928e-01
7.719969053836497341e-01 8.300974685425117627e+00 5.034426324288303611e+00 1.223225285186766431e-01
6.676668171634531079e-01 3.581429527425852744e+00 5.089721640440725281e+00 1.959160941200219219e-01
