# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
7.483202433393563169e-01 4.262125444821726283e+00 5.213370986749456648e+00 1.257423621217521881e-01
7.579699390114991164e-01 5.054706185028249088e+00 4.224669133521024911e+00 3.414307189468416825e-01
5.845929669961538178e-01 5.789168044031672622e+00 5.034001015782275879e+00 2.326021381095739193e-01
8.323986444833895160e-01 6.146520706296653813e+00 4.872541716713778115e+00 1.462643229496997377e-01
8.929140246131687109e-01 5.126728490013794826e+00 5.006451471972900080e+00 1.020155007723911322e-01
8.670904979880333929e-01 6.350871946901036402e+00 4.979928736261248545e+00 2.311862673606550067e-01
6.668444300517691881e-01 6.388935320675388496e+00 5.103871578319787439e+00 1.923278013692844013e-01
7.226119156411092703e-01 4.929124987441232619e+00 5.193548938857739827e+00 1.026505814813295364e-01
8.600407024028493552e-01 5.938305260433557997e+00 5.111475536298476285e+00 2.258934796895726571e-01
7.026265539234471946e-01 6.098248604712883214e+00 5.074393704070969235e+00 2.970048329828012812e-01
7.436721719607439773e-01 9.420509763159952143e+00 5.079196764047134494e+00 8.582196819235531071e-02
6.922350162157314690e-01 7.130203141956064528e+00 4.904397529850954562e+00 6.075032868241481143e-02
7.967761154552613911e-01 1.039316289184176867e+01 4.939783718338770058e+00 1.099387101413435153e-01
7.811859717619205057e-01 5.156990504447735546e+00 5.031289724691237808e+00 1.494750633837531872e-01
7.563265186907639492e-01 5.316564298778557962e+00 4.795630027039626597e+00 1.165270188043944499e-01
6.603921904652886310e-01 4.553655439980109243e+00 4.859021200618936831e+00 1.855722873872402701e-01
6.149390710951654349e-01 4.046267706183387602e+00 4.698411880650643191e+00 1.748253977624412703e-01
9.292771088298965587e-01 6.622763836436832641e+00 5.203906859903373316e+00 1.205817274356521807e-01
6.165546843510734121e-01 1.118609794123460510e+01 5.032467110943033894e+00 1.164112615448211485e-01
7.067368774310194279e-01 6.136728527681317047e+00 5.108478673252119684e+00 1.465505728153777276e-01
8.789865619488574922e-01 5.780835874779570283e+00 4.889390146971152262e+00 2.805953995473657869e-01
9.318684270506837342e-01 7.182512216895849733e+00 5.299388666220396615e+00 1.309814600252093286e-01
9.353326028444963747e-01 6.607285050335930165e+00 5.074171283691276457e+00 1.245072907782692195e-01
7.279649570097738165e-01 1.290439971584643430e+01 4.851094496528919109e+00 2.919171906758393220e-01
8.201128843053544504e-01 4.599637437230704506e+00 4.743515456608679237e+00 1.319722188048987055e-01
8.708644326629170207e-01 1.309778550242804229e+01 4.977756096564457167e+00 1.894657115760861321e-01
7.147154231642273148e-01 9.743261948300427022e+00 4.883892730403170290e+00 3.832527754109665286e-01
8.279436105576529759e-01 5.694364439811200107e+00 4.808456993617516773e+00 1.858455490248954733e-01
7.122981845603126860e-01 6.511911587170455817e+00 5.438286806648601868e+00 2.556483098697454603e-01
7.302227684700448584e-01 6.044970551498291655e+00 4.809973088151437537e+00 2.854552462991392092e-01
1.074798163060109557e+00 3.791247262577827737e+00 5.148020625892605118e+00 3.262078605146547794e-01
8.433111961484209829e-01 4.696991232792833593e+00 4.863325689460475942e+00 3.132998241776366322e-01
6.200773537661365964e-01 7.469749985325110586e+00 4.837191127337128194e+00 2.127698171690210471e-01
7.304885785432608802e-01 4.185728072348759099e+00 4.890189262359995404e+00 3.048850847992435886e-01
7.616718082683766600e-01 4.685971751069862634e+00 5.189026938074196238e+00 1.315857164183922845e-01
8.811086579705272870e-01 9.068776611490113382e+00 4.961289432988551518e+00 8.087962833038750410e-02
7.692274291768430583e-01 3.484761822398349196e+00 4.888984930739127321e+00 9.164835644268601311e-02
7.065381426742558535e-01 8.732618280112811604e+00 5.194475380858207814e+00 1.501516320839392515e-01
8.688450640689379112e-01 6.022432637715260384e+00 4.982557822706704442e+00 1.445088567348656039e-01
8.484538191503508964e-01 7.537686311463158262e+00 5.076510842460925765e+00 2.787045281590287416e-01
7.432763467438772143e-01 1.060760630572876906e+01 5.041058440663134022e+00 1.169119410300245576e-01
6.453321736043521328e-01 4.626457594356008229e+00 4.894146853732801894e+00 1.872390659334916829e-01
9.195296990506738322e-01 4.502188625328504834e+00 4.786067845376874352e+00 2.324177894665677702e-01
6.058050683351495769e-01 1.066564264031420350e+01 4.859399644118138184e+00 1.985535451087239445e-01
7.881487870005619012e-01 1.322875509678318906e+01 5.060993216350457402e+00 8.390075227836142624e-02
8.237565109476370218e-01 8.108094136873033264e+00 5.207491945526347088e+00 1.236721333982784277e-01
9.365873161672956249e-01 5.820769446419800097e+00 5.058094221626799225e+00 2.414900885584299051e-01
6.819865247289770283e-01 9.192099419044215125e+00 4.805096133899392719e+00 1.512550345009250341e-01
7.381011523143309327e-01 3.052647757096089265e+00 4.923785260249450069e+00 1.507478698245621196e-01
6.598075140648864689e-01 7.015539719832450061e+00 4.260126281034334994e+00 4.520936823008039340e-01
9.593033315526718896e-01 8.738955328067707029e+00 5.157867431792231727e+00 2.425949569544329498e-01
6.869936630903008545e-01 6.242169310417066797e+00 5.017102762766452173e+00 8.369483090295166960e-02
1.187456203410038214e+00 4.939887878516167952e+00 4.768082806457305090e+00 1.447299901141804457e-01
6.743449164714797606e-01 4.154604414939367274e+00 5.036255357453814696e+00 1.142214419910318884e-01
8.869055404622425698e-01 6.152540683524051701e+00 4.875856782285411306e+00 5.659817536483495448e-02
1.215676984932857696e+00 3.631981727880082111e+00 4.580021736643392849e+00 2.806029521397734872e-01
6.045187657445606488e-01 6.047408175972799782e+00 5.007891044884759779e+00 2.169351125121461998e-01
