# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.068335816094168500e+00 5.502076938562847630e+00 -5.817416962294006400e-01 7.736379144045507639e-02
1.753540306753429867e+00 7.674847845710147887e+00 1.017636696011772202e-01 1.228804506671187929e-01
8.966400727393658565e-01 8.320244635072750583e+00 3.307994241772457045e+00 1.558668065569711048e-01
1.638460502794921281e+00 4.127981584025002704e+00 2.828200132157869362e+00 2.441453206125648867e-01
1.702053002228119727e+00 6.162877064747820377e+00 3.789708439372940774e+00 2.249285563235374485e-01
9.646735842149172235e-01 5.362563369602385777e+00 -1.670706532993337490e+00 8.251902945755820729e-02
1.660926219603668486e+00 7.175383547110304683e+00 4.218305579368683667e+00 3.756557352861801258e-01
9.516300771028787242e-01 4.668581829988848853e+00 3.105080633980078719e+00 1.495219138441545581e-01
1.123602518440496079e+00 6.208088049612278780e+00 1.357720441267050715e+00 1.451379436136925050e-01
1.883743854858699995e+00 4.939455741209586748e+00 -8.424160191121647934e-01 2.888340843361286714e-01
1.980355473615324602e+00 9.145659741592567116e+00 1.710630640200200281e+00 1.899495463216693825e-01
1.603128799033902929e+00 4.693670502463795025e+00 -1.035810508368001592e+00 1.562007577385161050e-01
9.957957704890982864e-01 2.913600561788078913e+00 -1.420420804243610169e+00 1.775509097318944129e-01
1.008255255563904162e+00 2.902682316712777322e+00 1.141808127517420779e+00 1.931992302312548482e-01
9.417854202036585187e-01 3.794926202296907025e+00 -1.639835100785113742e+00 2.002583854279440523e-01
1.230296636427863799e+00 1.207242087502928563e+01 5.992158322891911748e-01 2.724727289741746272e-01
8.882137838076917813e-01 3.966648855816174546e+00 1.905009325783254992e+00 2.149871001149951111e-01
9.637056810774642379e-01 4.864257257888935371e+00 8.002612012461720603e-01 6.247370912904014195e-02
1.414483922794587123e+00 9.055848411127618292e+00 -1.329802765116287144e+00 1.592584679943171710e-01
1.160158709259128118e+00 3.793011721912567857e+00 -5.474784291335257347e-01 1.563679132089732804e-01
1.248744340605170589e+00 5.259045541806419699e+00 -1.552915502249621937e+00 1.795067923607634730e-01
3.179872967994130661e+00 7.043693327921443093e+00 -5.817261914629134889e-01 8.460933075372438494e-02
1.638347755241372772e+00 4.003525958013939068e+00 3.316599819472595190e+00 1.107281809596737387e-01
1.503315895859677065e+00 3.833657541588813444e+00 -1.381739815291166185e+00 1.879683210870282672e-01
9.092452408866411595e-01 3.040040447196667106e+00 -8.171351316848611823e-01 3.293122963987912821e-01
6.917312327908108349e-01 8.381694214052334502e+00 1.666115284076802538e+00 1.552750770298430005e-01
1.535752644073857809e+00 4.653379356182223425e+00 -1.482225896535060983e-02 1.436175812446624511e-01
1.448552743739884630e+00 5.558635060204617062e+00 -7.691582400826639798e-01 8.169767252680217029e-02
8.356923448990083436e-01 5.504847864343930475e+00 3.173360788899725726e+00 1.932213094979120249e-01
1.953448292613430448e+00 4.855270317721702256e+00 7.815183651601483872e-01 3.061620800104388751e-01
1.416586538813875640e+00 3.271247393140593207e+00 3.020042380655236336e+00 4.902872725608576898e-01
2.247453568313718897e+00 2.672564635218014573e+00 2.805281713553661405e+00 1.344808404563013760e-01
1.008545597568919039e+00 3.628248907933685707e+00 2.983719773309685852e+00 4.414775416276797704e-01
2.157182040629604725e+00 9.975795049614916365e+00 4.000236636920234901e+00 1.056373719615963797e-01
1.162922034049743258e+00 9.395955840119198044e+00 -1.041599930274977437e+00 4.085680593283214646e-01
8.919611741978488162e-01 5.346133239377815372e+00 -1.968603283633058032e-01 5.040105244529845957e-02
6.261787839048077453e-01 3.848210722927364102e+00 -1.428091100636266209e+00 8.969159528698811279e-02
1.114264978734626155e+00 3.706179952783606346e+00 9.393532676016895788e-01 1.239801365585563864e-01
9.541827148579486995e-01 3.504408867231685321e+00 9.319410080875152325e-01 1.336131130467867190e-01
7.340926029905323613e-01 4.617114399400207070e+00 -5.395343172747059102e-01 3.523969744887041067e-01
1.496413732383597761e+00 6.729403106806534751e+00 1.101587564763765181e-01 2.664898735586914702e-01
8.247024841415060425e-01 2.182538357061630574e+00 7.453663054523729237e-02 4.830194970444041114e-01
1.454544577233235714e+00 2.922745064533488701e+00 -1.693918833497821241e+00 2.709166220805082625e-01
6.586796751498379399e-01 4.419300770131815881e+00 -1.631620498690272481e+00 4.805674515746903575e-02
1.124995111483298116e+00 7.178459601902728693e+00 1.977700288634978154e+00 3.393117137540936357e-01
7.119497052889842692e-01 3.002298012352635492e+00 6.405451323713409195e-01 1.859923605268845592e-01
7.599329033132221634e-01 4.530111720784763207e+00 -1.161799230412440487e+00 6.212257749459330070e-01
1.179357195805222691e+00 4.218810572929395875e+00 7.663621159651550219e-01 2.754750534790487704e-01
1.532100205933828230e+00 8.364384728835307925e+00 3.295973261575678492e+00 3.540785796342268976e-01
1.784045510793800471e+00 4.774087232448920304e+00 3.929621048010683015e-01 2.349615816952657921e-01
2.386357590727041345e+00 1.086632163217786484e+01 2.279753439977753260e+00 1.450081099722105304e-01
2.398205144422689283e+00 8.878999077516279925e+00 4.275920512739190826e+00 1.226606196662672760e-01
1.337189054725427262e+00 6.122304530614684381e+00 -1.702889522130406341e+00 9.181555430701773823e-02
3.310498705516016216e+00 6.212862007978429801e+00 3.668125715318399926e-01 1.315861129848690525e-01
7.920390160693477899e-01 2.825637513633775022e+00 1.686613177364228111e+00 2.084592535699205662e-01
1.404701220384888316e+00 3.922483827226569186e+00 -1.039149154623205451e+00 1.731492393987078826e-02
1.889038332647973606e+00 4.325658412593671009e+00 5.848318119516560110e-01 2.656505233265349930e-01
1.240899719539372725e+00 8.306526736674550548e+00 1.579370665465935186e+00 2.612979886965536291e-01
2.155482419440387876e+00 7.301005441951855524e+00 3.751231235383376550e+00 1.337643132234507815e-01
2.793639578289345060e+00 6.050684638745044808e+00 2.339289404673953854e+00 2.280786492062692461e-01
1.460196448058289853e+00 5.794958460807505318e+00 4.306374017463052262e+00 3.689664343417507486e-01
1.778090164410121243e+00 4.559388954773253566e+00 2.860896926522690009e+00 5.733858080819982384e-01
2.758746316393556608e+00 6.799878648996834585e+00 2.482764326682514344e+00 2.856840669895974738e-01
1.618884003323131537e+00 3.673964664838123007e+00 -3.696600345713383362e-01 2.483870576722305712e-01
1.494864564391110706e+00 1.019665550870300130e+01 -1.452141391402318460e+00 2.856180447889319907e-01
1.015453833480302714e+00 9.140289294521304342e+00 3.476777726019968817e+00 9.919603914801833344e-02
1.539629440827700257e+00 2.748684399184781135e+00 3.068237078927249062e+00 2.518078097339715438e-01
1.471718148362601841e+00 5.688995968187510854e+00 3.779335785748787480e-01 6.844482046851986523e-02
1.851893662911251903e+00 2.676650643634204130e+00 1.259114963494131656e+00 1.531989052292024034e-01
1.420810402289891972e+00 5.280641952451445853e+00 3.525625702475537970e+00 6.472799552553218372e-02
5.273685223096489239e-01 2.395865669300014655e+00 1.842552116341303670e+00 2.351216714822804421e-01
3.365080001572840818e+00 4.517519551322775939e+00 4.291937181191835649e+00 2.032656265152692765e-01
1.111778080460699814e+00 3.748371355482344125e+00 2.636273589764142500e+00 5.562521509215716253e-02
1.619208154415808787e+00 3.933261779708857375e+00 7.558453946093846021e-01 2.803351605696029480e-01
1.076936426492448584e+00 4.788891606005774904e+00 3.392736585174179531e+00 1.152634185358376723e-01
9.805145990480885754e-01 3.887690073785274425e+00 -1.378290408482509388e+00 1.959825413206500999e-01
1.871079016670131878e+00 6.681945754585568054e+00 -4.609882100741064526e-01 1.240606953407709656e-01
8.106236600137304293e-01 1.045586753562536408e+01 -5.626287650178647404e-01 2.548554390400467051e-01
1.244096975502739566e+00 4.295795292886186445e+00 2.395228976722455272e+00 2.535916439308860681e-01
7.840127310483332446e-01 5.168444776153091169e+00 -1.096123432325687985e-01 4.938234132394282994e-01
1.151332701688536408e+00 3.943484597625483090e+00 1.748782524638658131e+00 9.965543922506744923e-02
8.948227005714406435e-01 2.892816388570221608e+00 1.558284693392247844e+00 2.398815873415521827e-01
1.892635581762961205e+00 7.566569802730349181e+00 8.216881762373990927e-01 2.564522912397610988e-01
1.972632625035635412e+00 3.577340170703207090e+00 1.519007530076758039e-01 1.719901497654555966e-01
1.131042488149692549e+00 1.209039691346310796e+01 4.203305664246184570e+00 2.252703104802419032e-01
1.090467789586996750e+00 4.296535434219206806e+00 2.875146284339790803e+00 1.308826040550740422e-01
1.336195275841753904e+00 4.390847096514784553e+00 -1.230372854175804331e+00 1.144565607821461939e-01
1.760702978431263110e+00 4.994406819438259149e+00 2.735514841095614713e+00 2.056893940697855361e-01
8.787108275955104464e-01 3.301722639005643334e+00 1.699958670968832353e+00 1.610278453785643493e-01
8.346819222585301068e-01 8.045019915582896530e+00 2.148283310183544348e+00 3.827800175969713892e-01
1.162841985483267226e+00 5.854710775317583327e+00 1.368667755939261488e+00 2.083444470697352058e-01
