# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.281837016438923449e+00 8.093656209680450075e+00 2.966056383297436039e+00 3.073409302930362741e-01
1.573187995483297685e+00 6.712146207755488980e+00 2.843943667842081524e+00 1.977788477336007711e-01
1.140091577506086917e+00 4.019577123732466006e+00 3.285755626824752529e+00 2.307233191163506891e-01
5.277953250671776342e-01 3.499014867116188032e+00 9.933524197380176890e-01 6.190951210996662457e-01
1.390327318965145942e+00 6.446135036629450532e+00 4.632500941036622466e-01 1.463379997519589082e-01
2.209202769258664212e+00 5.308512688164162441e+00 3.131007262504395872e+00 6.047976501527276005e-02
1.812745210263333906e+00 6.657411372637818125e+00 -9.190287469697338008e-01 1.141633192462239016e-01
1.016121751317385913e+00 6.311380248693495787e+00 2.793460030951415263e+00 1.407388022896698399e-01
1.654827662467730720e+00 7.870896192040748751e+00 1.650081652551994793e+00 1.931713846459135742e-01
1.762174471781133844e+00 5.645971392145433754e+00 -1.378435605188611746e+00 2.521852202133603171e-01
1.516933163815070706e+00 5.198405520195769292e+00 1.879883896819474209e+00 2.065771648971542196e-01
2.387299472536136946e+00 8.929705948410520122e+00 3.489099034948442757e+00 2.940206837701710985e-01
2.338192537834014928e+00 3.323046318302916635e+00 3.925755339539373612e+00 2.589814679870235115e-02
7.457642287452749263e-01 3.498497902864146969e+00 1.229052860634186395e+00 3.527263726423095491e-01
7.055361169801400711e-01 4.549837873378652198e+00 1.507327927321580274e+00 2.490240226480955332e-02
2.545007065333180218e+00 5.345202502198274530e+00 -9.378543883758057031e-01 1.745591207950152324e-01
1.675693780382649045e+00 2.838620121279874731e+00 3.648923040487638048e+00 3.120553663983079984e-01
1.222592503195664149e+00 5.493637389594701936e+00 2.465286395396333319e+00 4.753377135670857068e-01
8.184790836934190406e-01 4.580028463373944092e+00 7.233905371832609621e-01 1.197486798985546302e-01
1.628530344202785418e+00 4.155408483353383531e+00 3.458618964499687198e+00 1.364402469932551876e-01
6.989069530586989876e-01 5.898893395035696763e+00 4.001485095735379804e-01 2.029996372863083764e-01
1.416421773365791337e+00 7.086726421984263169e+00 3.942544280619813879e+00 1.723444430978518793e-01
1.175257699421113466e+00 4.170926355699407395e+00 3.586591133337297954e+00 2.734433445260789353e-01
1.879002607364137933e+00 3.840756298363969368e+00 1.355783061752912522e+00 3.081347322551205581e-01
2.244734512801863868e+00 5.068259997295778696e+00 2.181087113873419359e+00 2.092436978407254122e-01
2.051123456288808988e+00 9.701267041439157524e+00 -6.175159393422066101e-01 4.836656325145256841e-02
7.790980650377763439e-01 4.570755026784102171e+00 3.657087632285257683e+00 2.489718636633581061e-01
3.151864629755609659e+00 6.628144644534457619e+00 1.670481193512751705e+00 2.553624332476931436e-01
1.220665838786694435e+00 5.580448793991089396e+00 -1.096839087472687435e+00 6.721113118426520761e-02
8.265930514301113030e-01 6.384914352003253413e+00 -1.017380648880296112e+00 2.080991077321789062e-01
8.771810856267285850e-01 8.078915939822076453e+00 3.187022985982112200e+00 1.402940896620399336e-01
1.490544784182336047e+00 4.649937607164342346e+00 3.039857702192583222e+00 4.344974472137576593e-01
1.061389640186404248e+00 3.274145531949811172e+00 2.656220683675839744e+00 7.652799659683950928e-02
1.842253983724050581e+00 2.512487233625822824e+00 -8.187792291554504276e-01 7.696670197251091750e-02
1.962466748060094135e+00 4.550163764145924716e+00 2.149077203372203204e+00 1.842727619895369873e-01
1.270479571018542586e+00 4.436876026566202391e+00 3.866544048041624215e+00 1.063039641516437678e-01
2.257414734732284600e+00 9.046695923449222576e+00 6.524895380009176904e-01 2.506257002424380209e-01
1.028351187866619165e+00 6.321909980661825301e+00 9.463840393870349699e-01 1.084708296322887400e-01
1.539843624783996390e+00 8.781997147649320823e+00 4.503603627507804852e+00 1.373942990839165379e-01
2.281862069430623752e+00 5.022303867524809284e+00 2.535764799161194460e+00 8.747610240225264788e-02
1.032957354391110139e+00 2.838382237688968690e+00 -1.565412768910412478e-01 4.105688058889301884e-01
1.738974880230916620e+00 6.043512375972719397e+00 1.879345195805925739e+00 1.356657388059431257e-01
1.855998389191142239e+00 5.445124177850266811e+00 -1.231401998046581348e+00 3.207272195136994797e-01
2.405553389818113619e+00 4.444892762794634855e+00 1.983341662897435187e+00 2.021079189039647062e-01
1.957214160810137882e+00 8.065818811177104308e+00 1.760801588834818965e+00 2.013310735799933304e-01
9.160312666040573149e-01 6.517310907222487515e+00 -1.220070610008288536e+00 2.787455352259078367e-01
2.082467065899175296e+00 4.504538995059750306e+00 1.298789259951974584e+00 1.428727738746839726e-01
1.385027192134681062e+00 4.948911085543258537e+00 4.079019835019675355e+00 1.063679695935529357e-01
1.460242651388081292e+00 3.499450125207187234e+00 3.357191513531905702e+00 1.486652159488113800e-01
1.963279786912965452e+00 3.964804166915275374e+00 3.829118280549502096e+00 2.715199034560190072e-01
1.564701750569983618e+00 2.972347898475931505e+00 3.565847314798548329e+00 2.384803133220768645e-01
1.397716385934134165e+00 1.354305975276143670e+01 3.289396129485908649e+00 1.838430017357844670e-01
1.259505909187252692e+00 3.428971200763809790e+00 -1.856837054513840624e+00 2.441430929468388356e-01
1.251874254343366966e+00 5.760907254637663399e+00 -1.354987505882451870e+00 3.079320949287644993e-01
1.378579905420164620e+00 9.071877062057174257e+00 -2.621582229934975028e-01 2.002192770237127828e-01
1.122038358046562490e+00 4.276754654371000441e+00 -1.051530411041993629e+00 6.204212623625257605e-02
1.631997286834579564e+00 8.027916557785419016e+00 -1.302527668003206296e+00 2.911186492202819109e-01
1.825969440398005128e+00 4.774021251812211375e+00 3.203254873965693861e+00 2.911684018491000892e-01
8.138498925503373504e-01 5.496796989213141416e+00 -1.470434114600256414e+00 8.990449833513572409e-02
7.735444557624272521e-01 5.366273527619025430e+00 -1.097421860602437071e+00 2.852357785319320493e-01
1.785291587347744180e+00 4.771169100538180885e+00 2.614447448118123241e+00 3.667034621677861539e-01
2.051931122617267622e+00 6.632386321700896481e+00 2.239585133603476219e+00 2.515215384473195037e-01
1.327273653856796409e+00 7.706788373114126678e+00 1.268416507210699540e-01 5.498696275883742102e-01
1.226602917296405693e+00 9.560171673909175993e+00 3.504859002498104559e+00 2.516999597139855660e-01
2.115933451593288162e+00 5.184317295810505932e+00 2.683333500886735834e+00 2.791411034889068055e-01
5.538874858400091306e-01 4.112465042519233727e+00 2.747436420848017313e+00 3.692202467169015123e-01
1.219283561985621711e+00 3.679342513131827808e+00 3.821456362932543538e+00 7.925857949423345539e-02
7.741382288587762561e-01 5.793654354462047351e+00 3.659380887854475795e+00 2.613938298477672673e-01
2.024378068266420083e+00 4.457149858686229038e+00 3.856752233215583470e+00 1.794398231476147521e-01
2.287780818648044168e+00 6.489001255952523195e+00 4.025957648191309524e-01 2.366180305701733322e-01
1.028625443343573753e+00 5.735489993520253904e+00 3.593394521267367026e+00 3.388445318011905627e-01
1.085992387975541762e+00 5.113360287143400740e+00 6.509452874507062337e-01 1.177334617590012622e-01
2.343379757879815450e+00 4.218024039529903568e+00 1.034406035997434081e+00 1.914668729981016670e-01
1.114709324507283661e+00 3.603776348180497635e+00 3.405849688775639539e+00 1.585518591249082676e-01
1.340000498532345929e+00 3.877409739262104083e+00 5.256113768744016257e-01 1.059351734259883909e-01
1.348604813552022108e+00 3.119989629628835637e+00 1.996125955564359566e+00 1.931482853475657291e-01
9.225581206924018396e-01 4.211371475662549990e+00 5.835513740765875257e-01 2.309828631317983050e-01
8.567665895726507275e-01 4.879115108957321034e+00 1.111360308225113780e+00 3.082647377828695023e-01
