# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
8.495847930458978459e-01 6.739655573236932540e+00 5.235775728943879770e+00 1.418004095185018132e-01
1.046525494448018678e+00 4.235526730819999308e+00 5.178029844890643218e+00 1.752231307417661255e-01
7.519056600974747262e-01 5.177951068392621536e+00 5.134367870871749062e+00 5.060811996547719127e-02
9.770309978403138862e-01 1.059070494059819012e+01 5.274262707276625939e+00 1.585167067628861504e-01
9.256382638818639874e-01 9.049803799061926668e+00 5.282206586537339099e+00 1.773609586066434707e-01
7.952724302687570468e-01 6.120719274412775412e+00 5.293498710961877407e+00 1.961151788210342140e-01
9.141392900459135440e-01 4.434826280495556716e+00 5.169426933867248941e+00 8.657812639636808250e-02
8.292925950441589755e-01 7.513398509252671609e+00 5.343662131536344617e+00 1.493488807826298670e-01
9.553340757544176443e-01 5.726036896640694707e+00 5.395198070402201118e+00 1.042547282442942286e-01
7.976136580340563720e-01 6.572203954827742223e+00 5.078374475364545226e+00 1.597993404883106261e-01
9.439639097378835775e-01 9.490011279554128265e+00 5.214635176791192706e+00 2.561662386384222501e-01
9.497480792688992590e-01 6.919959122012539154e+00 5.634870260749344162e+00 1.649898676852429857e-01
8.521115673843600025e-01 4.314578246365103453e+00 5.373740959934647954e+00 4.214241434566364658e-02
1.158820407339485437e+00 1.202579166796362387e+01 5.337877699670006137e+00 1.063070173211365793e-01
1.081534240967053639e+00 6.775790951776267335e+00 5.362785952593332794e+00 7.757080026918165838e-02
9.444771755569399962e-01 4.228524895969576924e+00 5.436776930358459659e+00 2.932238675167997966e-01
1.292534704964893644e+00 6.575087254520816771e+00 5.278743386380306823e+00 6.277866290406811101e-02
7.113922744169877133e-01 5.517194133595257455e+00 5.297150212894675469e+00 4.313215787990068439e-02
1.272196526179215192e+00 8.088108897787435581e+00 5.399906850714395468e+00 1.125603666774985245e-01
1.276394414849501446e+00 4.917620859685946755e+00 5.427189579871958713e+00 1.656269818509807090e-01
1.249080738173664162e+00 6.699154698833991617e+00 5.279529191866445537e+00 1.399226158587837943e-01
1.029299892010619555e+00 6.886381878813023327e+00 5.445873621657440822e+00 7.423839206838243887e-02
1.079335951626004375e+00 7.593914195120461841e+00 5.333552967637029241e+00 3.595754027780641016e-01
9.563647004306748967e-01 5.722194230250205571e+00 5.283314971802494320e+00 8.400215712891895281e-02
9.037607556090340166e-01 8.617492700290304342e+00 5.506433686193661359e+00 1.360605359876325415e-01
1.202315774433891260e+00 8.574134047210231202e+00 5.370132577957073217e+00 5.302401063575435530e-02
1.009484140531254015e+00 6.309391979657743121e+00 5.304165462869727676e+00 7.678506564332669704e-02
9.716831356525690300e-01 6.390128797643416014e+00 5.590378551993660849e+00 1.012447256050852257e-01
1.001206775578084462e+00 7.045899655150605234e+00 5.533734394552523916e+00 1.880879510563638612e-01
1.065969692202683117e+00 6.398417950237463181e+00 5.511364092215764288e+00 1.167411273594375076e-01
1.310598139193387413e+00 6.541442970998186723e+00 5.071479471211590706e+00 1.076494903711255890e-01
1.169456866241831428e+00 1.001218160168450311e+01 5.157909768735030376e+00 1.488098946134867318e-01
1.085898547281270998e+00 6.500168132263429932e+00 5.428333732043252091e+00 1.508266920800597488e-01
7.699528912344649756e-01 8.472177618335610561e+00 5.273082970138286640e+00 1.069220847189231716e-01
1.240331812717293980e+00 7.236829132610938409e+00 5.316815917326061403e+00 5.134990447552580106e-02
8.981269124670729909e-01 6.550452599901524842e+00 5.425645884077265002e+00 1.732667053634304455e-01
7.737205923890311254e-01 7.059389709102068977e+00 5.375836739088793337e+00 1.402000982846600685e-01
1.086938357467677640e+00 6.480262959621870600e+00 5.107019544370405839e+00 1.293698740949880133e-01
8.884263678268161657e-01 8.093181706332879699e+00 5.327179793073049119e+00 1.469625110058821460e-01
9.864676375160125188e-01 6.159838248640437719e+00 5.378873190819080108e+00 1.286578434915469638e-01
1.200732362145555676e+00 3.306764031140952298e+00 5.385104731448025817e+00 9.649434095761644237e-02
9.713846305381618196e-01 7.554634817736888941e+00 5.028869694892085462e+00 6.483912797485819057e-02
8.074124283613060005e-01 6.422849671585203701e+00 5.153070993412494971e+00 1.508700222699133620e-01
9.006708045185213285e-01 9.981243259202514650e+00 5.360419103036189625e+00 6.703908532797228648e-02
1.068331422923207263e+00 3.373060934942264222e+00 5.305530149783272975e+00 2.825446503280295008e-01
1.369925367240767855e+00 3.905677575441285576e+00 5.726689930942689521e+00 2.590710426484747475e-01
1.394200517746839729e+00 6.301160142799133723e+00 5.373606577137457485e+00 5.118384608905223593e-02
9.173964178985469786e-01 3.459979588525218475e+00 5.575419674260379210e+00 1.649620550123528373e-01
1.262533549851573955e+00 2.984893783124816569e+00 5.318166855211805100e+00 1.188223332481120609e-01
1.224553107412598374e+00 5.414898262322429545e+00 5.564016369426383335e+00 1.167686304253822832e-01
1.328110491329238974e+00 8.306815269947575686e+00 5.285456078628024024e+00 9.426670003698696398e-02
1.319203955500337422e+00 4.325901900272280720e+00 5.467649294045727970e+00 1.528577536797266490e-01
1.223310557838797941e+00 7.730058008492504129e+00 5.382253836728467355e+00 1.304849577997909127e-01
9.595893834090560848e-01 5.201709303730741141e+00 5.243130479337851924e+00 9.353724145711785065e-02
9.065596167080435253e-01 8.055645753141314813e+00 5.349108274123291373e+00 1.036117433309997199e-01
1.131228276810715139e+00 3.846285460973783543e+00 5.552953434244694897e+00 2.817607946791453877e-01
1.009656128594325075e+00 5.171082859417439614e+00 5.467434360731560083e+00 1.749890378607476538e-01
9.982393764822374838e-01 4.659482552101275488e+00 5.125306158158452696e+00 2.174430622699747850e-01
1.277716282089544908e+00 5.673539814729826603e+00 5.222594818124328242e+00 7.906206511758122335e-02
1.202651899602411589e+00 4.142824880247609087e+00 5.319178279375474716e+00 1.264757289546520058e-01
8.394266544457743562e-01 5.900726909266024833e+00 5.485150432030202694e+00 1.037786211193132413e-01
9.623735385524552211e-01 1.030102671696796435e+01 5.326833352317085435e+00 1.596209655309379916e-01
9.820344429296098410e-01 8.277784735521246162e+00 5.290815799588608037e+00 9.523874033927107186e-02
1.191862390751813550e+00 7.929390927283368029e+00 5.381144601816717277e+00 1.651050681831102707e-01
1.236474313193367980e+00 7.453877772888537478e+00 5.376868363616714497e+00 1.415101210733343828e-01
8.509154954280172545e-01 3.701061341876972666e+00 5.425534740424034830e+00 2.010477133630549085e-01
8.509663736774710774e-01 8.860033592221524756e+00 5.365194930631774994e+00 1.404136154707951167e-01
1.067512152376689949e+00 6.967661831303603392e+00 5.102743416199459148e+00 3.164582290286528932e-01
1.083202196136973772e+00 1.062597247825705971e+01 5.490807899218546950e+00 1.729897818225083206e-01
7.639676048610186676e-01 3.422547731924879599e+00 5.270122719811880962e+00 4.139226365270083363e-01
1.024075888410967083e+00 4.703085146229438962e+00 5.377859770652134941e+00 6.318383587545234326e-02
8.324460913383153748e-01 5.924977783713928581e+00 5.337548092340108852e+00 1.180529282353356552e-01
8.879490461918768673e-01 7.457779726804567133e+00 5.357441039933005911e+00 6.259568145568106257e-02
1.057600021964366199e+00 7.300221117883434196e+00 5.206309700667905993e+00 1.755209316762442184e-01
8.718269186248438496e-01 6.420497953921316281e+00 5.349019774190457710e+00 1.272794644294689970e-01
9.164672750011828573e-01 3.337698558780231473e+00 5.293110043083745886e+00 5.954345258212613567e-02
9.411259582026483272e-01 4.683632028052516993e+00 5.163621113505794114e+00 1.361796785529677534e-01
1.425426019345053197e+00 5.324861270195664353e+00 5.273180394995736542e+00 5.070875941044766105e-02
1.352692922499870720e+00 4.548717853677576528e+00 5.416883872570716463e+00 1.094526098259532843e-01
9.730938157744899453e-01 5.811822746110958171e+00 5.156672409090790943e+00 1.391502566883529579e-01
1.098708581831648656e+00 3.900674477142520136e+00 5.237215081954841978e+00 2.769966944707969447e-01
9.133918680099668563e-01 6.263002608803723170e+00 5.286225975193723947e+00 1.097132484279664394e-01
9.984104624299009467e-01 5.342785884217359005e+00 5.457448447113335988e+00 1.435858330326500176e-01
8.980913481734796866e-01 5.708822707605005320e+00 5.366805466896432009e+00 1.677421832162079851e-01
1.090695901084184349e+00 7.472096719463669601e+00 5.278780986758836669e+00 1.455733606393029289e-01
9.751931080211461156e-01 7.580785186554222399e+00 5.420289408825930799e+00 1.352057061267024074e-01
1.223538572864458995e+00 6.557365578944763129e+00 5.330374472858393275e+00 3.137423069446078072e-01
1.193468978983994511e+00 5.893249382643062084e+00 5.313878373575256830e+00 1.302895539446515816e-01
1.100867739183520433e+00 4.636823924553073795e+00 5.265470675978009218e+00 9.803134297586262036e-02
8.175766070925538642e-01 7.401489611601874685e+00 5.375303271165598140e+00 6.965245064291525345e-02
1.098022972391139884e+00 4.637003361574924654e+00 5.415959837895945483e+00 8.564786633471885291e-02
1.073772362828240290e+00 6.339371173829228212e+00 5.293199834021971029e+00 1.049489481915812095e-01
9.116738085518798496e-01 7.212744650137819846e+00 5.259403109109419994e+00 1.314116045857021686e-01
9.960181289728622378e-01 5.422475802999739081e+00 5.377018343032231584e+00 1.004674574638812906e-01
8.232055624754952561e-01 5.011872555135641782e+00 5.466029611302014146e+00 2.212610540746182686e-01
9.969576870229929222e-01 5.736627838244829469e+00 5.337922596777209705e+00 3.222851629770634441e-01
1.171662796561591335e+00 3.352984182609417996e+00 5.299914390650175555e+00 6.689735989922361570e-02
1.018521629278137386e+00 1.463476432770859326e+01 5.179735600247370009e+00 6.526426954198358277e-02
9.317704633842427420e-01 4.461829855316661764e+00 5.112772253800512701e+00 2.067548647521906813e-01
9.654355212343133097e-01 6.353658133829346966e+00 5.245502760923566932e+00 1.381549991978257008e-01
1.053372212188004475e+00 9.287532834636136769e+00 5.324102975183991227e+00 1.199349566811439283e-01
1.163237086739531634e+00 5.751357099640709514e+00 5.279183149257992369e+00 6.065572524057505355e-02
1.293804490890398728e+00 3.684500465709353190e+00 5.687752652908159234e+00 1.679834901983470186e-01
8.532917899987761956e-01 7.725093596641981364e+00 5.298333386659016320e+00 8.132084666535947803e-02
1.555735251683224796e+00 5.386100950407994858e+00 5.480952793362166453e+00 2.020717065489476272e-01
1.010907465519096826e+00 7.053663336362745007e+00 5.155576441131200838e+00 5.248422221905231499e-02
