# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.707935356135018568e+00 8.557815562047043301e+00 5.342230931086644041e+00 1.379500924800249329e-01
1.679409406738419763e+00 6.159740056972358602e+00 5.284261866015942388e+00 4.179257350577187530e-02
1.813831445931361142e+00 2.880431968666118170e+00 5.576649954514890872e+00 3.551489820181037982e-01
2.208101551643302685e+00 4.815316974267942918e+00 5.327890661524079974e+00 8.623972004035936056e-02
2.636361850587963573e+00 5.727657757875295630e+00 5.358404718139480494e+00 1.476274924406655586e-01
1.785177076987168432e+00 5.487877553716969281e+00 5.304778921996253338e+00 1.688947484681069811e-01
1.854290487001838628e+00 6.378645037063454204e+00 5.269689899097626196e+00 2.103186819630412652e-01
1.593402838711285519e+00 4.169824048230312385e+00 5.526943576502132416e+00 2.036650212449747088e-01
2.088708184972753568e+00 9.525579487187849637e+00 5.301623573576815573e+00 2.844184268034449237e-01
1.864363773579674088e+00 5.833555232553266023e+00 5.290485513515600147e+00 1.392477061679868733e-01
1.817431394620309337e+00 5.305044895623115764e+00 5.361339692574179416e+00 8.651070905918623044e-02
1.522221376252782754e+00 3.215519126352169188e+00 5.267904049879535755e+00 2.378079323024878122e-01
2.968252936287561816e+00 3.676681547272099948e+00 5.452690554172811233e+00 1.036813172431984564e-01
1.976721109642264107e+00 6.188494840285642340e+00 5.346909771106820308e+00 1.451313161297871634e-01
1.223079020782160464e+00 3.889230922432928672e+00 5.381201469975834151e+00 1.233520117735528165e-01
1.716871651436465696e+00 5.172217867986372397e+00 5.495415841563413117e+00 2.793026988469027860e-01
1.523457141913420854e+00 5.285393993197914142e+00 5.330263752172514913e+00 1.785091770750300011e-01
2.587888809960467107e+00 4.615843168573315225e+00 5.458268971655467539e+00 8.210005199682157695e-02
2.204564418531222536e+00 9.882841264827392891e+00 5.060763822300590853e+00 3.358007165942055727e-01
2.024314934732240889e+00 2.640976105061309198e+00 5.438418687764326798e+00 1.970250851572126205e-01
2.008463086281809140e+00 6.022865439369761376e+00 5.386556674508494957e+00 1.383666112137106330e-01
1.947395792825035166e+00 5.243797623383214201e+00 4.912223499120146109e+00 3.000231724973541625e-01
1.953885228551079933e+00 4.939426644246378117e+00 5.487826765786211425e+00 1.348188215119577593e-01
1.720053265680637544e+00 5.195861247876668365e+00 5.291476599299829608e+00 1.419888758128299289e-01
2.300681166395536881e+00 5.282051474495092158e+00 5.385702859274188903e+00 1.100622139125176646e-01
2.382892899635432382e+00 4.859187121911820562e+00 5.448091964063872084e+00 8.668387301268846989e-02
1.593352124908846701e+00 4.067162148356656459e+00 5.287412926820374004e+00 6.893756104027509712e-02
2.172505647222456648e+00 6.380139672946489426e+00 5.431281341278830332e+00 2.869884776740090349e-01
2.069200604599921611e+00 5.881687157763282769e+00 5.192259316677435343e+00 1.545122712994873027e-01
2.624525127830382054e+00 4.777717988972554508e+00 5.203899600460180963e+00 1.373110508607471858e-01
2.324428166197587409e+00 5.679538324097422652e+00 5.310656913162376647e+00 1.319066105736037831e-01
2.392341827403900112e+00 4.746483252871541936e+00 5.279123313649586535e+00 3.951383896774946503e-01
1.980450519527229281e+00 4.128011727690109822e+00 5.695174027193589339e+00 1.002701046695242959e-01
2.244556794638856712e+00 3.549266726694570551e+00 5.430814417405537498e+00 1.500948175792913286e-01
2.195071417357992161e+00 6.809991002902799018e+00 5.352371964673825921e+00 8.765275750260087539e-02
1.763227033583713688e+00 5.731314815719906974e+00 5.351305290786329216e+00 1.692981395703981318e-01
2.306686878080035807e+00 3.965837427211613253e+00 5.448189819829202030e+00 9.739812717153631394e-02
1.699103584827585278e+00 6.190877364714770792e+00 5.203214588194077450e+00 2.101698864348551243e-01
2.938277609719080807e+00 4.919015824876515453e+00 5.065665568564770460e+00 1.340535044705961631e-01
1.737656825421894036e+00 3.949551684368630688e+00 5.429790101226772414e+00 1.430663484288934584e-01
2.531328079044358415e+00 2.645133087149661222e+00 5.461795188876372720e+00 1.168471210964027590e-01
1.799095493055919537e+00 4.108055295624358116e+00 5.358257010177110757e+00 1.725474866719951539e-01
1.639911741831717285e+00 9.245336467333755692e+00 5.500019371772314258e+00 1.788515154979613553e-01
2.405048595100959918e+00 6.845208220177491754e+00 5.381068380738682322e+00 1.405976001680325493e-01
2.396578120438556780e+00 5.173884283390653316e+00 5.343672403708234597e+00 9.660105635036621285e-02
1.870227233940603195e+00 5.084754429292805966e+00 5.812179081718836571e+00 2.566232207465842241e-01
1.594022928196271449e+00 4.222802958520500027e+00 5.354469142024156803e+00 1.250035231948064540e-01
2.185726379498430294e+00 4.852616091890237904e+00 5.409779541885270326e+00 1.451370041199801508e-01
