# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.482409851900297504e+00 5.011390954938881315e+00 6.050982528493631385e+00 2.217556481769852872e-01
1.391432942727370836e+00 8.569724253344187304e+00 5.868067554187260448e+00 8.132520349604815957e-02
1.156237204438532062e+00 6.123102030435893184e+00 6.221544446179033017e+00 9.952839113460691667e-02
1.250221844852088093e+00 5.067555934467203649e+00 5.945220739187830006e+00 1.445466949882562302e-01
1.093523224463917476e+00 2.870415902118469198e+00 5.945926206534891456e+00 1.138349321468051373e-01
9.503540458944464975e-01 1.241584381958340266e+01 5.993440184689112549e+00 5.397071457657066917e-02
8.482309951986827246e-01 5.160634106508942942e+00 6.014402014416708298e+00 1.473514979861224594e-01
1.351679215891354424e+00 2.853953163915213587e+00 5.894671874211482532e+00 6.476270525066886441e-02
8.881764437944477120e-01 1.196087310033215800e+01 5.909444902613266493e+00 4.458028508088886233e-02
9.468001566177713935e-01 6.905430064914448884e+00 5.986869360974043985e+00 2.218856649660239377e-01
1.084520107298568403e+00 6.595760683407426050e+00 6.035382851586758690e+00 9.776606920861868888e-02
7.870087039834270382e-01 6.092595743703378197e+00 5.784372979019811289e+00 1.781730586698997421e-01
7.954498471915152358e-01 1.004793433130068259e+01 5.948630830366890443e+00 1.807046160272542390e-01
1.421874417999903661e+00 8.619514617557937797e+00 6.106880315377994251e+00 2.583872010291157206e-01
9.145779294059042108e-01 7.123605935617168150e+00 6.132777991042933863e+00 1.264512394035687548e-01
9.493912448595930309e-01 7.825779752005395551e+00 5.905770883870395949e+00 1.192434371216689881e-01
1.073238693089989759e+00 7.120695772074401297e+00 5.688966246960295514e+00 2.035696260853341044e-01
1.304315753805146416e+00 3.552819179890097878e+00 5.904848621889735583e+00 8.984893366206193888e-02
1.253585246586086166e+00 1.065214669167948536e+01 6.050519332242704884e+00 3.704333002904425937e-02
9.127746631291407953e-01 5.293787064280251364e+00 6.089782232294166597e+00 2.507830798895087088e-01
7.950336859352697960e-01 6.982500067890762274e+00 5.963461993627126034e+00 1.537127931164784245e-01
9.375495060744113429e-01 8.484768443716841801e+00 5.874200288016159455e+00 1.991230156306894594e-01
1.249969579737050251e+00 2.849527524023715230e+00 5.955307625356397239e+00 1.755476571126365903e-01
1.229962074435770214e+00 8.051223788935347514e+00 5.610387880683494366e+00 2.502022762209594187e-01
