# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
8.329644244180822721e-01 4.146038698733448769e+00 3.645792814045281993e+00 2.243450191562242346e-01
9.800499649293668014e-01 3.733501353218787067e+00 3.828133142510316222e+00 6.921876719366115704e-02
9.391375964276663657e-01 4.605419113949137611e+00 3.770377860640870438e+00 1.549444088398057029e-01
1.042911539779838748e+00 4.301469410331729470e+00 3.507796854240330386e+00 6.987317123110434181e-02
9.158078975247820885e-01 4.939688979145368641e+00 4.073436753922543119e+00 1.569086548238257106e-01
7.612286340325529199e-01 7.550634159033942971e+00 3.732178521326941834e+00 1.731030323875761001e-01
9.463397077734161389e-01 3.824894714467427903e+00 3.619925286630150563e+00 8.132592861854878730e-02
6.923423990130384009e-01 1.007311359652511129e+01 3.764511914801309977e+00 4.124787243812687021e-01
9.314716042967687848e-01 5.910922454769074186e+00 3.757800295324360107e+00 1.219973246223008956e-01
5.427058031019940110e-01 3.830774976340034499e+00 3.533163754543917179e+00 8.985001773470444042e-02
8.014060643684042251e-01 6.195318865931684904e+00 3.473744557871847327e+00 1.321371844408165686e-01
5.407118354391585724e-01 4.875418233025905934e+00 3.349489875000234651e+00 1.950051362579686975e-01
1.953862502504408072e+00 4.568433254833497159e+00 3.986733361841895640e+00 7.938720934327481160e-02
7.234444240061235210e-01 9.108951500136445389e+00 3.425959833701104351e+00 1.621285440225000429e-01
1.042384177643713494e+00 5.353851551659348118e+00 3.786451518662244276e+00 3.869586381632811323e-02
1.680433304033556841e+00 4.345814794889284016e+00 3.980886045193843703e+00 1.303642468628442574e-01
9.360710305697885758e-01 6.505211728438749397e+00 3.434203957568103593e+00 1.628265196338604115e-01
8.486936594564548075e-01 1.248750682316101468e+01 3.755173882726044354e+00 1.890500583647417021e-01
1.271338597604372067e+00 3.039468244355287396e+00 3.883381913650937989e+00 4.949811252138131001e-02
8.873182800784588098e-01 8.734820184808418375e+00 3.600556024807346489e+00 1.504921923954396223e-01
9.385269131365812090e-01 7.945883499960523899e+00 3.913988315444604904e+00 7.323541587065877934e-02
7.986933980194810268e-01 6.531663767951218169e+00 3.580373857024284678e+00 2.879961632293971396e-01
7.524207476921024318e-01 9.970694885015412012e+00 3.299754165058520705e+00 3.743618199058446061e-01
1.092338670227304576e+00 6.101524544583964982e+00 4.053907626795624886e+00 3.177084063002535430e-01
9.205025278470473360e-01 7.232855974187104131e+00 3.717720217033807728e+00 4.289121927004888035e-02
4.319164067449158262e-01 5.466774362157164724e+00 3.023342725837046441e+00 2.006449523976867044e-01
9.151092490754648701e-01 7.101283275051232913e+00 3.597522974137375318e+00 2.015780002476186272e-01
8.642798606306779652e-01 5.654711710616576070e+00 3.461506650281744424e+00 2.184700646798225232e-01
8.386200118568353234e-01 5.883689929911752436e+00 3.682635141223605579e+00 1.195393340263871118e-01
6.947113150976136353e-01 6.268159796120804650e+00 3.686561144782547483e+00 1.207376273133911049e-01
7.338412600821734300e-01 6.350288396215427511e+00 3.162897476470137637e+00 2.294539889238055297e-01
9.836946004878498462e-01 7.753423206913234722e+00 3.971301818013967200e+00 1.558104850272284403e-01
1.175725251724622167e+00 3.110628389075484002e+00 3.973425711934965854e+00 1.480521695548327743e-01
1.160008752991697367e+00 6.637893110824841791e+00 3.684016244673745444e+00 6.916831713036561413e-02
6.575599110037450012e-01 8.795481780614919032e+00 3.588429511623999257e+00 1.105176166289771333e-01
9.265955677236644705e-01 3.311646315145824637e+00 3.793055533785278488e+00 2.019896967458835735e-01
8.840507446146635973e-01 1.114359583045822255e+01 3.785623862190322431e+00 3.855740872714157330e-01
5.835754826531299733e-01 7.371792103812243369e+00 3.464274862178859493e+00 2.674139285863251780e-01
1.719925161196956820e+00 7.273376889306735649e+00 3.872592306942550522e+00 9.898566284334597842e-02
1.313176608075558693e+00 6.345972072876951309e+00 3.815121260624701360e+00 5.756283981833309332e-02
8.343484337491009484e-01 3.454624381891828300e+00 3.670688018674570063e+00 1.275791506801508546e-01
8.270996055566716132e-01 3.025810844019237500e+00 3.837631343763079350e+00 1.442061993083677274e-01
9.539548797891974630e-01 6.905350315261575389e+00 3.701253893366034831e+00 1.344810273172696580e-01
9.230925859005130185e-01 3.694572885554627373e+00 3.474049717168707474e+00 3.895795645100857268e-02
7.537797740480511877e-01 5.709152298242947232e+00 3.472891044064970512e+00 1.907616717995370970e-01
7.129507914539204849e-01 5.010004173396469973e+00 3.862243130240833544e+00 1.963180745810571004e-01
8.125176680435028942e-01 5.647298629829266225e+00 3.811420230076193683e+00 1.879910162185566558e-01
7.197229071915361986e-01 6.218747041445003454e+00 3.784163674346451955e+00 2.139281296514961572e-01
7.935836497914177112e-01 4.661985566445393303e+00 3.562777078460252156e+00 3.508904633332809442e-01
6.434343997436861029e-01 6.608362708275043573e+00 3.414615679627438283e+00 1.203328917349359845e-01
7.484292098125970849e-01 6.193221167419905804e+00 4.033787494646978722e+00 3.205481413856228756e-01
5.288452731940938012e-01 3.151472073249312000e+00 3.295944764190861687e+00 2.227879130796994733e-01
9.678064053589146010e-01 3.131810745294178577e+00 3.743032419921874077e+00 8.696091323897825465e-02
9.729146389319287547e-01 4.043065750710101547e+00 3.942083038141217521e+00 5.476707414884803699e-02
8.831256214696285856e-01 6.928672220048240682e+00 3.656282065310935359e+00 2.895902753319987144e-02
9.708177282082870452e-01 7.648614076625459113e+00 3.699030206548185262e+00 1.674971265621496008e-01
6.702363289747862440e-01 6.746876076134443068e+00 3.747333400968704709e+00 7.834689631697216994e-02
1.051353669531461588e+00 5.375517599575590388e+00 3.713381429362524688e+00 1.202800401692107335e-01
9.556743646430159167e-01 4.336165419580169100e+00 3.798634193150534966e+00 1.654763999203150426e-01
1.484138082948961879e+00 9.174221303981692444e+00 3.966748888210205770e+00 8.056980002292367382e-02
8.037906089096754636e-01 5.724291611664888535e+00 3.658692116103988035e+00 9.829659089016072604e-02
8.854175901437667529e-01 7.022814542228027257e+00 3.513910380124215305e+00 1.258402799681010431e-01
1.435890814622306166e+00 3.077996279574330529e+00 3.784476422487430103e+00 8.366185934357484033e-02
8.574699196541446522e-01 5.494349040654507021e+00 3.777260553086944750e+00 2.625218420284558540e-01
9.874805801681827422e-01 1.452060853287428266e+01 3.780877532543668096e+00 8.748281298892728042e-02
5.599545028720500639e-01 6.703855054656036039e+00 3.599639872535294494e+00 1.799376049076109041e-01
1.085774990879756485e+00 6.566906981548394917e+00 3.792046344709682604e+00 6.783200267143896234e-02
8.381311043704831043e-01 5.502544777822108379e+00 3.851293587278203479e+00 1.706702223406156294e-01
7.828608381108035363e-01 9.374475876150459186e+00 3.957573140668395606e+00 2.505337386487159201e-01
6.952904492930882530e-01 4.512919399969880452e+00 3.457313745224872559e+00 2.840767182507535349e-01
7.460665908759797071e-01 5.234484847846494482e+00 3.661681537805221875e+00 4.051129085101579097e-02
9.008593157739719359e-01 4.790873193742024583e+00 3.553800967720428972e+00 1.988301168532431162e-01
8.686364472464711550e-01 7.885076884661364360e+00 3.776103739459041986e+00 9.763936139029871786e-02
9.075324393707397963e-01 3.483632965785268709e+00 3.719724437233215664e+00 1.093802350573310211e-01
8.761274252485282688e-01 7.091879807337703845e+00 3.607433847251523940e+00 1.025790200156395937e-01
8.875291180289439641e-01 3.417530083534883190e+00 3.162740659899104134e+00 3.955859655138057041e-01
6.573308007357450133e-01 5.376899302692550897e+00 3.804538175257438315e+00 1.800755383359459172e-02
7.653894551092860210e-01 4.920824469087612840e+00 3.799615838749714314e+00 8.760419459174369206e-02
9.981580324059735609e-01 5.454871047918992133e+00 3.546733661226104672e+00 3.704102205370353174e-01
8.349889860028154587e-01 3.096737664927499356e+00 3.844264310428772369e+00 1.588808666777642431e-01
9.320876699409276211e-01 1.152630030612719025e+01 3.827379573034242810e+00 8.632144429451331369e-02
9.625497923384893628e-01 4.873383379444260477e+00 3.969555261158250303e+00 4.125340860160533335e-02
6.857887996920335461e-01 4.411620946467821547e+00 3.595172048496682038e+00 1.961476151362448739e-01
6.780072354980619664e-01 9.116123914352261437e+00 3.659592706300011322e+00 1.544900129474556238e-01
1.166322174878455131e+00 6.249543104961767348e+00 4.005978763309763657e+00 6.717338341624314035e-02
8.834262567056989646e-01 4.508913395004125135e+00 3.539588228606740827e+00 9.443075607227163770e-02
7.158269334500199088e-01 4.589284892824319506e+00 3.922025273793793065e+00 2.557746695939990822e-01
1.071478019782707403e+00 5.422083634659724538e+00 3.568459753153795155e+00 2.392278372520550700e-01
8.918973396957763367e-01 7.139444587500082484e+00 3.625704265664098536e+00 1.229069711874194865e-01
6.439853445661685161e-01 5.689741299638281902e+00 3.783238150358536167e+00 1.567736136441580941e-01
9.356046970292836162e-01 5.984328425380358141e+00 3.650377223340074639e+00 1.096467706338687953e-01
7.580287184923011345e-01 8.367524186511348105e+00 3.300588054574335128e+00 4.347896001128599419e-01
6.087321548423587636e-01 3.091445054842663964e+00 3.431748933710253358e+00 1.126035595194441463e-01
5.940202516133796795e-01 1.002964445502988688e+01 3.305422359289153178e+00 1.194349782966964979e-01
5.933695744891452906e-01 5.340280506865755505e+00 3.555540117945451772e+00 1.254483283491462375e-01
8.617947790884327164e-01 8.905099931188516393e+00 3.984537066729568533e+00 9.008108633776344687e-02
1.206841256170008814e+00 5.071704443308826527e+00 3.687656283823915526e+00 1.037551096354059066e-01
9.420787476068144262e-01 4.744473361949821388e+00 3.780829393743763589e+00 1.800824402799685864e-01
8.145078490038438757e-01 4.907710392891616813e+00 3.509034330670294466e+00 2.665790098116331275e-01
4.611358613668062878e-01 6.607958060515368715e+00 3.255862002703496572e+00 3.667273570700410601e-01
1.328903128485878549e+00 3.699227278678045572e+00 3.773005284892271050e+00 1.878211049431148527e-01
9.645480690041121630e-01 1.458343678459469928e+01 3.770236652980157643e+00 1.545547899155417793e-01
8.205522351804439563e-01 8.103132778803548320e+00 3.689792915850267807e+00 3.085558005098643641e-01
5.432258586532074940e-01 8.922475302351312365e+00 3.521185951429786520e+00 1.244202239111402292e-01
9.906295015731755305e-01 2.936297767218930321e+00 3.681511482268997160e+00 2.422814198555364729e-01
9.898823204849910296e-01 4.377788569058277623e+00 3.673442817893543211e+00 9.948713930650984749e-02
1.112970928109239477e+00 4.258756381988206385e+00 3.493459446330083207e+00 2.960410422676477138e-01
9.137610758894350038e-01 1.015644014396161410e+01 3.646431020565764847e+00 1.896477681410191074e-01
8.527458173508890571e-01 6.717996350415917917e+00 3.415281802510056863e+00 3.035354508525429651e-01
8.390844407116578862e-01 4.842369971952475538e+00 3.842191852270308683e+00 3.687713664814941117e-01
6.307096093973652007e-01 8.700676673222304203e+00 3.663400856580323328e+00 2.045102869278734581e-01
8.595871170184699039e-01 5.974256532325775915e+00 3.674832422403470744e+00 1.131794798493105519e-01
6.812005875471633942e-01 6.248750001378456709e+00 3.708153446931169661e+00 9.381742467058290513e-02
8.171505024411573892e-01 5.068886877587170048e+00 3.873952966735908721e+00 3.578204156990105744e-02
6.495149912224340571e-01 7.010329626914123757e+00 3.915845055655249318e+00 2.803917361875068459e-01
1.142750443768134172e+00 4.003108205083051097e+00 4.036536557386989799e+00 1.763081429043045489e-01
6.702159526048853122e-01 5.828354468350963380e+00 3.703380352487398497e+00 2.735624124003256386e-01
1.249290374416912153e+00 1.166717735910618359e+01 3.943227372456810098e+00 2.791093364722586553e-02
1.043807230991410817e+00 7.504610371009343694e+00 3.854257886880312789e+00 1.756905703840290489e-01
9.533946215234477828e-01 5.749643758849713571e+00 3.812599383324385194e+00 1.244154703288047753e-01
6.318023090087049320e-01 6.502643114193432439e+00 3.730307965064780351e+00 5.697524643671436628e-02
1.260320880198146476e+00 5.756739026925237646e+00 3.746198789667951168e+00 1.008453175861552809e-01
6.477182062429881482e-01 1.485417334937219458e+01 3.589806985564630626e+00 2.170287778468356077e-01
7.030095812364250962e-01 5.487561778067608032e+00 3.751535582895439536e+00 8.178508914248916462e-02
8.413875810900877106e-01 5.611483741221495514e+00 3.683673869567393400e+00 1.022922238991122029e-01
1.708468906741470894e+00 3.545762024972410664e+00 3.985341757632810733e+00 2.620835893077709811e-01
9.892342883331518566e-01 8.093317055742661026e+00 3.743999948965631930e+00 7.595759561186071762e-02
8.693089023006324023e-01 4.636419824690929836e+00 3.518992929060861030e+00 8.725292086115672696e-02
9.870795146009565535e-01 2.607590606548840562e+00 3.866100569439422152e+00 1.116928177040079767e-01
1.094817519621147817e+00 6.692071886594511909e+00 3.864107317587937018e+00 2.127623555252221299e-01
4.965881505624089032e-01 4.456646419540989612e+00 3.778747323186107732e+00 1.510399182935013018e-01
