# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.438738724662472102e+00 3.074774417324518616e+00 -5.466979708191286313e-01 1.690636146606803447e-01
1.744713792783133766e+00 5.280586916501393446e+00 -9.729302805410267041e-02 2.785408190684151020e-01
1.363086836155209536e+00 3.182437587767507736e+00 1.509446796031467919e+00 1.074668157926255974e-01
1.462956375810722021e+00 5.749617430144536634e+00 1.477881668812957905e+00 1.032612849498698443e-01
8.713660069898747640e-01 5.891759058176664787e+00 1.242611217439657523e+00 2.597132348097170307e-01
1.818788619724012179e+00 5.488441794348672964e+00 1.609285740966697187e+00 1.923839501230971138e-01
1.350049719951294636e+00 7.623166769117042385e+00 9.205624691836429285e-01 9.901636459605750451e-02
1.573434678089944194e+00 2.583152128861153862e+00 -3.040886119986574432e-01 3.496387800334572193e-01
1.712486799623532896e+00 6.544453965880929758e+00 -1.585000446726718693e+00 1.986439084548331513e-01
1.713496594434568365e+00 4.466565976204563526e+00 1.530768334258875596e+00 2.640751474892463757e-01
1.522113828363252930e+00 4.110997262815083708e+00 7.916405614392126866e-01 3.629305940752666215e-01
2.615731663627859582e+00 6.369603380614126564e+00 4.643161281163663556e-01 1.619831334065639505e-01
1.257383493685221731e+00 3.916095982187454361e+00 1.015323513207753159e+00 1.915177964926927101e-01
1.204793817635335662e+00 1.417869087594640298e+01 1.955575094590885854e+00 2.373782430251571984e-01
2.121705157280319831e+00 7.388183910256451270e+00 2.760304604481499169e+00 1.438223485989838790e-01
1.413742928267773369e+00 3.904334281191851552e+00 1.389232854679321782e+00 1.200238909721292047e-01
1.730057359891484126e+00 8.303990371614911936e+00 3.748649349031654143e-01 2.171081283125105010e-01
2.193802707683433884e+00 8.466071417980440827e+00 1.066890696890189894e+00 1.308382221811247303e-01
1.903866883860592329e+00 5.274957125731695839e+00 2.145860416024751416e+00 2.587504056745794090e-01
2.431823524870286413e+00 6.783027207567442041e+00 -1.412542864168075729e+00 5.855421868027138599e-01
1.509788517383804374e+00 5.501365624190432513e+00 -1.255970302860641929e+00 2.280522927261698918e-01
2.003752768384931215e+00 7.323471072710376006e+00 1.992147595376069003e+00 2.230608900605884903e-01
3.205886508138792390e+00 5.904496544423889048e+00 1.767272174337678692e+00 3.555273643174214904e-01
1.023642388383970481e+00 3.097424194248165730e+00 2.016301516242053893e-01 1.185703849856341030e-01
2.015012486562833605e+00 7.445630261501070102e+00 4.225198489607007168e-02 1.374570192498088261e-01
1.019812844215225667e+00 3.395860672764718924e+00 1.390918648258878232e+00 2.572897055000990529e-01
9.749657302007868065e-01 5.873836142037484720e+00 1.450193754862505457e-01 5.729394197128444277e-02
1.136280707127724110e+00 5.294134099742406008e+00 2.344061322703691719e+00 1.838902870249992105e-01
5.098242547285647408e-01 4.509518381948891097e+00 -4.896402303955630364e-01 1.167478850830648007e-01
1.653900062364332513e+00 4.566496671275166008e+00 1.875211255771143781e+00 6.650205845560513973e-02
2.227591890164861699e+00 7.143938331372850392e+00 -1.455509897504148886e-01 1.250088404727729696e-01
1.995513472039427416e+00 3.450640430943744175e+00 7.626845422700458954e-01 1.120614038750930574e-01
1.883711185773626173e+00 4.216484059905853954e+00 3.604184452632773206e-01 2.805902931088903318e-01
2.531593338876802157e+00 1.543223301616779430e+01 -5.101916157531645180e-01 2.568441440762110339e-01
1.845991652177751963e+00 6.129393751841116789e+00 5.273281793807330087e-02 4.087748315677651179e-01
1.579513442608786011e+00 4.422346706538619721e+00 -1.587311986413202369e+00 3.890604771350712476e-01
2.232293661490698078e+00 5.061879643372227733e+00 -2.600538819920084066e-02 3.094882478062357944e-01
3.142250932207329317e+00 2.820786610542111994e+00 1.106148865960559835e+00 4.285078175375479914e-02
1.743414646269680679e+00 3.914117737565202759e+00 1.484191091452992106e+00 1.759275637532277670e-01
1.365685545617287611e+00 6.731105256277838400e+00 -4.241476601504645672e-03 1.160625924499147366e-01
2.062343508396979885e+00 5.309081007511439410e+00 1.507494865463045564e+00 1.777965624050888427e-01
2.094515686947731048e+00 5.675508126986260393e+00 1.349162031102777215e+00 1.290217621114589930e-01
8.394602341548814683e-01 5.837417262976787313e+00 -5.982322523735005282e-01 1.014797841080110619e-01
1.063663042931618730e+00 3.299300806719174251e+00 2.452047768640778003e+00 8.307816643978357951e-02
1.815575687306893782e+00 6.272198254549516960e+00 2.190095816321171895e+00 1.961892052324356039e-01
1.608966836159871239e+00 5.002273141350027430e+00 1.822261278214920122e+00 9.157711481332889147e-02
1.734937323332508274e+00 3.111681428021281448e+00 2.464223796219189744e+00 1.221207847956104209e-01
