# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
9.676133074140500501e-01 4.709171530278426054e+00 -3.984174750149011568e-01 8.018789263402270606e-02
6.783466987779285251e-01 3.887461599178064109e+00 -1.641022999331642529e+00 1.122092585059349112e-01
1.070370020504489705e+00 3.111884224953615163e+00 8.081492628887881891e-01 8.127554620763696724e-02
6.646355795435435754e-01 4.350111752335725335e+00 -2.654101099674591180e-02 2.541603815597365257e-01
7.032903499627404242e-01 5.261280701589995168e+00 -5.817165783949709290e-01 1.169137593183019186e-01
1.811412852178434507e+00 3.689925460670795410e+00 2.296970726474937552e-01 9.424975479706088066e-02
8.317712484819472785e-01 4.705055099328830259e+00 -6.839235455148635623e-01 1.268298506678606219e-01
1.374301440080999859e+00 3.123736211008267816e+00 -1.772679581958658268e-01 4.253503853862193596e-02
1.115412803974895173e+00 2.491055005118551602e+00 -4.074175437737834748e-01 1.762552782599265122e-01
8.064919823679688182e-01 2.362985515498137179e+00 -1.352586266587141761e+00 1.261144777513355519e-01
1.110163868705190238e+00 3.287601374567126200e+00 -6.517032575873076272e-01 7.305279670621497856e-02
6.771591623998255427e-01 5.406250374381111889e+00 -1.298740276380426217e-01 1.105463140436267755e-01
1.167979493573977567e+00 3.131958750344096210e+00 -1.307849385310153600e+00 1.456001929608849998e-01
9.554121340149638320e-01 3.490515165347578996e+00 -5.751693943746283288e-01 8.241297920620188622e-02
8.314886618696990528e-01 3.967413698732620730e+00 -7.896519216914409389e-01 9.616686749633467091e-02
1.066126694307067746e+00 2.911079709924138559e+00 -1.082896522529610550e+00 2.064833163419686202e-01
1.154750787568620263e+00 2.104469085932464179e+00 -5.317881684158309863e-03 5.820183352296619955e-02
9.917866192580822027e-01 3.592854884546208716e+00 -9.550329977115468161e-01 1.446574305175100661e-01
9.519743998444463173e-01 2.600832110765596727e+00 9.777885855473651688e-02 1.938984893739262860e-01
7.165062551120385814e-01 4.191185903268273449e+00 -8.753174461387137617e-01 1.606792497582996970e-01
1.104517796708523125e+00 4.010900984823996929e+00 -8.236860186351263602e-01 3.525046273465529678e-01
5.832428493827075400e-01 4.552359987212126313e+00 -6.412376934298007480e-01 1.352575570132364124e-01
1.451016772385813169e+00 3.397664098792583687e+00 -8.418050470699847132e-01 2.999902656231470122e-01
8.413056018199724928e-01 2.863659207732069500e+00 -1.848700997937253732e-01 1.213143493666670736e-01
1.190695307925903057e+00 3.243524384417090012e+00 -4.975249652493479169e-01 6.167796250173086109e-02
1.186863878695163743e+00 4.586393243002722109e+00 -3.862580618575022773e-01 2.038015297988015895e-01
6.880643601346193572e-01 4.101726517258327043e+00 -2.713981326337232547e-01 7.039225239789199950e-02
1.163756739136326601e+00 2.862496140436333825e+00 -9.400410703301557147e-01 3.170726639028541016e-01
9.392668821156602288e-01 2.843891524028935969e+00 -3.382382198321568501e-01 1.818855436650284041e-01
7.268095918619544848e-01 4.007860768982277833e+00 -1.032756809177507673e+00 9.351818702506072001e-02
9.849573083251698113e-01 3.776896895593966796e+00 -4.877589895798541964e-01 6.827648102171161859e-02
1.806805734944697761e+00 3.334623172557936055e+00 2.770085206638449593e-01 9.173278161128368968e-02
7.553532552067210304e-01 4.426355495010636076e+00 -1.584537912273353000e-01 4.394611030171934052e-02
1.103135859492466730e+00 3.552836983029079576e+00 -9.861184574616155274e-03 1.478338778537858222e-01
1.040422302611325955e+00 2.926751458246842574e+00 -4.314374875734164339e-02 9.393847810989075509e-02
1.104564852665000263e+00 3.288594652600890011e+00 -1.136776345560727597e+00 2.147287432916391570e-01
7.543534246304637314e-01 3.833549679951184341e+00 -4.478358992342015843e-01 8.616365748113125056e-02
1.276040864253827900e+00 3.251368553320617139e+00 -1.023309204967709274e+00 7.958248989431031262e-02
8.568462486207546469e-01 3.036295728337559119e+00 -7.142800065224720329e-01 1.333990932177392119e-01
1.202470791679801421e+00 3.864127632217768671e+00 -4.148910469480850405e-01 3.873796897250025156e-02
1.528687767668931441e+00 2.755064538103814353e+00 -6.379057773888385796e-01 1.486942325431217238e-01
