# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.864432654116687349e+00 6.741978031368913271e+00 2.973888240228329316e+00 1.020155026891215871e-01
2.890164955156818927e+00 8.826642374583913764e+00 -1.365668632940570282e+00 2.853352938555214768e-01
9.709301369239372592e-01 1.020544845945655865e+01 1.517121570763912075e+00 3.346896005805517771e-02
1.491414111203437809e+00 4.017441718370108106e+00 -1.578471636644846576e+00 9.680633806085167659e-02
1.634563959686329726e+00 2.886109323097122203e+00 2.984512679527320245e+00 1.098604053805288944e-01
1.297596240962192393e+00 7.681226104724743209e+00 -1.321582646671720873e+00 8.217402555331305980e-02
2.383138525551896869e+00 7.370473784432309827e+00 3.061712410703635978e+00 1.272511508573633265e-01
9.556813046101428899e-01 2.651460228174523426e+00 -9.736273492881388769e-01 3.200719582159952115e-01
1.095338735899261895e+00 8.704581646168191966e+00 -3.094016615104593360e-01 7.508348231645942117e-02
2.058763756912628917e+00 5.112162800298854393e+00 2.685183546061639781e+00 1.376825913856121741e-01
7.963884999140127263e-01 3.046319315464177002e+00 4.902569020102534036e-01 3.897476273458317930e-01
1.455278756626229075e+00 8.730896386116260288e+00 -1.174843732233431082e+00 1.769178082078667613e-01
8.890375170163401508e-01 4.717863564073138782e+00 5.329075812805736945e-01 8.849161392464691134e-02
1.585565368906896033e+00 8.978978638682013624e+00 1.182004429984731431e+00 1.880950694829617020e-01
3.260383466428681265e-01 6.436891511910207697e+00 -1.433998892651470847e+00 1.293673418695839850e-01
2.425608811144204680e+00 1.180484299058931441e+01 3.042790400741237633e+00 1.360686197675396447e-01
1.080219904603308079e+00 5.236817293618566183e+00 2.689111241259996454e+00 2.327396512333681222e-01
1.052726012516544518e+00 3.924394261794445615e+00 1.854685476393978405e+00 2.394767438723879316e-01
2.106867614469503991e+00 5.045864528514751868e+00 -1.828521288698774505e+00 1.656232464811416005e-01
7.211163556673292341e-01 5.241498274259268619e+00 7.598214613250383609e-01 1.700682802100174362e-01
9.221288964847992320e-01 3.555269381886189795e+00 -1.253945276873723591e+00 3.461522932330715618e-02
2.161892333336454364e+00 5.040370402800561145e+00 3.795830918818499100e-01 9.205623928509562570e-02
7.942097449107028417e-01 2.449323643126968264e+00 1.367587745579259995e+00 3.809465287190388905e-02
6.693400354981646760e-01 3.870353566290888558e+00 8.687691568994490021e-01 4.001081013074979098e-01
7.009854772768775444e-01 5.721275657008616733e+00 1.182485834624200427e+00 1.304068403522257724e-01
1.187566183240847728e+00 4.738250847826650514e+00 1.662033799648958254e+00 3.219724560463962382e-01
1.048820997043417469e+00 5.140158021060826421e+00 1.329660113008271249e+00 3.894106808666877306e-01
9.509588955709658009e-01 3.163605486839800474e+00 2.537836893938001825e+00 7.619697269308742249e-02
6.546384507243565576e-01 4.302813787601713180e+00 2.069912810498050870e+00 2.383470265991862180e-01
1.287831471525073379e+00 3.126609838992318924e+00 1.270359099494208444e+00 2.486526687290434301e-01
1.885990493165181858e+00 5.117032529643045891e+00 1.450296331951211215e+00 2.301225436212950837e-01
2.473098027468644045e+00 5.045729036375080412e+00 9.986762373622324329e-01 9.006761342453283026e-02
1.017809975368790365e+00 5.198999484512926372e+00 -9.972158965635393724e-01 1.496960365813718719e-01
1.008683608217253891e+00 4.571078305213797321e+00 -1.198233843703548684e+00 3.444167616085486716e-01
1.298614193360315472e+00 4.406545444304542869e+00 5.115350882104729990e-02 8.882681232442210528e-02
1.679183283723381770e+00 3.015295008979790303e+00 -1.796348952860722381e+00 2.694577106811090195e-01
1.434087976295177258e+00 7.709468038151018554e+00 -1.372127744884375833e+00 1.371019930978356893e-01
1.316926161814527596e+00 3.666163950819396611e+00 2.117474945028356093e+00 4.339918871562040148e-02
2.934850967853120274e+00 7.983492819885051439e+00 2.590507913376736138e+00 1.527830913917746780e-01
1.639713357666441107e+00 5.797503860632462924e+00 -7.362324694646737999e-01 1.733851675368019707e-01
1.315027422113497657e+00 5.282525694408296779e+00 1.638851732120569338e+00 1.799463924796971259e-01
7.716109808114601787e-01 3.099324759899420023e+00 -1.823289954263902501e-01 2.670336941783175710e-01
1.073788558352779532e+00 2.702131643674323680e+00 4.164020491560905812e-01 1.542159876834778565e-01
1.098624047824433125e+00 1.023349879983325295e+01 6.680445732680434512e-01 8.709045055584228867e-02
1.682967867041901266e+00 2.649041563230244201e+00 -9.310549503631113666e-01 2.676916054941329559e-01
1.383881435598663057e+00 7.210063944460602059e+00 -1.137107913678603754e+00 9.642485784643367586e-02
2.060022079181782484e+00 5.842376637202961298e+00 1.898110897648924045e+00 1.408041456652658618e-01
1.527135619082082396e+00 6.834291588331167233e+00 2.950185435142774093e+00 1.751256298781719567e-01
1.121411410778643258e+00 2.922113663542146522e+00 2.054197512684715399e+00 2.990775474618093677e-01
2.973236896641186622e+00 7.509934231514477254e+00 1.890191122952186387e+00 4.525801882846740565e-01
1.047250585812346202e+00 7.957795141908435177e+00 2.339096495223596417e+00 2.526700004732596594e-01
5.625524599515486779e-01 7.553513648004811287e+00 1.763600605884898309e+00 1.289532817254533392e-01
1.423070549256000739e+00 4.822171954440422681e+00 2.009288768466794828e+00 2.674417094221700486e-01
1.704107990498169301e+00 3.363790041840058365e+00 1.579956926251601779e+00 1.105431969103705114e-01
7.195573495161099453e-01 3.045823690683766127e+00 1.082226295362150204e+00 1.344337629091242603e-01
1.661433106856160080e+00 3.503569893722603190e+00 -6.175329190277345504e-02 1.006099879918943285e-01
1.541854517181811657e+00 4.327412056689082576e+00 1.168143830539681627e+00 3.178136055019193384e-01
1.072562470782163713e+00 4.733266709841231545e+00 1.523538541814404512e+00 2.908611153588720466e-01
2.099423862686006892e+00 6.221652663542130313e+00 -1.672153213489500301e+00 3.204686486549537805e-02
1.801361289185221537e+00 6.143834970003449136e+00 1.390746405866331248e+00 8.462767870705710516e-02
2.000865548409853645e+00 6.668300602614615435e+00 3.510659629409103588e-01 2.037510587674190021e-01
1.116974036618763710e+00 5.063167266872324213e+00 -8.983869702960401993e-01 1.474754238066022793e-01
1.795212385818539147e+00 7.537285914952668975e+00 2.417399612285666244e+00 1.837393526607929983e-01
2.923598206057266058e+00 5.301966556694097221e+00 5.782595231313476525e-01 4.222538063173884165e-02
1.249493012527036484e+00 2.245442212953807193e+00 -9.124566939014027156e-01 2.021493291493558775e-01
7.341893834456744150e-01 6.034161031079866788e+00 1.313746624113742767e+00 1.310028959523129033e-01
1.278707199803340133e+00 2.946863812148768691e+00 2.358779250181035625e+00 1.495958306749052280e-01
1.365866443974826261e+00 3.916785448530618385e+00 2.012756735801220387e+00 7.256463104259418262e-02
2.060539811110825070e+00 3.834000275637624355e+00 -1.661713856869724060e+00 8.568852186724118525e-02
1.187461110364300021e+00 7.177646371739202280e+00 1.659717151631635357e+00 1.589504577862892176e-01
1.500919469129947448e+00 5.272780137974057979e+00 1.254466378779542923e-01 2.877558928413316286e-01
2.267113763337066601e+00 6.716541809461013202e+00 3.343462572811751521e+00 2.711010007166108626e-01
1.947425393977265218e+00 5.038345528379517546e+00 -1.628274075491648265e+00 4.992892430232421241e-01
1.003537476653802107e+00 3.000348325609233591e+00 8.086184444386288472e-01 1.117792969207731107e-01
8.103837949741546920e-01 5.698700086875785331e+00 1.324881630245913211e+00 2.473967354905915739e-01
6.089222735221144767e-01 3.922341735461715384e+00 1.126599918310085213e+00 8.383598160482853834e-02
1.680747621260175517e+00 8.342187307985152955e+00 -1.042768350837231628e+00 5.983254942664816001e-02
4.008631778514425981e-01 5.356871062238932168e+00 6.334950773636547350e-01 1.729963841525345436e-01
1.249862755428949201e+00 4.104471761500036564e+00 -2.735363032208371070e-01 4.076032440901748988e-01
1.660979176032321147e+00 6.322990935478726371e+00 4.104471238890980977e-01 5.415827120715840937e-02
1.445554233408445688e+00 5.043746060983504975e+00 3.048140213192729320e+00 1.795241343983720039e-01
2.721482678788191834e-01 5.731288069274324215e+00 -6.095601390827151134e-01 3.469027119620767818e-01
1.827438602583890681e+00 3.758944224597547290e+00 3.262509469800637163e+00 2.680928256271356003e-01
6.215987256098630676e-01 3.340588639381399272e+00 1.808898039912897104e+00 1.334536734937435687e-01
9.715811029862434500e-01 8.455901379972296183e+00 -1.731146000929606465e-02 1.616488846990735695e-01
1.113133997470806102e+00 5.409892609185699364e+00 6.038230034276940161e-01 9.624684259285531951e-02
1.689002654513151125e+00 6.814487058072865366e+00 1.395106326579467870e+00 9.528723675509720437e-02
1.440496872673060258e+00 4.942691673793999207e+00 -9.327682418924643226e-02 2.629571331207345986e-01
1.366027978108370400e+00 7.486591706906811083e+00 -2.811284728366071350e-01 2.605015343770991643e-01
2.649717984366264378e+00 7.027014184809575958e+00 2.039945422402276609e+00 1.300650707179072940e-01
1.961811814462353976e+00 5.989936701274645614e+00 7.181573638785117009e-01 2.960515582784672417e-01
4.300223874588554596e-01 4.391412888703369433e+00 1.205706627867759284e+00 4.351267681803015763e-02
2.076387134724843264e+00 2.581033703272595403e+00 2.496541826840231071e+00 6.765135642980019126e-02
2.130426148137072762e+00 5.365579343064910134e+00 -9.217253553348634387e-01 1.699165088270348511e-01
7.407395084037033950e-01 6.053947445281977480e+00 7.207261801952112856e-01 7.079764026401016985e-02
1.758470980748378043e+00 3.523523942832340605e+00 2.302654342497775453e+00 9.207287747864517646e-02
1.134225622816335433e+00 5.309174565096379084e+00 3.026029642606991477e+00 1.559595780193263059e-01
1.777906359044690410e+00 5.291848781624671538e+00 1.460497497540361733e+00 3.379927087924898266e-01
6.904674651608010416e-01 5.489876603239384423e+00 1.406809131156641302e+00 1.401874737553028272e-01
1.161952441692775118e+00 9.066667077052128931e+00 1.724897044551918057e+00 5.377986229983284794e-01
1.826701621192115210e+00 2.962969653854168328e+00 3.519362730398504446e+00 3.078658144843968714e-01
7.188360491464776958e-01 3.136717263363095753e+00 1.440115125147414687e+00 2.122018593089179395e-01
1.144854166233451043e+00 4.479526994955891794e+00 2.372587529305299370e+00 1.093426732791683842e-01
9.766600247452202899e-01 4.003347867594103882e+00 -7.681995516954991388e-01 1.276863466926763391e-01
2.987438103254350885e+00 6.763737145331649714e+00 -1.748419308903014890e+00 1.063337598575468251e-01
1.995929168189449321e+00 4.446328086781791811e+00 1.569761896927216238e+00 1.750625134037084585e-01
1.152195735749411254e+00 4.754577361176131944e+00 -7.728592177801210106e-01 2.416738054120622925e-01
1.131961933796567843e+00 8.526234159993069994e+00 1.010755025538492502e+00 9.410106238190918404e-02
2.399221089850329225e+00 6.784965611037385713e+00 -9.770401912139152767e-01 1.899076629612672928e-01
8.531434724257421776e-01 5.310331270782170598e+00 -1.898358811085599784e-01 1.478944798543443406e-01
9.356584067213826739e-01 5.304205521450779948e+00 1.633688282377325773e+00 1.146912547604112959e-01
1.757522205925947212e+00 1.073587306465714697e+01 -1.492021835440369149e+00 2.997160562034973941e-01
1.894515331356685373e+00 3.992500577308481180e+00 -7.789624807667101525e-01 2.370392832689632856e-01
2.003801014468269415e+00 3.363514156451683501e+00 2.857964299222975235e+00 1.491462999189703820e-01
