# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.985330638975900674e+00 4.253967419964854280e+00 4.481237150936957292e+00 2.294800238902721667e-01
8.215766656767162779e-01 5.218051212233718594e+00 4.204395040692073593e+00 1.239545454497092691e-01
6.683773136703758944e-01 1.428564974280354249e+01 4.169297196999211863e+00 2.669612505171610750e-01
1.306725941388145795e+00 3.271971133321311065e+00 4.227178857373808718e+00 1.444743948937218803e-01
1.145440126253137958e+00 3.666282341492155705e+00 4.194538172512994656e+00 1.395716773865749438e-01
9.568101473348398223e-01 5.154524732676074805e+00 4.200276312717791782e+00 2.402895728592489843e-01
6.123871695059527331e-01 4.612524672996378250e+00 3.972988863587620045e+00 2.844281362338151320e-01
9.713089286310356840e-01 4.589078016133016469e+00 4.177023422993398682e+00 5.841098515717169093e-02
8.203928806437795762e-01 6.721146707842861723e+00 3.992005327773260781e+00 1.472079365861775901e-01
1.003505083120925567e+00 3.601075165400455358e+00 4.168303880811503603e+00 1.776037278031797062e-01
8.963276033971643297e-01 4.255957255250005566e+00 4.395407332366622732e+00 1.458257780141747617e-01
9.694980058209226037e-01 5.470449019578274452e+00 4.367721107950629289e+00 2.113300168600599216e-01
8.999817035071717708e-01 1.045316062927295775e+01 4.179385833644194470e+00 1.053698790923606465e-01
9.260452531359900652e-01 4.297268356526060096e+00 4.159631965377659668e+00 9.575143277690205401e-02
1.509484265743605613e+00 4.211013234381583814e+00 4.319410770496911134e+00 9.741404009831390598e-02
7.614069169483665966e-01 3.677227870069261328e+00 4.314114335274802592e+00 1.106223576830260014e-01
1.341697515319026035e+00 4.388201218636391232e+00 4.203476969367142324e+00 1.324388375576289467e-01
8.123694339845122236e-01 4.412424212486612873e+00 3.962877495536964112e+00 3.832403133257578087e-01
1.022321260220110384e+00 5.828511645146896569e+00 4.454577422653025920e+00 8.863656331170619018e-02
1.691110611810673792e+00 4.765523867573872252e+00 4.149858237569538311e+00 9.959726300694243806e-02
6.861630375085393529e-01 8.647192557398001966e+00 3.902524826237212086e+00 1.919809335091958724e-01
1.157742703065792966e+00 5.256327702145972225e+00 4.500088100228365917e+00 1.678950177634828123e-01
1.468890900275609868e+00 6.079814284379493117e+00 3.843550534658987328e+00 2.624960194745403208e-01
8.477497443873712735e-01 2.857680665277095411e+00 4.382659867114676366e+00 1.575905324419472620e-01
