# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.029907382361047397e+00 3.987949173985841256e+00 4.742275265401288742e+00 5.783308223026352446e-02
1.393494409195645156e+00 5.440349921095349650e+00 4.688276528832704848e+00 2.721310876433389314e-01
1.695925958822847912e+00 4.342278372313453261e+00 4.602547161439799694e+00 1.070721316650787430e-01
1.352945003726383710e+00 1.190493553229099533e+01 4.779542275774464777e+00 3.245084784581737103e-01
1.231791272880281118e+00 9.836293678735547275e+00 4.573863626980715580e+00 1.408226420891190989e-01
1.376595955666594762e+00 1.332076321147966524e+01 4.721708372727859704e+00 2.251164981414753019e-01
1.426983729085843589e+00 9.509064833512942627e+00 4.635019508500860752e+00 1.122058878270736360e-01
1.312881641365153618e+00 5.503923167221513424e+00 4.745981951854699510e+00 5.658700309938174966e-02
1.088537460348191876e+00 5.201895818557659368e+00 4.731417349565665731e+00 1.358756240317157693e-01
1.285937517956734277e+00 9.439340842214981819e+00 4.591046233998449466e+00 5.933490712699245051e-02
1.474673804122247134e+00 4.288680492229444141e+00 4.577515677597168597e+00 6.188440687947706353e-02
1.125174421873472497e+00 1.027615515762055942e+01 5.047813347186322019e+00 2.181782392935601167e-01
1.155657621707505189e+00 6.369226333123918948e+00 4.535877989649049979e+00 1.165837227650572683e-01
1.447833704542141664e+00 9.453067880542576518e+00 4.511030704674170444e+00 1.106020717864600461e-01
1.441385723613747283e+00 1.197695262460027443e+01 4.859731808367167893e+00 1.747924694171580362e-01
1.764736633517092201e+00 8.869796409295485518e+00 4.617580206081512983e+00 1.051603704455000010e-01
1.103064666663447602e+00 7.608127280519986435e+00 4.606816892784782347e+00 1.467804941694011156e-01
1.486608590892867010e+00 6.597926850784867625e+00 4.592336407876138615e+00 1.729356137428729734e-01
1.457625563073202013e+00 2.961491997923833441e+00 4.582625514263952482e+00 5.858291738084552003e-02
1.334867900267329599e+00 7.840596601294089751e+00 4.782894815758568896e+00 8.522141944164832172e-02
1.202736004253633251e+00 4.100765027720358447e+00 4.744254469049153933e+00 7.751710983643525510e-02
1.273970959351554022e+00 1.059019852395585737e+01 4.620597429359794894e+00 6.321316261386325519e-02
1.480771370453501490e+00 7.487613974930892979e+00 4.760788866674036335e+00 2.244167183593102077e-01
1.393480451225400873e+00 6.399960982021334566e+00 4.725319194869689987e+00 1.447474843855772741e-01
