# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
9.243539440834480647e-01 6.514182804165973728e+00 5.901478438524704551e+00 1.457272955050570862e-01
1.061846677772867675e+00 5.973545174903399868e+00 5.793264240916913721e+00 1.434634271918710235e-01
1.287787575140725727e+00 3.665854437990725412e+00 5.679767644529674975e+00 4.573746910638803315e-02
9.303033339054853634e-01 3.493909285081695515e+00 5.714895097001287283e+00 1.127119369430204243e-01
1.144444781422384816e+00 5.704962798475471608e+00 5.624680342822687251e+00 8.365474390175844932e-02
1.026837600297008546e+00 4.702902011697936757e+00 5.704001663906726804e+00 1.096215058294180700e-01
9.331178641332400492e-01 5.725784242264918333e+00 5.526577946070436731e+00 3.937568516688875336e-02
1.063076295445001929e+00 5.643984243232236686e+00 5.704214206222442130e+00 1.383422712437303859e-01
1.239141071449691323e+00 5.652176718406306755e+00 5.693486498588311129e+00 1.243182662165061292e-01
1.300659748792078352e+00 6.600146075188474626e+00 5.579967129849009666e+00 8.656497695104548029e-02
1.025357980913330858e+00 4.881868291067648968e+00 5.629231728491458142e+00 6.398506913303957100e-02
9.728537314744176712e-01 6.749263579849572814e+00 5.695858950163483314e+00 1.119196837333335248e-01
1.357213511579726584e+00 5.074201729971478336e+00 5.842702929678585733e+00 1.483147652932719773e-01
9.295688903776463397e-01 9.426923678182548727e+00 5.719407891320602566e+00 4.442339306763995466e-02
1.059448653481370295e+00 4.369153762024335919e+00 5.746155892057124071e+00 9.859420572398272520e-02
8.823628051328296085e-01 7.382006332381893188e+00 5.547259930485243906e+00 9.968529124152300525e-02
1.201841271075223094e+00 8.879788789004097183e+00 5.672585435195832915e+00 2.179042377012514742e-01
8.974395553459186825e-01 7.666703659185096775e+00 5.522973890476722048e+00 1.144398345796406313e-01
1.046370166605224084e+00 2.868439443375685016e+00 5.666325267077449546e+00 1.878448687744578016e-01
9.636852225082731538e-01 5.213068950558163550e+00 5.651718058766801001e+00 4.014007916820269695e-02
1.047090259044269001e+00 4.589180607473376305e+00 5.655608929267024187e+00 8.198291250927169926e-02
1.201191275270738545e+00 5.076283960693686481e+00 5.551414233775244789e+00 1.148967474486654039e-01
9.704252748147166319e-01 9.333063748034904350e+00 5.459817635499152111e+00 2.341740066482694005e-01
1.160740202240540642e+00 4.699178275966566787e+00 5.611371208472180960e+00 5.158618202625259858e-02
8.829662823485042722e-01 3.886494640530866462e+00 5.573768983035240154e+00 4.343118748488953434e-02
1.034315224177578818e+00 6.987514484383785529e+00 5.761313393568206820e+00 3.252273656356738374e-02
1.072599650149113959e+00 5.164327581345789397e+00 5.696834599702792268e+00 1.737656817337695225e-01
1.374741143028512802e+00 4.256521839101664817e+00 5.637533211720990423e+00 6.967513358839041993e-02
1.128195281288196572e+00 3.676092364443331206e+00 5.569548774972748362e+00 9.330007557085701064e-02
9.465538636671722017e-01 1.081265372958319482e+01 5.887664519594607349e+00 9.380900808905348609e-02
6.799569476249898159e-01 3.727481713819610576e+00 5.391535266169538154e+00 8.079651449278257846e-02
9.783234304355160615e-01 3.639897352515208961e+00 5.550222311799585029e+00 8.987433666695895940e-02
7.744634072006387759e-01 7.394437768992157878e+00 6.201894101854616537e+00 1.908797135765910591e-01
1.305845586545656856e+00 5.007976529457099701e+00 5.563137617064745299e+00 1.571305984721614313e-01
8.893091399663600738e-01 5.157001740806163248e+00 5.545602663202756410e+00 1.851204781004704703e-01
1.029018337352517909e+00 6.000207225315913995e+00 5.506186066385949651e+00 1.423711223566700990e-01
8.355151463531960143e-01 8.734928166295567564e+00 5.582022719974595759e+00 2.111815996057123945e-01
1.502385827571252275e+00 5.142267543256256346e+00 5.639186559170458857e+00 9.364174841922338899e-02
4.633008211584227487e-01 3.071053835076488436e+00 5.471927231457836882e+00 3.919927575383631568e-01
1.065459747833856108e+00 4.590766529274128871e+00 5.718626001271093884e+00 5.098605326388561815e-02
9.294974875242867363e-01 4.448730028934047454e+00 5.661719040059011832e+00 4.084912498023938326e-02
1.040381581924976651e+00 7.555538889985194295e+00 5.726896082091102791e+00 4.146863278306102407e-02
1.037419840539416160e+00 6.885485361829085882e+00 5.470425223777793278e+00 1.064980526968510310e-01
1.001632368340120260e+00 4.807167289731337334e+00 5.760887053432421467e+00 1.114989912145075979e-01
8.973874851067322744e-01 5.727527004362475083e+00 5.763889841891580268e+00 7.091349449467547472e-02
9.959367879578399085e-01 4.015667698260221741e+00 5.729281448077673033e+00 6.897062896684473532e-02
1.115423837869346846e+00 5.646789108573315730e+00 5.776430214089098847e+00 1.027052353509596422e-01
7.501284557113347962e-01 4.407141314391962439e+00 5.661854083243563984e+00 7.546620615144188082e-02
8.156736142494135366e-01 4.340080058266319263e+00 5.535195950787320740e+00 8.440748242021538228e-02
1.062441244535437423e+00 5.572809385549085448e+00 5.699381134514847957e+00 6.595578215825916024e-02
1.137529774021710738e+00 3.639849318822454993e+00 5.566995234299227491e+00 4.982109193013049830e-02
1.260461762074262193e+00 4.281042155985227637e+00 5.746227758399318652e+00 3.017676826742816953e-02
1.488475599053317611e+00 3.552398164752058385e+00 5.746177816941125727e+00 1.070308065881595411e-01
1.002304671105870293e+00 9.214093624958398010e+00 5.557334483087815080e+00 1.535600478244357470e-01
6.959076686774408049e-01 3.781216246027512717e+00 5.530012911256409147e+00 8.933638935871379694e-02
1.329398377317176694e+00 3.426553946812141316e+00 5.682535685596596053e+00 8.910370242514821515e-02
1.408046690354104014e+00 3.737493854238088886e+00 5.659495469640123844e+00 1.243798939084802824e-01
8.006305643822250184e-01 4.812533262113642962e+00 5.590533564299215108e+00 5.418772452517672811e-02
1.122458369515649146e+00 5.530992652674385113e+00 5.654378718307044416e+00 4.065244919308884375e-02
8.055486210447887485e-01 7.069711196701519818e+00 5.740806138565956118e+00 1.732712095012159670e-01
7.708518085023416955e-01 8.383205299185780390e+00 5.620190755797988658e+00 8.485595498808602699e-02
1.101181798759831576e+00 6.075444999597610973e+00 5.710913394475064742e+00 6.004649909418732778e-02
1.009957104981677345e+00 5.555856893510283001e+00 5.641825925943273923e+00 8.117105935796854743e-02
1.115053409596746148e+00 3.938254930106555918e+00 5.596349573585737147e+00 5.967959275651401468e-02
1.050037292388014576e+00 5.148689652246725146e+00 5.625984435192648014e+00 1.454030799128686047e-01
1.289000509129609062e+00 2.741230725175972438e+00 5.656317062353622305e+00 1.135795774336716968e-01
9.972333968922323377e-01 5.270056862771558492e+00 5.654139867015215870e+00 4.890281990279663621e-02
8.767553370090641618e-01 8.902860636785788984e+00 5.614059343812829006e+00 3.709180448741776492e-02
9.925656030460546786e-01 4.336207279335758891e+00 5.616194823320826757e+00 6.310585708647727110e-02
1.016269259953129778e+00 6.352749459794679865e+00 5.664143087233352247e+00 8.032068379306026018e-02
1.083850588152013072e+00 6.382275912050086930e+00 5.723387339203062751e+00 6.693795001723326643e-02
8.664118180729020180e-01 4.917424698128619376e+00 5.852592930404953542e+00 5.552923174474858753e-02
8.321853975277412330e-01 4.950349087874930554e+00 5.717238267701359788e+00 3.018691875676761116e-01
1.092747899329706396e+00 5.432538236031268397e+00 5.318344021302752189e+00 1.944425984303130850e-01
1.060580909198027832e+00 5.957846151653079403e+00 5.689963209892365370e+00 1.728906694456611159e-01
9.391616666767379495e-01 4.376303473337225469e+00 5.663222451462857521e+00 4.203236122432547212e-02
1.288910791755305985e+00 7.577737461437531685e+00 5.672565836735643963e+00 3.441369089299706890e-02
1.103707082320824151e+00 5.553131773932163284e+00 5.690290540618334170e+00 8.707845788018300781e-02
6.345517727583513956e-01 4.528460699293151315e+00 5.613020356469077932e+00 7.464243324782068867e-02
9.123686268419707313e-01 7.193383908879310340e+00 5.661283704498446312e+00 4.879401148282667966e-02
1.568092117071898439e+00 2.647357807669703078e+00 5.730546531217118655e+00 1.287118018986364854e-01
1.186349390735621512e+00 5.737798371286576327e+00 5.611580748401864049e+00 5.289241743324339662e-02
1.242182934863730548e+00 4.810008134881625708e+00 5.651210290883432741e+00 9.206252587862075176e-02
1.303718940272740490e+00 3.902645004877469237e+00 5.663228566666369979e+00 5.680281967263143411e-02
8.259694989867003567e-01 4.987006348856684035e+00 5.637029282698970967e+00 3.293264287746424518e-02
1.319665871083727904e+00 1.219697899264545704e+01 5.936832090546885432e+00 1.359017543569411846e-01
9.322562105663179111e-01 3.876932108832766399e+00 5.909862107063913683e+00 1.299442322751807599e-01
1.001722309569685443e+00 3.884962905991763193e+00 5.648790763861947006e+00 5.296136357753902790e-02
9.611667029416552932e-01 5.185395436575534589e+00 5.639977875971107224e+00 1.241927756516045533e-01
8.339171455634560859e-01 3.909160779390200791e+00 5.680314548951258757e+00 1.235221362217294727e-01
7.655786777250178643e-01 3.738356149577514387e+00 5.781572661435570915e+00 2.281013725088666122e-01
1.025928876003365353e+00 9.301257797257751037e+00 5.757876016702108579e+00 3.520400327084140246e-02
1.748610792549328607e+00 3.277054812818108509e+00 5.741253485803344603e+00 4.163976811402970990e-02
1.194221506548855727e+00 8.515623381913343337e+00 5.778313471283617275e+00 6.188390128031084902e-02
9.784190609899359181e-01 5.177990433959406502e+00 5.570484098536849338e+00 9.628905346450496172e-02
9.015477871058118486e-01 4.277400815361432684e+00 5.780697994289305086e+00 2.157761048223692107e-02
1.009680703729808116e+00 6.422115621332203261e+00 5.571887680699295409e+00 5.273644298554637511e-02
1.299730833664457297e+00 5.672820789040648570e+00 5.761492624770146342e+00 4.535298219773510608e-02
1.296399244383583227e+00 7.532658182579907269e+00 5.663254466606939097e+00 2.703758926515123506e-02
8.164570022465911237e-01 5.087775281948794692e+00 5.598717467589679586e+00 5.908929725373265884e-02
1.347203940837051306e+00 3.762696852235804634e+00 5.618539734734686597e+00 1.126776661204996338e-01
9.571513071166114495e-01 8.211125200883518716e+00 5.831063013893623470e+00 1.537424652839236017e-01
1.030660050595783472e+00 4.782743446213314265e+00 5.638395371167878700e+00 1.086616759344140731e-01
9.886351238986860190e-01 7.905511535700413539e+00 5.748155147209870641e+00 1.196224790162502549e-01
1.030558623915133420e+00 3.246615119519968840e+00 5.645317342534423410e+00 1.852270317334371030e-01
1.031164136891711491e+00 4.862798956568092024e+00 5.590992690105336393e+00 1.466474503841143362e-01
1.261726231680585730e+00 3.196533551228853298e+00 5.750230188772085249e+00 7.595176096272629462e-02
8.929405329952155856e-01 5.046552464225204204e+00 5.672119605564139633e+00 1.027173294490911493e-01
8.217975233122438716e-01 6.813439324733304048e+00 5.701273852387551244e+00 1.236643845503147265e-01
9.213587100240245853e-01 8.609627689307810527e+00 5.521933772111792038e+00 5.772332622556653609e-02
1.327739796290475560e+00 6.011532774052281702e+00 5.697699850774433195e+00 2.620410262116822792e-02
1.074367053436304564e+00 7.307321954638373640e+00 5.760746090289555532e+00 8.934781782327438915e-02
1.133704725261024393e+00 3.455431740433129839e+00 5.620343140864962450e+00 9.896876838065850335e-02
8.534284946106219794e-01 2.512958840702534502e+00 5.673650126153354734e+00 1.316398663966959481e-01
1.131998341945150477e+00 4.821871849530395160e+00 5.664005874030389798e+00 7.807787608119630407e-02
9.411585739208150336e-01 4.032257948612015142e+00 5.598864306832412652e+00 9.396999045888512758e-02
9.192399193171451044e-01 8.461856845900371127e+00 5.425104526872397415e+00 1.453703234532569277e-01
