# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
9.514708059142259478e-01 6.889300826505244224e+00 -9.332787507444341157e-01 3.728942579357410469e-01
1.810401289236709621e+00 5.925615679157878013e+00 4.491685226544195331e+00 7.464930883826088881e-02
7.541560729660430340e-01 4.998332896767866629e+00 2.583915314859935197e+00 2.597877379570455725e-01
1.192747030031518163e+00 2.959576761109137255e+00 -1.475149359897953705e-01 2.650940600273818948e-01
1.805661425382043550e+00 3.310458515783219813e+00 4.761128963602233810e+00 4.461901961292054630e-01
8.726234856917537419e-01 7.139274108750411685e+00 4.258598030105989807e+00 1.549884582836031366e-01
6.726350627614253730e-01 4.233982798545508963e+00 2.163035395170091579e+00 2.574723810356865372e-01
1.412887339974408629e+00 4.821287604005513927e+00 2.170028867331387445e+00 1.895639008299133121e-01
2.325717804043847092e+00 8.283427756267789377e+00 6.218140656825521528e-01 1.086536263978556127e-01
1.530097061206077358e+00 8.575727725161357284e+00 5.463241399477560378e+00 3.813971491034361949e-01
6.342462134688685582e-01 4.423872394560545374e+00 -4.762334555114828838e-01 2.167665020474477677e-01
6.128550253925997282e-01 6.010420785196332716e+00 7.579722583521075752e-03 9.618300811069237233e-02
2.484455387533467619e+00 6.000350606878465776e+00 -9.045330654097464285e-01 3.184021639372421886e-01
1.574464833508409933e+00 4.362181552719615496e+00 1.163671707230325980e+00 2.143892076261761648e-01
1.535391675225382002e+00 5.440766223838649829e+00 -1.044927465753297646e+00 2.191836262522708356e-01
6.476373916609505788e-01 4.499248447252933047e+00 4.139269178150543738e+00 1.302506467065272788e-01
2.026476893037713278e+00 5.090305874241962236e+00 -3.685437418105186325e-01 7.037256731986063496e-02
1.813595736875416531e+00 6.583200139011500696e+00 1.475496920226214925e+00 2.862395688288638662e-01
1.617680467876633443e+00 5.850636902064079159e+00 4.621881126521801164e+00 4.075191273767163613e-01
3.367456311281374681e+00 7.677620475704517666e+00 4.181699041621396162e+00 1.428038649068750221e-01
2.124139182316670649e+00 9.046487421772468451e+00 -4.674204912909518672e-02 1.686368127528218575e-01
1.995736365416900471e+00 3.450214405959076469e+00 4.213093660020257758e+00 3.495828954963822732e-01
1.979414813573155740e+00 7.341378868868049246e+00 1.886793349622941873e+00 8.096411249222432160e-02
2.774265018048698295e+00 5.003279285777211705e+00 1.159574576775701527e+00 2.243853411570439493e-01
2.259375232510225207e+00 7.953552010483208257e+00 1.908298184202624981e+00 1.857042190038431240e-01
2.204300861319913984e+00 6.295572629586278168e+00 4.470672487299882647e+00 1.926067697432359005e-01
2.205773997187010060e+00 4.700082828383664868e+00 -3.829459805475839973e-01 3.569874830595661241e-01
8.834208549685694800e-01 4.736793741755926490e+00 1.435063342511788687e-02 2.432892267376323692e-01
2.514463758280933714e+00 3.053407299872100467e+00 5.084756084152861622e-01 1.695489005231438084e-01
2.092082016575043557e+00 6.570910881873571974e+00 1.305581642833193889e+00 1.233341414258599666e-01
1.403238944913679287e+00 7.144967349194401685e+00 9.390652841401457840e-01 3.417531461039608476e-01
2.037794293097719756e+00 3.810540730010547605e+00 3.848146533059566998e+00 2.260917386623328695e-01
2.330334543026809868e+00 3.580317142665275565e+00 2.931143176404439998e+00 9.442939395347313414e-02
1.704681446973312031e+00 1.156722298005323069e+01 4.183838689300215741e+00 2.904092472827944360e-01
2.322725053886323554e+00 7.090198145231211058e+00 -7.734845764642935828e-01 1.561388097377074125e-01
1.144844271479082742e+00 2.951325352735506335e+00 -1.485357585747207221e+00 4.013658444786984414e-01
2.162006551620195172e+00 3.011269979195509539e+00 3.347745971822872146e+00 3.110350035764057886e-01
1.901750901783629821e+00 5.840544457011882074e+00 3.056318682755978955e+00 2.170924523451359944e-01
2.242999142787970079e+00 3.974413694686955267e+00 2.538847033822270838e+00 1.866778239336793765e-01
1.319914443522842484e+00 5.374407470857480718e+00 -1.365203586982246753e+00 1.045434995193440103e-01
9.112287511171768273e-01 8.176020502012736557e+00 2.536826364241328680e+00 1.759019602600992160e-01
2.514768072933432741e+00 4.941392081783901880e+00 1.083916153410838801e+00 2.174650738009910045e-01
1.563619465444034740e+00 5.389368578888571903e+00 -3.093957051493064214e-01 1.478850813225403849e-01
4.235626842903084111e+00 5.212974949482989118e+00 1.593649039065448525e+00 4.282196543958369239e-01
7.914116866736122802e-01 4.093691996040242032e+00 -4.330587796070499707e-01 1.888019451685320760e-01
2.413062071114554730e+00 3.095299161177009317e+00 3.282846709276149078e+00 4.568870046388574802e-02
1.220793865368370090e+00 4.018731657808005231e+00 -1.600872258526288672e+00 1.204124383029989143e-01
6.009233905789834740e-01 7.125840768781446677e+00 2.629342911228722546e-01 6.689346386366663566e-01
1.804075031435416143e+00 6.793673030825813086e+00 -9.029193649130462518e-03 1.167740123165360577e-01
2.617265174757152035e+00 4.388978423517925442e+00 5.124110466742555658e+00 1.760273296363836226e-01
8.677814378317617594e-01 7.567921043950817328e+00 1.812149188031080271e+00 1.315385442212825828e-01
8.258134539910302330e-01 3.182642158942729615e+00 1.371575929054864584e-01 1.411804365737784062e-01
2.847986446365506907e+00 5.422412398602143746e+00 2.886968642970535015e+00 2.843821794152781024e-01
1.108010806383926905e+00 5.084578609878277256e+00 4.452268599446242980e+00 2.964104260138699098e-01
2.292334354192347767e+00 1.029046606779388640e+01 3.341125407816283310e+00 3.009721300674650379e-01
1.901412219025627959e+00 1.248200030051311238e+01 2.074582822845615904e-01 2.044181658937195001e-01
1.709912287778482476e+00 5.802836918154766543e+00 3.522783476964995941e+00 1.835280528582123871e-01
7.887683114405810159e-01 5.338901367177222745e+00 5.939560129198944161e-01 3.776936373315528672e-01
5.111317709969812606e-01 4.142388347135897320e+00 8.663563171250974193e-01 6.663476979526997135e-02
