# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.197260474123429175e+00 7.298338700544648283e+00 -1.082456288612041018e+00 7.345557518991747969e-02
1.317170546522210106e+00 7.312033813445453667e+00 -9.808778772643421684e-01 1.847473477351380122e-01
1.062332510411592601e+00 6.203499700008727302e+00 1.271803635307995561e+00 4.157661533481914473e-01
1.399844841493644632e+00 5.047079513352554336e+00 -1.530743833302753210e+00 1.376666860918397406e-01
8.329992669098651437e-01 3.896036204110331802e+00 -2.827760707345783331e-01 1.393489431737394146e-01
2.692981107316352762e+00 3.318987587328068312e+00 1.457482344985270961e+00 1.992028334743141393e-01
1.144220838850569688e+00 3.227236728608910976e+00 5.578810190299664740e+00 2.298109356333639108e-01
1.961446870383807273e+00 4.861657949381217314e+00 4.545425375549932423e-01 1.661951535722725193e-01
1.001419889977856581e+00 6.893982914446942445e+00 4.007072890135900067e+00 1.899464537485486548e-01
2.808167036059112665e+00 4.636587123699837498e+00 6.253784703094169561e-01 2.808842964517569984e-01
1.507232466703670060e+00 3.472806900673547581e+00 -1.849140173284671951e+00 9.101748492962279113e-02
2.547405611716816232e+00 4.114540249816182715e+00 5.672723380265895621e+00 4.315556092226120466e-01
3.209595982570011330e+00 7.372081704503997912e+00 1.761321188906166402e-01 4.093291651956352251e-01
6.808949957146341880e-01 9.372053867554592799e+00 1.826204428324907481e+00 1.698869144553963317e-01
2.141716986842943982e+00 6.585257681449110834e+00 4.684035606757087855e+00 1.377829164841742338e-01
1.153984783507261636e+00 5.889540176139231420e+00 7.047132333640454549e-01 1.978002725015879926e-01
1.910032165235335366e+00 3.704996158664965566e+00 2.152012225159129155e+00 3.225066992445748681e-01
1.262049886429764012e+00 6.624789788710428340e+00 -9.511683028350204072e-02 2.475114360389582546e-01
2.061400183652924767e+00 4.009966548664996466e+00 4.276084348139957747e+00 8.515322892312468528e-02
1.419449647863927577e+00 1.044848542584995954e+01 1.232754009346775037e+00 3.353210946599843867e-01
9.553383197273233041e-01 6.153634036987269518e+00 4.620524231496450085e+00 1.020155119241925035e-01
1.579942852979471679e+00 5.014369744049461453e+00 4.304884644850701214e+00 2.582743458402130821e-01
3.182774252969602813e+00 5.045158258381148286e+00 2.710071953351615992e+00 3.896588987814105232e-01
1.866538166340898641e+00 8.088729238020517798e+00 4.972486440951727538e+00 1.925025926654031494e-01
7.739898916383621819e-01 4.868304048254955774e+00 -1.372094772021939191e+00 1.530745852219662362e-01
7.061651988825359272e-01 5.396922658695135766e+00 4.137717945538128550e-01 2.407628174876662031e-01
2.438802158977679380e+00 3.370936931793530711e+00 3.825761721563239348e+00 1.187177464112534886e-01
1.061370944834001406e+00 5.384359309635950552e+00 3.785075007837604755e+00 2.694766109896190587e-01
1.237192116916901785e+00 1.170328993977722654e+01 1.799191369218458458e+00 2.805865173985025440e-01
9.149922518610793531e-01 6.133787372909067059e+00 3.835176421337689767e+00 1.718784993560711905e-01
1.667333672808097855e+00 4.736481082425853195e+00 -2.660017731049954537e-01 1.844091203306024718e-01
9.237359160560790761e-01 3.942828251561842023e+00 2.815677651858237596e+00 1.904930820464539876e-01
4.277901132315503618e-01 4.903459557142623382e+00 2.143399917554106970e+00 4.246229297660545909e-01
1.221665162999364451e+00 6.593245021027623665e+00 5.788120145028402774e+00 8.455722358296348384e-02
1.196259995040666713e+00 4.751716037628956890e+00 -1.486549822959112088e+00 5.545947948283266871e-02
6.826107601744810793e-01 6.707002154877116595e+00 -8.894318902285481832e-01 1.417889105827255802e-01
7.296226244834318475e-01 7.166333262943014759e+00 4.395110014539597820e+00 1.060332452956742888e-01
2.110691971125127075e+00 5.608444847058457583e+00 3.947953861951452481e+00 1.109904970422596199e-01
1.404888878163209620e+00 8.284606156628699480e+00 1.282370398939160383e+00 4.162653354369397762e-01
1.831224021667897217e+00 4.237367793988681797e+00 -1.284133583044362759e+00 1.371728234523668932e-01
1.124904668547459741e+00 7.431384748754542358e+00 2.975015818057147321e+00 1.215182888770196395e-01
2.650612126217421149e+00 6.922700320138865493e+00 3.004464218666275777e+00 1.008995983212470360e-01
1.023751784451891744e+00 3.363375916309925273e+00 -1.850300257827040828e-02 1.124092615437399523e-01
1.110578926999381544e+00 5.581377766086423442e+00 1.128115683373478451e-01 3.328347974339988524e-01
1.122199629933974485e+00 5.313593761979929830e+00 3.913145119096483882e+00 2.351571716859993111e-01
6.367630431747808295e-01 3.706402516154255977e+00 3.817206082552483615e+00 1.997045994940332414e-01
1.923050444041829010e+00 5.290640451667062649e+00 6.571053500200729758e-01 5.151862906639638195e-01
8.155202229204306930e-01 4.544168600773374145e+00 1.819970499976155898e+00 1.870224967840962149e-01
1.099448246471999902e+00 3.395472041300030330e+00 3.780413741511411629e+00 4.863380287540828850e-01
3.591548000369034543e+00 6.686110429497992058e+00 3.990310408637409156e-01 1.263500019322102985e-01
3.151358751306905681e+00 7.081269358876201458e+00 8.551910805094756762e-01 4.224438450489935160e-01
2.169381789323284071e+00 7.161031634981148919e+00 3.068983927981435045e+00 2.772064215258215336e-01
7.425634556929197050e-01 7.110623468421247928e+00 3.413474355057413145e-01 1.199004925679186817e-01
6.039042848763570559e-01 7.242299503487030776e+00 2.100108213308789384e+00 1.929626424188320699e-01
1.358773713120745574e+00 5.518530911521587257e+00 -9.850252094547918835e-01 3.518550455155408652e-01
1.504910345390467530e+00 5.013158898052568091e+00 1.336052069941525255e+00 2.362165479822300462e-01
1.570091738892758437e+00 5.256451363759378381e+00 1.276911512903817991e+00 9.954309821310894368e-02
1.703584725812555378e+00 3.991312412555054312e+00 2.695557279329816147e+00 3.058565438838505290e-01
2.068358873976807732e+00 6.708374888976872619e+00 2.763292263488729805e+00 1.499981656422052501e-01
1.478351861798499201e+00 1.090641060824626152e+01 4.333825535975618592e+00 5.281504436990536178e-01
1.509491624514419206e+00 8.585704798776845337e+00 2.442197730648133502e-01 1.976153490918944877e-01
3.123563162933578941e+00 4.892316607849698684e+00 1.836894534740042939e+00 1.696557177915149761e-01
1.038337222647358393e+00 6.197032332778899644e+00 2.528491299356371957e+00 2.725759390041320729e-01
1.378480263538593986e+00 2.423980445562591957e+00 3.854613517724047256e+00 2.238890964744528200e-01
3.740203103763501957e+00 7.806723393248049980e+00 -1.114271746223249204e+00 1.768172845054464537e-01
2.167157167125879802e+00 7.423654848273347540e+00 5.046942415624009470e+00 1.332937591867031091e-01
1.304159218542656706e+00 2.969274142950073525e+00 -1.759876371546848839e+00 1.677908741163474104e-01
8.928365474214243758e-01 5.111573069890055443e+00 -5.268392777439246943e-01 1.858411346704924028e-01
2.348040999925548711e+00 8.004129802066909605e+00 6.440591033808131805e+00 1.624755488452862273e-01
1.492933534901547121e+00 6.834563061832302111e+00 6.566416604726792450e-01 1.604919829239185303e-01
1.889806212726423240e+00 4.259026064811758161e+00 3.257428758598890806e+00 3.088738730638156404e-01
2.019110261103084891e+00 4.263032563092867377e+00 3.494223806233710539e-01 3.206297795302529008e-01
1.897880716303667503e+00 3.055478377510873145e+00 3.091419150360343870e+00 3.325312023395726735e-01
1.995433971425126130e+00 5.305684788320771617e+00 4.757447737733264681e+00 9.050326846961062599e-02
