# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.001399924263218999e+00 4.958120697669306409e+00 3.307091739874981950e+00 2.115507886595146547e-01
1.711343980032899115e+00 6.449376690338472606e+00 5.852383602289568110e+00 8.032363115640654694e-02
1.691805310785458705e+00 5.840872541975437038e+00 4.686620765277567990e+00 1.634769766098551069e-01
2.733022753671697114e+00 3.792544142982737121e+00 1.944479684050722579e+00 2.465288424352920227e-01
3.434180147357537294e-01 7.566572613125835289e+00 2.812772449342999082e+00 1.896130102434588904e-01
9.458280584934345425e-01 2.780835586284783112e+00 -1.308883541392029670e+00 1.308455553537192506e-01
6.773825184183234205e-01 3.223882771436043626e+00 -4.556703932229098086e-01 1.337419885775086303e-01
1.592728008372223281e+00 4.263762208325442060e+00 -3.162221708398278430e-01 2.131996908202064833e-01
8.760874777477574149e-01 4.909145421961845557e+00 1.551304184509963990e+00 1.882866228762886396e-01
1.445108002055050633e+00 4.155034657476107895e+00 2.947049472816392068e+00 1.056862089285030976e-01
1.775715872161805597e+00 3.680372751318178537e+00 3.811593907140931492e+00 1.644731618234953341e-01
1.600814912832344339e+00 4.304850407549849933e+00 -1.562652830004010340e+00 1.829414690461312887e-01
2.038653024462911745e+00 1.087965152647344880e+01 2.147435181306790231e+00 1.449347260309328533e-01
1.124106154687226855e+00 5.844855760443220305e+00 6.213478463464803703e+00 6.341306725325074334e-02
3.661549056990215378e-01 7.240610133533595061e+00 -3.739222644844177879e-01 1.091662935881415053e-01
1.764616240173109141e+00 2.493651141982327069e+00 2.003260826552018425e+00 2.817679108037094426e-01
2.410506102974911524e+00 6.097015592875333567e+00 2.455460276052970903e-01 1.508996953695817267e-01
1.524015329392291340e+00 9.336174820354239401e+00 3.327367425145253854e+00 5.120042010044942304e-02
1.349617889319958852e+00 6.273164464085575709e+00 6.171844834320259210e+00 1.990560194741224365e-01
1.850789327275090601e+00 7.273733533163023957e+00 4.375831850534606104e+00 1.439739020983090145e-01
9.165286885402553763e-01 5.817797528160577158e+00 5.512446723225640000e+00 8.192970602413721104e-02
1.808581446630370682e+00 6.252975973660598541e+00 -1.643189205336289316e+00 3.350087020150616102e-01
1.749446734441423068e+00 6.391509430873997033e+00 -3.304327069613681722e-01 1.588819764390385081e-01
1.010822805030155314e+00 4.377293222854873100e+00 3.991064005436711359e-01 8.321910825564700354e-02
9.355875559894824001e-01 5.760603160009739376e+00 -1.306408968959614114e+00 2.061316439491742425e-01
1.449962406197742970e+00 5.568580461814473637e+00 2.590389274465905167e+00 1.428557088330085489e-01
1.340812618768897346e+00 4.820135523754302653e+00 1.369468688612476059e+00 9.047382382265056755e-02
1.162535794604300010e+00 4.840661500582054799e+00 2.900477001389416110e+00 1.887775607542110379e-01
4.735978759689613016e-01 3.075548900023384213e+00 3.502112108609621188e+00 2.322422172351971958e-01
1.349198655157452409e+00 5.109207295772779212e+00 -1.040989280071944467e-01 1.632117530095177349e-01
1.620026960341781397e+00 4.766994994512863570e+00 6.389209251662142375e-01 3.997146519497748463e-01
5.099448729051480056e-01 6.195552283066123600e+00 1.609080591917846359e-01 3.274414963001389678e-01
1.658878216967872854e+00 3.621613034298646117e+00 6.048790810682193708e+00 2.063975620579174275e-01
1.001077987451345130e+00 6.055573646676867483e+00 5.693114721894135144e+00 3.426008234100047511e-01
1.604312831713574639e+00 2.357578597926902386e+00 3.531718641846273155e+00 2.260993907958163962e-01
1.676072094774597288e+00 5.774167043459521587e+00 3.046722301642822650e+00 2.402247236005592423e-01
7.212281340419290920e-01 2.330880501018439244e+00 4.373732590493963457e+00 1.212033899255933606e-01
1.438634327869587004e+00 7.370642256029337425e+00 4.660804745066083221e+00 1.612530029910971829e-01
8.658141459983883514e-01 6.353066544538521043e+00 -2.443759217990134625e-01 3.417664764222422269e-01
1.328825779321792577e+00 4.420116724889565418e+00 2.823881034039537052e+00 7.725748027137119278e-02
1.077846421858205561e+00 5.602098868864304748e+00 5.341656613047856439e+00 3.282787727497317176e-01
7.625741204381641936e-01 3.525772553792675179e+00 4.712535354765767792e+00 2.886095774225900801e-01
2.545321526268384371e+00 4.150288079675731545e+00 6.015672051505013940e+00 2.502505816558859841e-01
1.279074910507173479e+00 5.930411664878438849e+00 4.867013707742462891e+00 4.482891061604041272e-01
2.048124437135382170e+00 8.503099841715590301e+00 4.879322967775792108e+00 7.094260066712926305e-02
1.077852543607465741e+00 3.779421225198361878e+00 5.799995906950126567e+00 2.238126755270608004e-01
3.729932363405395357e+00 8.470932048716449003e+00 -1.467679144110620060e+00 2.031838889016669980e-01
1.258240079664586730e+00 5.058453430398532014e+00 4.360357004229984845e+00 3.906382570380945857e-02
2.281056019553916681e+00 1.017622999414464147e+01 4.138095095549401137e+00 7.817873840520467299e-02
8.911934750617971357e-01 7.160679218993131201e+00 -1.802164343971107918e+00 1.607744143942320958e-01
1.293570287835508648e+00 5.093632112506243814e+00 -6.779798374665494398e-01 1.412846496254738238e-01
3.026177381662775723e+00 5.688226440563819430e+00 -9.508067307007950220e-02 9.814072216575966956e-02
2.090528465012391202e+00 6.959243821193366486e+00 -1.535416656219506848e+00 2.603899882800927434e-01
5.121125715988219529e-01 3.117102673429079651e+00 4.530473326329038208e+00 8.336652178728315432e-02
1.242083363236565541e+00 3.733000451909046724e+00 1.233803884568027254e+00 1.832292470992831768e-01
1.120015852289063085e+00 9.457211812033349929e+00 1.298620852998569219e+00 3.159772800689811811e-01
1.439289954984000142e+00 6.569473668286921253e+00 3.882882130606329696e+00 2.026443482603847435e-01
1.487923163899480761e+00 4.264546828826111913e+00 -5.037766442369329134e-01 3.394613498799682327e-01
7.800216795965280170e-01 7.806479042229089060e+00 1.767674724282894516e+00 4.940216383631819419e-02
6.255600669347813891e-01 3.958232451267485796e+00 3.228534999928970528e+00 9.307802096980175022e-02
4.479339374252991335e-01 4.938551634135317059e+00 4.823727613155467608e+00 1.755435382604308980e-01
3.614888770922772832e+00 1.282725059881869001e+01 3.692094002211865789e+00 2.512493880549459546e-01
3.969484130065843441e-01 5.464785881886632168e+00 4.617953495269518704e+00 2.743860039538530415e-01
1.468505004467776320e+00 6.457977758015662317e+00 3.053767419044778997e+00 3.365321290604628701e-01
1.182756622389438572e+00 4.171110714002809416e+00 2.760051046618957393e+00 2.222902655002433059e-01
1.092728672715117089e+00 8.818610574021917614e+00 1.321752910209119669e+00 3.376261441319972634e-01
8.968871531989265344e-01 5.410262889035405642e+00 2.949680243024107362e+00 3.847016674732877672e-01
6.759700043841070372e-01 8.081296565836948886e+00 4.173615988801436139e+00 1.697442861151456373e-01
1.301251649877197103e+00 5.410304847730199818e+00 3.792825249056446246e-01 2.374694507319575487e-01
8.749789803785972264e-01 4.562577687480315447e+00 5.334823651310707682e+00 2.900427541908808249e-01
9.668369796655101878e-01 3.998274087971605439e+00 4.663399326761300756e+00 1.992284341413965987e-01
1.929689623906519991e+00 8.264442214290227184e+00 3.881455133338725272e+00 1.471670847790099157e-01
1.465051466268575187e+00 3.118590742317469466e+00 -3.689887905093240938e-01 1.916717535344206469e-01
6.083198314400947160e-01 3.359354919520763261e+00 2.625258927682180499e+00 4.667141404417827211e-01
9.480394386817390107e-01 6.883983287357874126e+00 5.153982914783560076e+00 1.609093165834322436e-01
2.604135220256775796e+00 1.069637976652350631e+01 9.933534934091716728e-01 2.052039516461144908e-01
2.665899528547646113e+00 5.275243626381701745e+00 2.303204601164153598e+00 3.515589237867147165e-01
1.517709918698768368e+00 6.622156858387343803e+00 6.396796600228864982e+00 1.967247257483390188e-01
8.660203911330305315e-01 6.326165333719449002e+00 4.677566349381684141e+00 3.727084669569757369e-01
1.819215312206929891e+00 6.252673602917496076e+00 -3.790306733738288969e-01 4.990837307619734320e-01
1.177830436886061261e+00 7.855928474008546658e+00 3.220802712818841229e+00 1.909726248156020378e-01
7.682603252825979112e-01 3.217003528726215755e+00 4.965088380730048101e+00 1.541153027972047285e-01
1.596938267424644176e+00 5.616672259332554873e+00 3.215681850875931058e+00 9.636049738411563148e-02
1.998058787506597156e+00 3.845680015016983866e+00 5.079595436864463132e+00 3.813117159170359427e-01
9.942266327756349442e-01 6.272829938046407428e+00 5.341485862886917069e+00 9.647756877289898059e-02
1.359984742771086941e+00 3.961110675992092212e+00 4.825976519078652771e+00 1.552218365509765441e-01
1.390884799941250360e+00 5.826431396594156986e+00 3.418430847085918600e+00 1.200426847966652860e-01
1.725224299005724493e+00 6.008104070934223273e+00 6.030537123867698135e+00 1.679991742128600363e-01
1.984293780808777941e+00 5.352775997370544658e+00 5.261143174249184540e+00 2.703078120551422048e-01
1.317922287970455741e+00 3.727227754313489960e+00 8.517676779375064067e-01 3.431696099872646455e-01
1.084139880973124637e+00 3.601059332034905136e+00 5.812409036678697127e+00 8.303977626137998280e-02
2.951483034049821041e-01 4.162727467280903149e+00 7.537114038315884113e-01 7.343248671910643233e-02
2.027939924781083647e+00 1.046975825005483784e+01 4.524135361353321727e+00 2.827480738099018009e-01
2.118255737152297424e+00 4.204755368618305233e+00 -1.250869993452255802e+00 1.271721317027307563e-01
8.942435650927991198e-01 7.216140211068928778e+00 6.320721362569952539e+00 2.640264160688811645e-01
4.417299854027147421e-01 3.938050771089526503e+00 4.441891543063358760e-01 2.951170527026197865e-01
1.083068990778838669e+00 6.144373599891530091e+00 7.928675614782254577e-01 8.238778453289023751e-02
1.017001932047118418e+00 1.097016145705503831e+01 1.917176645094590848e+00 1.613649305766606812e-01
2.043098026039921855e+00 5.914635288676264757e+00 -6.907008382979491490e-01 7.795375577901891839e-02
7.776539644049196287e-01 3.090204421016402581e+00 5.233817855305090028e+00 2.473277171146138487e-01
1.113246210878742870e+00 4.391200417748042817e+00 5.598670995992780952e+00 1.878353789398340135e-01
1.598001731845033024e+00 4.141105222676814357e+00 -1.251983206210276256e+00 5.054300441052853032e-02
1.479055238229376013e+00 6.585559810511703915e+00 4.571560405085317136e+00 2.180090160297505353e-01
7.225645808188927433e-01 6.590688288117988236e+00 5.018985193171425330e+00 6.976944589572595112e-02
3.113939644898847448e+00 3.733603180088423290e+00 2.877781828828406940e+00 4.446430686180704028e-01
9.401970181762725476e-01 5.120355544520844404e+00 3.874552984990124571e+00 3.568296780314412220e-01
1.247256954164372544e+00 4.204306713099834170e+00 2.237153698552892145e+00 1.886753309547187230e-01
9.549063638924175645e-01 5.842214888980536536e+00 2.087728689838292517e+00 1.331974489088498526e-01
7.293849026620891074e-01 5.821920447539898902e+00 5.406452787533234883e+00 2.045466583540217209e-01
2.059040760542961479e+00 8.741822894350224971e+00 6.377961418762104095e+00 2.927242324927994965e-01
1.161365838769126135e+00 6.644130224618581160e+00 -2.088201583986063758e-01 1.218585951292333325e-01
9.895956599943357412e-01 4.701463317504373407e+00 -5.603775880541126408e-01 3.649329922197461773e-01
7.164587823710464320e-01 3.823541967594088486e+00 1.565649969684398846e+00 2.283582343169862916e-01
1.377710430831787125e+00 5.966381302875554127e+00 1.114512308167042942e+00 6.989515168288687463e-02
2.011864593651091049e+00 3.467817360760891532e+00 4.856206417579305712e-01 1.900702296481788234e-01
1.240685874078553130e+00 4.725767937006621011e+00 2.340298117186768945e+00 1.068825168316854951e-01
2.802466647929858112e+00 2.607400948268728591e+00 1.008497822796744048e+00 1.170414630093580544e-01
1.053276485568730880e+00 7.264559496795399696e+00 1.072293695814118930e+00 4.006499365499903709e-01
2.393361749073777300e+00 4.333846083771284441e+00 1.965069220660082827e+00 2.945598983033473894e-01
1.822940767623740133e+00 4.373553431051378837e+00 5.081714843622660460e+00 1.562290672266022085e-01
5.894552220938034104e-01 4.806329879854676079e+00 5.503034828378247312e+00 2.321817780720278890e-01
9.598056918554755956e-01 5.632959968665011807e+00 7.220260156768030235e-01 3.988073495287540737e-01
9.467142930018130897e-01 4.397330022558257667e+00 4.359814005577769436e+00 1.309941096242470959e-01
1.573005639996851501e+00 5.651753832395027821e+00 2.060053756314832452e+00 5.131340574217970602e-02
1.736483131609593666e+00 2.396564051362415793e+00 4.316279147867713162e-01 4.874785208639436651e-01
7.314614133096144499e-01 2.946563870078682257e+00 4.482068754709687575e+00 1.605136580904830412e-01
1.261940501429666961e+00 5.373167339431839551e+00 7.987736005961590946e-01 4.838276228756088759e-01
1.408319065269056258e+00 2.807711125853179723e+00 2.078392542901930984e+00 2.065410021591865541e-01
1.182792845490108880e+00 5.614355133041680546e+00 2.910277718150967807e+00 1.620861651806863868e-01
1.303749293120922470e+00 5.214013617205500495e+00 5.741953097052781452e+00 1.272470482951848780e-01
1.925822586706893880e+00 3.551728679257081023e+00 4.827861152994241678e-01 1.535482584891760260e-01
9.389398441176191046e-01 4.097878752885731224e+00 3.112974549495014731e+00 2.699568143969807710e-01
1.699985165824076327e+00 5.777820180773683312e+00 -1.169126261696422642e-01 1.832063397727997645e-01
1.602307599935664795e-01 9.112496498735003669e+00 -1.162673505505063432e+00 1.328230372632677458e-01
1.168772442935116507e+00 4.928244688525921902e+00 3.980480101708890661e+00 1.024072839409543023e-01
2.408375898473802401e+00 6.771450271560782497e+00 -7.808973434245356504e-01 2.250549793123102216e-01
7.974979269051138964e-01 5.181512263327580747e+00 1.099312761551168860e+00 6.002532752604106125e-01
