# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.676748444393632909e+00 5.928950619403969391e+00 2.426972583188639287e+00 4.595475858623377374e-01
6.658125066487886601e-01 5.696741650016954317e+00 4.168371845808544585e+00 9.637048812111514984e-02
4.820999677993771937e-01 2.616063774351907956e+00 9.996293283308210764e-01 2.422830857841805630e-01
6.475559154166968812e-01 4.486694416568752786e+00 2.925368335239918682e+00 3.218912510587801368e-01
6.188187216780038913e-01 8.774446639363144840e+00 5.441088376184919362e-01 2.226797430097213482e-01
2.480035805318833386e+00 5.335974239445203438e+00 -1.018170490570682984e+00 2.093071425172561006e-01
1.460424815453308378e+00 3.825126533969406051e+00 4.557206788310708689e-01 1.485682224992305456e-01
1.534276909113113652e+00 2.874371329126862662e+00 4.382686126016298367e+00 1.032455323229988231e-01
9.915531501407954806e-01 3.404233293009824024e+00 3.258234169814283376e+00 1.816601988997211259e-01
1.353703919012661183e+00 5.093503879297033521e+00 4.953206680344965918e+00 1.259930503191085960e-01
1.489895249413907941e+00 3.685781180409430924e+00 -9.061869261840057588e-01 2.728338310844788395e-01
1.740662536685382289e+00 3.049908586128647681e+00 -8.901957633686350402e-01 1.179796231730050604e-01
1.843927733296284455e+00 6.417951931194525450e+00 3.115415373921456066e+00 2.709535850070038387e-01
1.388041393131107526e+00 3.212441423227178738e+00 4.399135942365889562e+00 2.450685248641557845e-01
1.200615617256618473e+00 1.281020063160680955e+01 1.863691083596029419e+00 1.779639507234370699e-01
2.263529645529565038e+00 5.920965183668409182e+00 -9.442554234458905293e-02 1.470402647828835674e-01
1.976180803799513219e+00 4.233238183237803653e+00 3.732136338602085157e+00 3.888989601238836830e-02
1.056228228710025530e+00 4.884944714358920415e+00 6.513618724818481809e-03 1.570812186360465157e-01
1.538722203836392133e+00 5.122860765629598134e+00 3.574689083683187274e+00 2.876666126430475756e-02
9.322580485624047952e-01 4.565644756668961080e+00 2.819283931002869004e+00 2.896544108278229640e-02
2.194191478511309690e+00 8.851250391768981984e+00 6.120156068302361696e+00 2.962304042998674392e-02
1.473964888579856636e+00 2.762177271536527812e+00 1.255419284441363192e+00 9.081435717876831792e-02
1.281704586118034284e+00 5.837920263733974657e+00 1.778073369558315964e+00 2.526874256479040848e-01
1.784007742397824003e+00 4.234865138447458044e+00 -1.167726871621668439e+00 2.896969853968418551e-01
1.646222573320143656e+00 8.695388502690841293e+00 -1.099632821119563175e+00 1.285257461362814546e-01
8.919357968258345704e-01 2.967905596297578441e+00 2.773847462158453681e+00 1.911922188225682051e-01
9.281906712702258089e-01 3.037656967431081600e+00 3.917288402504524480e+00 9.575078804468231675e-02
2.280200976400991841e+00 7.569605584538294352e+00 4.562450726655275624e+00 1.292502455212986012e-01
1.169215873509684034e+00 3.999183193258098790e+00 4.240395629743940020e+00 2.487883194548849153e-01
