# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
9.022398547243714040e-01 5.406094240886081259e+00 -6.336562878211202676e-01 2.382040642177051804e-01
8.536186407055483816e-01 3.042588802331768427e+00 -9.091846958805860357e-01 1.531305837176864526e-01
5.645985935981269188e-01 3.029295480702384413e+00 2.382466069312193735e+00 1.377710216579252078e-01
1.018722669343756104e+00 6.704848196784124248e+00 2.912345787946474474e+00 1.982504664445139397e-01
2.068962136684488584e+00 7.047721609360735329e+00 6.289741681980209442e+00 9.068423181468596161e-02
8.049560429285458341e-01 6.015206253271722758e+00 2.125194320119039304e-02 1.386789754276312736e-01
7.758020087938157783e-01 4.449691261780359675e+00 2.020757611808550180e+00 1.507130245462842411e-01
3.165485852264270150e+00 3.949979906167459642e+00 4.438213589899513423e+00 6.222320759932170597e-01
1.029836445377521947e+00 4.992508625921558973e+00 -5.393754434432740386e-02 4.402226530412923777e-01
1.605558541207170897e+00 1.106111482908876553e+01 6.359946867965978967e+00 8.933020917090130075e-02
1.021599949861684120e+00 3.732697421885398548e+00 5.815159256139549093e+00 1.119303611983976932e-01
7.926892935092095804e-01 5.364273432622796101e+00 4.617725819300587453e+00 1.738899047969295897e-01
1.467177010822828809e+00 5.815279761575672168e+00 4.248414765971022078e+00 1.219940731100269266e-01
1.063284236950618800e+00 6.472241890182366397e+00 5.077820332514729529e+00 9.073645339730516957e-02
6.522967886708013197e-01 5.508549097895771851e+00 5.568268651636871791e-01 6.294656821866584373e-02
1.049038447888297920e+00 4.311143638862894534e+00 3.622728017738110040e+00 8.296511146263965686e-02
1.346890035082592973e+00 5.081956603117898652e+00 5.077639562857450883e+00 3.714466261163738570e-01
1.401426347636103964e+00 6.404244414756844250e+00 4.969993946690891562e+00 1.548597008370585781e-01
2.358781929561855062e+00 8.089078777012028709e+00 6.205235269490217753e+00 2.816217658611228081e-01
1.886565839039725079e+00 1.201953868562300798e+01 2.899121646299844812e+00 1.020891681555260583e-01
2.081184980381341809e+00 2.363202956964609136e+00 3.112180355866394965e+00 1.782303353964818093e-01
1.188124941457442851e+00 6.929923927941181283e+00 3.773911457065776354e+00 1.971014690917302636e-01
1.912267207520098156e+00 6.121188349736420342e+00 3.242579956785026418e+00 2.630743719935402236e-01
9.108631549813844819e-01 4.281961463453967554e+00 -6.157191017513086173e-01 5.646528175833471358e-02
1.501098276285273592e+00 6.369697250125706312e+00 -1.145279116864624580e+00 1.299419447946791872e-01
2.529975952173503906e+00 7.522433642695195211e+00 -9.105893329169973960e-01 8.195258139692040977e-02
1.896082073692706427e+00 9.728799309107296622e+00 6.328264962736854571e+00 7.836075283457333285e-02
2.684020599439466359e+00 3.482673442541267317e+00 3.465991383196087572e+00 9.582956097215396263e-02
1.148120789620155513e+00 7.027329966221945057e+00 -1.279978683919535731e+00 2.249019204330953425e-01
2.333814308069940946e+00 3.727561307921927636e+00 2.247441082659924483e+00 3.443374037207917043e-02
1.198775977568782958e+00 3.492414217230781048e+00 2.694578951718063387e+00 1.750765187070883466e-01
1.493106985724397262e+00 6.989243080441656986e+00 4.013876753914454198e+00 1.434274960844815205e-01
5.762122574869127378e-01 4.681327941202365395e+00 2.842913983623732932e+00 2.128434458073906188e-01
1.579930405320255860e+00 5.645039185380356983e+00 3.589378118557339903e+00 2.132225198933917210e-01
1.704472202310367779e+00 2.827091579029650248e+00 2.723426417141157962e+00 3.077092866091924450e-01
2.821602862209771523e+00 3.136162808288453618e+00 2.897655732407112161e+00 1.045067148109641852e-01
1.981617395606168675e+00 7.911083929155747541e+00 2.365151842554290340e+00 1.482612099141285555e-01
9.371291706331306148e-01 5.382626858951877757e+00 -9.715124965030967896e-01 2.390521983934273398e-01
1.433255338328146777e+00 5.547422653521474345e+00 1.030932637435886701e+00 2.978503167831595966e-01
1.462123491438032108e+00 4.995106361418330643e+00 -5.445411356845950568e-01 2.345463427722432326e-01
1.904513293523896422e+00 5.929247337020457920e+00 3.047885212750274242e+00 1.406800097039264119e-01
9.413092925553172563e-01 6.754215430535087883e+00 4.165474217501189180e+00 1.551964497725848435e-01
1.258417997831414059e+00 4.316165206274742872e+00 5.830573278518152769e+00 7.464226795302120188e-02
8.497937001110464905e-01 6.200123872034297712e+00 -7.595202468407340479e-01 2.471989294988936048e-01
9.906912554191604769e-01 5.290706350518179946e+00 1.339766405196953114e+00 1.208459986610812553e-01
8.744890616789184890e-01 7.371007046558856857e+00 5.427979742598963320e+00 1.705185903690507043e-01
1.317312304450316107e+00 7.440295865888000293e+00 5.715158863086816865e+00 1.669875516283849115e-01
2.345513837682438041e+00 4.063445428081619681e+00 -1.429617646781424112e+00 3.299855309732859787e-01
1.718584911503293622e+00 6.436780404942524569e+00 -7.575256589004889518e-01 2.337382954003876800e-01
1.452550694122564323e+00 8.849868705971331906e+00 5.246414675247472736e+00 1.806922371416266326e-01
2.320455157028072701e+00 4.774819306667087204e+00 2.912140801907774357e+00 1.836514540284720221e-01
