# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.285225644146996027e+00 4.882080494539228432e+00 4.509048771008779433e+00 1.471081682521198641e-01
9.807313969230448958e-01 2.734420926243665839e+00 8.886757573237884511e-01 2.124717430871996549e-01
1.230325251020956800e+00 4.771683761651532407e+00 4.105697783218683838e+00 9.939890801631055817e-02
1.846861772739924357e+00 8.254526516008237280e+00 3.611156236777912198e+00 2.396969379039269321e-01
1.123969317598224160e+00 5.656178350963548596e+00 -8.327196102644780495e-01 1.977125596298353605e-01
1.393292758793319708e+00 5.510170365574651896e+00 3.085751578114278360e+00 2.529275555505394735e-01
1.327203076757444311e+00 1.075844703164165850e+01 -9.267136814323719829e-01 9.396479010254235598e-02
1.267096896958149754e+00 9.251792759020444734e+00 4.218211354943592895e+00 2.012129335386219076e-01
1.177867086600212554e+00 5.823477879034362203e+00 4.498528126549690143e+00 1.350912279096307400e-01
7.625422322630932559e-01 5.833804973334363098e+00 3.714363957625691270e+00 1.506464747183189068e-01
2.157386788898917551e+00 9.404939333985895544e+00 5.466989372965378458e+00 6.776871142167253947e-02
1.446849309376751158e+00 5.086651681861392049e+00 2.273338280776370901e+00 3.132011378466658669e-01
1.623526486068734842e+00 5.022813532558641825e+00 -1.463350920667374488e+00 6.010324763006463789e-02
1.968032896736475301e+00 3.814760697086222230e+00 3.308469188387610949e+00 1.082634693315938368e-01
1.434648661962283356e+00 3.563928244095036391e+00 3.748681057499187563e+00 1.807259889369656203e-01
1.208408519685564952e+00 9.920183108530801874e+00 4.488079151906674724e+00 3.250536172420991354e-01
2.215014197825325049e+00 7.010000425318219541e+00 -6.353275153480517634e-01 3.070443431872522666e-01
1.894962160756118896e+00 8.941258274885981905e+00 5.684283073614527559e+00 9.556027240608294671e-02
1.352700320767175501e+00 4.752510047618015321e+00 -9.828759501648276498e-02 1.100424564403575250e-01
2.838612041287367216e+00 5.805553152354457680e+00 4.797273512011650531e+00 1.844940467044124122e-01
2.841918564202214004e+00 2.854152915691921422e+00 2.871336085784692571e+00 2.675048065694135557e-01
1.451126122232538673e+00 5.058032129537182620e+00 1.636158641527883262e+00 1.750785254140809488e-01
1.425588497017568734e+00 4.642605729826734695e+00 2.790383724108211005e+00 7.430683374616280090e-02
1.702007278343878882e+00 7.099667618245242728e+00 7.743847935573749952e-02 1.723483903475533097e-01
1.278737790062299595e+00 2.365850434159507909e+00 4.241514326800817081e-01 2.174662118263803179e-01
1.338660515035456022e+00 4.707729246659691391e+00 4.460522825693208127e+00 8.702158995232932293e-02
1.167741962059512417e+00 1.106973316929178353e+01 3.542697564486726236e+00 4.052647631237078496e-01
1.115937020450151529e+00 7.001717972644629917e+00 2.300178403163879004e+00 1.401195933271581762e-01
1.521835533318661060e+00 6.895204981892535834e+00 4.924248394487444336e-01 2.024622706453289567e-01
1.094028967178206857e+00 3.720688520934795296e+00 1.128555757241887170e+00 4.883881375079860421e-01
1.647484841658997556e+00 3.808037083599681072e+00 3.727370403537652699e+00 1.315738963691878149e-01
3.264091468737772672e+00 6.372336729817420498e+00 5.419619305422970434e+00 3.576852504867792382e-01
1.054075901596742471e+00 7.069021388783562898e+00 -1.393218671135931785e+00 1.519931675805036297e-01
2.722816451991886488e+00 5.068634982708791981e+00 5.678977665781554052e+00 6.248318472751705765e-02
2.649032849940479828e+00 4.877844681383492365e+00 3.001523794681939972e+00 1.216251846715003526e-01
1.193367621445493354e+00 3.767593164593307176e+00 5.411636447673846551e-01 2.038344605606036142e-01
1.146354306826620872e+00 7.791167544925987620e+00 1.111050510337954655e+00 1.354054883910197904e-01
1.109056260846722708e+00 3.855253573891695318e+00 5.169422519342932176e+00 3.158736253740710986e-01
1.859940789533563565e+00 7.559459114944663050e+00 -8.117647076662304340e-02 8.667073004239018996e-02
2.170116403426242790e+00 4.620502474349734712e+00 2.489138682060656915e+00 5.602905219551976290e-02
1.514082243270774786e+00 8.077712362294445114e+00 3.766847983383057041e+00 1.206808779829024181e-01
1.226124561936970503e+00 9.098199408698235402e+00 4.806814134001196948e+00 2.690903246181452491e-01
1.150154014255820867e+00 4.917464609017549115e+00 -8.112535710342316797e-03 1.832918094178064838e-01
1.074511200733496707e+00 3.838071334846210547e+00 2.938611140032993951e+00 7.642163518921443743e-02
1.090426591880465423e+00 9.802748547752802466e+00 5.781129614937210448e+00 1.673061860267113787e-01
1.540807435164472272e+00 4.404585351346208100e+00 -1.111585931390811188e+00 1.975992491221002789e-01
5.962769981022800758e-01 6.933166143936476011e+00 1.024225419853204144e+00 8.273931320560115599e-02
2.324980284315055101e+00 6.038034970676046775e+00 2.328116768335139586e+00 5.959496139825781746e-02
1.140584574005968133e+00 1.157331025780610823e+01 5.363398046939731323e+00 1.666363363583215906e-01
2.333544427556736078e+00 3.945609638185738177e+00 3.491341474212324769e+00 3.664258905779230191e-01
1.245514483542680795e+00 3.352558776365784698e+00 5.419121521282721510e-02 1.500966743526763736e-01
1.620392323213664554e+00 5.762568881361449513e+00 1.635302582697497620e+00 1.694523267150270518e-01
2.301640563349561575e+00 8.396554534396445391e+00 1.202884029197770488e+00 1.289182486992623278e-01
1.114461387528714154e+00 5.042898244485249926e+00 -1.721780761278271843e+00 1.625695702363008643e-01
1.548728276501107670e+00 5.234741397539917962e+00 3.625152265577991084e+00 2.004629023201096316e-01
1.926294784176128427e+00 6.005581312744082467e+00 -5.537314178791101771e-01 1.395830147777029351e-01
3.533543775058666903e+00 7.340836151731667591e+00 2.721873197114700105e+00 8.847185296102744179e-02
7.897394148170486794e-01 3.121910511621154960e+00 2.022344841421289008e+00 2.445258032429653006e-01
7.651355571434445002e-01 5.243804780717941760e+00 3.519846567125838988e+00 2.160949101944707185e-01
1.618944370919871645e+00 6.949160966225123026e+00 3.903107632839370122e+00 1.293512569525919753e-01
9.677480054734597381e-01 6.453258928623764490e+00 -1.062833280985766793e+00 1.507104459209943903e-01
1.090439483451684843e+00 9.428894664953961779e+00 -8.575016507045221115e-01 1.748374212000409766e-01
1.951810598397052843e+00 6.555788844971568885e+00 4.797727993573741578e-02 5.947013034457108160e-01
1.842365580480478604e+00 1.110955893587811438e+01 4.995369299275928654e+00 3.570087135703110537e-01
1.229581202562223474e+00 5.674483930558453793e+00 4.179603969567541988e+00 8.006132493998062427e-02
4.460594334162339414e-01 3.390386824312793035e+00 -1.487217961265177024e+00 2.837139914937289453e-01
8.885614577290843474e-01 5.896487433335718897e+00 -6.792789009018387336e-01 2.214678112829397694e-01
9.852694527718376394e-01 8.740351327856339836e+00 3.233209512254916707e+00 1.958334458122540922e-01
1.208746151877241104e+00 5.145133633982269750e+00 1.205684688516392766e+00 1.300021978479099505e-01
1.311151358086781071e+00 6.777152061251086046e+00 3.773341205053553082e+00 1.391846895036245590e-01
1.235324798989521744e+00 8.104729719144632583e+00 1.086484225603694398e-01 1.662802330505157855e-01
1.215066587812998256e+00 4.347762325347972912e+00 3.262745097656255533e-01 6.322871950808700570e-02
2.736377014668636587e+00 5.987855312067111413e+00 1.496291123497989650e+00 9.788241573646666582e-02
1.365895707723578267e+00 4.534616869604891853e+00 -1.513947839988256883e+00 1.390994704144508376e-01
1.368235969351976777e+00 4.808564136158716806e+00 5.057512607782465253e+00 9.279259847470677780e-02
1.513879974426811881e+00 8.988444409324552353e+00 1.888200851887037457e-01 1.196359122807142544e-01
2.841350195574062099e+00 6.407985904208299388e+00 1.772361179737665715e+00 6.896467652817976635e-02
2.586664617219199158e+00 6.531220226511451621e+00 2.569232787092415649e+00 1.752253260298162474e-01
1.677224210873882848e+00 6.276706663316749868e+00 4.284608869778480766e+00 6.208601924930880200e-02
1.706180546876050252e+00 5.453144653859697932e+00 3.772885040799548673e+00 8.602097723316524946e-02
1.705520945432700719e+00 6.078933622797486613e+00 -1.355733169979793429e+00 1.741111028014225848e-01
1.604881394089421986e+00 4.274982521059243368e+00 1.970250588454127261e+00 1.475142263559782729e-01
9.029379496720345566e-01 5.336668804033747548e+00 1.022749638726286436e+00 2.022015387675302200e-01
1.091588444046400319e+00 2.980012342358551614e+00 1.343122992294767837e+00 1.778856989680628886e-01
