# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.411812198191495282e+00 6.231934961728687661e+00 8.006351845958635138e+00 6.415952242616497492e-02
1.765622944044496156e+00 4.437949363549538617e+00 8.149808593361768772e+00 1.457375858476606945e-01
1.375147294780111995e+00 3.459323590948250704e+00 7.864794967210248622e+00 8.510730105237834797e-02
1.453827865650296536e+00 8.046382015725251691e+00 7.873777312381450955e+00 6.405469318529634359e-02
1.683316695876027502e+00 8.536746751413240020e+00 8.010601639169065535e+00 4.106411290646839740e-01
1.399362965605944531e+00 5.079049675268594299e+00 7.926820494608292300e+00 8.457024817840130826e-02
1.557820822233105584e+00 8.387146068537983723e+00 7.788929191785079809e+00 1.052824310917956363e-01
1.264554509244323111e+00 3.606199872189989719e+00 7.782992909639514956e+00 1.261031817548378120e-01
1.839710715323204182e+00 6.359051121105919968e+00 7.943183089296045551e+00 7.500414666353308335e-02
1.314226417892996324e+00 9.122500843100045387e+00 7.711690108969304625e+00 1.446945408522595788e-01
1.359192237038263418e+00 1.060326403471228573e+01 8.029016088204103951e+00 8.379247857123545140e-02
1.268809228114590182e+00 1.248893719287707782e+01 7.760035128320551756e+00 9.477665802437879039e-02
2.003640868075939885e+00 3.187272754686308218e+00 7.924612864071936436e+00 3.769812294959455634e-02
1.204209732794419008e+00 4.951121600465111072e+00 7.850782092081416863e+00 1.628032632532870339e-01
1.441156456049073276e+00 9.240623541675141439e+00 8.015461529156628018e+00 9.859602162165087558e-02
1.182932295030742820e+00 1.218372969486646973e+01 7.624261456696930672e+00 1.549710580081228306e-01
1.218081537459373864e+00 5.195163667466855983e+00 7.912048253950980659e+00 1.505827595080408143e-01
1.337241732194609956e+00 5.532932200976639514e+00 8.008923727596318543e+00 7.734007195249680000e-02
1.503785994769070156e+00 8.478921981748568371e+00 7.861084508971076801e+00 8.263224576772541796e-02
1.430728021072258160e+00 1.204629162558863165e+01 8.079771968602948107e+00 8.057921780228843867e-02
1.120809607022738685e+00 3.131827213132408083e+00 7.944766750179331538e+00 7.500778037098805584e-02
1.162555391318613740e+00 6.203875932709640217e+00 7.876616546701217025e+00 1.738898904578569660e-01
1.075606128576713783e+00 6.416195372359913662e+00 7.857999152564715928e+00 1.153561601465735303e-01
1.478902034010170174e+00 7.749249005748824359e+00 8.013504938697526114e+00 2.256272678550759470e-01
1.732647918369344842e+00 8.210433344490944307e+00 7.909042332941294440e+00 8.802105090954354116e-02
1.645494087091860624e+00 5.921028172975420389e+00 7.773919447508982117e+00 1.385950986547909158e-01
1.252317377353678651e+00 7.538579832682975379e+00 7.987481943017174402e+00 4.912931103769947044e-02
1.218214948775687034e+00 5.007978334969420686e+00 7.793581220732155757e+00 2.395278456421848501e-01
1.518367792183159315e+00 3.489056267822276070e+00 7.881821710583842844e+00 1.114984490850022131e-01
1.778785319583831237e+00 6.251358258727347739e+00 7.924482176687858370e+00 7.472136425646713764e-02
1.136475999736483500e+00 6.722903119506684178e+00 7.804982447371477505e+00 1.691815561679019808e-01
1.313408961612459125e+00 2.106500975081620197e+01 8.123066406065991174e+00 1.453098086378242781e-01
1.109410545685516336e+00 3.466484339775354417e+00 8.027309969195968620e+00 1.488053058796159345e-01
1.311183724073259116e+00 4.953373846782913148e+00 7.731892365334501527e+00 1.660673129236585888e-01
1.381393071595066413e+00 3.374737756404108779e+00 8.000976177268976031e+00 9.294756234311706000e-02
1.499368119473382555e+00 1.084104266454263410e+01 7.860925676316647959e+00 8.814316214117537407e-02
1.467166195063612122e+00 7.686931872415245337e+00 8.012972757528608270e+00 1.332157030641215600e-01
1.260325814231703090e+00 8.416522068888939501e+00 7.881792391706802015e+00 6.006180727025827587e-02
1.241561161046826456e+00 5.494467889012001116e+00 7.878382337545533076e+00 2.102081653842536868e-01
1.682337862685089336e+00 5.009460186181500241e+00 7.963467826748348521e+00 3.999278270493187432e-02
