# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.024544124708657966e+00 9.378570394212143668e+00 6.625608171754691078e+00 1.609987671776836882e-01
8.625466155310829164e-01 6.326298773025510691e+00 6.876631301619473113e+00 2.352619603432005435e-01
5.205199681180132654e-01 9.996405256535902950e+00 7.068976255541535636e+00 6.232565944448563433e-02
7.879539583911628897e-01 7.170429213802101742e+00 6.986470509086571745e+00 1.667954989080263906e-01
8.709576331023303197e-01 3.400392748398511245e+00 6.757033875703273296e+00 1.852100640071122628e-01
7.923221229689270118e-01 5.295097786604234358e+00 6.818841024188694533e+00 1.173649010989878672e-01
7.228662378865569060e-01 5.867209541379446947e+00 6.946850273843034884e+00 1.014359740885409644e-01
8.061424318340162376e-01 1.025440229784442003e+01 7.276101081476743282e+00 2.957459725762586755e-01
7.770920200468558470e-01 4.792355295252578529e+00 6.659787262432724120e+00 3.190619246202310300e-01
7.165295088597684048e-01 4.339065240526877254e+00 6.976662666800367063e+00 9.145831859604973413e-02
7.662244378067574191e-01 6.942188296893050392e+00 6.629536272897571081e+00 3.644412351549337070e-01
1.093393362059507101e+00 5.472418506185719345e+00 7.088584921897731483e+00 1.717268058452438573e-01
8.175818720154860442e-01 3.928527404214286811e+00 6.727713797805776608e+00 2.166103398039139760e-01
6.522487768173952372e-01 6.961893706861858711e+00 6.771460267171756975e+00 9.381249410296282898e-02
8.932479739359566739e-01 6.648678998371674531e+00 6.920539089499216701e+00 1.496187980404905804e-01
8.316901179559239576e-01 4.612105185076207370e+00 7.082703660053550010e+00 3.124869920963462278e-01
7.724916689317238294e-01 9.202507413875306241e+00 7.193136976402962901e+00 1.854185854578133674e-01
9.227578919650153422e-01 9.817074183372650253e+00 6.652830094871233335e+00 5.107802898208574360e-01
9.051334053851732842e-01 4.887222203374216534e+00 6.767516038096546005e+00 1.784411432149515253e-01
6.796385755265843542e-01 3.530624996756855261e+00 6.833588058680153843e+00 2.420367794262109351e-01
7.047383066242154381e-01 5.751574932982156163e+00 6.922412803356219335e+00 1.201997849531757090e-01
8.182996534659202625e-01 3.830150286606727406e+00 7.072020934565153460e+00 5.745796484062867804e-02
4.840310260723660329e-01 5.806521912190854451e+00 6.824659220876549526e+00 1.482379770838052058e-01
6.709053403612925681e-01 7.335065629773845686e+00 7.087786041926271707e+00 1.364606583080264224e-01
8.307072781544072582e-01 5.455068355266888602e+00 6.891497538727016980e+00 1.175404989082802915e-01
7.575374247953496898e-01 5.646632870722966935e+00 6.995969934758604403e+00 2.709599292130653314e-01
1.050658059807718203e+00 3.494312998310815210e+00 6.746276017997268504e+00 8.587606312335434311e-02
9.855738953213954989e-01 3.246135692788624461e+00 6.894694872855732903e+00 1.639915579260121659e-01
1.088281424408288123e+00 6.391165843082123210e+00 6.872786532679181271e+00 2.085163262104086368e-01
5.860126588708486350e-01 5.716655366208128086e+00 7.208091392806951880e+00 2.238061488703950719e-01
8.208558948517066245e-01 5.407347759938538445e+00 7.251903866714497049e+00 1.566198312189447106e-01
8.041378513783047355e-01 5.533248818329227880e+00 7.463117374983443852e+00 2.593726241473015559e-01
8.395535233331680169e-01 4.873183911367208410e+00 6.741708187048114809e+00 2.311204744388860033e-01
7.701823330846913063e-01 8.233828257833033959e+00 6.773854745207713357e+00 1.605455393647771400e-01
1.162323504608219649e+00 5.636037975421164248e+00 6.775251840962744687e+00 1.895753667641083828e-01
1.063105347742576035e+00 4.102031704860285899e+00 7.029906287875970605e+00 1.208001771268415458e-01
6.400709148744263555e-01 5.893214884030198775e+00 6.711154361899957621e+00 1.164990998422558988e-01
7.264536594242694267e-01 2.564752842843814662e+00 7.199729143495816608e+00 2.436371827559024872e-01
7.667002854289420855e-01 1.042181437724510396e+01 6.925242191889134702e+00 1.622984311588060724e-01
1.154648739667744950e+00 4.700972947790160283e+00 6.677120940521747983e+00 3.810719943637274620e-01
7.496927678040878895e-01 7.871809211003542472e+00 7.125918980937622216e+00 2.664809385185559210e-01
8.818076538361306893e-01 4.324706291696550409e+00 7.061430924054624469e+00 1.078135937362466601e-01
9.552240961514899542e-01 5.066684007537148204e+00 7.248698002965719311e+00 2.558384483557226696e-01
7.304959745224068879e-01 5.808999678975464320e+00 7.142203946636328737e+00 1.712708373591383393e-01
8.241772918812264592e-01 3.776698398918022725e+00 6.991642506318347827e+00 1.948159417930819259e-01
7.079616803387134283e-01 9.525112233756470204e+00 7.051937228550718473e+00 2.621430714248124128e-01
8.094070412869750486e-01 3.075337965958321984e+00 6.679140085669834193e+00 2.191301040313006210e-01
8.473643892670996713e-01 4.658303995054906110e+00 6.833783491680153865e+00 1.273626122152145823e-01
9.754566120978651611e-01 1.707209857869242953e+01 6.702892672775089267e+00 2.893689624417798423e-01
6.037456678587802550e-01 6.609279838555591091e+00 7.534978189333054743e+00 3.034147928220395363e-01
7.873012841166928677e-01 3.515890504133147854e+00 7.014232532661488939e+00 2.557356385784150254e-01
8.001222718886460417e-01 7.405012603854023823e+00 6.917231346277710635e+00 1.888834575318831255e-01
1.141156460314535659e+00 3.510797697648540439e+00 6.962417474045430765e+00 1.379254161246854515e-01
1.085591316112965998e+00 4.034526733053820813e+00 7.228750566423766344e+00 2.438027513277047920e-01
1.028173575858385203e+00 5.864643415461765485e+00 6.936326787285776341e+00 1.660738210711585894e-01
7.418579514966657795e-01 7.974478109437914242e+00 6.588052543296146979e+00 2.128910121019472745e-01
7.808410614046517040e-01 5.297537236907232661e+00 6.928576193676384776e+00 2.010526744741200356e-01
7.522457326240609143e-01 4.770302791787935703e+00 6.949878832398699302e+00 5.940263925781644194e-02
1.163987536646706289e+00 9.939375440478022128e+00 6.877979242434371088e+00 8.882756577622108463e-02
7.581382250552318736e-01 3.499014684368632722e+00 6.914203784472178427e+00 8.630437344414931822e-02
7.618525317282811571e-01 7.560132332410075762e+00 6.795191216998135886e+00 1.204062375415942132e-01
6.322633208995365184e-01 7.128523875749043448e+00 6.811752955817124366e+00 1.772204157327524343e-01
7.070087555055935002e-01 8.462452391930289863e+00 6.659908893114953266e+00 1.652989831532335474e-01
8.667281138106973648e-01 8.833039519231242309e+00 6.995319195329240181e+00 1.253428153532600287e-01
8.677083197101874701e-01 4.253408557642011978e+00 7.006785150073300272e+00 2.955783799702056402e-01
7.461481394983424664e-01 5.401441475093317734e+00 6.573963205090861628e+00 2.207828963466607064e-01
8.135401639947908992e-01 8.074618508919940041e+00 6.706868254570607313e+00 1.253201753031616683e-01
8.981397529293173587e-01 1.135816274242282553e+01 6.894983423890625573e+00 1.645867000714922868e-01
1.126494120836061708e+00 5.567535526343571739e+00 6.597679318892144096e+00 2.435086593036796809e-01
7.902958793931954551e-01 5.138339464073873764e+00 7.256172604980383412e+00 1.746021040999912177e-01
7.784285937080299700e-01 8.534303280586911455e+00 6.945219220507458324e+00 1.113111310553136363e-01
1.082917105975942595e+00 5.141331129219441465e+00 7.012587250470317279e+00 8.767401119885259719e-02
5.602779396034749393e-01 1.192657310651048874e+01 6.621262230622349421e+00 1.729296435011839494e-01
7.108640780827397698e-01 5.446240551987232337e+00 6.750884491829279632e+00 2.592425480125775117e-01
9.458058912686844177e-01 5.888615514052667699e+00 7.133340215723628752e+00 1.058492120752516363e-01
5.832512927464530428e-01 6.383936204429931927e+00 6.737360854047810932e+00 1.463091265816235109e-01
9.722181004860656062e-01 6.203305576383064235e+00 6.898181535938995523e+00 1.614818080754180374e-01
8.017561897780266511e-01 6.865552746000190609e+00 6.623475612394798873e+00 6.632796897761944477e-01
5.716444852565649715e-01 3.675846149093407345e+00 6.727783191035607402e+00 2.775173632568337379e-01
1.201952766696755104e+00 2.487746033094441422e+00 7.347196572449778529e+00 2.697364167798513845e-01
8.883392475324664028e-01 4.205579938659080419e+00 6.783785372758633692e+00 6.465003260387869322e-02
9.024354341419429382e-01 1.215820874702662024e+01 6.942271251577936120e+00 1.832650397022156652e-01
8.052365480474366066e-01 4.893112473008836005e+00 6.960264419341970488e+00 1.836186151019421620e-01
6.945655880880452493e-01 7.888757148480859627e+00 7.146025989541311851e+00 2.301963222463830339e-01
1.094201580418086683e+00 4.652282871677786424e+00 7.023988732595540796e+00 2.814345866642070648e-01
9.211614136902487315e-01 8.245119087043059736e+00 7.236588192164120414e+00 2.494649913874572578e-01
8.553533279957936664e-01 2.949963826601345929e+00 6.717945624307674279e+00 1.847284326313410330e-01
7.909544171569862225e-01 9.401080150198598773e+00 7.017622269862234141e+00 1.479212970849357045e-01
1.003879555918494537e+00 5.956910955452391576e+00 7.040063629119457822e+00 1.233156520598648748e-01
6.821161610273450693e-01 4.623326473922006130e+00 6.771892089581253771e+00 3.577624259433864196e-01
8.016328848654488137e-01 7.885047641184511846e+00 6.667866439678197032e+00 1.552154819475241032e-01
7.108224259646093168e-01 1.029493355225664608e+01 6.808477608505986822e+00 1.370445184948168305e-01
1.103750039517646053e+00 4.096433956962196810e+00 6.994137500579978628e+00 4.408832060834249611e-01
1.260325290405146959e+00 4.064787714925264694e+00 6.948575383627169977e+00 2.557530032154930466e-01
9.322388617727329629e-01 7.891092933616160821e+00 7.220327692522316099e+00 1.810089470797280331e-01
6.932161764139033178e-01 8.875898020508248720e+00 6.991572858907448840e+00 2.683776920574993952e-01
6.714051130481133445e-01 5.403350245801752827e+00 6.790289323120062726e+00 1.202150300705443903e-01
9.544460591275785166e-01 5.946305013471624434e+00 7.203128183836989606e+00 1.055478819872273516e-01
