# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.929149360099474464e+00 4.599737600875062782e+00 3.888904523859593620e+00 1.682291399233206974e-01
5.650445864234336923e-01 7.344914451704303460e+00 1.101031431481461542e+00 1.921785249059948519e-01
1.982628847692208485e+00 3.330736261933793241e+00 2.114478155522713010e+00 1.540238495075534342e-01
1.730349455188404217e+00 5.303060759587551409e+00 3.797006700562310488e+00 8.278298802969275005e-02
1.169882933351408916e+00 6.236596465175288095e+00 -3.473831677417218988e-01 3.100966778973680005e-01
3.007772355284399346e+00 5.936378382707472312e+00 3.555428984547375215e+00 2.400535013696893927e-01
1.399125119918257720e+00 9.428549564131960992e+00 -7.408209467113111568e-01 2.413548445924089403e-01
2.169111511584140395e+00 6.258555521393626364e+00 2.029473145566220271e+00 3.485464021223391717e-01
1.804878160508516460e+00 3.847471462647860108e+00 2.262090518498970582e+00 1.463837160597837306e-01
1.058891992981562336e+00 5.677604549972492087e+00 3.297373194341627567e+00 2.243668041909052113e-01
2.043835386277567778e+00 5.575661780010329416e+00 5.777317122917828840e-01 1.071713148948011535e-01
5.947411720627863163e-01 3.920046041466573872e+00 -2.024797344494470019e-01 1.333379652520583492e-01
2.480145943390996699e+00 2.961782185584167504e+00 1.815579085383618452e-01 1.539343024046255504e-01
1.442961321235592287e+00 1.190163071257528493e+01 1.638807378291248007e+00 1.221810161295129593e-01
1.229043310178381310e+00 5.745474844665191760e+00 2.734581211004637691e+00 1.507688481788958257e-01
9.835609091472227172e-01 4.963688249777035821e+00 -8.018780109410490464e-01 1.384410792147892089e-01
1.610238701993921495e+00 8.434689120533413131e+00 3.477099147932107392e+00 2.037315788826588869e-01
1.293765363814897373e+00 4.281930029564412266e+00 2.957258250777945463e+00 6.326852346352154766e-02
1.667418692512964373e+00 6.078403912402435161e+00 2.772125185072565223e+00 4.245820048211654818e-01
1.208589202095466941e+00 3.849147035278403628e+00 2.871578714886682704e+00 1.301310928479782469e-01
1.874014796381700654e+00 9.972608367648499339e+00 -8.522656779987394238e-01 4.810960617311370036e-01
1.799986653332472875e+00 5.918342773076928687e+00 3.052857183401477936e+00 2.698111376115631677e-01
1.241134340208157605e+00 9.040440956944351569e+00 -2.956173381696022284e-01 2.242249743127768535e-01
1.505374793017867141e+00 2.505390166445117472e+00 1.588341860179624532e-01 1.639682038071713366e-01
2.428196291894231695e+00 7.210154746867374342e+00 1.653637524699502759e-01 2.121884156058365112e-01
9.982120394638366312e-01 5.281320504794599913e+00 -1.094573561209872814e+00 2.814300304884317927e-01
7.022589079433927406e-01 8.265966728746706238e+00 4.987670724396723876e-01 1.612050713351228792e-01
1.240295734366976710e+00 8.400059176242224979e+00 -8.590166195944235472e-01 1.972119322107823702e-01
1.269801684204878933e+00 7.696959557612789382e+00 -1.736938585602428864e+00 1.191511629097516678e-01
1.195309328217315725e+00 4.895737005468753900e+00 2.436802044235727216e+00 2.089629617314877896e-01
1.788564263096438234e+00 3.758785472852257392e+00 -1.417285615781539443e-01 1.936757950045973342e-01
1.843036694822838273e+00 3.677603030526147343e+00 -2.812146852286041554e-01 2.230572479582073053e-01
1.420433431671649593e+00 4.192154632522783864e+00 2.134720375309579588e+00 2.356389352001527215e-01
8.392203469314969411e-01 6.772115093965905608e+00 -4.852125386635758320e-02 1.904999218871700484e-01
1.954377674163958911e+00 5.193540055560027291e+00 1.880255344116707583e+00 1.530373187717994354e-01
2.458785977210415474e+00 5.066021416664260535e+00 -1.777333826583834320e+00 8.794037305985180630e-02
3.305471577360117319e+00 4.742781541413020108e+00 -4.217347858831594909e-01 6.601280958603680804e-02
4.506301402468446127e-01 3.708512770727603769e+00 3.657043143697680243e-02 1.093538958772121428e-01
1.209836669198038006e+00 6.439965245572575547e+00 4.406404744134617690e-01 1.266218367954090596e-01
1.513907732086932301e+00 3.224726513622174995e+00 -9.169741350858932050e-01 4.023751580302365460e-01
1.292347964649229741e+00 5.655029622740115336e+00 2.408648097060515081e+00 2.162774749548794784e-01
5.867904824310459233e-01 1.156772330717534558e+01 3.019258240281055272e-01 1.685932450966131924e-01
1.184467779379453356e+00 3.678432206237865376e+00 1.745225013468731934e+00 4.164386705966797719e-01
4.212050902541627506e-01 3.328902717746780482e+00 -5.213356592602005346e-01 1.853166444803729662e-01
2.380601343043565965e+00 5.111809955305863795e+00 -8.177478717913381212e-01 1.691119773422772588e-01
1.693682767380575882e+00 6.297597150354292239e+00 -9.523755863794729493e-01 4.037395140296336504e-01
9.411960439059703365e-01 2.612476137692051559e+00 1.985670764584884229e-01 2.777090493192976295e-01
1.079240653642719261e+00 4.686588211658678560e+00 5.870629383571972504e-01 1.668434803659259447e-01
1.183415278456469544e+00 6.784214770701858299e+00 -8.474866246232367617e-01 3.612936902984975607e-01
1.046600103436113871e+00 7.407917414180605675e+00 1.824242748527267199e+00 1.159754005236980218e-01
1.313089403814203360e+00 3.464836479192257901e+00 3.577885533312985977e+00 2.929331024158556285e-01
2.214131964224280491e+00 4.357199168120967414e+00 2.448858849918549851e-01 2.190383580364686500e-01
1.006526068353155612e+00 8.679978060271501761e+00 7.059236707205983619e-01 3.365583678320218097e-01
6.179267001058810216e-01 3.709240522086259872e+00 2.374075373993158600e-01 2.995985507734139075e-01
8.479696570921714249e-01 4.806816125261139661e+00 -7.291379763032099781e-01 1.337909987005343748e-01
