# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
3.524058949077441216e+00 1.152889563847627663e+01 9.177150466018776376e-01 1.104547336395136636e-01
2.211092599784108881e+00 9.036493496875543485e+00 1.402363015877576391e+00 1.318093270355299995e-01
8.600625075191424829e-01 2.675416714757360648e+00 3.550355862214358282e+00 2.670181120720873102e-01
1.432540126079689946e+00 2.566639520729885326e+00 3.595688249695804473e+00 1.900672070504926814e-01
1.811307089624215827e+00 8.744431139558106025e+00 2.950097265596837381e+00 2.070905701971469115e-01
6.614884117421562237e-01 7.622464746870705632e+00 2.891856631077210693e+00 3.171060207441414036e-01
2.397961128048985646e+00 5.078650717570377005e+00 3.354422033714377083e+00 3.333541274134710353e-01
1.134169021572851266e+00 5.168005914122591804e+00 2.560138186989600051e-01 5.440503943568522072e-01
8.748005314466029692e-01 6.028295882454121291e+00 2.402954721166445484e+00 2.182786069416813302e-01
1.543996960578711386e+00 4.292030781947280715e+00 2.724672628115211381e+00 1.812382752792617291e-01
1.301011735788963897e+00 5.307058835359666382e+00 2.523298924098277940e+00 2.635062543996362638e-01
1.830434802503367431e+00 3.552448915300949306e+00 1.340751438729056666e+00 2.877846254193417441e-01
1.118142002950074598e+00 6.493163625999586408e+00 3.719803249795516020e+00 8.216431531855142301e-02
9.705557292178630391e-01 2.490386111993637019e+00 1.079369095877307227e+00 1.882366429699767196e-01
1.983164853453001530e+00 5.997036845872711908e+00 8.365330461323361444e-01 1.221522752556125635e-01
6.790886618159490684e-01 4.621185872901095948e+00 2.947609590305621197e+00 1.797792862607502373e-01
7.993989145939559560e-01 4.818131691145338458e+00 1.524251094274957197e+00 1.747260987023130374e-01
1.642110139113991174e+00 8.908146079275505613e+00 2.793265077359270432e+00 1.148966412208896337e-01
2.165643454917725919e+00 5.690389653743490150e+00 2.094675200056669517e+00 9.063857763511509735e-02
1.028116540936959922e+00 6.499994140552586508e+00 1.592584672695253611e-01 3.093010727683660477e-01
6.688639153382375246e-01 5.504018367724683003e+00 2.769295532705932761e+00 1.938416681064771552e-01
1.072714312122023506e+00 4.940534380036084805e+00 2.367518095023288804e+00 2.218210231654819120e-01
1.716114291879717868e+00 8.382718714514815872e+00 9.135784329347644839e-01 4.920918605345846186e-02
1.101274491614325335e+00 2.594780307315872836e+00 -1.373269873220053006e+00 1.272455183004484458e-01
1.181790655982033034e+00 7.064642311976338185e+00 4.414220325233853548e-01 3.748236862149205151e-01
9.692879529483447998e-01 4.509432199449806333e+00 3.704512096604491322e+00 2.802237832013428909e-01
1.597938292317264031e+00 4.389522193449109544e+00 -1.362403265914134298e+00 2.584606701732431455e-01
1.703060662506123979e+00 7.352113453717321612e+00 3.812780520989411670e+00 1.293675014531576184e-01
2.606346653950064152e+00 6.608611412925322171e+00 2.079585236792782510e-01 1.218970902209067092e-01
5.938775469088674042e-01 4.011273849142690473e+00 3.009465085861398936e+00 1.485557798752587255e-01
9.396945787721409094e-01 7.904262622881421230e+00 1.643857526255261714e+00 3.171113147020850898e-01
2.377352055708360279e+00 8.305341545884521892e+00 -7.412139272493223352e-02 1.802458825824714561e-01
8.049141246308910702e-01 5.125542321542219781e+00 1.581572970935795075e+00 2.054008213871979516e-01
1.412775502723058629e+00 3.039630430653366577e+00 1.561229338417857715e-01 9.499863964029608976e-02
1.575419327136200476e+00 5.607983246761369500e+00 1.538996894252957048e+00 2.675658031748606724e-01
7.837902748965527300e-01 6.076662471310847913e+00 3.596121857794469356e+00 2.640306946073505134e-01
1.575654494875633471e+00 4.050091334197965409e+00 2.216070561259682492e+00 1.247687615976558473e-01
1.610385950409920497e+00 8.218430413030626269e+00 3.257702830253168091e+00 2.765751373578595462e-01
8.851981431806348333e-01 5.064764851585922045e+00 -2.273863466236940023e-01 3.911666699418481219e-01
