# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.290623467378133160e+00 5.725827776257362167e+00 -1.240571034068701506e-01 2.396122256058849376e-01
3.097826697072959767e+00 2.775361340928931941e+00 -8.582509626736996022e-01 2.106723975106864488e-01
1.073816126764371326e+00 6.282357655075290204e+00 6.761570536929805142e-01 2.178607578781658338e-01
1.232604390774726610e+00 6.241633023579417738e+00 -3.414652952812657905e-02 2.607127832386781918e-01
1.840105331923482579e+00 3.846108077652615975e+00 -6.749739725323333772e-02 1.264345993086234687e-01
3.620007680457600685e+00 5.789306866241688887e+00 -9.059962885763250817e-01 2.064629315768905515e-01
2.047455297648569594e+00 4.259126310645670266e+00 1.543949134110813581e-01 2.219097093653209229e-01
1.487242614730498236e+00 3.402322194627731555e+00 -1.105295324306228455e+00 1.531926152841010247e-01
1.888273941566541492e+00 3.756509477551554621e+00 2.453438026136981698e+00 1.368399744756172987e-01
1.089407244404335007e+00 6.093659496191103031e+00 -9.591625286171819864e-01 2.933380420027075219e-01
1.386901980030493142e+00 7.133635337329154780e+00 9.077134730406476448e-01 2.762690945970465162e-01
1.694128331045111402e+00 5.601875625203852849e+00 -1.601285188581800911e+00 2.992591829593922448e-01
1.889641892451656924e+00 3.239863811054020104e+00 -1.124156712130888192e-01 1.188933898144320378e-01
1.543258769343175407e+00 6.011271395600333634e+00 -8.809109738508940080e-01 2.111110038619419815e-01
1.786450016595223733e+00 5.495075869488129428e+00 1.007776777784405775e+00 6.040324038574018672e-02
2.163197806563668113e+00 5.135090130421295918e+00 -2.745476233940763455e-01 1.596771900969289060e-01
1.422587333266183363e+00 4.527206077723812783e+00 -9.295770546189099370e-01 1.133404340350917805e-01
2.990309555791147655e+00 4.824698504381895958e+00 -1.225052237158151813e+00 3.112853814672759678e-01
2.590813222253575354e+00 3.152608432199144328e+00 2.002799625939737371e+00 2.379129048964349624e-01
1.274556085045199794e+00 1.079115296581611005e+01 3.010435728871626027e-01 1.947456451951634915e-01
1.323619355093504701e+00 5.139118404586267452e+00 2.151936821488523499e+00 1.804691269862359060e-01
1.386101511435289257e+00 5.058935505801621879e+00 1.913362327096906235e+00 2.106205057116326274e-01
9.727623990757604533e-01 5.164463148308383822e+00 4.981358985310457843e-01 2.511956046115496610e-01
1.342893734987441245e+00 4.072857124245500948e+00 2.859047219932923101e-01 3.157619218936585925e-01
1.796121802111255050e+00 5.790716320248453286e+00 -8.636679454462737882e-01 3.534174050803993716e-01
1.158678282481226285e+00 5.016042415402961474e+00 -1.014630697428445583e+00 5.999305223877086923e-02
1.472686185822621008e+00 5.480024494641297039e+00 1.062401445398505562e+00 5.263696933154732305e-02
2.407784207869645421e+00 7.763222379586770749e+00 3.252021989184528117e+00 2.480193438190199107e-01
1.826344729089793617e+00 2.360762156790118027e+00 -1.760890380712310188e+00 3.257871379436024784e-01
2.381388870585313011e+00 5.441211178892982225e+00 -3.174912956495765659e-01 3.215369123732618739e-01
2.753107436834620003e+00 7.258418402385609980e+00 2.875039770164274922e-01 1.958515022938301375e-01
2.393113436421279605e+00 6.510795110023172683e+00 -5.703513061618115110e-02 5.837907025134395772e-02
8.941436438530673270e-01 6.283329790787071545e+00 -6.821168493338377603e-01 2.767296191811527972e-01
2.262898944352162545e+00 9.212074384815462480e+00 8.666030005841676154e-01 1.260763365047075923e-01
6.563661366664024222e-01 1.268780150850638755e+01 -1.395130631240898422e+00 8.866589560912631340e-02
1.050527321313103446e+00 4.540049218456713831e+00 -1.282749462791649586e+00 4.169584997995084419e-01
1.619001639342858123e+00 6.374090300840843604e+00 -5.978962005079311304e-01 8.222622783731135809e-02
1.406850777726984747e+00 9.772042482387528040e+00 2.043781458375125482e+00 3.016730563219399697e-01
