# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.313860852335496654e+00 6.676571052893264024e+00 4.920632240108780309e+00 2.604609161343284796e-01
8.961809765796128202e-01 5.338773888229597198e+00 4.622675695654860029e+00 9.530288027276771767e-02
7.649506358672067963e-01 4.936713579085583170e+00 4.721372736526016745e+00 1.803343015545645633e-01
6.245523983919469835e-01 5.356816944092054555e+00 4.911384631485126384e+00 1.277170520523414066e-01
1.320826495863439920e+00 5.770656908426993859e+00 4.705304838706701354e+00 1.676753119970589845e-01
1.772946525257542039e+00 5.209848575248241076e+00 4.537792529197849589e+00 1.193693901255415968e-01
1.334801004680243874e+00 4.155633600861783350e+00 4.660577422687456561e+00 8.732122328544418555e-02
9.756552020158951732e-01 6.662334439467011649e+00 4.812213467731457861e+00 7.454316581372336104e-02
2.004573148762516688e+00 4.177103421022448693e+00 5.178459022480382146e+00 2.118506529023408969e-01
1.605115655403515973e+00 1.085110494193411768e+01 4.797559219717328460e+00 1.771115406596109887e-01
1.387525705091476880e+00 3.888737304771556325e+00 5.056025754614513090e+00 1.539795988686953054e-01
1.539567357785112112e+00 4.348714011183876238e+00 4.482143787819597769e+00 2.006697543991022292e-01
2.172605763290086145e+00 7.992003578066952940e+00 4.919528728293369291e+00 1.146091456677620912e-01
7.834636112772050964e-01 5.770652896703970747e+00 4.600245355920988821e+00 1.385334568435403479e-01
1.179985389762398418e+00 2.860906816052450008e+00 4.863001330170366288e+00 5.765822001742286484e-02
1.557534255737373252e+00 6.253363450527177569e+00 4.859045427673934547e+00 1.598142904742916315e-01
1.131602669246659199e+00 8.723267686507281127e+00 4.795615900586404301e+00 1.398148719699942866e-01
1.043245786217853910e+00 5.855407568393092177e+00 4.697113176301255244e+00 3.055449758909337676e-01
1.252394399982215134e+00 6.278271271365207795e+00 4.914175503623210872e+00 1.799106691728716012e-01
1.426343165802792079e+00 6.275593111884488096e+00 4.693190323879220749e+00 2.494041015591797472e-01
5.567140697218400103e-01 3.530306975575102868e+00 4.952537033032980318e+00 1.845814609967805220e-01
1.238031339651962881e+00 3.784814381429399077e+00 4.779946614355359280e+00 6.116560634422259224e-02
1.875406033059839661e+00 7.017251198645252153e+00 4.443398062209567456e+00 2.260570972004439794e-01
7.211702521632993301e-01 9.784896025912114936e+00 4.277499541773178926e+00 2.591446907113342246e-01
1.303593699931701044e+00 5.928537627159415457e+00 4.758294389475942410e+00 1.262745057707203578e-01
1.193496577241115020e+00 5.174734528091546437e+00 4.940249825227557956e+00 1.571928445901098204e-01
6.256045916623005354e-01 7.053852625839091672e+00 4.468649172477095810e+00 1.495127256940176896e-01
1.263215065129851933e+00 5.556950991676654183e+00 4.628273343963138942e+00 1.430793616661724665e-01
1.875223797138246606e+00 6.185414818784041202e+00 4.655895640715611350e+00 1.297789053869056186e-01
2.064365057381567947e+00 3.525197633281437870e+00 4.755813844299113136e+00 5.952967412585975782e-02
1.122574336171470621e+00 3.748039064756430783e+00 4.564042135788231036e+00 5.830188412072872389e-02
1.487113222885916297e+00 8.284935264999019111e+00 4.689639129942561269e+00 4.661119926790567580e-02
6.670966681061067938e-01 3.566706428500996839e+00 4.911526020464647146e+00 1.202975138474870337e-01
7.506330283133580972e-01 3.943427999259702776e+00 4.704661495555171769e+00 6.176337234444001512e-02
1.062200497072519401e+00 4.111518020890622793e+00 4.489483547749340886e+00 1.322895946233477726e-01
1.121935367281384099e+00 7.951924198540721633e+00 5.070309613564920603e+00 8.274123423060025795e-02
8.977318359061841058e-01 5.894723348545966246e+00 4.616007347291820828e+00 2.063905832627276338e-01
9.859537056646497932e-01 3.069231318414205489e+00 4.605984911264870085e+00 7.005276460141236783e-02
1.284151826224205761e+00 4.499408983861682643e+00 4.949245585183040141e+00 1.305525532926362087e-01
9.214206951249649391e-01 3.800336445877552372e+00 4.854202730557940271e+00 8.148566495930076314e-02
1.352193024471910476e+00 3.948026451319628816e+00 4.285620552763505842e+00 2.677099820042189715e-01
