# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.485383190726266456e+00 7.250485909928571893e+00 4.438827754427026484e+00 1.230111688753192101e-01
1.749909839928820432e+00 3.564180630649123049e+00 4.549414900939263262e+00 1.046950246011281171e-01
1.269055868919256591e+00 3.554060046434773135e+00 4.020404386486386095e+00 5.093913732527879379e-01
1.239565387712699529e+00 3.464892076121728337e+00 4.398345029179846932e+00 9.592627677907411554e-02
9.088260193257813313e-01 3.906343167819898987e+00 3.981408356878011645e+00 2.098155464060750819e-01
1.517530251075656755e+00 4.480162754225084143e+00 4.449297956058309467e+00 2.199697063755542970e-01
1.833412062357513639e+00 7.018017480361737448e+00 4.310521983673953450e+00 1.220872674270304797e-01
1.022900265023668487e+00 6.719055195504706646e+00 3.360338867506581728e+00 3.714350227293261586e-01
1.521224465189700226e+00 9.839708799969402619e+00 4.831385423276716828e+00 4.001923026151191221e-01
1.058650549110449202e+00 4.381558286203550701e+00 4.194653517474672633e+00 2.448932498252802403e-01
1.664618788330845867e+00 3.911234849731713314e+00 4.466310565143033706e+00 4.576388796065773701e-02
1.350130913847184422e+00 7.514483112993652902e+00 4.410414531574170738e+00 1.657759961392427095e-01
1.364674832918673975e+00 5.493430883992474811e+00 4.611193644478868592e+00 7.542895712414995901e-02
1.023407105714932097e+00 8.533242049997985745e+00 4.155709752670247781e+00 1.021810311297971230e-01
1.328056710843397603e+00 6.472237242593958051e+00 4.170202440075274630e+00 1.111668053950041479e-01
1.255277425102908406e+00 6.576717673485116933e+00 4.251673373193540328e+00 3.176350798885971827e-01
9.513925379653177528e-01 5.065413865962423934e+00 4.447398578832181926e+00 1.637528026610060583e-01
1.945437172526395031e+00 5.032575907080063082e+00 4.651203174548723673e+00 1.978727510446145477e-01
1.498389732509710637e+00 6.431424028003844384e+00 3.969949654854287857e+00 2.290181100108031054e-01
1.384355717724703672e+00 8.197563797892973625e+00 4.079371502375939151e+00 1.679992345929146869e-01
1.031927044384571612e+00 7.170893895675327201e+00 4.541745014351350918e+00 1.074242970738688296e-01
1.733524459049690103e+00 6.528535280533326102e+00 4.588520277182374763e+00 2.513288349279736433e-01
1.736754343566615510e+00 5.916828162630894283e+00 4.574891579482881276e+00 6.347309497873150630e-02
1.244778285391386907e+00 9.080376371825751747e+00 4.633597110394668483e+00 1.779398462202098907e-01
2.137744173274314985e+00 5.011463923159972467e+00 4.439617702312801839e+00 7.470716530715609816e-02
1.543968619738981030e+00 8.418825137271349845e+00 4.843057236800106580e+00 2.321920127199369466e-01
