# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
6.703811320073604918e-01 8.606631017003202544e+00 5.304665082195191950e+00 1.456961982096657282e-01
1.079061673358109097e+00 6.057947976156752290e+00 5.233478506393583807e+00 1.117682679291027159e-01
8.041190651033868209e-01 9.041258651849270578e+00 5.162438450077762475e+00 4.472150901293288350e-02
8.264433309162900754e-01 4.649748764550792224e+00 5.222281616607451937e+00 1.452449032729734302e-01
1.258990527162045847e+00 5.930215889819747233e+00 5.079156331852132666e+00 8.406528164870975817e-02
7.682350701613359645e-01 4.273947760717473621e+00 5.100591824691420584e+00 1.094146141962958479e-01
8.522467885358018247e-01 6.814889182046736771e+00 5.321149291221020761e+00 8.892831012240388910e-02
9.458446193516136802e-01 3.994622565191808139e+00 5.239669393487941029e+00 1.220327245128802751e-01
1.125114188290753825e+00 4.952384504340357374e+00 5.108939127597933449e+00 4.559188724212368676e-02
9.182103149974238931e-01 4.057986692975225296e+00 5.107841063042311447e+00 1.007855831973775013e-01
9.556764190461980446e-01 1.304677434195617813e+01 4.977195471204618471e+00 9.405305193116222928e-02
9.261617164247937239e-01 8.572272014695030862e+00 5.191349045510289528e+00 7.752971844600220486e-02
9.590264513841907368e-01 6.648099114937021881e+00 5.193362203745736316e+00 1.536021626176471699e-01
1.268886402331669272e+00 4.283634150417496400e+00 5.135544681453079185e+00 1.378684063568773044e-01
1.327111160996426342e+00 5.276752417339988455e+00 4.734890753114766149e+00 1.520812489864533656e-01
9.478899553667062827e-01 5.336682249988625060e+00 5.272831410797480522e+00 9.778250463801962944e-02
1.368808996973162051e+00 3.501280620825470979e+00 5.162368341750521950e+00 2.054600658186289119e-01
7.745065255135309412e-01 2.593413929365184778e+00 5.137854749871362259e+00 6.334353410677687202e-02
9.176585717667442577e-01 4.634620378057913825e+00 5.266191784977173107e+00 9.694463564259936383e-02
8.449967196769824218e-01 4.227563213845703771e+00 5.112575345356852097e+00 1.228176646816167977e-01
8.874192110281449164e-01 5.572163164960622694e+00 5.215083545378764285e+00 1.094404651050079197e-01
1.157546964097468045e+00 6.131771536075335760e+00 5.312336455076307473e+00 2.712522997493480581e-01
8.392279188366192910e-01 8.278487105427315029e+00 5.026635954433258391e+00 1.572368847781300538e-01
6.204072225761460002e-01 7.250901835551715635e+00 5.112377800545117701e+00 2.570196550239655653e-01
1.200244487385512038e+00 5.173645860643990346e+00 5.165895754842205534e+00 1.263498614245125440e-01
1.187671363237734257e+00 2.865021229220902299e+00 5.386132545106479874e+00 1.274526810879728633e-01
1.009758444787658194e+00 3.597669628153103538e+00 5.128058326578364579e+00 5.227911908399165974e-02
1.489382657319061831e+00 3.943600675831971270e+00 5.119834282593042296e+00 2.866164549764860583e-02
9.359802887274476513e-01 7.073342541514002768e+00 5.171395440306109315e+00 3.443827310815090331e-02
1.223707819982171374e+00 3.966680789647250016e+00 5.145322901476478528e+00 6.467833625233469774e-02
1.124945603373377123e+00 3.637534916302472610e+00 5.235991036036693025e+00 7.923759336432151246e-02
9.683608192781253399e-01 6.910975082642647926e+00 5.096266286469114171e+00 1.667019596602716258e-01
9.142720530844713478e-01 5.531828540414000628e+00 5.077768470055038286e+00 1.392567805749544974e-01
9.980952822315246609e-01 7.106529249153685335e+00 5.177717879750176166e+00 8.845588783081434481e-02
9.038626193117262897e-01 3.671781106494327318e+00 4.781230945319178360e+00 1.268684840265140445e-01
7.748406772059217573e-01 7.434913254646307479e+00 5.129064123766473138e+00 1.246281617132489472e-01
1.784111707444422601e+00 3.396147270532003493e+00 5.076786195730264240e+00 2.292951833604504885e-01
8.102725873664351486e-01 2.779419924382453999e+00 5.121451430807772986e+00 4.432437330592084446e-02
8.603777685941622622e-01 8.666786863460702151e+00 5.032578059556931827e+00 6.636863101907097828e-02
1.115221137649267336e+00 2.830744660165568582e+00 4.938722180107065540e+00 1.293756714438267230e-01
1.265413388033307607e+00 7.022665887580606281e+00 5.203887540759336794e+00 6.994736278518043360e-02
1.900998616405325636e+00 6.566403396328323261e+00 4.966972945818211471e+00 1.281103754355094881e-01
8.805439687919072167e-01 4.202228023938999968e+00 5.023224144939744562e+00 1.290670053060285483e-01
7.970473184084444496e-01 4.656689973880297373e+00 5.236288737945305805e+00 6.926493093210833729e-02
8.514562867741475305e-01 5.354944051791917126e+00 5.083930916466898431e+00 1.054779680097850808e-01
8.685751894609297086e-01 2.765837769197793339e+00 4.991301673056939059e+00 2.074888200941727434e-01
1.100307530091628294e+00 4.284753041719702615e+00 5.406344755146221814e+00 1.700035828415942252e-01
1.769709333208974389e+00 1.068922184294624778e+01 5.184578691555439711e+00 1.280691756155367123e-01
1.287875679794325823e+00 4.857155798759812626e+00 4.990995196881659268e+00 7.482626487652817293e-02
9.242273176245788813e-01 5.441387691281279082e+00 5.200462444589376787e+00 5.853042882892902504e-02
9.189046140808280194e-01 5.358377060118749036e+00 5.364614535300843201e+00 1.877171538576790366e-01
1.509185336268966893e+00 3.670978881957467355e+00 5.099464442211862902e+00 5.433872656023178149e-02
8.101486119218211934e-01 5.919114758431810230e+00 5.173061112204876189e+00 1.268006794028239126e-01
1.124595984065381415e+00 5.965631360180112530e+00 5.234516560787716877e+00 8.580389758673589995e-02
9.222887874432216249e-01 8.016868810426638348e+00 5.234782470561766488e+00 6.369342798352684021e-02
7.843735707221117792e-01 8.103395019079503214e+00 5.131748019652957460e+00 6.305372625137932452e-02
7.306796616826337631e-01 4.607466143805089231e+00 4.992241856219362894e+00 1.777942213750214329e-01
7.518635215266602501e-01 7.265801703632325470e+00 5.160200537993448577e+00 1.578910705493215272e-01
1.257742240139718026e+00 6.195118439823329659e+00 5.070584042317759277e+00 7.904688376300886277e-02
9.288449584066411635e-01 5.102661439061655813e+00 5.406797144137468258e+00 2.581959348632371642e-01
9.194542659008271279e-01 4.721202448506136129e+00 5.184883819586783460e+00 5.272133622200204234e-02
1.475030136985749474e+00 5.912800322866991642e+00 5.233176782901722390e+00 1.966955830734137822e-01
1.180093617377609982e+00 5.574301997077098392e+00 5.170749870510546131e+00 1.674507180888724633e-01
1.601948636700811113e+00 4.409920125734333674e+00 5.318611032537439165e+00 4.581085629969837147e-01
9.436486333188877085e-01 6.047980028193046920e+00 5.257968922242073795e+00 1.240297740096741874e-01
1.025666180517575077e+00 4.461725464234382876e+00 5.294878355447686147e+00 1.015327052531596608e-01
8.403213477898371364e-01 8.552653747799849882e+00 5.174968403615448409e+00 1.532544772091032625e-01
9.914852976919261707e-01 6.674474833013004371e+00 5.162704177952649687e+00 2.308811591128284435e-01
6.128155056723663119e-01 3.144904083375341663e+00 5.201452210111749075e+00 1.148959795004561441e-01
8.626199678637892498e-01 6.114282580865108230e+00 5.131308448772953668e+00 2.179997607843466301e-01
6.838735691858717214e-01 5.611939671136433994e+00 5.137152450788302183e+00 7.110748745532362303e-02
7.311040411599000199e-01 1.038661434273201678e+01 5.424000663570075709e+00 1.629782307048882883e-01
