# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.296451701644501409e+00 3.314340573458485650e+00 6.497863670533254421e+00 2.312087270706767450e-01
1.545362711817636292e+00 6.211850114628912678e+00 6.573992052288350152e+00 1.997457086489087541e-01
1.334990660317330269e+00 7.673300612023531642e+00 6.595974288625218840e+00 1.877142987490572901e-01
2.136733168231445212e+00 5.295917557598764702e+00 6.207274308881256530e+00 2.316758988096576100e-01
1.373768525918534378e+00 7.775956377179186418e+00 6.362546522682333894e+00 2.712717177140498981e-01
1.675813280081802414e+00 3.679429996348736687e+00 5.925929937879645948e+00 4.171801619811514317e-01
9.906643724328679790e-01 3.209298025580869407e+00 5.744792777017370788e+00 1.514829488786050837e-01
2.318473219258495810e+00 1.014889557293280120e+01 6.431034819154254123e+00 2.765458470392691548e-01
1.355790641215893322e+00 3.026135770945186820e+00 6.677535869589459772e+00 2.309479777244490273e-01
2.626633175939924403e+00 3.119994098905508828e+00 7.076750124481979043e+00 2.874791304715088591e-01
1.273774711034999285e+00 5.753144880010735207e+00 6.861342678369363846e+00 1.785583473913406327e-01
1.646399198839589184e+00 7.032395317642657240e+00 5.926105823060781930e+00 5.450349937281611101e-01
1.099663529700369402e+00 7.514753206236096439e+00 6.066605881690951385e+00 1.145406096541732033e-01
2.489672515811267139e+00 4.435386155599352342e+00 1.918656769445077792e+00 2.735605348459247410e-01
1.725323252599976653e+00 5.602337229997139900e+00 6.896584137830088501e+00 2.611831213213812175e-01
3.644516637206088205e+00 7.240274275226831868e+00 6.554176252620097287e+00 2.287484777182526297e-01
1.667908177605922582e+00 5.683003234245365576e+00 6.590529826247000678e+00 1.880235094536651108e-01
1.362233101501283627e+00 3.293989965571069600e+00 6.809468643453733705e+00 2.647951583756206761e-01
1.171112073026107536e+00 5.851473726122899954e+00 6.327388498935732741e+00 9.223807539326753235e-02
2.119257874735812841e+00 4.498390765383454060e+00 6.818973166324527213e+00 2.710709274957626147e-01
2.121328685353660148e+00 7.157973199497777550e+00 7.083174015973924043e+00 6.289770453981570475e-02
1.354439106735021880e+00 5.780343586136401868e+00 6.616144485381398432e+00 3.161667539910724689e-01
2.785802951050444509e+00 3.555151618758720211e+00 7.238403554623547898e+00 1.504924040850402767e-01
2.850808328072464981e+00 3.822744705287013378e+00 7.151335908635152450e+00 8.765908116520121363e-02
2.303392490543105353e+00 4.861893491165912629e+00 6.796279777126320809e+00 1.518129862044432510e-01
2.459919443855767884e+00 5.396289399492170347e+00 7.019709989024168095e+00 2.120398071685552221e-01
2.321092859211652204e+00 8.469312307551039254e+00 6.205660073948466859e+00 7.379320980530816865e-01
1.791591910550438316e+00 3.379072729982385059e+00 6.934421124311480611e+00 3.033680688538849535e-01
1.621562296327071717e+00 8.198569428708438522e+00 6.746906753491786368e+00 3.669518128400222623e-01
1.955072830593931998e+00 1.036524874579473021e+01 6.899305175167417481e+00 1.470682563661951103e-01
2.195930421423733847e+00 6.791038044064698020e+00 6.986167334646856908e+00 1.120433879011156209e-01
1.531664006845239401e+00 5.935201070060178274e+00 6.734074711583110329e+00 1.372061915101603635e-01
2.085050975203903700e+00 8.562523588735002633e+00 6.884971719460138750e+00 1.812579943238899483e-01
1.941877068433919717e+00 8.559256334709340663e+00 6.726197469119352235e+00 2.369485401240093436e-01
1.631135896035597055e+00 2.642415198986757918e+00 5.562642092996767040e+00 4.833833371259141920e-01
3.099432482792451982e+00 4.498932974551378194e+00 7.342145281824913106e+00 3.838232503762128434e-01
2.300280290042746145e+00 3.231081740337482078e+00 7.122686009929807049e+00 1.930379201168609116e-01
1.890777078745632389e+00 7.188128901058689735e+00 6.000589610485217662e+00 3.171893213545970980e-01
2.012168787512723878e+00 2.787833225536366921e+00 7.324316762153064708e+00 2.757683837177429265e-01
1.167067854177427977e+00 3.452603901767853145e+00 7.204318394657010849e+00 1.116562646402692593e-01
1.164536066319005858e+00 5.567265188001662146e+00 3.206682320383544837e+00 2.213814774026722776e-01
1.715482938298166449e+00 7.431535321790867066e+00 5.245783846036895959e+00 3.954693409157800654e-01
2.269829915857697333e+00 4.829663756179642498e+00 7.019022747286895125e+00 1.777658447430715549e-01
1.280246603317372500e+00 6.117922320075790843e+00 5.766778520177419765e+00 1.467969228234958512e-01
1.222505686019326632e+00 3.236298631930050185e+00 -6.519897547178024055e-01 3.032510388048508254e-01
1.221435504870704625e+00 7.045489022868597573e+00 3.351386998489306990e+00 8.706700655004664946e-02
1.716263514324852135e+00 3.001132381483786027e+00 6.045214071442733150e+00 3.135122814317600759e-01
