# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.044383732885239446e+00 5.977373566393657356e+00 7.995431104932304578e-01 3.486984192018509066e-01
1.013720925871632650e+00 6.211619855558772940e+00 5.420132064375868808e+00 1.708609912827578348e-01
1.971542897210052159e+00 4.078110980798284935e+00 5.025397898698063415e+00 3.673087392150784503e-01
1.590302547127347088e+00 4.684925940972370917e+00 6.545240251807736165e+00 1.966271324052938640e-01
1.026905090187603342e+00 4.725376697944830617e+00 -1.639516805684997136e+00 8.849687176961162915e-02
2.099041557514436551e+00 4.741440135193554894e+00 3.152998954577595825e+00 2.399852707939268415e-01
2.109855870704674619e+00 3.588174975163686220e+00 5.829213379871443834e+00 3.199012152739868498e-01
2.232846889332339213e+00 7.019438537117841825e+00 5.913923753446308496e+00 2.965099995676450106e-01
1.333538610220584841e+00 7.423941105199190815e+00 3.635818027602932379e+00 4.095754531552479594e-01
1.294983992417267693e+00 3.103408267104244889e+00 4.544503410023160050e+00 1.441862401521778470e-01
1.376176491159978532e+00 3.184174946077329871e+00 -1.233666157118178841e+00 2.392586902241042035e-01
9.573295717064114196e-01 7.027952521098004723e+00 5.918319342088591561e+00 2.519732175508145322e-01
6.866719278996169518e-01 8.805402952336105926e+00 6.058550388648227703e+00 2.815521184926596532e-01
3.259052598787246513e+00 3.720871073132026474e+00 4.782873159037567490e+00 8.824538549957836042e-02
1.577398087057312326e+00 7.867193747135252657e+00 1.964379601473409398e+00 2.001978860291411810e-01
1.814408675349513222e+00 8.337670963736728780e+00 2.547908593705641156e+00 1.644584724961893341e-01
6.077566015646843622e-01 8.089894261569915201e+00 3.156834629944931692e+00 4.967823323114715917e-02
1.547264781686108925e+00 6.337987361690921695e+00 6.393780495258324592e+00 6.581358711780362081e-02
1.679791921585190195e+00 3.391906382220814642e+00 6.789188327663282507e+00 5.803934184530439022e-02
6.720707934543590500e-01 6.776226097613019306e+00 -1.271516687592272099e+00 3.440315816973362195e-01
1.345038807903357947e+00 6.030493186868453037e+00 -4.466371001081348435e-02 8.873818496099392106e-02
1.832221475292648449e+00 6.607115006970269100e+00 6.933037602437181590e+00 1.068698922926525630e-01
7.623844556872250156e-01 2.986629769712668026e+00 2.533340014724855482e+00 7.998907145975497901e-02
1.517627166457794941e+00 7.916593599699947248e+00 3.724926652798005833e+00 3.019453607879410417e-01
1.163824705711080876e+00 9.557639067517044396e+00 6.083566394839768243e+00 2.375320619033445546e-01
1.473641332443491159e+00 8.794101088325694704e+00 5.262581188128759635e+00 1.331324265686967823e-01
8.962639716555024227e-01 2.756018036860031550e+00 4.951236218824374369e+00 9.074329547639919946e-02
1.608544400697096810e+00 4.742656958133476763e+00 2.828444038885538525e+00 4.384618201899552481e-02
1.205300428519453515e+00 9.478207210000601179e+00 6.776228748148398928e+00 2.083259741060177195e-01
1.550852407938212441e+00 6.145208013054684670e+00 2.422576644568485982e+00 1.884044459356901402e-01
1.264465853374888038e+00 5.216790214043479423e+00 6.372941491321602037e+00 1.263190320318443582e-01
1.747129974219282955e+00 1.113307972029065596e+01 2.408481572203740484e+00 1.238991963485062825e-01
2.235338308723986867e+00 7.492941563873539046e+00 3.778511857774320415e+00 3.170347636020588444e-01
1.115799337803600855e+00 8.663364967907225989e+00 4.255597832963970539e+00 2.146538041937074426e-01
1.222013622948180167e+00 3.849522803144575622e+00 5.801628792539785806e+00 2.914367658125427418e-01
1.306287007263515543e+00 7.022028982081522486e+00 -2.156999902686778103e-01 2.842845335734337509e-01
9.130385192074396139e-01 5.860791015899216028e+00 2.260313974302210926e+00 1.496026575986840468e-01
1.892532481596252314e+00 4.631638228647347866e+00 6.825239337587564847e+00 2.307473506497897953e-01
1.008060597567491445e+00 4.979410464193245289e+00 2.787840937682593445e+00 1.726342890510623174e-01
7.429998585793996524e-01 4.148112141174594036e+00 4.810893158321312590e+00 1.341397363628988038e-01
1.588385950236694377e+00 8.731845541574452696e+00 2.408559997141535014e+00 2.797616473456918662e-01
