# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
7.423075286244601445e-01 5.938537393719893309e+00 7.903510835314418337e+00 8.820773740784415562e-02
7.864072570557242292e-01 4.095800262916772461e+00 7.968434205884896038e+00 9.125725846152334120e-02
8.956190029800927821e-01 3.779324258052656926e+00 7.923562547434608305e+00 8.101592469193444335e-02
1.176502195903599057e+00 8.514881287435818180e+00 7.886472379754801310e+00 1.061916744937912022e-01
8.054861314384208493e-01 6.621573103267011540e+00 7.462970305856268638e+00 1.197786119486117240e-01
8.998081238375719160e-01 7.301800531090758994e+00 7.726799278736774745e+00 1.494084174107327412e-01
8.069535171239836657e-01 4.340436524734219148e+00 7.554335981385984944e+00 1.293858299896255004e-01
7.834266552603034173e-01 5.570045134927597452e+00 8.253136002191112652e+00 3.799689285255351545e-01
6.499746716965333349e-01 3.109940720175622619e+00 7.632485255141032710e+00 4.905964976628955643e-02
8.486040869687732080e-01 8.396637513555333499e+00 7.852692976685656134e+00 6.416731694120367258e-02
1.116195688230753991e+00 1.189084997448087755e+01 7.830549526377698299e+00 1.043445504081443320e-01
7.808284446210801422e-01 7.790819534162486626e+00 7.732281886610872235e+00 1.744277958013439322e-01
7.057119281498758223e-01 8.464895574282346402e+00 7.570979896670949394e+00 3.520168175001949784e-01
1.001579880419397384e+00 9.581860349750003891e+00 7.765853730647338082e+00 2.481349652174732467e-01
9.283090903285837747e-01 3.791469765920842061e+00 7.639744528299679871e+00 6.919343611265604821e-02
5.076416295924611743e-01 5.521135094040406699e+00 7.517192120075351980e+00 1.472608503019809389e-01
7.452844023521894012e-01 4.416046170050948128e+00 7.629308369298949621e+00 3.941387781060386869e-02
7.804329354618046999e-01 7.145842023587134051e+00 7.650997820741630484e+00 9.459975236766585138e-02
9.471859985490774791e-01 3.602986864328534100e+00 7.406397336525167852e+00 1.222665213885737456e-01
7.400539130671494048e-01 1.115039116819159837e+01 7.692304215285913571e+00 8.225787513355874159e-02
1.015415196947562437e+00 1.336290768275501684e+01 7.614992955320341039e+00 1.414970366646368105e-01
8.503706306510430135e-01 7.760335923339725994e+00 8.623861733673425789e+00 6.028758515858825273e-01
9.827186304287615082e-01 4.569260195769962785e+00 7.849843003847561285e+00 7.876558706221661876e-02
1.482888443440244286e+00 4.635389368969995871e+00 7.987160821190714799e+00 5.094945241539045044e-01
8.033152625244819323e-01 7.466762758698274105e+00 7.954890843938973610e+00 2.414784130818146135e-01
1.132847101065103335e+00 4.588087035827915550e+00 7.660188878931420753e+00 1.962236741477519086e-01
9.789303929804514803e-01 5.582341877808659980e+00 8.018445641793380929e+00 7.209036897963612411e-02
9.008430967796018374e-01 5.463376091932341083e+00 7.741198210576058614e+00 3.888692277197927649e-02
8.823548273413506227e-01 8.289666278911724362e+00 7.866015204948226369e+00 1.128907673568176895e-01
1.274495881491664928e+00 5.378415447499603097e+00 7.741508552846313229e+00 6.113691748679335458e-02
7.412038005084642389e-01 1.156743396203111018e+01 7.593980089558867164e+00 1.402902358747254719e-01
7.052217337822866972e-01 4.864837966331716501e+00 7.761408966684785860e+00 4.464656938318844331e-02
1.011149409636922236e+00 3.647376307923401395e+00 7.497904670301798191e+00 3.084091419044978633e-01
9.342989225595522695e-01 5.047729481002239282e+00 7.642845520979319573e+00 3.043297100824921692e-02
7.656013982890153002e-01 2.384157653442199987e+00 7.618925620232205098e+00 6.600273001784151550e-02
6.883445575793517568e-01 6.025732229504938253e+00 7.790890964793297790e+00 1.531453032080805077e-01
1.216094524594107051e+00 5.707976184714946832e+00 7.703826386733650722e+00 1.844789529660147975e-01
8.176655222132379608e-01 1.065751881813447710e+01 7.532246715163988249e+00 2.122652805937148279e-01
6.545825916799474786e-01 8.611936263054221996e+00 7.765615802372479948e+00 1.815344684364895156e-01
1.698547926043153744e+00 6.043552109187804611e+00 8.115882156139408110e+00 2.394323629020906063e-01
1.001484434100829546e+00 6.525415447582148865e+00 7.898299341586947797e+00 1.752703996166746214e-01
7.917137094078682269e-01 6.875118062667938013e+00 7.871052460282344398e+00 1.287407203873732198e-01
1.385713593284931155e+00 5.168864367285084249e+00 7.802131005464536528e+00 1.968227472861448502e-01
4.889342640604083523e-01 5.963723799258930036e+00 6.770026895444993364e+00 3.030560681516863419e-01
7.004633760051720559e-01 7.053835839046023182e+00 7.615230790824604412e+00 1.201118397014256101e-01
5.973349349426297916e-01 5.153857493174688997e+00 7.471062710350553360e+00 6.992196472168933641e-02
7.858770578152480812e-01 7.300337339318714314e+00 7.659966793715782707e+00 2.275332629047325250e-01
7.052180035571690153e-01 4.968964802521453450e+00 7.645663798763027152e+00 1.302457942912710331e-01
1.002365987848270690e+00 9.173333656353669596e+00 7.695192826872444769e+00 1.850771010233135117e-01
1.147116426009116008e+00 3.044707911064657324e+00 7.863848428860206852e+00 4.475858167179018465e-02
1.007028262843348676e+00 5.916586125804439433e+00 7.731529565860014941e+00 8.067723777790249129e-02
1.107088275405312183e+00 5.329878285291472118e+00 7.836528125923918786e+00 1.325801543515037484e-01
8.430021103610634281e-01 1.047802674287963676e+01 7.758708680596962282e+00 1.714886973751628407e-01
1.150705873091411480e+00 5.434468235022443139e+00 7.922750623384919422e+00 1.960832802340544967e-01
6.857527628215416282e-01 8.581104404118701012e+00 7.752273337441984324e+00 1.419484048848779489e-01
9.206500093793491546e-01 6.115301683188230086e+00 7.412467243563107822e+00 2.242789658200654290e-01
1.190846624205012638e+00 5.716482405356444474e+00 7.986478801896424784e+00 2.805820986390007987e-01
6.445558707965910461e-01 4.200713110866009181e+00 7.789540853923923258e+00 1.919867201064309747e-01
1.178918970844243796e+00 6.634881523310691698e+00 7.792397310597745985e+00 6.790904019348778520e-02
8.490435382519450069e-01 5.522480033382967335e+00 7.186193669096123671e+00 8.437547705892287087e-02
7.165903404721941650e-01 5.696112424009229791e+00 7.102167776938662413e+00 2.125296300178082243e-01
7.463794811487359793e-01 4.691421024395594941e+00 7.559387178241856020e+00 1.196040938586440255e-01
9.197102899842092283e-01 6.626441125157011669e+00 8.234171137520716499e+00 2.831142826549178371e-01
6.801990310406370588e-01 5.424980282432580125e+00 7.542441032508818033e+00 2.386498885807850356e-01
9.846230727492295554e-01 9.122119266400916970e+00 7.543495768361789366e+00 1.503425232128171030e-01
1.441891541457078318e+00 2.848635479016517813e+00 7.724645244115703413e+00 1.648713980467118589e-01
1.175448948769316271e+00 4.489555680506434499e+00 7.916221433370067118e+00 7.397808450460369167e-02
7.303043712814536459e-01 5.950909690883137593e+00 7.927567231966180294e+00 2.831960312397623358e-01
1.001929392258057661e+00 4.178377402304374044e+00 7.878024180874575677e+00 1.599066901877735647e-01
5.906797484705502699e-01 6.586107304977320887e+00 7.381248997447585225e+00 5.432699251640766835e-01
7.041863144647623196e-01 6.411474662907830080e+00 7.082914798162676107e+00 3.183345145024322198e-01
5.852629002915267220e-01 7.684441019549183238e+00 7.813325185360907810e+00 2.918956284006705149e-01
6.215571398739283548e-01 5.571525971142023081e+00 7.643674054409258289e+00 1.346356776463883687e-01
9.818783271661563061e-01 6.714190032875579028e+00 7.857780888518551166e+00 5.515180211498451474e-02
7.213837236778939399e-01 5.621454970642446369e+00 7.419525380250052038e+00 1.315784619213311579e-01
6.312225404550840802e-01 6.528523321298447257e+00 7.917707055062767729e+00 1.869263064565891141e-01
1.157947502453418709e+00 6.408838414114431892e+00 8.004270849746264460e+00 4.113448630678514378e-02
8.840331347402063944e-01 6.262601160640170583e+00 7.384881009134845797e+00 1.655806249456824863e-01
6.610612806823589205e-01 4.102630431968733227e+00 7.780991200118098305e+00 1.291557750555738238e-01
7.035368217627994136e-01 1.066763619373966421e+01 7.855739895186586885e+00 2.112908405256818112e-01
6.349130246542016298e-01 3.647993418777167207e+00 7.941785922032018163e+00 1.401456839094537832e-01
9.321610744930015624e-01 5.094425139197605645e+00 7.397335856611366722e+00 2.089630937248401765e-01
1.053569414945268790e+00 3.211446297590123233e+00 7.971531625486006689e+00 1.010490623946400518e-01
8.761632657441169592e-01 3.526265062554859053e+00 7.814211067170112379e+00 8.133150685703124938e-02
8.008123223189195228e-01 6.911759472516047609e+00 7.560170800736513819e+00 1.323856443975139074e-01
1.166722003184465173e+00 4.300462797005146776e+00 8.274573623526229937e+00 1.791035687343317251e-01
1.200056414348456446e+00 8.349466076306823581e+00 8.145929296480748150e+00 3.683815434897447227e-01
1.077379476952999848e+00 6.521975501999368596e+00 8.030148583289024700e+00 1.782599149306782205e-01
1.240314501375668899e+00 9.086854448439400045e+00 7.942450272270351164e+00 2.021705435676253437e-01
6.720160174665282815e-01 5.338558583347756681e+00 7.901099473638619308e+00 1.317270379152614690e-01
7.260022149903052613e-01 5.313363180279714548e+00 7.591730431856593242e+00 1.089340953628724212e-01
6.655848441528012804e-01 4.029930791473464780e+00 7.281712228455832658e+00 1.945858429338625240e-01
6.606998265746091281e-01 8.500876620370672043e+00 7.595605448360724488e+00 6.589506417924761994e-02
8.808769357370954678e-01 6.688079541253358684e+00 7.518140196571310163e+00 1.514123991993142626e-01
1.110909751215565677e+00 3.514185949183872726e+00 8.120217867051357175e+00 2.731825362637355092e-01
1.257509620872764744e+00 7.545154158096835317e+00 7.948514795423425205e+00 1.139008662249843540e-01
5.923057580399792021e-01 5.201739670951228689e+00 7.503846855904846791e+00 1.068122587695245485e-01
7.421425215518113738e-01 8.955056519143512972e+00 7.742796019825635589e+00 2.233899716444108230e-01
7.513598723153251946e-01 1.086954002354543825e+01 7.258496332228967063e+00 2.617722283204613198e-01
1.166873853762225632e+00 8.882115292277568130e+00 7.772640109173864609e+00 1.329201265251441222e-01
7.658304160142325179e-01 3.312266703116669486e+00 7.901505833156532432e+00 1.639620541422170952e-01
7.728310465724756995e-01 4.656405364589446982e+00 7.941930874347556291e+00 1.096260818476646887e-01
9.787866510690055311e-01 7.673002731050033276e+00 8.025782632261764249e+00 2.359981870481905053e-01
4.513730421796410264e-01 8.153343708511672006e+00 6.711379034568891733e+00 3.462467466966805407e-01
7.301868358923242486e-01 3.984222857396526152e+00 7.902175760773214819e+00 1.582742236015871051e-01
8.775781727000114829e-01 4.942799900783542810e+00 7.260581849567813606e+00 2.054907246760865891e-01
4.981951101768531953e-01 5.739860021074703056e+00 7.314796650881557838e+00 4.278898331992292969e-01
1.056082365678171042e+00 3.795640565091157548e+00 7.473351775073738601e+00 9.435315420257402164e-02
1.281042079777148013e+00 5.639132706802431727e+00 7.538490457567800007e+00 1.254388574159860381e-01
1.055958735294737716e+00 8.933137603667237414e+00 7.809828564732749889e+00 9.875031131571739007e-02
1.196946292975825443e+00 7.456896808513293173e+00 7.966097960991150195e+00 1.770380371712310663e-01
1.144203700200999707e+00 6.792477751347721693e+00 7.762249989079980317e+00 1.794686099488894404e-01
6.905403457975308745e-01 7.324075089247223502e+00 7.524077811911599412e+00 1.165275605104061085e-01
1.058909006037105360e+00 5.763366793314284919e+00 7.983177524763096500e+00 6.430137615457517941e-02
1.038425068071020752e+00 8.893444735422209035e+00 7.601833364693013628e+00 1.109432533810704585e-01
6.658051396422149937e-01 4.124471391320741809e+00 7.383499296074718110e+00 1.168226813238289197e-01
8.646958226148317994e-01 4.429875230218565108e+00 7.657978707406093655e+00 3.363758731328877483e-01
1.148952313550641424e+00 4.294892684736386634e+00 7.876475687584353125e+00 2.473279064033369057e-01
9.478150782490724069e-01 5.078360431647597650e+00 7.627010925440499634e+00 1.957487169133898808e-01
5.225056245456339843e-01 8.815686747856128491e+00 7.434178028368547686e+00 8.418258779062662289e-02
6.900696752319446237e-01 5.333760150068897588e+00 7.232595258950455630e+00 1.658617708924687295e-01
8.225047321083204244e-01 1.314916971516918665e+01 7.630867003706295115e+00 7.613702200055183500e-02
4.869826665714057645e-01 7.900262566464900438e+00 7.376935931872253605e+00 3.117666666490482852e-01
9.846603922846529633e-01 5.815714167462221695e+00 7.713995934251248521e+00 1.779164530449515169e-01
9.569057806895000517e-01 6.681765962634460543e+00 7.890463155147278584e+00 1.690957018866499073e-01
