# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.789354035461332870e+00 2.860183923616864909e+00 7.419228013298937441e-01 8.605491639183525387e-02
1.332836507100176426e+00 4.968476918875778914e+00 3.671913817559406379e+00 3.332071535252046912e-01
1.155463697740443774e+00 5.970975612945458089e+00 3.369552998105227459e+00 2.979232907384846696e-01
7.451148385325809809e-01 4.243943493570381698e+00 -1.061967866945552563e+00 7.678199326152818083e-02
1.251499345833689603e+00 4.142064696186617212e+00 1.591515360020296033e+00 1.459399732882053491e-01
8.928884442068814042e-01 8.498527832137224181e+00 1.753736479032423690e+00 8.821831831806470348e-02
1.038893342615488047e+00 3.334874715806949830e+00 2.833708976552236969e+00 7.013477679369417572e-02
1.665475400108888282e+00 7.590830781111723269e+00 2.024898273310704599e+00 3.799510400807442068e-01
1.222464432622158537e+00 5.680737489933970430e+00 -1.836610869391746226e+00 4.912065760498825207e-02
1.370599335864384871e+00 3.469290774200512573e+00 3.117294123334686251e+00 1.022961877025110461e-01
5.868490611253543987e-01 2.911733101921495148e+00 -3.664859524513185418e-01 2.052464661536451129e-01
1.254798727671806668e+00 5.222404355531661047e+00 3.194870719792138658e+00 2.152241938348893324e-01
1.459728201300084738e+00 2.570412677523757239e+00 4.934237427279458466e+00 1.575066447304151185e-01
1.272926568653564683e+00 6.889373804649821409e+00 4.980280666110096455e+00 2.039075951705179301e-01
1.448192231679444886e+00 3.681077693200784928e+00 5.833023747286425476e+00 3.778257074113666736e-01
1.218935361072166268e+00 6.696683138586265294e+00 -6.908753140745972354e-01 4.365118849717436467e-01
1.876352808519226922e+00 5.504500224664173658e+00 1.705505695987286074e-02 2.191586689539269384e-01
3.668439071344784530e+00 5.056081865612992665e+00 3.863868838398859751e+00 2.742503618657064490e-01
1.696869374382880657e+00 5.074499038503933690e+00 2.709307392554650029e+00 1.215635264762203877e-01
2.066728937950527367e+00 5.558207451349059802e+00 3.264519124053339993e+00 1.045867948031853623e-01
2.033182496264334116e+00 6.035279330622651983e+00 5.731695298159965368e+00 1.414980973952539300e-01
1.455465738957552713e+00 6.402006141996714028e+00 4.175938025322075475e+00 2.749075070730008230e-01
3.513625964004982727e+00 5.443125385766284907e+00 3.797285022308065194e+00 9.281539139864063148e-02
2.141757872414721930e+00 8.055780140353816066e+00 5.685031115564690651e+00 3.540303590607696282e-01
1.331663090793214543e+00 3.177339325580927465e+00 3.353540011554044131e+00 1.179949700707001309e-01
2.330338721855302886e+00 6.617065480313987891e+00 2.056829744762286527e+00 2.153471505369352612e-01
2.854608427453964037e+00 4.194922716513032057e+00 6.262587105232109153e+00 7.481210298746926446e-02
1.910421532970730363e+00 3.479285993512998942e+00 1.488944348183136590e-01 2.167181077685824409e-01
1.928601329205003267e+00 6.898213667388006343e+00 1.665587360400473838e+00 3.007182236066769376e-01
1.654682376992339110e+00 5.456220258643209142e+00 5.280960914926662753e+00 3.428570751555741758e-01
3.321771634652403549e+00 4.058035367542135674e+00 4.169953061915551373e+00 7.755821030947067374e-02
1.248940860728953162e+00 6.367925973162051889e+00 -2.902166019915810580e-01 1.510567846759517940e-01
1.685502987205143466e+00 3.930873691861183961e+00 8.215104324696808069e-01 1.326461271667802866e-01
1.637860909135093745e+00 7.268238708904600109e+00 1.452301717380158230e+00 2.343216661103558751e-01
6.601776973840500773e-01 4.936088762934133456e+00 2.534199865045775990e+00 1.930632243165352202e-01
9.959119153626525556e-01 7.282017762730985666e+00 1.049869042544624875e+00 1.748863176177915535e-01
2.492591049410102233e+00 4.088886825888924825e+00 -6.670902876752982102e-01 1.245444167703048804e-01
1.198942565356890366e+00 4.259457212989827823e+00 2.490781836786718273e+00 2.290781597830418848e-01
2.065460386671083004e+00 5.741509890578849529e+00 -5.475748390913840469e-01 4.703135553313422812e-02
1.195940155232577684e+00 7.491919144586908885e+00 1.920484014402737527e+00 1.920405391379406412e-01
1.099091245999501698e+00 9.214658226156116072e+00 -6.132002449540749911e-01 1.745277351962397361e-01
1.655992962845967309e+00 4.617563388845662864e+00 3.156465838940448076e+00 3.201586498373399370e-01
1.486357752073346639e+00 4.308402840093446429e+00 -1.718961199435475429e+00 1.834443544380047475e-01
1.536549164145705193e+00 3.896884350185878976e+00 -1.515958382833653140e-01 6.521134367507862295e-02
2.432730885636320117e+00 2.836316627712548666e+00 1.791885646345640293e+00 2.206114092983388897e-01
3.209154877999798039e+00 5.328989202972678640e+00 5.981838529450362429e+00 2.985452283399087636e-01
1.672499070589221537e+00 7.941563563213065002e+00 6.832031945054357180e+00 2.731946716728432811e-01
1.335909217242179592e+00 3.498977102480449908e+00 4.877660326434834381e+00 2.687068412428459951e-01
3.068419507502187837e+00 5.825344514465063739e+00 -2.337165529336668879e-01 1.341534065175485346e-01
2.221303818888367587e+00 3.687947741614185482e+00 3.669518290682445283e+00 5.404795594808445847e-01
1.571486915777748905e+00 7.049570560218201720e+00 2.291591237233785439e+00 3.167612968041838561e-01
2.115363358557416529e+00 6.151182374405507858e+00 5.824730446354542401e+00 1.729953990601672542e-01
2.066653244482943297e+00 5.899922207990620393e+00 6.842776606865649924e+00 8.486282101653569443e-02
2.390829822034186591e+00 4.157396893780134661e+00 3.377352305189235793e+00 2.949639965772743455e-01
1.694334804349019841e+00 3.351539221442344285e+00 1.002803843425788877e+00 6.979947635267245987e-02
1.087131833406795645e+00 4.563818621946023057e+00 3.641835015115724161e-01 9.703915685033213945e-02
1.377549579305510141e+00 6.945327146553811559e+00 1.844149386683468395e+00 1.189402843580851382e-01
7.340191131744617792e-01 3.108656816635252618e+00 2.891630329995862780e+00 1.506634852375457190e-01
9.842873291445266570e-01 4.280432420141332628e+00 -1.366288878546634944e+00 9.704243482318730685e-02
9.512146409803414748e-01 4.495453841447348609e+00 2.500092250842498309e+00 2.732042874855640235e-01
1.463739764471044369e+00 5.178815257720856380e+00 5.282920462683215135e+00 1.313470321901023252e-01
2.165430086099723539e+00 5.979305659682959906e+00 2.935630386024870919e+00 1.474148131560245045e-01
