# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
4.231537994625236276e-01 4.803670118512506804e+00 -1.840047937749756279e+00 1.103982369087488369e-01
1.005443540323228024e+00 3.272718226742870495e+00 3.965457727979772695e+00 4.458737612983081355e-01
1.243502079481396905e+00 9.652527472042137902e+00 -4.685800837539674246e-01 1.797547718159670238e-01
2.604023846903472439e+00 3.322164366549002601e+00 7.875828383173841818e-01 2.618565648180264382e-01
8.793319269166827157e-01 1.395641742333724800e+01 2.154512245869264042e+00 1.044478142916337726e-01
3.176688827193009157e+00 4.856363252447405188e+00 -1.619044535912023131e-01 2.762974426397289407e-01
2.102448998845928951e+00 5.388713556186472076e+00 -5.866548730495950714e-01 1.980171354954218255e-01
2.325116691842604943e+00 5.780952430666408404e+00 3.874682028387895105e+00 4.407660152168892953e-01
9.999182229147016709e-01 2.771190020038097224e+00 -1.280880243504385785e+00 2.496822925193364073e-01
1.723934096615514999e+00 5.916190492008355228e+00 8.257163775431708430e-02 3.161832672731528793e-01
1.498749571580777484e+00 7.927531307461972432e+00 3.487684480202199566e+00 3.938973148928857637e-01
6.104067342680055130e-01 5.927054333537775221e+00 5.644853891576260274e-01 2.285010446622239011e-01
2.084871537990825807e+00 4.968207509577464265e+00 5.283671186088045424e+00 3.496203703815390362e-01
1.556711628175514672e+00 4.952130072736104616e+00 6.281331711408776330e-01 2.714334354605436594e-01
2.237184900589962666e+00 4.188542187957005503e+00 -1.458432408871624952e+00 6.743916432151890461e-02
1.041429634421652484e+00 1.265454695179204592e+01 2.838216938404474199e-01 2.414819309970839267e-01
1.210975163747129768e+00 7.106772254350959273e+00 -4.423932784762822923e-01 7.956800559087999491e-02
1.569230871850322950e+00 5.635794191730262526e+00 -6.575729272418127103e-01 7.565363112283990388e-02
1.103907586490832982e+00 5.963449376644951450e+00 -1.017458028549837135e+00 3.010795373958279342e-01
1.946537772919477938e+00 7.018290412893133379e+00 5.767189404977689726e+00 2.840324134696387004e-01
6.943886251893898187e-01 4.307728389080673459e+00 -4.966845368629807522e-01 4.158567649801231947e-01
3.299912224396212679e+00 3.913785211088157467e+00 -7.477125535117213895e-01 1.748613988496106608e-01
2.441570435673410255e+00 3.226609858435081968e+00 5.437577443642591213e+00 1.852397498102573425e-01
1.580280984737270078e+00 1.015291599463132499e+01 5.711195004823899524e+00 2.368896018868210940e-01
1.161923873411949915e+00 2.739432044493161023e+00 3.644229955548247801e+00 2.444443671900406456e-01
1.409106155454191489e+00 4.504760591318979657e+00 2.532680298299430532e+00 1.174678369356251251e-01
1.967895848120286395e+00 3.664642102992121231e+00 5.667962971402893402e+00 3.118385901978636965e-01
1.213117373369119179e+00 5.957742367282313545e+00 3.008902190907544849e+00 3.252641519122930758e-01
1.946877853203930364e+00 8.272595212781883589e+00 2.689580794010455911e+00 1.182860501496073719e-01
1.233110659201362092e+00 8.605609410225879330e+00 2.181366498340974847e+00 2.085289837459287643e-01
1.564835765860706829e+00 6.577045954559287644e+00 6.311306789163183772e+00 2.798637481695932516e-01
1.152751096762421490e+00 1.298602136401772000e+01 3.747035980649575659e-01 1.032910055845593089e-01
1.670134421347154507e+00 1.215411642730525266e+01 3.988164037235009118e+00 1.810625813793259875e-01
8.289399857232189195e-01 4.122437487325857575e+00 5.318816653209395007e+00 1.453693642885908188e-01
1.541368610054870247e+00 5.482520956454568051e+00 -1.342792415360525515e+00 5.118002669022334028e-02
1.967506082394783640e+00 4.997095524831383528e+00 6.237918036960346413e+00 4.678903350949173978e-01
1.901352905704412066e+00 8.594636278357809189e+00 -4.966272865081047261e-01 6.878981590602298302e-02
3.616243395951665551e+00 8.857457467396866235e+00 8.379514689018274787e-01 2.611190241429906522e-01
2.160793574011129703e+00 5.478335167294083874e+00 -9.407403955778333993e-01 8.163464944414380864e-02
2.085508186623942883e+00 2.583687104290342873e+00 4.245600257059633620e+00 2.890173900956011233e-01
1.112285699731781596e+00 5.326723319396231560e+00 3.371826904188762519e+00 6.216522480570511183e-02
1.641230148082942542e+00 4.401405529566149610e+00 -1.108716289402726707e+00 3.216397451939457808e-01
2.734566360759248305e+00 8.455193862069723565e+00 3.699747482249348796e+00 4.784493296054646017e-01
1.654757537302560033e+00 4.308330754735802515e+00 -1.567273184027806687e+00 2.493670644299876560e-01
1.324346228341410692e+00 4.308969736349117063e+00 -3.808008134922771792e-01 1.108134078988588095e-01
8.409431562243969704e-01 4.320386685147602712e+00 1.555189453919238796e+00 1.513459874820010653e-01
1.637050783645283003e+00 4.305435387687467141e+00 2.857371236782389357e+00 6.570419571153041094e-02
1.568389086992036940e+00 6.975435397484394784e+00 5.267891492263871100e+00 3.383885451233581421e-01
1.207047521761535958e+00 5.554825819425815325e+00 -7.949909959754312139e-01 1.169548354471084961e-01
