# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.167361207409651325e+00 4.490328566536023303e+00 5.757965069661937996e+00 1.871901833842177509e-01
8.117400073926008819e-01 3.253807935906408044e+00 2.395089331810729583e+00 1.348509773295588632e-01
1.225140903978972240e+00 5.392596726130121532e+00 3.773293344300210350e+00 2.299668139381335352e-01
2.707395380534435514e+00 5.870462724736154492e+00 2.690440824813535414e+00 2.249571654613524985e-01
1.002506621786990904e+00 6.758962729428177774e+00 5.084213041744012784e+00 9.667096768115611416e-02
1.594025736726348619e+00 5.878257545389219629e+00 6.992637475864433405e+00 2.392655135144118872e-01
7.742021696702308109e-01 7.168198627279527280e+00 5.221433920818350227e-01 1.159840587504795267e-01
1.964720570079209638e+00 9.969093464037101171e+00 -2.857753718844460167e-01 2.467866135461923571e-01
2.079845243479355510e+00 6.656169858084163948e+00 6.333130522143672003e+00 2.877849384131762056e-01
7.982979218995610582e-01 3.950198649125251205e+00 -1.398753913810197647e+00 2.181449498983014657e-01
1.430386079629312857e+00 4.114212237459726751e+00 4.534814982772000569e+00 2.149261781366213486e-01
7.577225639903130139e-01 3.186387929605399183e+00 -2.890911802768312278e-01 1.502395676434930272e-01
1.282081762369271072e+00 1.064394551963459890e+01 6.669991204389452477e+00 2.623858687658374156e-01
1.961967377677135804e+00 7.586320977581885394e+00 -6.071896709820108207e-01 1.757765413556496015e-01
1.927127752726158771e+00 4.848194074343437521e+00 7.454642768755145532e+00 4.546747161853905567e-02
7.801875732822824983e-01 3.891207794817769017e+00 -1.692424958410528202e+00 1.566624527814079182e-01
1.224340817086434940e+00 2.296746997091998921e+00 6.094447828727390437e+00 1.113284837121095439e-01
6.866143046561862251e-01 9.128437414310399234e+00 3.654907179305870280e+00 2.688080934926209697e-01
1.468977749365034891e+00 9.353693132888055928e+00 1.569650893138677894e+00 1.026929519015202658e-01
1.853409175813918397e+00 5.048873154802148377e+00 -1.555762633072329759e+00 3.897787586023978568e-01
1.523818920946757638e+00 8.303488858762678504e+00 5.192875707785480799e+00 7.397235779377701881e-02
9.763593066412745713e-01 4.092174268619061195e+00 3.492631098250058574e+00 1.483448126071884032e-01
1.383651462899310181e+00 8.413122737340517077e+00 4.406218025838322117e-01 1.859920906242873428e-01
7.039380176141805112e-01 4.872555818627886559e+00 3.058683902196993043e-01 2.466742010179052980e-01
2.213596812947758785e+00 2.652133258519810521e+00 5.979026143142419869e+00 1.866321819914405489e-01
1.409757156166679071e+00 7.966416665246727646e+00 5.327207685109382140e+00 1.389392976246079936e-01
1.417028731556971843e+00 5.125750549043592841e+00 7.054078806427902748e+00 1.267934535728433842e-01
5.867270757290700134e-01 4.634011986205183398e+00 9.550468443247773775e-01 2.789209126338278860e-02
1.728421349551010788e+00 6.903076826884124273e+00 6.192441083594159679e+00 2.515336466416367989e-01
1.639176833823327240e+00 4.970274509389861706e+00 7.035959196407784333e+00 1.372573692766896336e-01
1.373371839721876375e+00 8.259393031610194669e+00 2.303168510048104967e+00 1.270447085842126567e-01
1.086016454197690662e+00 8.942936962214616869e+00 3.242212129913333740e+00 1.199477809394483979e-01
5.500808561019738807e-01 7.395207149394796176e+00 5.351348153587403011e+00 2.402984523020710861e-01
1.438167416840580248e+00 5.695857393056870777e+00 5.154455319929038382e+00 2.098065159659586731e-01
2.692479788041584499e+00 5.953632682691397449e+00 2.765166117827231318e+00 3.357600826369719904e-01
1.336902745491360456e+00 5.354692244502671450e+00 6.461363206050602770e+00 3.017152398673491609e-01
6.064324620983951863e-01 3.007923019004720366e+00 4.583350729641820109e+00 1.193715004305875432e-01
1.012511827557443400e+00 3.555377716183918402e+00 2.981882778621710806e+00 1.262298032759906485e-01
1.945049499621297029e+00 6.895133942556108231e+00 6.704904387446142255e-01 1.646973945398424455e-01
1.464613492315092413e+00 2.540066833632963927e+00 7.063664399258295923e+00 4.221423348603119963e-01
1.386740688379050290e+00 4.549746800026894356e+00 6.404723300184496537e+00 1.722347957131331042e-01
1.867732430750812522e+00 4.278485402986505370e+00 6.851822984553332496e+00 2.337620394241575750e-01
1.565910252644857614e+00 3.565659910742808414e+00 6.691559219277613657e+00 1.268865351366942895e-01
1.590514471365504168e+00 6.723743030295955769e+00 2.362526405504831395e+00 2.534007316448530500e-01
1.693117257392107389e+00 3.563369891577945037e+00 7.031371988480129787e+00 4.400553821383919040e-01
