# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
9.071748146329240425e-01 4.091479644003071847e+00 8.878004466513818471e+00 6.060487393066767148e-02
7.756442852738312244e-01 5.531818874893586369e+00 8.806568878896896990e+00 5.655568427742901916e-02
6.585061217399664768e-01 5.095300413231946379e+00 8.860671725998551906e+00 1.563657819422865566e-02
6.072737277539180800e-01 7.242384552061021274e+00 8.786666567283806017e+00 7.145046873360542949e-02
7.785080434897955204e-01 6.682556839074387689e+00 8.827202693967111102e+00 7.490690064340717325e-02
7.719633999189018381e-01 5.133466855828720199e+00 8.857478886798586970e+00 9.183483913913154106e-02
6.669670525159278052e-01 4.886581058512255105e+00 8.710136803070255951e+00 7.123834555378627531e-02
6.126969553031788029e-01 8.793280541203944978e+00 8.769714968532221988e+00 2.065609597558683980e-02
9.453579997754956166e-01 7.083495623838190092e+00 8.846804317654376248e+00 5.656775764472073142e-02
6.978768276635256562e-01 6.861042212277974173e+00 8.805262726203130441e+00 8.080820972723599949e-02
2.535282051926331937e-01 3.868486351730153316e+00 8.818927671832089032e+00 1.281457163738779215e-01
4.576657222177581419e-01 3.431056656385480963e+00 8.932660037176082923e+00 5.028744693499902219e-02
5.830071650142991668e-01 7.682464255098777173e+00 8.928497280189764851e+00 1.397356400396829734e-01
6.090726223890835511e-01 6.277912595565358522e+00 8.872039679201197515e+00 1.700664388829869755e-01
8.592216059475078493e-01 4.983035606511204918e+00 8.875150760665530214e+00 3.018568285329430861e-02
6.377587212053833499e-01 6.603957794762047584e+00 9.090557980980470631e+00 1.572198342137355043e-01
5.588154119978187007e-01 7.406076470931369116e+00 8.646067376106591595e+00 8.704010180908346161e-02
6.523552687165001807e-01 3.949035863028703019e+00 8.826007245216981545e+00 1.473076999387597785e-01
5.082198705442917408e-01 8.645369533593976641e+00 8.949824812848758526e+00 1.003237798712189877e-01
6.954470022616938696e-01 3.648521841111009856e+00 8.870552596776592580e+00 5.260629184856523144e-02
5.277647759005332784e-01 7.547964558155598525e+00 8.902304435171565444e+00 1.313545913208082616e-01
6.918022745244806204e-01 6.192465708535859648e+00 8.871506963422874037e+00 3.553938082030561746e-02
6.235912679401069969e-01 4.307670470898076864e+00 8.702276188829156212e+00 7.922702966091828281e-02
4.253056465193796876e-01 7.435740749585357356e+00 9.080876994428860982e+00 1.446740938142983268e-01
6.050803549045675744e-01 7.161944283714232640e+00 8.832269858508881910e+00 7.830791066196975125e-02
6.232753740783635310e-01 3.478215513954888483e+00 8.935610339130599655e+00 4.582959872023585624e-02
7.826018257761071517e-01 5.569363795758602187e+00 9.002108701298118021e+00 1.450824994796399703e-01
6.402604620595780949e-01 1.352543839502559742e+01 8.799144072796373450e+00 1.437796346416931048e-01
6.772928402279431159e-01 5.951913098567766625e+00 8.844947776807883244e+00 8.196816058242527292e-02
8.757400670130160991e-01 4.284581976370805734e+00 8.851633492708073092e+00 8.291281332651484481e-02
8.573526099564839908e-01 3.339340398788398723e+00 8.827579031331648451e+00 8.079613808947233577e-02
6.738652004629175352e-01 9.120317298290681052e+00 8.723459731943950857e+00 4.815700409139717086e-02
6.082732101399367375e-01 8.507788383957992195e+00 8.882644367228490268e+00 4.782495567581341450e-02
6.923339858953031500e-01 1.382399670219245458e+01 8.834377352877298861e+00 4.848369358475954766e-02
6.480523311886347004e-01 4.242966690528033880e+00 8.912629924132755121e+00 6.066607420938567585e-02
4.415121623655495764e-01 8.164208011522159580e+00 8.852729983786382206e+00 1.111721516526140152e-01
6.782357936330063453e-01 5.329249165647708786e+00 8.753169971538392602e+00 3.354478602000356136e-02
9.467596227338430648e-01 8.454323484712574555e+00 8.835315930016419017e+00 7.999720783123595580e-02
6.564335183992330292e-01 5.665505221489284260e+00 8.899630878332384754e+00 1.062389407665298435e-01
6.665693759319100131e-01 2.970495437767625369e+00 8.841330411255485799e+00 1.193225695872014297e-01
6.179026103619131849e-01 8.656601290745522093e+00 8.825260463869563310e+00 1.088576134822212965e-01
4.633787095244800147e-01 6.953927028406129196e+00 8.775593853768109298e+00 7.385091990566594600e-02
6.835960606045716759e-01 5.626980139673871228e+00 8.624299414989001988e+00 4.138804833281589657e-01
9.363730280365917258e-01 5.352927695940750574e+00 8.829761166411936202e+00 7.533183836146280232e-02
6.078931156659532764e-01 7.391544224698288978e+00 8.786743314132161586e+00 6.703121086826728525e-02
6.545089287938249401e-01 9.586618776541637743e+00 8.740775531655501140e+00 1.515328175966750290e-01
5.349497729390040313e-01 6.532314321950567937e+00 8.861913242367629451e+00 5.379371085720420498e-02
6.146641175383644740e-01 1.832956584529831545e+01 8.838215313927609174e+00 6.012115964272233409e-02
7.241358562721531555e-01 7.821961935833056323e+00 8.787947274095923689e+00 1.432942690126787488e-01
5.461078335436022613e-01 4.795441430798224935e+00 8.766784635505512568e+00 7.114016632430907039e-02
5.938235609548261351e-01 1.552947468808329035e+01 8.821420809467902302e+00 5.012606678461459936e-02
6.546876973192563565e-01 8.918596736045401485e+00 8.715403514284265185e+00 9.002368215518888328e-02
5.583120347336842926e-01 5.944334722971042595e+00 8.807934742449868182e+00 9.222886709817627870e-02
7.485272659373488624e-01 7.725814236701359583e+00 8.844469541478334307e+00 8.577813713192440626e-02
1.035382091961161377e+00 4.530858147858462637e+00 8.732301650450116526e+00 4.499488111086390879e-02
6.699506447534464559e-01 6.970026367890378438e+00 8.836582681518526883e+00 7.540777502068651827e-02
6.048544161375311035e-01 7.829951852882721219e+00 8.721416599006223791e+00 4.756008038303651680e-02
8.801329070136355570e-01 6.570100466606501044e+00 8.867233459690165631e+00 1.203535717342440470e-01
7.990649288932026861e-01 5.636957260198396824e+00 8.812275414445684518e+00 2.084177593920796129e-02
5.887556230761399334e-01 1.059408285406298589e+01 8.789490266322781409e+00 4.454247001922986837e-02
4.667877030929645232e-01 6.979064472475000613e+00 8.885477659326793898e+00 3.375108119798001655e-02
8.381174708169260024e-01 6.342513968400760760e+00 8.816519008360433673e+00 8.704150692593740080e-02
6.607189174849282809e-01 2.945419129865371577e+00 8.816538207141009664e+00 6.795498871825308984e-02
6.982203388696741619e-01 6.101595672467958309e+00 8.696857286786592312e+00 6.671657509661294005e-02
5.627175096835651535e-01 4.347382859412163292e+00 8.771969076484877448e+00 8.518344292752011437e-02
7.692389912663815110e-01 2.830592841506783142e+00 8.779096132972883382e+00 5.727592144455582318e-02
6.731322083998992900e-01 4.414418512201327083e+00 8.788195453516246758e+00 1.643337311675003298e-01
7.607721203920742026e-01 5.422793893166754309e+00 8.779225771992434701e+00 1.656228684143097873e-01
7.224610844591488057e-01 2.786206052517305132e+00 8.910378287205313441e+00 4.298343909885205677e-02
6.175309326971021306e-01 4.930310540797554708e+00 8.734606994764458676e+00 9.280007279037755241e-02
8.911016725886979906e-01 7.747853334786888979e+00 8.864003386257461869e+00 3.213464370171079110e-02
5.750025278275389118e-01 7.531908690901369496e+00 8.895836947899748992e+00 8.466098337275633490e-02
6.445961466080146751e-01 6.880498544243203618e+00 8.794147092263774113e+00 5.284463163764963056e-02
7.554522488956731952e-01 4.483998607330661912e+00 8.832296652925068159e+00 7.623481608160158352e-02
5.970830865272739318e-01 9.369916419713081979e+00 8.861893963042955846e+00 5.193591989419924643e-02
7.742294863197459742e-01 6.645307306885928078e+00 8.675131943101206389e+00 5.998541345601848818e-02
4.925075650568246366e-01 4.887384791121101024e+00 8.891791214734157123e+00 8.373105212832904209e-02
8.474724996315609049e-01 4.572518070749785224e+00 8.942015823412010178e+00 6.625991348870910458e-02
8.103151618585524574e-01 6.094303882946001671e+00 8.707937753854906759e+00 7.936767359224448926e-02
7.291165527886298570e-01 6.136132480232570074e+00 8.824201399523465383e+00 8.539733792110854038e-02
5.223866379748092204e-01 8.252506421436526907e+00 8.763018236946274797e+00 3.545337664472000827e-02
6.866919842335653668e-01 4.629572081014270424e+00 8.690276309082365813e+00 7.019915953518074403e-02
6.126898700767083872e-01 8.959787525195508806e+00 8.876025547601855692e+00 1.147027652759576577e-01
6.850417697382904514e-01 9.208527344714207530e+00 8.780415434342213388e+00 7.496345179175531448e-02
7.756577104323048033e-01 6.871899163683721667e+00 8.851779463978360241e+00 9.711768674713952554e-02
6.657635931778262961e-01 6.873865048307581382e+00 8.881520193269054175e+00 8.956504672987559978e-02
6.274024053456269678e-01 1.436021908753882848e+01 8.619847828922324595e+00 1.084781344915377727e-01
8.950937508579019930e-01 7.913418981934949414e+00 8.737030233521275946e+00 3.358623996377324561e-02
7.279536806661366377e-01 5.121888108885337410e+00 8.837580870898904095e+00 3.439079651534027865e-02
