# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.565566637504092418e+00 3.676220831358480101e+00 4.560968465443180797e+00 3.692683243613352484e-02
1.712357686214860841e+00 9.778019396470627456e+00 4.697930637621053229e+00 8.708614352767435340e-02
1.802455293314313867e+00 6.090820952694586232e+00 4.623414184676592598e+00 1.331865990399674904e-01
1.197799490884873030e+00 3.382229552068791278e+00 4.584005257199712524e+00 9.095132044464375454e-02
1.671380484343870432e+00 9.317540765646119993e+00 4.492239602784459329e+00 2.301947408616918656e-01
1.722923221858377651e+00 8.621570600426986530e+00 4.416565422137011865e+00 1.779420208931091762e-01
1.812034606887043209e+00 5.115415555173386863e+00 4.279482972278054298e+00 1.647065880330254584e-01
1.280732679220540682e+00 8.438508259890369345e+00 4.557822397471114506e+00 8.817373504223238734e-02
2.370123786899770657e+00 7.955849152261354362e+00 4.758674552847114825e+00 1.166889418472957518e-01
1.400504725107470261e+00 6.429936254220854686e+00 4.683516227048299285e+00 2.086201646246484964e-01
1.243849030050046434e+00 6.644791173752970792e+00 5.374508555688815470e+00 4.472022286610751740e-01
1.899756535423366755e+00 4.354647371527687660e+00 4.588820785972248295e+00 3.589424238043026905e-01
2.192302586451737589e+00 4.107586911083495274e+00 4.630738990141871625e+00 1.211635047271604482e-01
1.508049817179833774e+00 3.552679105631550538e+00 4.532658087543371295e+00 7.034350047999911315e-02
1.417048684315311169e+00 8.894719622161863626e+00 4.623009977735714315e+00 2.274713765072639837e-01
1.603623705145241995e+00 3.269034299599431925e+00 4.645927074972362014e+00 1.291376171733950029e-01
1.826519506663208725e+00 4.503068993729618441e+00 4.574849631946612760e+00 1.320368159714394030e-01
1.682436060613212714e+00 8.412961165796371432e+00 4.673545046718682094e+00 1.744647597937491745e-01
1.655825563725441985e+00 5.504388308313016509e+00 4.626337182840219775e+00 7.695674716712895547e-02
3.501410910493998330e+00 3.710707444589738113e+00 4.611030075472836387e+00 8.866868406027418603e-02
1.758310162675702504e+00 2.706586698274342062e+00 4.572751078592160567e+00 1.786283349744627880e-01
1.591591393200133098e+00 9.001954427526792202e+00 4.713171647669026854e+00 2.246521701428501328e-01
1.970845529843539445e+00 5.782368231890191446e+00 4.588354708747443667e+00 1.292545909140227767e-01
1.464987287298109342e+00 4.593942612871255271e+00 4.337171543615581548e+00 2.368221903148450824e-01
1.467645463313324017e+00 6.683076277981112590e+00 4.315466290954791617e+00 2.604225461172205436e-01
2.113356037605474746e+00 3.411142674257724217e+00 4.700603838511224986e+00 1.910087024395576150e-01
1.778640619845937021e+00 7.312931979297954577e+00 4.631587228487153318e+00 8.272827079479326551e-02
1.636550770518768516e+00 8.493731206924913124e+00 4.636830351972969666e+00 1.686413552025052831e-01
1.104963489832732737e+00 4.533301738631539735e+00 4.527037000807919043e+00 3.475273881143169930e-01
1.573255296925279989e+00 3.502170992814642947e+00 4.509588883853576036e+00 1.392152549382891791e-01
1.553915254387348455e+00 7.421467597161016450e+00 4.758023826118705557e+00 1.037419990664814329e-01
1.634471461361796107e+00 7.839779593688732007e+00 4.619311814379335246e+00 5.476159653284926737e-02
1.994651156123875113e+00 8.039744802795350864e+00 4.565118196155154351e+00 9.089658574804582170e-02
1.839187502431074428e+00 6.989254843492317626e+00 4.326817131759756130e+00 1.759198775337274534e-01
1.745157753039771276e+00 3.521778528224058569e+00 4.610588640737678823e+00 1.935271848718035925e-01
1.567544570787627656e+00 5.185559003142458323e+00 4.649388225888741566e+00 1.085673195878739394e-01
1.879202519916757241e+00 5.687151512427152333e+00 4.378843061914276191e+00 1.145614816629572374e-01
1.588701015825830121e+00 8.435820942217379326e+00 4.378943682792106884e+00 1.982153476724699825e-01
1.492056994420952964e+00 9.708163411177446633e+00 4.598196526924392735e+00 1.371471108299688602e-01
1.114844274628562504e+00 6.538890612945656322e+00 4.364143348159903901e+00 9.540979355028485209e-02
1.507703110807586899e+00 5.223194489292628973e+00 4.689385138828980892e+00 1.323656446627338723e-01
1.597411736305481833e+00 7.385486684219947584e+00 4.638070153645460714e+00 2.069271873205565104e-01
2.090706690159000569e+00 8.535889501538736823e+00 5.023507591104053205e+00 2.688481071002570832e-01
1.606297318822764275e+00 5.020412803435097437e+00 4.792706359147178574e+00 1.874314429451106878e-01
1.427894019486292798e+00 1.058673606178746951e+01 4.497793888701440146e+00 7.794933727551027480e-02
2.208231740343253424e+00 4.445311832656880568e+00 4.480565595356434727e+00 1.403684688525345114e-01
1.934552600893309604e+00 5.000762777876638587e+00 4.716788811862710595e+00 2.282282275592824317e-01
1.935253702026869638e+00 6.323884173514976226e+00 4.495571756918038453e+00 1.158699386357334715e-01
2.061315276103955263e+00 4.315579682796415462e+00 4.019099140114422042e+00 6.076111683780041073e-01
1.656433180153571882e+00 2.661874796429282153e+00 4.662849119209017346e+00 3.277742654847650705e-01
1.967899875545451316e+00 5.668149017264507705e+00 4.464649300045460123e+00 1.493637864559130279e-01
1.393275372697130532e+00 5.572366666078655051e+00 4.420056015433551089e+00 1.764475509705381306e-01
1.566083106601232622e+00 1.233782079403255416e+01 4.508188001884832374e+00 1.433830768795121002e-01
1.345865945059885327e+00 1.004022650054035459e+01 4.559713042605191724e+00 1.510555542301964260e-01
1.500923537720473933e+00 8.602178455826274828e+00 4.554773690678268316e+00 7.844527277381219132e-02
2.362566794845822216e+00 1.019269446336002183e+01 4.331763856288052494e+00 2.915338113903872541e-01
1.394078293668299828e+00 3.814928322322544751e+00 4.482159274668583215e+00 1.069375193830597315e-01
1.211371286006138082e+00 6.942896081872719449e+00 4.566928382126127950e+00 1.005915489428368947e-01
1.725347228159002988e+00 9.503596684338754486e+00 4.703427735611662719e+00 1.138258020144320426e-01
1.012882304594881600e+00 3.740069143497541049e+00 4.566774253559571228e+00 5.969355413041192715e-02
1.634729359750727085e+00 6.240462120602941809e+00 4.853834797258865130e+00 1.306899289065031056e-01
1.420274475685616933e+00 3.645630439042347959e+00 4.589738081873036890e+00 1.292923237197934894e-01
2.224361774225967814e+00 9.177989577512995822e+00 4.705825865787029549e+00 1.120720682514505934e-01
2.271349098768779662e+00 3.426680726017134138e+00 4.570963724397470784e+00 5.095486881144962316e-02
1.648462721539146747e+00 8.432900912076338074e+00 4.458408044602748532e+00 1.578267765369822662e-01
1.554137222359399884e+00 9.509824524599318707e+00 4.645924862430918623e+00 2.130460569187224706e-01
1.712808424195282342e+00 5.524269419459416852e+00 4.631798576540547607e+00 1.099746622131165252e-01
1.284304236465170002e+00 1.059063679967010430e+01 4.419737447562505750e+00 2.138676999107260168e-01
1.658946981539138665e+00 7.515694784812241735e+00 4.602603209854949640e+00 9.180758430111163326e-02
1.713798221907674613e+00 5.446298970424541253e+00 4.525753958633102592e+00 3.386553600546731713e-01
2.085618220289104485e+00 7.426721560920734433e+00 4.710133267567793602e+00 1.734282259835686624e-01
2.135343280283498402e+00 3.714609201456858578e+00 4.880114638811929417e+00 4.879193767587638453e-01
1.918949579211916001e+00 6.863252721920564348e+00 4.688955941391959037e+00 2.835959630492068118e-01
1.554457367619575425e+00 8.484502519844230761e+00 4.769231831280345446e+00 3.455590816445533453e-01
1.671170746215441927e+00 7.387215344507343850e+00 4.443352308148325491e+00 7.248374266317700321e-02
1.957217641908128414e+00 2.520538242625720571e+00 4.716292403965239188e+00 8.849064130469019851e-02
1.580274058410785276e+00 1.105404384543061092e+01 4.557857860680804230e+00 1.992360509750071840e-01
2.165770115493612202e+00 3.761197578729436497e+00 4.567402554518821489e+00 1.928341705356039770e-01
1.364262480164347036e+00 4.369992106363405071e+00 4.756618993027522002e+00 3.084455896317960799e-01
1.629404054320318318e+00 4.864502089411789854e+00 4.565850595836564274e+00 1.484941446571128310e-01
1.768781224952634457e+00 4.473828717058913718e+00 4.278499778636328799e+00 3.082224354806977762e-01
1.563770318337245335e+00 7.129984720315729163e+00 4.587712533775754054e+00 2.364809165307980576e-01
1.824616853314987797e+00 6.329181846867508732e+00 4.719138754153262560e+00 1.509628468248045141e-01
1.451960433953018770e+00 4.378823074905235480e+00 4.628187654949127428e+00 1.370800074249462208e-01
1.623002459050689295e+00 3.263780372921210926e+00 4.137509659202504686e+00 2.580600952467442255e-01
1.398487154384371989e+00 6.054170953257544951e+00 4.698981881359485691e+00 1.277872931935596645e-01
1.800541541882402008e+00 6.781199226275263392e+00 4.730578054732718307e+00 1.694565023840477747e-01
1.833593204351646966e+00 5.166815395848717962e+00 4.720324121433502995e+00 2.784260722595313653e-01
1.564016080105869566e+00 6.485405669374266324e+00 4.682958765199686013e+00 7.079886295184334433e-02
1.205514249179718389e+00 4.071123732414967833e+00 4.736166144061590089e+00 9.802037159620190232e-02
2.313010902637319788e+00 6.521310637615064465e+00 4.483377322755751848e+00 2.455120763105126391e-01
1.808835536853621750e+00 4.708272066755456287e+00 4.617851503244389200e+00 1.081003648413888935e-01
1.037249933973222848e+00 5.088309049587716792e+00 4.878269289711883339e+00 2.089961053550237757e-01
1.536882823865089787e+00 7.700858715198227067e+00 4.589658388928587129e+00 8.593084123904741467e-02
1.378369260872646329e+00 6.169402930648535843e+00 4.583608274125012372e+00 8.124644272305471537e-02
1.514812622432970768e+00 7.131417756102881533e+00 4.711004800361405565e+00 7.562487776074504342e-02
1.636054649993964327e+00 1.109245140240004623e+01 4.571340194653819466e+00 1.691510542615141666e-01
1.161322297269718806e+00 5.348631469627470381e+00 4.413013623684845399e+00 2.739802346914142483e-01
1.507249078640111817e+00 6.846423801356640304e+00 4.842247572917441012e+00 3.003192159596855260e-01
1.636526823178955814e+00 9.558235934743294138e+00 4.784135455889629185e+00 1.164639270895175965e-01
1.455210020711011465e+00 8.034141806164615929e+00 4.609522183836593179e+00 5.542198494398551528e-02
1.461354757712872265e+00 5.539158634610656939e+00 4.509063040830492142e+00 2.078296545920507443e-01
1.699089353111998379e+00 9.207331317459154008e+00 4.702560611282694758e+00 5.368354174582008059e-02
1.619667874667142238e+00 8.718220784994688444e+00 4.560330523636649147e+00 8.208475646059157360e-02
1.938820383552321669e+00 5.854885139501497804e+00 4.256017640306247962e+00 2.698597110023287504e-01
1.816458323872762959e+00 9.513551189102621208e+00 4.680101650221028642e+00 9.697901815032942963e-02
1.350712343592608278e+00 8.953095267432212623e+00 4.559868083102196046e+00 8.982502652750501415e-02
1.584962436093436677e+00 4.115600950802491553e+00 4.369323718171147064e+00 2.222400720213018044e-01
2.366355752347118369e+00 4.773858906363895649e+00 4.631915843313100467e+00 4.186567275472620475e-02
1.000594564410763443e+00 6.046235791932111248e+00 4.617979034511031422e+00 1.188898975680803272e-01
1.343867045064125243e+00 4.451209627985403650e+00 4.696894106858452211e+00 2.291722856273477604e-01
1.479250102898118424e+00 7.933518851554462792e+00 4.638623095966956100e+00 8.025424106853024098e-02
1.440615114118486861e+00 4.893209654079928583e+00 4.512275435454798256e+00 6.520497194639837679e-02
1.541032038400387938e+00 8.385376977493503858e+00 4.720724857628655791e+00 1.201681458961341153e-01
1.668859306911448792e+00 6.742637097122816670e+00 4.482834955963345358e+00 2.124485518922584193e-01
1.344050640230721738e+00 6.373559604618047381e+00 4.581746202023276204e+00 2.058678768403302550e-01
1.789692839886803721e+00 8.350611342943752291e+00 4.876308607288699193e+00 1.104253191073045343e-01
1.444134325687643106e+00 1.053044031599953101e+01 4.398704061547665134e+00 1.354918211123813387e-01
1.398111690083997161e+00 6.994403893053121379e+00 4.612872964891775673e+00 1.132701572632470177e-01
1.672560450857503600e+00 9.768507172292320462e+00 4.576628249975084550e+00 1.294768470929772430e-01
1.244456844812881435e+00 6.241070243046519472e+00 4.271478916316701735e+00 1.889143334661274043e-01
1.627244003070485334e+00 5.929593107441933242e+00 4.802152605114126338e+00 2.693684453606201568e-01
1.753257175866991702e+00 5.786361601777425534e+00 4.501024268017947527e+00 1.567559755441264580e-01
1.846830774439462530e+00 6.730511958554082241e+00 4.329616335688571738e+00 1.748381312857430481e-01
1.533850229358043382e+00 9.366108712302454009e+00 4.730055153993705019e+00 1.988611935770658867e-01
1.231898377014932544e+00 5.900352822123585916e+00 4.667171424288745207e+00 1.502061628277616412e-01
1.278408711068236503e+00 1.654213563109927776e+01 4.522060541662483502e+00 1.430895837138271842e-01
1.441235702693868692e+00 6.103694513634348340e+00 4.529519377813694625e+00 3.234113625385547364e-01
1.233777331563623125e+00 4.981174342354684370e+00 4.364911020999498348e+00 1.125277218085221631e-01
2.236454841302604191e+00 3.738167345233749828e+00 4.671717203990536582e+00 1.132224577615430217e-01
1.563890604239977611e+00 6.185419619678813596e+00 4.812625119244910543e+00 2.648979250478423753e-01
1.308319656999125780e+00 1.140802112819538294e+01 4.485990282133842655e+00 1.625489794079884032e-01
2.182115335840315140e+00 5.201124824079899511e+00 4.542723110234003769e+00 1.894008816013924568e-01
2.468246380376942106e+00 9.193463697544919100e+00 4.789031313023829561e+00 1.352251130509593835e-01
1.477052101748812962e+00 6.535663175644307543e+00 4.606662240323667667e+00 2.174227361809280279e-01
1.496604111730082565e+00 3.810021828262724064e+00 4.657332799106723265e+00 2.255077320203014435e-01
1.497990886468185900e+00 9.295313050152529399e+00 4.473406333736591023e+00 1.059708549526986038e-01
1.763788203801263998e+00 6.993610352280215992e+00 4.549545017615216125e+00 1.485120379459785311e-01
1.420082731773983920e+00 1.201292415404155633e+01 4.520133797721578972e+00 1.825207842596278385e-01
