# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.571622796651254150e+00 3.611412411241305964e+00 8.546754320417599970e-01 1.751611651720157703e-01
2.342875168970889987e+00 3.080346390316190508e+00 2.822348527489044301e+00 2.604992154367152812e-01
1.832132689376682944e+00 1.086078892540317220e+01 1.254375108536390782e+00 2.615695980866410419e-01
8.553553422479649448e-01 6.559211733805389244e+00 9.850809021414026478e-01 2.779676131843987208e-01
2.008474288043077927e+00 9.699016980799679999e+00 3.270965990500876996e-01 1.499895605998102233e-01
1.232494602901865077e+00 8.926968143522952204e+00 -2.220187899683544464e-01 2.557317218621985022e-01
1.941566831909149693e+00 7.395715789560678211e+00 2.816570905325358254e+00 1.146724622438321239e-01
2.254344344266026923e+00 5.978531977801279318e+00 1.130600382468575082e+00 2.057968328282314130e-01
1.757340163588207327e+00 5.411529668128670423e+00 -4.299141298167441505e-02 2.523554675867698549e-01
1.704878853206510225e+00 3.903790358033827790e+00 2.073583969694110962e+00 1.919331750049477203e-01
9.457846425725356942e-01 5.071862757350757533e+00 -1.458969989896138353e-01 2.562366896137797667e-01
1.136882568952068961e+00 4.908531516665699534e+00 -2.376544594104615937e-01 2.287680481958812018e-01
1.689806479153040497e+00 8.599159656432759036e+00 -9.924633884740203804e-01 1.326184387966989064e-01
2.505482352623280562e+00 6.179618481510661177e+00 3.217165541018530917e+00 2.022025368363290498e-01
1.234093531403936073e+00 6.201156833611304542e+00 2.687388580391436577e-02 2.646256996823300178e-01
2.917877652647598463e+00 5.935368185241560290e+00 -1.495528312754254019e-01 2.147220686422676994e-01
1.496946363063829999e+00 8.112292340961662518e+00 1.679777546689756873e+00 2.016365820481510196e-01
2.965705311250383946e+00 5.059166161975291232e+00 -1.768177164660623024e+00 1.353908612127045497e-01
1.157463727616716120e+00 4.587383834682792205e+00 -1.496091991212296080e+00 8.099997310772250048e-02
1.289384708197275131e+00 3.610725901321138576e+00 6.126040370769523236e-01 2.820312915476526627e-01
2.537176851803772504e+00 4.959919288805154203e+00 -2.735795639843449090e-01 1.606557679250527060e-01
2.455284611643208326e+00 6.527497541901752243e+00 1.606971779583887150e+00 1.917419107006369250e-01
2.293511313191337386e+00 6.308846134894660729e+00 1.899624146581902373e+00 3.270032646311902269e-01
3.544002869262449007e+00 7.547528246008583075e+00 1.548900302236012605e-01 1.261427604087033971e-01
1.521104678707410285e+00 7.778495209071405903e+00 5.503598202581556631e-01 2.665666473415569393e-01
1.195619071995022598e+00 5.373658303448419105e+00 8.773060934756848894e-01 4.225568342508345676e-01
1.353018919631705286e+00 5.252415006993855329e+00 1.511681168335578640e+00 4.723896352176979452e-01
1.784667481434112357e+00 4.056825242877994064e+00 -1.492506001869293053e+00 2.617052064409064460e-01
2.571470874892075820e+00 4.505163510564554663e+00 1.184461577171706637e+00 1.852541859225052545e-01
1.502122532167264435e+00 3.406510802839562757e+00 1.192664251033690892e+00 4.491592684536784008e-02
1.425483540854787901e+00 8.008116934962716371e+00 1.946696405877748948e+00 5.401857486521473989e-02
1.154916569130955972e+00 6.795764748096168262e+00 -2.180195341649948659e-02 1.261856692964855309e-01
3.259008672819437624e+00 1.102405615896302038e+01 3.062377365742327662e+00 9.213886954832145593e-02
1.427521463081262043e+00 7.084906168891513367e+00 -7.238745538872052299e-01 3.507967306771138105e-01
2.343370887614831588e+00 5.589142198319372312e+00 -7.212048473104362145e-01 1.291879781077555078e-01
1.396003152049267504e+00 6.060446965101532690e+00 3.282989956022773770e-01 2.063563137291132277e-01
7.354361805371977256e-01 4.688477421782224930e+00 3.246515725919087991e-01 3.590337162913378455e-01
1.734114502019793891e+00 5.223458930393039878e+00 2.172476925386238378e+00 3.106819609438561391e-01
1.321412171010800440e+00 7.807006858783518410e+00 -4.228008249086248060e-01 2.586394128854749286e-01
2.292617251789977217e+00 1.217324679775452978e+01 4.942492961578536237e-01 3.480574124258700164e-01
3.015913421655533444e+00 9.502462126949350107e+00 1.108983713627639478e+00 6.259285160228783562e-02
2.146754823027571923e+00 6.334631652668968549e+00 1.963546644356792159e+00 8.105343283986091163e-02
2.053367798410005385e+00 3.638705647325545911e+00 2.376970084102887348e+00 1.503323287467073222e-01
3.077211921558579810e+00 3.247254390938079105e+00 1.907368238294248730e+00 2.158425811550248319e-01
1.736460628799777917e+00 4.940728307310651601e+00 2.338636798393261884e+00 1.356604185824588638e-01
9.131914543860425448e-01 5.547932748308108231e+00 1.173997860077556687e+00 1.275573671431957934e-01
