# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.152643805658791321e+00 4.126511554881039601e+00 4.869935771826286341e+00 3.546967125056250669e-01
1.043041950703093912e+00 3.217427771316512697e+00 4.984022361560241698e+00 3.463530740869023850e-02
8.811871972176384959e-01 6.436269492380089829e+00 4.960549979517072217e+00 1.216262605581849843e-01
1.013286582808327285e+00 4.768584011260289302e+00 5.151287912537186209e+00 6.934644208648520214e-02
8.829290187253749922e-01 5.128226687565623720e+00 5.036103912076791644e+00 1.432808241909039604e-01
1.364584535775460905e+00 6.449173107007899475e+00 5.026633518177028748e+00 9.163941461387961618e-02
8.242806998729177437e-01 5.411743750271710063e+00 4.889846677109775719e+00 2.130755399246696546e-01
8.940163774336418179e-01 5.412651842109248435e+00 5.120081521025808158e+00 3.691850385241134402e-01
1.191132584574196462e+00 2.610838330898635817e+00 5.388824608620684131e+00 2.424628974270511272e-01
9.261662573534642506e-01 5.353197162683678734e+00 5.856851628002482713e+00 4.144436815280447273e-01
1.248874717166613468e+00 5.234808408652208200e+00 5.130839728992772741e+00 6.829017648414556496e-02
8.533980200909822011e-01 6.553753687218234703e+00 5.206292942794362055e+00 1.368099292057396443e-01
9.784662870747853347e-01 4.887601968532385932e+00 5.072219824486163375e+00 6.989987370057126892e-02
7.777163311468904272e-01 8.360264560009833090e+00 4.985458039097157901e+00 7.758809577118022660e-02
1.053671216654190168e+00 3.822455340951194103e+00 4.841542892340801707e+00 2.051093213432154116e-01
6.680019757826800575e-01 7.345482018113032474e+00 4.926277834135503575e+00 1.926283076809812977e-01
7.898214561153190649e-01 7.703261758213407973e+00 5.185065470923935216e+00 3.001121667823500316e-02
9.610301416378060901e-01 5.482072790260582806e+00 5.133023066705509230e+00 1.156457803305277754e-01
9.575570569019470346e-01 8.243658224138940227e+00 4.909022239859248238e+00 1.041081545429893840e-01
9.246589129156356224e-01 5.649591913580396252e+00 5.070443828659424668e+00 2.019441417218919010e-01
7.922868930225722695e-01 1.062744491400177438e+01 5.000932865245854231e+00 5.964731951877586674e-02
7.765689036422942504e-01 7.549895541176535829e+00 5.184438044611294316e+00 7.983276025069066528e-02
7.759219235881903431e-01 9.167718165924036100e+00 4.970326671933484874e+00 9.650235688297897907e-02
9.379155040348082784e-01 5.403477878118565059e+00 5.303754678106606946e+00 3.841463485868161776e-01
6.840236087009348154e-01 3.907780592473022008e+00 4.951563150753409914e+00 1.125785110205518025e-01
4.815115699033202246e-01 6.980868715460010421e+00 5.065636180922595599e+00 8.074028556275097968e-02
7.167415483172693280e-01 7.270610121828966932e+00 5.033907158061436959e+00 4.014190791549711312e-02
9.032591841208847949e-01 3.936700269842838384e+00 5.278720851926618884e+00 1.358799498358026769e-01
9.736516997240407534e-01 4.381639709414739237e+00 4.883075586502827470e+00 2.856776938308649427e-01
7.738736621391678616e-01 4.986570875645551126e+00 5.051240663588978386e+00 9.753708680344616577e-02
8.193136485553023096e-01 6.957164419163168745e+00 4.944128131464144538e+00 6.006076655408496001e-02
8.286400371404291088e-01 7.319310784927671065e+00 4.960268811823741686e+00 3.735675684733345825e-02
7.688345086375514281e-01 1.062534426035483648e+01 4.910375787790403734e+00 1.184757217824563280e-01
6.814758236077512743e-01 7.351009903035351734e+00 5.030782563221967152e+00 7.399370686948045228e-02
9.429418617570110017e-01 6.110460595342235735e+00 5.027548260958405457e+00 9.999451274631424025e-02
1.199218452885158381e+00 5.544901663990849272e+00 5.041228456488167531e+00 6.220751147706748974e-02
7.551630359781447144e-01 5.908866122594385040e+00 4.999760549875698956e+00 1.529685630699000320e-01
8.572923575233074578e-01 7.103642708105506465e+00 5.475850540586409743e+00 3.440553566621901704e-01
6.287554714118522847e-01 4.495288183004758409e+00 4.957861881211181654e+00 1.599423385211875270e-01
8.836856529924740355e-01 5.136595066885810468e+00 4.950708973939728530e+00 1.145176732760843641e-01
7.594290841337890674e-01 7.082545199806387082e+00 4.967347422386183098e+00 1.798836828294754220e-01
8.068893131383396700e-01 7.225842325843135683e+00 5.102268213916163475e+00 3.371416519609818363e-02
7.044061068656228830e-01 4.210355887691237697e+00 5.118746679028652657e+00 7.537545595987062141e-02
7.248547151559170398e-01 5.020688622534848378e+00 4.770587934289879151e+00 3.116988847622233494e-01
8.441433850379600479e-01 1.028265141517711712e+01 5.115816135187666092e+00 7.639563064530117964e-02
1.107761989616084630e+00 2.411068090995490465e+00 5.055679601348789021e+00 9.801859678674082477e-02
5.922145694423581741e-01 4.790322486173538508e+00 4.926136561673913228e+00 5.800497469611344548e-02
1.218249271971665326e+00 4.026408906091387685e+00 4.870514325558575663e+00 1.420975180340511290e-01
7.009101757094305940e-01 1.111407091835068428e+01 5.084841138617172795e+00 1.697294480695350077e-02
7.348514096667074780e-01 1.004357762722713687e+01 5.212454923210993130e+00 2.318360217355917852e-01
7.582502186255810628e-01 6.348393505788058278e+00 4.960910691034893460e+00 1.608805019582081330e-01
9.011378983113899066e-01 4.248698157521912933e+00 5.035223680615605879e+00 2.091549004366398123e-01
7.244808595537305385e-01 6.232703609481676565e+00 5.088986673128029992e+00 4.898081210844610484e-02
8.136719294248063727e-01 5.099912185404003928e+00 4.778270945328841890e+00 1.103971060743508537e-01
7.740412016307228749e-01 6.610174495537531669e+00 5.072013660193257500e+00 1.045244700424944467e-01
8.671783172919239613e-01 8.761966439222154790e+00 4.976191502584690340e+00 2.221655249571292401e-01
1.088569598030126873e+00 4.848424162407555471e+00 5.024406129354620276e+00 3.107381412591243841e-02
8.492737579823477212e-01 6.873316266667755414e+00 5.239639778918735225e+00 1.706573643694696552e-01
8.840712843185210001e-01 4.658558413474727544e+00 4.946080453559951629e+00 1.515773214058860341e-01
