# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.844872898195315081e+00 7.918140298662752485e+00 4.542576562239206694e+00 1.377443674490277103e-01
3.005910567268582412e+00 4.387511677728197057e+00 4.492698516564305855e+00 4.764164232656405151e-02
2.474562031856776922e+00 9.581908363713996124e+00 4.425325248352389274e+00 7.472850547861289994e-02
2.139431881413201175e+00 7.929773930875043675e+00 4.404603796033947027e+00 4.627565151988741188e-02
2.082824160985836226e+00 5.978221974450654841e+00 4.435079051249836368e+00 2.094474930940191590e-02
2.409688595154133584e+00 5.613517401799030360e+00 4.542256924858907752e+00 5.528456279440287918e-02
2.572369045714104185e+00 8.227039404571565129e+00 4.488465222091906348e+00 1.839930257863663376e-01
2.741832582264368767e+00 6.210379203435053341e+00 4.491202295840613701e+00 1.097182277496885489e-01
2.299201328852999549e+00 6.058405211865109941e+00 4.362464275611849907e+00 1.712113472200557651e-01
2.543411939700178870e+00 8.519314238077644319e+00 4.489818152795993278e+00 6.094855949039723608e-02
3.175536634372597700e+00 9.389228014208354622e+00 4.413158696173724138e+00 8.514209312054880907e-02
3.240800061307946844e+00 8.248485917654519994e+00 4.532820815998766406e+00 9.526095729657459155e-02
2.661528185233744459e+00 4.209034141062867995e+00 4.445545353244478193e+00 8.102213095380068897e-02
3.333480838875569230e+00 7.597721265878299768e+00 4.462741738283525272e+00 3.361124466932655097e-02
2.171057336371501112e+00 5.097081040711289646e+00 4.405976083684470801e+00 4.969032741436607559e-02
2.430687586215639406e+00 8.186210003289032144e+00 4.279804826966319808e+00 1.543750622011939577e-01
2.222436783221870993e+00 8.534483840320181258e+00 4.506939200618834462e+00 1.194455059841932759e-01
3.079100500492645498e+00 9.912125648238992781e+00 4.495082356029710624e+00 4.793060972010377424e-02
2.850970365745200574e+00 5.208713591030424084e+00 4.501394568973086763e+00 2.795325465980470422e-02
2.887492841276506628e+00 9.353501143985877064e+00 4.425035675238082611e+00 5.723191169921847121e-02
2.966339902151677865e+00 5.718509762128343610e+00 4.435059454261847556e+00 2.232578418611529114e-02
2.451556462258788205e+00 4.273757440464785340e+00 4.401548059687542036e+00 1.225251968439170919e-01
2.659692749945973933e+00 1.264572807327249571e+01 4.366165119808743000e+00 8.407829861531587734e-02
2.605544007446150889e+00 8.984551659623436493e+00 4.386153813917958111e+00 1.119773202550888858e-01
3.114983891979022257e+00 1.015138505847783179e+01 4.525636302015832335e+00 9.973861907583422837e-02
2.793228446199671922e+00 7.085240766064755391e+00 4.463960908433143082e+00 2.741521992995674117e-02
3.184451526456069548e+00 9.268332930718539586e+00 4.583777494480192338e+00 6.941015927399493690e-02
3.469244869452291269e+00 6.582852731284582148e+00 4.503138950566513365e+00 5.117764100512867814e-02
