# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
9.929739414007425768e-01 5.049089929741414906e+00 4.803364514615683589e+00 1.426072736371785110e-01
7.308787135234904309e-01 5.981686207501042851e+00 4.613595429180387342e+00 8.660412404213130300e-02
5.818786563664384293e-01 6.542529239382754547e+00 4.775603417711633547e+00 9.140576797245222873e-02
6.906334258161508366e-01 9.852325743142575476e+00 4.717265709273824825e+00 2.306697198432390850e-01
7.488820582254106517e-01 4.673747028898523226e+00 4.819701484994515894e+00 3.617074233479276868e-02
5.214231594920042401e-01 3.239765230758104408e+00 4.755563011462449197e+00 3.319322969131161677e-02
6.230716680368654226e-01 2.927216390501973464e+00 4.741039311460685468e+00 6.358643476256579941e-02
7.214363444629215971e-01 5.333676114921331646e+00 4.728197954191632135e+00 3.867078316537878035e-02
4.611323285088773649e-01 5.238644556488734061e+00 4.493371116248361830e+00 7.354580927659727652e-02
7.867490651693869186e-01 4.314506462720494540e+00 4.655936487086955289e+00 6.348571556355837864e-02
7.440026411884425039e-01 4.325498152914549088e+00 4.832655088720111181e+00 1.212866714483292196e-01
6.567560013185419487e-01 4.022670294640727562e+00 4.772471773710465826e+00 1.019969280075445350e-01
7.259007724212649393e-01 9.747505893743799277e+00 4.826745239065428628e+00 8.183180068881466818e-02
6.734643075002541002e-01 4.229921726437094520e+00 4.578241502234353888e+00 3.192749351319811857e-01
6.686042757937080694e-01 5.320362608304321839e+00 4.804753424076722013e+00 5.544642983087447186e-02
7.210837570416187559e-01 1.198837297013063363e+01 4.669469770536800901e+00 5.809716895652493329e-02
9.201896992901270611e-01 3.042972970062940874e+00 4.802442255412598726e+00 4.671837070581564416e-02
6.176254116578404618e-01 8.084519334216112796e+00 4.738162259862625625e+00 7.265694320748353197e-02
6.461776506163681155e-01 1.099246976637670770e+01 4.608452111682037611e+00 2.670783853808968433e-01
1.132556932549898532e+00 4.641962817912501649e+00 4.734384995677390684e+00 6.847881181877729651e-02
7.305354700009850655e-01 6.242722800422067841e+00 4.636434395186904922e+00 5.253957160737452586e-02
7.608609916333667345e-01 1.121100370034095661e+01 4.830728345319906580e+00 1.333553065738742327e-01
6.568053759807958025e-01 6.237361658456933355e+00 4.744562164875144816e+00 7.046877034344578572e-02
7.470303483269356004e-01 7.302903942773489199e+00 4.602054664100306169e+00 5.487625246118874034e-02
7.764602316728643761e-01 5.544515408235948684e+00 4.667223891551153692e+00 1.004815639804988447e-01
5.687135197587231961e-01 5.128083480605440059e+00 4.600893984266142489e+00 3.815618081521518490e-02
8.141302554835676553e-01 6.939053242202122718e+00 4.743572955976954830e+00 6.366254283926717217e-02
8.684873305886322559e-01 6.951234306434791677e+00 4.850166895361947006e+00 3.531894187012671327e-02
7.359914044182226389e-01 6.152407098678459363e+00 4.709739470865001110e+00 1.032283026462159081e-01
6.104397085530814948e-01 1.133432595053623082e+01 4.724464002561919784e+00 5.107175278007449609e-02
6.526903058421571480e-01 5.389637665951535261e+00 4.750310534601918100e+00 3.957923050580343383e-02
7.548575719738477297e-01 4.173578090830372567e+00 4.765465232672591256e+00 9.274004581372718992e-02
7.071715182373167208e-01 3.843882113452712801e+00 4.782713212701709793e+00 3.429343694145560451e-02
5.682208218695355972e-01 5.524754565921191407e+00 4.829926837362682690e+00 2.475649975213982390e-01
