# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.333711393290337055e+00 3.157462130244480747e+00 5.306247119288583391e+00 1.952958648467446046e-01
1.504673085153206857e+00 7.616923309301824041e+00 5.070398423240646935e+00 1.336064656370282155e-01
1.917635297009806505e+00 1.025862386184451758e+01 5.175010161906095973e+00 2.271802488257202990e-01
2.181410543094765231e+00 5.414936801736415894e+00 5.413519450315479986e+00 1.519236783083196263e-01
1.521976421339999330e+00 7.924432037416471175e+00 5.337218963525632631e+00 3.820243079357426019e-01
1.740784475254658181e+00 4.192237987364985763e+00 5.181426841700521813e+00 9.542672356101317144e-02
2.298045984690521237e+00 6.399426422338957643e+00 4.886812065044418674e+00 2.725376693698923769e-01
2.443636048481550915e+00 5.813859375186280154e+00 5.447563224334965426e+00 1.696599206386523451e-01
1.511426621583259244e+00 5.036583532365448868e+00 4.985532601823797982e+00 7.986295173107742229e-02
2.175496698914674898e+00 2.161868611605906931e+00 5.150083328141780825e+00 1.695684694701632966e-01
1.821609526763661613e+00 7.174925700914504212e+00 5.220217857517217119e+00 1.670219594949704789e-01
1.787099380780957203e+00 5.476361428181915514e+00 5.196893182635792030e+00 5.507289759870120927e-02
2.045987843255453686e+00 6.571102152059030033e+00 5.222501733614761221e+00 7.052758089848880363e-02
2.039890188599286169e+00 8.041925871659822533e+00 5.235159735550143800e+00 1.605213377454961232e-01
1.864173733978930825e+00 5.938915608167597782e+00 5.199660253611554594e+00 2.143153585685027562e-01
1.766366107471263991e+00 6.424846957883955767e+00 5.206545965905615247e+00 1.740446029006910977e-01
2.186142127379560929e+00 8.323594772439751210e+00 5.281705524203362145e+00 1.349275570160771431e-01
1.868273515505795679e+00 3.453374059148369479e+00 5.212278441322824918e+00 1.112262710904849405e-01
2.009460148864209650e+00 8.246714060300572413e+00 5.278012321372575144e+00 1.217495448864574226e-01
1.885854154753234369e+00 7.555953242130553527e+00 5.507358799575060360e+00 2.900200871541699921e-01
1.989210113809489755e+00 5.101669900989563189e+00 5.601365785584402346e+00 2.278931270388308561e-01
1.839787242649865817e+00 4.658662404524224421e+00 5.162314024187016237e+00 3.954624597678768616e-01
1.726157998027008533e+00 4.879658682391204927e+00 5.225502905193191161e+00 6.283354595342904858e-02
1.924255283415600593e+00 4.976686535198378891e+00 5.415302617511568606e+00 2.089403204437716155e-01
1.822319424226928719e+00 6.338343616055311713e+00 5.083976044658451876e+00 2.150296676191197631e-01
2.179092674053292988e+00 7.729607332539872644e+00 5.327574615236155608e+00 1.491702613536809441e-01
1.667032327922934876e+00 7.003370593865591687e+00 5.224391556280757243e+00 1.177014979979679465e-01
1.884976746392986291e+00 3.105210717155557631e+00 5.165374926728847349e+00 1.269784574267102117e-01
1.617839490687446924e+00 5.244153721126175505e+00 5.257221024718272240e+00 1.796854430439210060e-01
1.481409125338674082e+00 3.836174757136710411e+00 5.396447376274144503e+00 1.641045238422894625e-01
2.270527099859843911e+00 6.832305898885994822e+00 5.310607472947419971e+00 8.390930625579580415e-02
1.805646450799011982e+00 3.002577993761533115e+00 5.137684429238920991e+00 9.897950319571451050e-02
1.146316333493299311e+00 2.734199516825402743e+00 5.209276117353585533e+00 7.994801139005631996e-02
1.792071570118954904e+00 5.350865914286237590e+00 5.203087153676801968e+00 1.937852557074863091e-01
1.460149246470251239e+00 4.446045113673912752e+00 4.925920021526062342e+00 1.987205657701933692e-01
1.435789973814880494e+00 2.937188691469082347e+00 5.162264769252707275e+00 1.601449220400333051e-01
1.732272891591544628e+00 4.199893068341975066e+00 5.197641875448455906e+00 1.088518401382902873e-01
2.104449995161711495e+00 6.705254291742710038e+00 5.261054332979565373e+00 8.868084375695106658e-02
1.934919129390263892e+00 5.901815673275634389e+00 5.261272526355909918e+00 9.738425047001622592e-02
1.609310918353607400e+00 7.348855206552932451e+00 5.179549593476712843e+00 1.757957108820641379e-01
1.912123896785568267e+00 4.685862107143656807e+00 5.291501915945477030e+00 1.636059151235017550e-01
2.029374699882372735e+00 5.552321474685568248e+00 5.270606524806010995e+00 1.243469822373339390e-01
1.716274438888794718e+00 2.896695001373025491e+00 5.107880434282048299e+00 1.040837910072448247e-01
3.004981935138345772e+00 6.376962631874302012e+00 4.980721869708252036e+00 2.589788633771697990e-01
2.704927800070495714e+00 3.741046972266206527e+00 5.233062032730885882e+00 2.820719503591793131e-01
1.720410435153731488e+00 6.485013440621166581e+00 5.500378585786224406e+00 2.452529706846459656e-01
2.265038926429379984e+00 6.995109953926853308e+00 5.036893069471065409e+00 1.728616466343609603e-01
1.787997582412774955e+00 3.325762887100535359e+00 5.214336108128517111e+00 2.427066903854658564e-01
1.735574029215259051e+00 3.638555646376206543e+00 5.116916920359629195e+00 6.975027837986864931e-02
1.992009552074476719e+00 4.915285321534645036e+00 5.358733593103822024e+00 1.725171623457472103e-01
1.653704827198482663e+00 5.671525328576243474e+00 5.159320093252856232e+00 1.297057963050358420e-01
2.705082522930379874e+00 4.384510484553602261e+00 5.098187656360349429e+00 8.313434183823101287e-02
1.559339422397694186e+00 6.201374673772871660e+00 5.054707638327427865e+00 1.092859360018299253e-01
1.781335974433849945e+00 8.131980994982685118e+00 5.109948524605657738e+00 1.231710053841157670e-01
2.168403242465426928e+00 6.617298771440577099e+00 5.324274037089626432e+00 1.297785108011195454e-01
2.381081786765015362e+00 8.317278647145942116e+00 5.108982669735703475e+00 1.511862862165855581e-01
2.089950039232640222e+00 4.927358823976561553e+00 5.217121379181532070e+00 8.287008214335156442e-02
2.410670761779965865e+00 8.126636076101430461e+00 5.141684927923520831e+00 1.356204374169139304e-01
1.599103303606492776e+00 3.342492234196742906e+00 5.167471395480808916e+00 1.419520215992247647e-01
3.116218726784138138e+00 4.867501132323478252e+00 5.183235183084887510e+00 1.082059857722925400e-01
2.585198717410427616e+00 2.960231782411092194e+00 5.371374747685941031e+00 1.868515550526534674e-01
2.023358988062761821e+00 6.754095641615366574e+00 5.288735020102096840e+00 1.362671343877714103e-01
1.761186815189939914e+00 3.645498353413571646e+00 5.059339843927003422e+00 7.969217292778249528e-02
2.620840508475821728e+00 3.787639623307674341e+00 4.972416212628043120e+00 2.917048259251615594e-01
1.715278493430268947e+00 5.809405239241461238e+00 5.294628029891850218e+00 1.410373688785124813e-01
1.994234887416469704e+00 4.434695523500312930e+00 5.247139813413156162e+00 9.794408180849696610e-02
2.147361303175377767e+00 3.758911194091997476e+00 5.235771079389147431e+00 1.590144863502702122e-01
1.935779896251184962e+00 4.315660934456884590e+00 5.065274883022758523e+00 2.292432668797041440e-01
1.149498415435759258e+00 2.968560732442889094e+00 5.281772356940460433e+00 1.171117206439120373e-01
1.220633443105822780e+00 6.625531914451395110e+00 5.170969929266547638e+00 7.219605838634561568e-02
