# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
6.876381021897294277e-01 1.284919881844700029e+01 6.253723870216170155e+00 8.922024599165853664e-02
8.945813898842851497e-01 7.051333671501835987e+00 6.138329704970288958e+00 4.935364899260150096e-02
8.409647045250435715e-01 7.536925947036543505e+00 6.196241044003352627e+00 5.768586537898355571e-02
7.973869055913278547e-01 5.921433753958528889e+00 5.986235855886625323e+00 1.845880470746351643e-01
9.075343104839470598e-01 1.008672563441645131e+01 5.969234460707483869e+00 1.374494134707673065e-01
7.975678124888054832e-01 3.327360516767773113e+00 6.267204653805134029e+00 6.356812622934268631e-02
8.843385955832200329e-01 7.765660882819480193e+00 6.111864536096370593e+00 1.456181079214446672e-01
7.033636597674950419e-01 3.202971821846770428e+00 6.124463020661925050e+00 3.803538747121201768e-02
1.045119820618187312e+00 4.975939724074620152e+00 6.254897071286650956e+00 1.310308296813078033e-01
7.306555232493908703e-01 7.907062224392061189e+00 6.143557563076287309e+00 1.907224488012843333e-01
1.153683908515417356e+00 6.196089590082003440e+00 6.165106914612461964e+00 1.141749411836352479e-01
8.095782797265436148e-01 9.506173532274930338e+00 6.173348138566202792e+00 3.422337318620949365e-02
8.699234520684602234e-01 3.240065285026132447e+00 6.108636572983959567e+00 1.544177270833761439e-01
7.815675950386165027e-01 1.215057163404971874e+01 6.156214077599319268e+00 6.594453368777672408e-02
9.905281261289488048e-01 9.181928564394601366e+00 6.130944929498561180e+00 1.615686451787418099e-01
6.783906410522940744e-01 4.080526995690304304e+00 6.249357448647721469e+00 1.133363511177459121e-01
7.608990449506268794e-01 6.588663675874155246e+00 6.174501961294722285e+00 2.119977590435584078e-02
9.207595972910999071e-01 8.079264698935585187e+00 6.122139008361235035e+00 5.070156646597665656e-02
9.432493993831219115e-01 1.156015400048975295e+01 6.168367284499694847e+00 3.537761906228908265e-02
7.419088053985128939e-01 8.270541262642066016e+00 6.234119056064595377e+00 1.704145254698701539e-01
8.123750284399711141e-01 6.403520964452072306e+00 6.150095314910315913e+00 1.522446216956807596e-01
7.536058327268624346e-01 1.143524761142900559e+01 6.074685030403855102e+00 8.177021070561857341e-02
8.300948776716917665e-01 6.416724902821037801e+00 6.169713815907484467e+00 3.414696651407933548e-02
9.936517853794865074e-01 7.992169587602810488e+00 6.148882851746843237e+00 1.551569395177005914e-02
7.409600003632054177e-01 5.150036551287628050e+00 6.129945797930076878e+00 7.113003596904572678e-02
1.016285605045111007e+00 6.305939325370362170e+00 6.216649064110578493e+00 9.147384295298910395e-02
1.025520577403953082e+00 5.268243618030427733e+00 6.095528226217458823e+00 1.265071805519179526e-01
1.008119300271482111e+00 8.140105408058547098e+00 6.069254742859695462e+00 1.001923147367772410e-01
7.515345646449895778e-01 5.248314373263906596e+00 6.283222538054952011e+00 8.056544155852203570e-02
9.798681148281052078e-01 3.801289037506686785e+00 6.254902039296426963e+00 6.565860649378293945e-02
8.700668603915839849e-01 5.873987035241916566e+00 6.051304890268808911e+00 1.217545089666003943e-01
7.488951155709905327e-01 9.118286379348271353e+00 6.366129007853308153e+00 2.017891794109564763e-01
1.323318860088840143e+00 6.134696396201825941e+00 6.191088119385407929e+00 1.185960801530850511e-01
8.702495468469986228e-01 4.892383771567839545e+00 6.157813034560730259e+00 7.854938274312814328e-02
8.082305592562899488e-01 6.490320919955626877e+00 6.273832275960397276e+00 1.427514202550337619e-01
8.762838713588977368e-01 7.065994881376419734e+00 6.179890372977573598e+00 1.166606471276680906e-01
1.033450159845606731e+00 7.086180330680560857e+00 6.226703111634457777e+00 4.085098894303607064e-02
8.917048881369448177e-01 7.493182617060664796e+00 6.022512623314980829e+00 1.465990163385822720e-01
7.969407888747612745e-01 7.905784539782552578e+00 6.285392432164062626e+00 1.479758526445041078e-01
1.074328115283537999e+00 6.949672867803686316e+00 6.157894538305529686e+00 5.249455247238975913e-02
7.625315360453603919e-01 9.578018898618022803e+00 6.047693402424116016e+00 1.374619117228245979e-01
9.458034089653744036e-01 3.875949130070195814e+00 6.166407898941095311e+00 4.176194416854586700e-02
8.311919610343204701e-01 4.794705693576019279e+00 6.198024563618025340e+00 7.739837216928921459e-02
1.165387339418769264e+00 7.734007754008439761e+00 6.209769911034259238e+00 7.902012770133191866e-02
7.963909901611344599e-01 6.865538723787534714e+00 6.173426518131327256e+00 1.304256519615591414e-01
9.578168545248986199e-01 7.097041649698100585e+00 6.139893979374287269e+00 1.086297751383711180e-01
9.206534560235518638e-01 1.041652402849411807e+01 6.253124073850634623e+00 9.883311078431802899e-02
8.240896641622189600e-01 7.084221466757288255e+00 6.124470100838404818e+00 1.053738382062833767e-01
8.335015779322185736e-01 7.458939679805202339e+00 6.199794499710993279e+00 4.935585417851334755e-02
1.032124511582812598e+00 1.006323489125934501e+01 6.140977183054419974e+00 2.234531571885428614e-01
9.825331681319190436e-01 5.183188367232481220e+00 6.067062917563569080e+00 2.192667229064929058e-01
9.549647326970914785e-01 4.466277781123211277e+00 6.163498091293346803e+00 6.512429156419925758e-02
8.914928246288563729e-01 9.110743758670240666e+00 6.115358085827382162e+00 3.712340346969446314e-02
9.272667165714145732e-01 6.467379538307238107e+00 6.140256750957569842e+00 6.323166987427698837e-02
7.210503586553393962e-01 3.359794828974406400e+00 6.275407100326321874e+00 2.949783974812705128e-02
7.935409029224412825e-01 6.725759704087272084e+00 6.134125681389202889e+00 1.312807355641840701e-01
1.064080808970787384e+00 5.260753950702425463e+00 6.157788357285880920e+00 1.969469377745404759e-01
8.169558218020067653e-01 2.587058828801171995e+00 6.229912239481298464e+00 9.573385019907294791e-02
9.013566489447855101e-01 8.452599497715523214e+00 6.147789541178912742e+00 9.467070832523728774e-02
7.966862174319011558e-01 5.265224401665919984e+00 6.193954127986685876e+00 1.159609916854500711e-01
5.714158658581045547e-01 5.611696660994129893e+00 5.926552613202264119e+00 1.049278753607588432e-01
9.076349387375595157e-01 9.300296182486190943e+00 6.080550610193498962e+00 8.143240479460406300e-02
1.004422647215526210e+00 7.216525297536289685e+00 6.191611605660495066e+00 1.029510924621259982e-01
7.592754919430722005e-01 7.145591733268785717e+00 6.233610106289326325e+00 1.144836873207383948e-01
1.217708850967863077e+00 6.158159499625762479e+00 6.105556995796580289e+00 8.012366998034586851e-02
7.779222674237260549e-01 6.052764551050552555e+00 6.084642609648842182e+00 4.180428095526805832e-02
8.612428987332153563e-01 1.201938817727174680e+01 6.053111042349166304e+00 7.025569465929366875e-02
8.265581619978438210e-01 6.598144050367236169e+00 6.269453440640488040e+00 3.737564241096123785e-02
1.037416343116623896e+00 7.123788334438938108e+00 6.103582226168748015e+00 9.792231565631456802e-02
9.099001861795463775e-01 5.240689513318681492e+00 6.244810448359529254e+00 5.833198584912739626e-02
8.135415325790413821e-01 4.603803341019060191e+00 6.264534585077628392e+00 1.214725933193060714e-01
9.035996775644272727e-01 6.890709867489666074e+00 6.128512887214715654e+00 9.657523737299061883e-02
7.528362849036406290e-01 6.064506706132955394e+00 6.090772104081904281e+00 1.008977823756972980e-01
9.886517792751468026e-01 7.916819422549138174e+00 6.111638592498094269e+00 7.154623629147896513e-02
9.941385084487101009e-01 9.032830719365923855e+00 6.144197560891787369e+00 3.919028739265653649e-02
9.843941188219410554e-01 3.402806937779784047e+00 6.135159876771288268e+00 1.602945745902404628e-01
8.732996238987172921e-01 1.787417995286563865e+01 6.151455494957880354e+00 1.090009723179527629e-01
9.530949046897219112e-01 3.599005689750729875e+00 5.984846943086420623e+00 1.318054628661404770e-01
8.665667465453046336e-01 8.645931002141715283e+00 6.188524951684908793e+00 4.896149573430812196e-02
8.467421223758714310e-01 1.109464505836363735e+01 6.176277965827387639e+00 8.549369316550728404e-02
7.739570090707971195e-01 5.505232674236726353e+00 6.271416698840871717e+00 1.708628359148986475e-01
1.098192760896125497e+00 4.822889365908749504e+00 6.189519860874595381e+00 1.748288957481169970e-01
8.811370019066696591e-01 6.349050277170873002e+00 6.281291850716497649e+00 8.138584196257792058e-02
7.320490116589075669e-01 1.156485043061451456e+01 6.189132051771758292e+00 9.939749893494471966e-02
8.248791334193777969e-01 7.523727651761211277e+00 6.054475324858663576e+00 9.160095885317756648e-02
9.796229432709097074e-01 9.791643599828132594e+00 6.193337412210457416e+00 1.025706937011502257e-01
1.206557311111004394e+00 4.951810419531841312e+00 6.158403695829121283e+00 8.529752380283683877e-02
9.379374847747971033e-01 7.810717133683231062e+00 6.188526332803318653e+00 4.856398289524913731e-02
7.729505852913325370e-01 6.863501456711804671e+00 6.350139399211663260e+00 3.767135060198417013e-02
7.365869160650673209e-01 3.837699427208546066e+00 6.166138671454317155e+00 8.208100591996508877e-02
7.933634392673830638e-01 6.593143204863417317e+00 6.157082041255724114e+00 1.130010893198255262e-01
7.946348142160394312e-01 6.807463256946327590e+00 6.049452884979015899e+00 1.803463863945861390e-01
8.665889042141057264e-01 1.011643640791391086e+01 6.125114540754035275e+00 2.952406155767903911e-02
9.843941188219410554e-01 3.402806937779784047e+00 6.135159876771288268e+00 1.602945745902404628e-01
8.195680536935344707e-01 7.591650954664007855e+00 6.154822583771282218e+00 4.669814714745681300e-02
1.083606254640339106e+00 8.475074657956996660e+00 6.191610209303083145e+00 6.553629544396896711e-02
7.822323653006454380e-01 6.742432122595420907e+00 6.225769013661328621e+00 2.338729281708434860e-01
8.516906326590522047e-01 1.330552724545488807e+01 6.193727276418241168e+00 3.859982646339643608e-02
9.677172051704774347e-01 1.146336077748510185e+01 6.054982986840248493e+00 7.188647820507669539e-02
9.409151564694071546e-01 5.022356420765136775e+00 6.223470544028772977e+00 1.147348674325944506e-01
7.630006841038877718e-01 7.828679155818453417e+00 6.286105810676974492e+00 9.067780584065716909e-02
1.851949889177626263e+00 2.731352973825279307e+00 6.130406563527402319e+00 3.151295340675103196e-02
8.517174025021390094e-01 5.385970606477092915e+00 6.144427253053074800e+00 6.373257093996942402e-02
7.476832688956009942e-01 5.710264143447725260e+00 6.173619662019453891e+00 3.452932259377006902e-02
8.819311925043179512e-01 8.181384089743078292e+00 6.130395486477140388e+00 1.854596877711908037e-02
8.493361806390691271e-01 8.008819119561458422e+00 6.226569398347092665e+00 1.232924172022324266e-01
7.724439189370244652e-01 7.571564875397916339e+00 6.089148594928065705e+00 3.293221115023829693e-02
8.354413507157327778e-01 7.406271462818223128e+00 6.242289366551167618e+00 6.295703892366411036e-02
9.089840919663700891e-01 6.211555255361295380e+00 6.102251001126926866e+00 4.418530917890055310e-02
7.879354149926780515e-01 1.373242324350865040e+01 6.251598621734578032e+00 4.661944472492763475e-02
8.665587381613868434e-01 9.016601457379369577e+00 6.183334610671746390e+00 8.349767279308088763e-02
7.720888024182412934e-01 6.679625124548746129e+00 6.292496857997510240e+00 1.388016185320145590e-01
6.712370300344244756e-01 5.572381858628062012e+00 6.096823456301599720e+00 3.707262746304464118e-02
1.151020971663530013e+00 5.759924616145925214e+00 6.153385902903560911e+00 1.342487827341729556e-01
8.085749126552050914e-01 1.229292633225743714e+01 6.204042210251084377e+00 6.135022224291172832e-02
9.171377528490461950e-01 6.822325197932688212e+00 6.149657273021322368e+00 4.278918470207866004e-02
9.135548145474765569e-01 6.567945622290409347e+00 6.215866589981467349e+00 9.108786319447344237e-02
1.013797544978717324e+00 1.028026515968980625e+01 6.066351248506760996e+00 4.856828036093754214e-02
6.992640913647870660e-01 8.694700747238620409e+00 6.195073321488705709e+00 3.991226000086493808e-02
8.455314074909718869e-01 1.183780976201626345e+01 6.186190914986258171e+00 4.386698826846471833e-02
8.582239847822767942e-01 7.871511424830602621e+00 6.073563554087684224e+00 9.989188796689812966e-02
1.101297574302565696e+00 4.006312933827514300e+00 6.223184816357278493e+00 1.009867971450942037e-01
1.105054062076523014e+00 7.372288134485968314e+00 6.126100804015101708e+00 8.465762195483605979e-02
9.242214042456241563e-01 5.899382897609206644e+00 6.133076948387723881e+00 9.382011477946514133e-02
9.040441345107832483e-01 1.087343790669603827e+01 6.079890845735247851e+00 5.500432760055293246e-02
9.944720307570883433e-01 6.610973470888503734e+00 6.349388641081961993e+00 8.315791309380177188e-02
9.187844180434872055e-01 1.172856585333576440e+01 6.323090579484078155e+00 9.061148861240847507e-02
9.596250851667780246e-01 4.865625388712975230e+00 6.176537326031049879e+00 1.149956390493760278e-01
9.283803270273660591e-01 1.059980991383875271e+01 6.307430529583349710e+00 1.046897477407723875e-01
7.835173091558045311e-01 4.203611504105968955e+00 6.048777830407989775e+00 6.655619202633435150e-02
7.413661762797255639e-01 6.410369073758514169e+00 6.057816759130343343e+00 1.874932952577814393e-01
8.996834181713325718e-01 7.303133031357498695e+00 6.173052607291507954e+00 6.098322051030943131e-02
9.147809698411989432e-01 6.303729638758868603e+00 6.002217164204279420e+00 2.160973580221184909e-01
6.625858924009810913e-01 6.136494793477355714e+00 6.248478054552273342e+00 2.057979646733767154e-01
8.602909594741577903e-01 7.331168734794587749e+00 6.105143078015075275e+00 1.879366385241408588e-02
1.033265836091632028e+00 5.847322555919934217e+00 6.174320475385127516e+00 3.204438190325523822e-02
8.780424583030231878e-01 8.532939646511698228e+00 5.916789587569152076e+00 3.358960291997584724e-01
1.005103074178556044e+00 1.076499760537908656e+01 6.140781890853103775e+00 7.535588216602027989e-02
1.048600774106739131e+00 7.000147065452582140e+00 6.326709285517108761e+00 5.480274122781778751e-02
1.000022476381174252e+00 5.143556853003850904e+00 6.059005197093777717e+00 5.567224887702192093e-02
