# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.485067505042818370e+00 8.858380009409451361e+00 -1.443538655358610479e-01 2.735892331547025158e-01
3.236898729143688591e+00 4.956599605925910090e+00 9.080044795876756059e-01 1.674039794836700012e-01
1.369651952339259626e+00 6.808655557224936317e+00 1.055275241134021824e+00 1.620859828079858900e-01
1.644386067537440654e+00 4.572456823377502033e+00 -1.816569809849707118e-01 1.186232033631364757e-01
1.674187525639198482e+00 3.050000707350003282e+00 -2.591554771008017788e-01 7.843128641797980638e-02
2.850101942820844947e+00 8.106654112840116611e+00 1.213212713856905989e+00 2.781735108142706636e-01
1.619807136161640626e+00 8.311584481860645468e+00 -1.399470666938715580e+00 1.852174224854825912e-01
2.069871503396951695e+00 5.836269037575058327e+00 3.321988279535081912e-01 1.491554900606536505e-01
1.611383929319358366e+00 3.667822074560647572e+00 -7.907569751865747287e-01 3.311617851594047535e-01
1.139967104113236207e+00 6.039850074705561234e+00 -6.136451670312343953e-01 2.433845527142050602e-01
7.584536357939831719e-01 5.831460668926431445e+00 -1.133949466596428257e+00 5.695510162801582787e-02
1.379673097834722029e+00 6.843661594404967907e+00 5.846107259673877232e-01 1.153463217941912700e-01
1.364123401968238447e+00 4.745270658775043060e+00 -9.495267805614565626e-01 1.513455878441536395e-01
1.404916648293120573e+00 1.125605539299070479e+01 -4.823454205187480692e-01 8.316696144017127201e-02
1.578896332143739256e+00 5.996867668102950688e+00 -1.155506733433075972e-01 7.994988245681969308e-02
2.255894738287774093e+00 8.050100067848896757e+00 -3.100838024702895490e-01 6.086953433845194994e-02
2.207491322222818297e+00 4.598090894151670938e+00 2.441879977355788878e+00 1.353048363304254487e-01
1.281521720591026536e+00 5.801229069783208736e+00 2.510674517116143090e+00 3.421094196484721905e-01
1.630787382952173070e+00 4.146787649924764452e+00 1.992491294871139518e+00 3.170079627088757124e-01
2.060454647302082165e+00 5.747828141965924509e+00 2.060195138684257077e-01 2.308514646096310741e-01
1.428983104384644820e+00 3.596115497519713600e+00 1.353080787295389165e+00 1.997313053037957364e-01
1.147507620027511166e+00 5.241209348601096885e+00 -4.342567929144133809e-01 2.923548960472370783e-01
7.997105697139287317e-01 7.718043423656087754e+00 1.264272678469917199e+00 2.448303864980540534e-01
1.860887590512443346e+00 6.376318549600895835e+00 -4.993182753671838725e-01 5.145782495126633993e-01
8.846188649546588012e-01 4.116739291468052286e+00 -1.112277160753679439e+00 7.780048009162747469e-02
1.575473662025411725e+00 4.290421543306036867e+00 -9.262400588233430376e-01 2.150739699365131485e-01
1.438022481226962412e+00 7.800637237078591468e+00 6.941491635217971190e-01 7.130987538983654672e-02
2.245668912497071457e+00 7.523267827764979820e+00 -4.458060191250168280e-01 2.488730052595196085e-01
7.830048984258943801e-01 4.459041364029413756e+00 -1.680822880314011725e+00 1.088037176872700823e-01
2.191420928805941859e+00 1.094193518325003645e+01 8.806403629725025883e-01 3.427290927088625372e-01
2.005301037670893738e+00 2.749680660395302567e+00 -3.787214264873559610e-01 3.694093386275743018e-02
1.414743592518763471e+00 4.241326070691183503e+00 9.272730092816052760e-01 5.720296516830503109e-02
2.031122024642516344e+00 7.629566404252707379e+00 3.940415257330716514e+00 1.421397073915407483e-01
1.650785461612303440e+00 6.797751124881496132e+00 -9.487536609184004099e-01 2.661656629666602214e-01
1.086438012955838417e+00 5.131266071896563474e+00 -1.247219450675485231e-01 5.360196482460987538e-02
1.614929664806175946e+00 4.262574625414890406e+00 -7.695490621782733465e-01 1.434215504054032753e-01
1.345723058170564146e+00 5.788263933526753391e+00 2.425776475695702317e-01 1.000110610205408035e-01
1.207457461344639604e+00 4.029297133280486776e+00 4.509469044058981302e-01 2.600044852001225371e-01
9.672901513882178337e-01 4.814305678891793505e+00 -3.816250886748858706e-01 1.702136159930027204e-01
1.146121205276096289e+00 5.005003711056753346e+00 2.392542357550495158e+00 1.371552525808945322e-01
1.483862740542587932e+00 9.654607002083205103e+00 -1.955707220174739192e+00 1.314001279423790414e-01
1.394283772884000294e+00 5.104164001186562771e+00 5.672266938590431185e-01 1.717777055333355174e-01
1.218082566576825787e+00 5.147465345801442105e+00 8.730691543611055483e-01 2.255465639574392445e-01
1.113179797356419698e+00 3.854667855716789937e+00 -1.208332106619049329e+00 1.039494230181101098e-01
2.375733720695286433e+00 4.179631213300401882e+00 -9.079154265979474392e-01 2.818383347636453373e-01
1.384054675327072603e+00 6.327598058060723396e+00 1.357192858883941255e+00 2.674796786035463780e-01
1.611327745334037331e+00 3.684406881936171718e+00 2.339330863260612681e+00 1.145486708422367994e-01
1.891623063688357309e+00 4.575920959379394581e+00 1.443563076807267809e+00 1.594644472075548713e-01
2.189359145452877353e+00 1.009139227820888074e+01 3.757983676826621711e+00 4.925982865123445381e-02
1.383947037107068567e+00 1.099899489879280345e+01 2.377036602480719019e+00 2.064633395485157008e-01
1.353338050180530105e+00 5.162638085259164455e+00 1.994586006606380746e+00 2.443677705643812481e-01
1.307860687491241736e+00 3.305903195959420948e+00 1.368824679473855666e+00 1.967892302813197825e-01
1.541997256702161589e+00 7.520433282625422322e+00 1.869189596465883119e+00 6.733386891748874281e-02
2.318558450417161687e+00 7.912285812139157493e+00 -6.062141606584177111e-01 2.048825906654193896e-01
7.562025399507764645e-01 4.325548819135490497e+00 1.774767287384445114e+00 8.903235956823586650e-02
1.450421346734360961e+00 6.483028266562641306e+00 -4.605562601315456028e-01 6.363774018474330219e-02
1.471056391620508386e+00 3.015001185010385942e+00 1.453062638431348530e+00 1.155515989616777428e-01
1.859578471968024616e+00 4.833233928076707819e+00 4.695970032319152776e-01 2.145659283109111748e-01
1.394202341448854909e+00 8.421193159841216413e+00 2.247064105881021234e+00 2.729176074888051695e-01
1.423545069916470451e+00 5.270878915797042374e+00 -7.321266287542149698e-04 1.213785923211747331e-01
