# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.908816624953469931e+00 5.574661656579043445e+00 3.462151817461252001e+00 1.063660851184983769e-01
5.116656660015123093e-01 3.195109477901036499e+00 2.200041914909263152e+00 1.034904334130311576e-01
9.696438263865601037e-01 4.552885164621513603e+00 2.060959003252036403e+00 1.012488425970181488e-01
1.693088746082489271e+00 2.473910554345989166e+00 -5.825777839146952797e-01 1.518510010000031218e-01
9.572834653655354353e-01 4.131234082108081296e+00 2.884920971417372471e+00 2.894537933540464736e-01
2.046442084580854193e+00 7.316700528656829405e+00 -1.378724967727823714e+00 3.272269936255272627e-01
1.146998547271593560e+00 4.001127765698191396e+00 3.129174353092694982e+00 4.371687076382291953e-02
1.525036803508098338e+00 3.383084779954639298e+00 6.825206900782545549e-01 2.871788650646473484e-01
9.918184810461956324e-01 3.686820395741121636e+00 3.032448181612663607e+00 6.708762465278253484e-02
9.071468318013555798e-01 3.336595162939562265e+00 3.197528818875097656e+00 2.288493064676160593e-01
1.324146688074339773e+00 4.550877988521711437e+00 3.619429102950348032e+00 1.212763708039531624e-01
1.344004348854650477e+00 4.334016860374533486e+00 3.962565172634546329e+00 1.729551697145510492e-01
2.126972217253857877e+00 8.593228175023515547e+00 4.091852885181846311e+00 2.162694112972174398e-01
1.060636715307663014e+00 2.560782161508942334e+00 1.365526540322385962e+00 1.571845027238384929e-01
7.695656002144466434e-01 2.567743528562213218e+00 4.888568189632457317e-01 2.332656188837789746e-01
1.089991480129570478e+00 6.610332346691046190e+00 -4.232102268371074061e-02 2.866392699761091678e-01
8.610030930222316581e-01 4.205468055526018212e+00 1.571815556616314780e+00 1.669451151727781579e-01
1.016959951696017717e+00 7.722059126668720630e+00 1.883204007539839964e+00 1.536978785329662922e-01
8.061695405981372797e-01 2.213397609683984690e+00 5.600056854397927886e-02 4.202723273122677683e-01
1.338528561673512529e+00 5.766041104632369851e+00 3.110264655380243770e+00 1.919035124205527576e-01
1.229843417351005108e+00 4.116882472445444030e+00 3.555888040737360534e+00 5.274787441566501645e-02
1.058104370283626139e+00 7.430415211437393808e+00 2.991949474338888582e+00 1.966456914330540207e-01
1.496943715716732237e+00 3.941216532607743961e+00 3.101954057139145515e+00 4.579403772728457001e-01
1.062529424337127493e+00 3.148722230015986501e+00 2.586301783729850978e+00 3.126878264533353158e-01
1.812684088329106435e+00 5.598628054334253257e+00 4.400071940486703248e+00 4.485392359323179812e-01
4.796216037214653394e-01 6.114240868751634750e+00 2.583996943944979918e+00 2.987135375868700815e-01
1.853756289864953555e+00 9.333233740165747250e+00 -1.033377991052942813e+00 4.192012368791048910e-02
8.470292920214465004e-01 3.430632099488375886e+00 1.751047773191722889e+00 2.611193954521208727e-01
7.253707514806140288e-01 3.116234205621727593e+00 3.608760272146869674e+00 7.913257950676953756e-02
1.318395810362217757e+00 3.888581196302263177e+00 3.424760026641105348e+00 1.251215549632284374e-01
1.327964732983268670e+00 4.158417393341160562e+00 -1.154194355591493526e+00 2.069511936491783555e-01
6.933135966527019800e-01 3.396826075477440643e+00 2.970192571082916899e+00 2.617046291868411201e-01
2.074775526068412645e+00 7.506096605663719501e+00 2.976114869197359347e+00 1.919869348165586520e-01
8.176622811053310125e-01 4.864927462105795186e+00 3.719716500109490287e+00 1.910070527836359999e-01
5.336263969017750464e-01 5.819046187377534096e+00 6.474990423677384754e-01 2.412126746444626657e-01
7.697461008534105531e-01 3.511517808688394471e+00 1.470053685932144916e+00 1.105654488943853264e-01
1.091676619293898032e+00 4.477530754862237394e+00 2.354253331807781624e+00 1.280267166389227884e-01
1.814840897161212663e+00 4.331841727667884889e+00 3.216130608363042320e+00 1.434863058534188163e-01
9.150481619234770436e-01 3.447097847473440169e+00 2.453909243429579057e+00 1.409475568099333720e-01
7.957570572544861998e-01 8.921003288288440913e+00 3.356862299959950668e-01 2.108959812178659021e-01
1.438188363898880162e+00 6.729365234067200774e+00 -1.475999863343759877e-01 6.360783953713960992e-02
1.724989900393209208e+00 5.084447255832770907e+00 3.644398148792498571e+00 3.465807892997201933e-01
1.359823381541206411e+00 6.193402152272767580e+00 3.793905060147040320e-03 6.674089627998547325e-02
1.023050544879811730e+00 4.231765217522995393e+00 3.224651904259937751e+00 1.948541432280537222e-01
1.539304372298663681e+00 4.646750537820836691e+00 6.229253332557796452e-02 1.734036648247380130e-01
1.597408919362072410e+00 7.734859336574583466e+00 -3.045884899527498968e-01 1.505176369854076823e-01
1.529502458898340800e+00 6.405990971700987302e+00 -1.175983159778865028e-02 2.740674418937342760e-01
1.708188780698470355e+00 3.087464739825602322e+00 3.085417632368570917e+00 1.475231801933448716e-01
1.759841264725485743e+00 4.571144889538942380e+00 3.045826548293987024e+00 1.459400963228157377e-01
1.067549584710786315e+00 4.056158175026301826e+00 2.216974022849374504e-02 1.266954291614534323e-01
1.278963083192231398e+00 1.020815685786866389e+01 2.670156485457753082e+00 3.523087701981363895e-01
8.296636733906423977e-01 4.620436929114250191e+00 2.795961388894227628e+00 3.272398173265482768e-01
8.172935131635976624e-01 4.382146621003863096e+00 2.746634479896132852e+00 1.557492786858835077e-01
1.379631052106902178e+00 5.795194816000113214e+00 -7.818733303861187256e-01 1.246306810118823077e-01
2.276302807363319580e+00 4.523486699850130854e+00 2.023369728052684557e+00 6.588660917415940788e-02
8.868411200402783745e-01 4.533608104589605503e+00 2.599265209599545212e+00 1.729956605051391483e-01
7.016376261110466306e-01 4.870304118417760009e+00 9.778620052691686659e-01 3.532358152974621190e-01
2.350793619875442886e+00 3.920817185986549269e+00 3.760127851288241452e+00 3.663909160055905390e-01
1.847436404755489647e+00 7.220226065219447875e+00 -1.661459894174770247e+00 9.034354883112141743e-02
7.207597187080093670e-01 7.573095369837926860e+00 3.393702274647243833e+00 2.379299038766958807e-01
1.537249821866279786e+00 6.695267931740906953e+00 1.138890730356626468e+00 3.142548038469648586e-01
1.187973097145042178e+00 5.994833036388932612e+00 -6.119637753776794309e-01 1.374113620322892637e-01
8.397015300855925624e-01 5.182283155387635176e+00 6.115504471522079655e-01 2.307550415107056940e-01
6.711420593227710452e-01 4.535437136765954058e+00 6.843804903449098864e-01 4.936299935344446443e-01
1.123227081856793985e+00 3.310252684808870693e+00 3.381908338349641330e+00 1.920573825352766828e-01
1.602421786174893725e+00 4.873872513569227571e+00 3.437952300680928275e+00 1.105690188185451117e-01
7.212041710784594661e-01 3.387322942232594780e+00 2.775276599612020334e+00 2.022090856419953842e-01
2.883321076536363492e+00 6.214368326375928397e+00 1.819033644944825445e+00 2.249782783915542927e-01
1.496354981509913307e+00 3.453139899754333886e+00 2.385194241133131499e+00 2.422349844891146520e-01
1.524066176498765746e+00 3.774231168338590958e+00 1.601305446002513122e+00 3.191864156390546436e-01
1.297479022556142558e+00 3.534619613705295205e+00 1.460830523138064052e+00 2.768367285355940455e-01
1.542495628748629111e+00 2.986757048561593297e+00 2.598819195527863446e+00 2.683289970529644797e-01
1.753794125682833327e+00 3.952654878547664286e+00 4.374604423358031013e+00 2.722930657409063926e-01
7.932817280693653661e-01 2.484910070450204955e+00 2.212239421736305278e+00 1.675532703573485438e-01
1.493583415401945169e+00 8.945888906430139897e+00 -2.471036234866819115e-02 3.588019616624623653e-01
2.102676769803355494e+00 8.102193336508888066e+00 -7.727333356607847259e-01 5.875495020228053977e-02
1.227779101115690663e+00 5.567408518815492258e+00 1.692450575675545910e+00 1.932284275729918011e-01
8.542755058659650125e-01 3.117553720901083292e+00 3.530944311098287436e+00 2.007733460808858172e-01
1.261942097031799825e+00 5.992227906470763976e+00 2.966899128145072062e+00 3.861999943329912921e-01
1.380177526698434409e+00 6.975649243899612273e+00 2.219566136283892988e+00 2.450828312767022454e-01
8.959020423700074787e-01 2.632526559577263114e+00 1.318030629698624612e+00 2.285944820769668095e-01
9.720923656906443888e-01 9.943563849449226666e+00 3.385049027010868183e+00 2.250845584580799530e-01
8.835021225921501076e-01 4.557654105338651895e+00 4.510498123730180553e-01 1.212165859451177358e-01
1.407894155719562335e+00 4.805837859035235304e+00 2.890087542877370019e+00 2.511408957109054207e-01
6.806350486740707639e-01 4.076795507622031245e+00 2.045475870174715993e+00 1.834846644410465522e-01
1.601240062410266729e+00 3.500902225166752757e+00 3.207668794293542458e+00 1.471695098230060006e-01
1.967568277998552606e+00 5.006436649637015179e+00 -1.303600477996855522e+00 1.715006991841794837e-01
2.337514761349854808e+00 1.086675740495048537e+01 -3.279984174583845946e-01 7.476905153081468691e-02
1.154282880069005701e+00 2.980698556261542009e+00 4.118254390870562887e+00 2.851373949781306205e-01
1.050456304652678030e+00 5.184358361386833813e+00 2.362958909695535237e+00 1.369909902538084534e-01
2.673665954320126659e+00 6.759228422768001288e+00 1.310634975520543088e+00 1.438673603693898517e-01
1.534090789635959684e+00 3.508911500088938151e+00 2.519877163636649264e+00 2.175183860665378388e-01
1.426392532884996900e+00 8.209885986782063938e+00 -6.657238126271393108e-01 1.731786143960858115e-01
6.610273746452076660e-01 4.901406092826549710e+00 3.194811651409529052e+00 1.017075568409379627e-01
1.772172764536831480e+00 7.497059236245826597e+00 -1.200145043518726196e+00 9.072998156473000009e-02
3.685851308889394051e-01 4.828545138815086624e+00 2.262204146150698758e+00 2.055656112457203144e-01
1.230510389908530566e+00 5.479571789991745767e+00 -8.204295601989569642e-01 3.792576707715718531e-01
9.865479028696080288e-01 3.126755901631275592e+00 -1.226283217742980325e+00 1.094551085515349520e-01
1.398838706764394813e+00 6.222432216359012003e+00 3.546703304885625574e+00 7.921072999052758412e-02
1.283661673964525241e+00 6.500945084158297860e+00 2.376939824130976930e+00 3.505387478942497692e-01
9.323107955221754395e-01 3.387523674158098963e+00 2.899406516474525297e+00 2.069281120929398476e-01
6.753467016515398713e-01 5.265845186017643620e+00 1.422903435593136923e+00 7.515061519742155527e-02
1.789444103192593838e+00 4.761745618636909150e+00 -1.104150357394701132e+00 2.891746980439975356e-01
5.808000646170345949e-01 3.911036367192270546e+00 1.776353870385926292e+00 1.709724434171760732e-01
1.686025455017370334e+00 2.943294114521123994e+00 3.110966552754801828e+00 2.259981733367847079e-01
9.931418993624058222e-01 2.534605253407988368e+00 -7.949133000866756005e-01 1.168192768238691948e-01
1.309359871434956801e+00 6.425686001778887046e+00 2.920551949292074845e+00 1.568217247829158945e-01
1.216892006909843449e+00 6.108267129713825128e+00 2.557043121397521546e+00 1.817288985205105234e-01
2.647890572434080880e+00 8.517057578831447984e+00 -1.027632382335125438e+00 5.606376140254360624e-02
1.020279946491597034e+00 4.766038673602899678e+00 2.095851499777370286e+00 2.197965901126339994e-01
1.006482889545980530e+00 6.260473665269541854e+00 3.582900529374435816e+00 1.584592677819858519e-01
1.247357403696127687e+00 3.248392356203740672e+00 2.946419466824151900e+00 1.834613948264564309e-01
1.083957089645658511e+00 3.738823135979203904e+00 2.128118085013275707e+00 2.246901641188386867e-01
1.683870554361718286e+00 5.378086198065747503e+00 4.077259318897277218e+00 2.576751556904496865e-01
1.211625702033167329e+00 5.013684000715869615e+00 2.278373500755229930e+00 1.101258120230640680e-01
1.180397626441879400e+00 3.258023652600837927e+00 1.578509940986307702e+00 1.522301533695148423e-01
1.247364011681504792e+00 2.910579102849230715e+00 3.057718333203487404e+00 2.120214488469993608e-01
1.773446583658285558e+00 4.142982293528103099e+00 3.323845218392970313e+00 1.446713740355538291e-01
2.016511593902567956e+00 9.798977505532505461e+00 5.867433793411822585e-01 1.960752490837324724e-01
1.410438247776726772e+00 5.403742659184676000e+00 3.877869231790057047e-01 1.818614444778357542e-01
1.125136872872049221e+00 4.214392474620801465e+00 9.749235340079656642e-02 1.448431967697543787e-01
9.446239729697309961e-01 1.009005735584882046e+01 -8.679315884779098544e-02 1.860332025549890633e-01
9.802329520564282417e-01 3.604480465097245734e+00 1.714492858542011611e+00 2.314054262821843011e-01
6.346500934862574494e-01 3.385201918186764303e+00 1.187217875548529200e+00 7.976442817858853118e-02
1.182996857689667891e+00 3.808455198461848212e+00 6.800578199144662328e-01 2.994204970196917004e-01
1.727153551697060196e+00 5.725259388758686896e+00 -1.538107723534385185e+00 3.981592960893446942e-01
1.398869477973058162e+00 3.670429999939941457e+00 3.135781004402420358e+00 1.771139625703858633e-01
1.003397465415627909e+00 4.284434175142393109e+00 1.674620975346450713e+00 1.968005972119689084e-01
1.702687757922163314e+00 4.868765690216427799e+00 4.188633492966321370e+00 9.742313730435181451e-02
1.101131682457211047e+00 2.564398993033961016e+00 3.714937695326521627e+00 4.314817353207356931e-01
1.495594719391779570e+00 4.924726898450613177e+00 -6.669609273716365916e-01 2.316557131392341373e-01
1.436909420085052513e+00 3.315950963955645925e+00 3.526898304967135633e+00 8.275853450012660151e-02
2.123616597341271728e+00 4.937159505581822039e+00 -1.095184453719861173e+00 2.345087951864837372e-01
1.197340324426157565e+00 3.177162235833161485e+00 3.184819429708229510e+00 2.124193561838248479e-01
1.302646758769221425e+00 7.484922788347385669e+00 -9.160371869586070304e-02 1.279239622219287553e-01
1.149924944076886391e+00 3.689985943711417082e+00 2.890897906971991116e+00 2.782677511489500266e-01
8.956906182762504054e-01 8.232679856141455588e+00 2.895865172878282046e+00 2.822560880164806663e-01
1.706813180102381811e+00 4.731615555074823121e+00 3.073761435442194934e+00 2.727419554069041019e-01
2.370729161195402668e+00 4.276634063854157120e+00 3.775587230632690972e+00 1.826243453741239475e-01
1.520857733356045571e+00 4.108751218199624411e+00 3.799456068525378871e+00 9.467838051147983713e-02
1.000605640981290678e+00 4.772669115164382525e+00 3.035151264982351993e+00 1.543882430397082728e-01
1.520392893114272281e+00 6.182050753915087959e+00 3.264953230744257695e+00 1.307760207838721267e-01
1.590335642848909048e+00 5.386302410657078710e+00 1.445897659243602640e-01 1.153544571809575203e-01
