# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.592777614224729188e+00 4.351296123479555966e+00 -2.732480345133074806e-01 2.151396843988609697e-01
1.520233978695368249e+00 4.242407556060163287e+00 1.275156117571763170e+00 3.719269001797915197e-01
1.137556442158137893e+00 1.163681904733514472e+01 -1.831209233760040522e+00 1.113328477368051433e-01
1.028815279837461905e+00 6.570031901586248502e+00 -6.299620507356473720e-01 4.357643661299566151e-01
1.966811874752346201e+00 8.957003880997936207e+00 1.483980426993838364e+00 2.759875969938719309e-01
1.710207931353941557e+00 3.592889570961308898e+00 4.751046177992781505e-01 1.831819963135457030e-01
1.553984952610213410e+00 6.069710992850717801e+00 4.219410714247295857e-02 2.044767842696084970e-01
1.253536924637101313e+00 4.621988013253027994e+00 3.526512110380277232e+00 3.719052404308681448e-01
7.496311689799554090e-01 3.288757933357186580e+00 -5.316660867043754291e-01 1.068240739708081338e-01
2.875971494994372435e+00 2.745714472542311491e+00 1.990450934228513713e+00 3.826683346188840540e-01
1.740299027494855100e+00 3.005494490648766615e+00 2.980744641494152525e+00 2.219179659088108270e-01
1.841631652810625353e+00 6.550049096914136726e+00 1.841283667915297739e+00 1.865940289898532500e-01
9.567113895469536722e-01 9.994334164310611612e+00 -1.620992169941274597e+00 8.385395079554196218e-02
2.033882676047060745e+00 3.826544901571675261e+00 3.066389762138735264e+00 1.893056486078902312e-01
6.611644525279891660e-01 2.933106163496590035e+00 -1.340047158144121786e+00 8.886291210238199401e-02
7.431578339355591201e-01 3.722329450159477027e+00 3.480231753188254729e+00 3.558139244421816283e-01
8.411093013836816734e-01 1.150654347447959580e+01 4.820803922281340914e-01 3.174906161385931957e-01
2.514769135460595439e+00 3.853595097366712352e+00 -1.391702440517843309e+00 1.639108782071204695e-01
8.476361019390273865e-01 2.887312432942056084e+00 2.528392969334471552e+00 1.574140409295678444e-01
2.138716397040357542e+00 2.172240052250994591e+00 3.114207148626955579e+00 1.312117988963843740e-01
1.387467006053393570e+00 2.925355815414582672e+00 4.104111480851141636e+00 1.942691267645222930e-01
1.307006961634007869e+00 3.133355948472291708e+00 -1.305429869442531476e-02 4.583765554508705820e-01
