# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.519689143063611914e+00 3.499705190774741403e+00 -1.291861626604436264e+00 8.468889167318852107e-02
3.874321031309860608e+00 1.388187291977420124e+01 2.764814122335170321e+00 1.992563427339663074e-01
2.361166988305862358e+00 8.214321476937854527e+00 -1.531876792204605486e+00 4.625115727402303034e-01
1.617521257000046120e+00 9.167653843032940841e+00 -5.189886233186831177e-01 5.886077656100609928e-02
2.095746704793508552e+00 1.088523408900160305e+01 1.608635915643889636e+00 4.954481349216836861e-02
1.714342666406613036e+00 4.735418455986888375e+00 8.479251096924200759e-01 2.398021770024375832e-01
2.082224297879921693e+00 5.112088643694881362e+00 -7.855236465551459490e-01 5.716663475003312678e-02
1.250736437755907149e+00 6.982558715404232785e+00 3.194808998850263704e-01 3.245160473918707877e-01
2.301885917905631462e+00 6.708448472899900317e+00 3.414944958822960785e-01 4.128079773609770187e-01
3.041947370415282847e+00 6.966130542854775065e+00 1.138487784353819698e+00 1.889506181451361400e-01
1.653780744886540921e+00 4.716064924414162363e+00 -1.612505526751872420e+00 8.229312759537758815e-02
2.195797618974962617e+00 6.264230008659308346e+00 -8.408394204099827185e-01 2.437911141447954289e-01
2.356721028589986666e+00 4.181428220191022227e+00 2.006511063703348086e+00 1.025289668498667595e-01
2.627416665251035344e+00 6.404315530487255437e+00 2.046370062157225167e+00 3.028268108962756666e-01
3.683690807513692711e+00 6.301490180041050770e+00 2.388628629986053742e+00 9.356214157449374569e-02
1.612467969174662397e+00 5.396377115311778105e+00 -6.950793320167353295e-01 1.164883374179168651e-01
2.083113519425148663e+00 5.962880801345836979e+00 1.411257004380711555e+00 1.159935413153092010e-01
1.980705819883301411e+00 6.791407899130772918e+00 -5.068898609423921897e-01 2.170359936843274107e-01
1.015747740245115827e+00 4.212683897407595524e+00 8.474776979941577304e-01 3.330743476623802546e-01
1.734546414054606300e+00 4.679463272037652999e+00 -6.486482806526745470e-01 5.771801305965688078e-01
1.970489954053007642e+00 7.344469634620210741e+00 -9.596629785561050507e-01 4.332057288301547349e-01
8.198214770614594693e-01 5.992582872571857067e+00 -1.664478629588062919e+00 6.154379627106801309e-02
2.372479610307157483e+00 4.800535397813661120e+00 -1.216245714152489388e+00 1.652160145005308056e-01
2.145829708551654225e+00 5.007483320334736199e+00 5.723270077685929103e-01 2.250163878293774955e-01
1.584359740662192984e+00 4.316818819062036461e+00 1.440649585472581817e+00 4.527762256318136891e-01
2.503092301263267316e+00 7.686488886111400021e+00 -1.088087300543796099e+00 2.722683955570879277e-01
2.231840366449030721e+00 3.837716349779435987e+00 -1.833502770887665445e+00 1.764738987979340146e-01
1.630669086710392124e+00 6.295157183129520995e+00 6.801990729466548258e-01 3.118432079242747790e-01
2.201005414818588246e+00 3.734266193259120570e+00 1.121183279522961040e+00 5.040463588598564915e-01
1.964836730390727038e+00 3.819082318940303811e+00 1.557430982429321320e+00 4.066286853016529701e-01
1.927959794904849034e+00 6.817186197702327810e+00 1.614178657654598004e-01 2.786504630806439786e-02
1.791808653481207880e+00 4.891448872907585788e+00 -1.364397847714373668e+00 3.108976550287364526e-01
1.090749501859754389e+00 5.077129422663536396e+00 -1.435645956317990191e+00 1.780058282632231426e-01
2.160809051494322564e+00 1.055609781837852346e+01 1.272352000896805668e+00 1.254537323613751920e-01
2.322756850664852823e+00 3.623130959709438326e+00 9.184040832056284964e-01 1.654803918518311101e-01
2.173730344784277069e+00 5.892569341545344841e+00 -3.760691863864941697e-01 3.319455436576845275e-01
1.536870815069000695e+00 4.167871809752943690e+00 4.953945697593107322e-01 1.277880795644317502e-01
1.949433145993296979e+00 3.764927237959468265e+00 -3.680704719407509318e-01 2.155267932060404845e-01
1.041781488774454534e+00 3.035324070048330825e+00 -3.833219231983092667e-01 1.198819978055790103e-01
2.612880273147549115e+00 7.772291652665662021e+00 2.464655178950135639e+00 7.004584406565818322e-02
2.025819150891311260e+00 8.092270118219307307e+00 -4.991073482851564602e-01 2.501299070227802068e-01
1.603449198283963151e+00 5.529732607111222720e+00 -6.696039991451775419e-01 9.878292076309024006e-02
1.600626304521571397e+00 5.379150913525785782e+00 7.591206427561810743e-01 3.913718097028060505e-01
1.766454038759095457e+00 4.409065675896170156e+00 -3.786838959854982312e-01 2.191786447975500873e-01
1.353084893260168231e+00 6.619895491795679376e+00 -3.922324884370518849e-01 1.404563492743541031e-01
1.232663569482418842e+00 4.337681566605034789e+00 -1.870901097165888594e+00 3.073729080293163829e-01
1.640863179204459898e+00 3.914840764442878651e+00 5.621890161943088327e-01 4.113655083026553916e-01
2.614078884815022707e+00 5.685904900988386856e+00 -1.481260191263975567e+00 1.245937761900605956e-01
1.859284611073516613e+00 4.548633380982523455e+00 -1.588126519579270424e-01 2.703962417309090926e-01
2.105502049519346830e+00 3.576716123718377993e+00 6.353865218768081080e-01 4.411574316120364658e-01
2.514385967093060170e+00 5.990527618604662763e+00 -1.684250646196353340e+00 1.912067641376720140e-01
1.773941751878091777e+00 4.072941162339446919e+00 -1.332641370253789148e+00 3.483081152909406897e-01
2.084856931398336499e+00 6.261942288879376761e+00 -8.750287659238564775e-01 1.627565734805687114e-01
2.703054644588605893e+00 4.584603707162171915e+00 5.995048625867511749e-01 2.360706982777811547e-01
2.372379028473525331e+00 5.155612360754608048e+00 1.784970411974751592e+00 1.086020242154852600e-01
1.254412339311179236e+00 7.084152639309118094e+00 -1.663576441774287318e+00 1.782380970595190406e-01
1.493289852954423402e+00 5.638640365930138287e+00 -1.039719778917685522e+00 2.516923340783793761e-01
2.147210417339510347e+00 5.210835129411781175e+00 1.181243025844009420e+00 1.083442174247941647e-01
2.179833944028012560e+00 6.756133163675189124e+00 1.963922701641230173e+00 1.937266320800287434e-01
2.025155028281303338e+00 4.802359501907695005e+00 9.804211271211848988e-01 2.264918459428697517e-01
1.899640217211298054e+00 2.697265513962875616e+00 1.097933374626845204e-01 1.458807458983738814e-01
2.779191769143643853e+00 3.191541375652445112e+00 -8.875023067107875585e-01 1.501174936986223729e-01
1.057131365827018721e+00 2.856515055093471922e+00 -1.122260699453044852e+00 2.016034099384994005e-01
1.838524379014994992e+00 5.846137792100880581e+00 9.554062383854208251e-01 3.402115937719945582e-01
2.429071878208739932e+00 2.287865691143615710e+00 -8.493385043862993200e-01 3.486305232424098954e-01
9.927440183544525842e-01 3.559119574292068044e+00 -7.405875923035912800e-01 2.674089354554666509e-02
3.348505962336614683e+00 6.867521916226103862e+00 -7.493938902633329180e-01 3.217010613830160182e-01
2.120574305567766604e+00 7.923396502995205815e+00 1.704861144220201297e+00 1.588203534529118444e-01
2.195864817588376372e+00 7.893062391454083837e+00 2.215803351989357184e-01 1.028951841776498122e-01
1.881326483863548393e+00 4.363307212613245056e+00 1.316675090696989292e-01 1.544990776652095388e-01
2.614823527461118235e+00 8.400022618990696799e+00 -8.838847667935320063e-01 5.534132957108839346e-02
1.940358938066349959e+00 4.209062398983330233e+00 -1.222701911222239923e+00 1.101364581235139001e-01
1.111679577009840436e+00 4.637864263318107305e+00 -1.728146768683417989e+00 7.352730231110132797e-02
1.687664569658654523e+00 7.483220960395992272e+00 -8.896833641939576598e-01 3.016801039528605455e-01
1.930188202265419317e+00 3.934274157319190390e+00 -1.567870951610782049e+00 1.950222963595983627e-02
1.493673035232887747e+00 4.511952748211809805e+00 6.078422656613282626e-01 2.298690238711443568e-01
1.432101973914972515e+00 1.085429248245818457e+01 -1.070257872473607375e+00 1.564601581683800480e-01
2.053033267830271846e+00 5.498536076853421051e+00 1.630519708080680363e+00 1.182189739764947373e-01
2.527443777608688880e+00 6.386906234852647302e+00 2.038697420405150673e+00 3.149422119942614784e-01
1.629010036178649257e+00 1.097871878110066213e+01 -6.839430248871942730e-01 1.735962102442024646e-01
1.858320131797289054e+00 5.556808798378771286e+00 -1.868306210869798423e-01 1.264772203620699587e-01
1.441656617866588608e+00 7.053419746618041941e+00 -1.045605015861698073e+00 9.374956572544390632e-02
2.667916751684030530e+00 3.087254475164171730e+00 3.605508724205211402e-01 2.668271279390525552e-01
2.430644274708561259e+00 8.065941952117926306e+00 1.832376463659185717e+00 2.432926234431278256e-01
2.382764234272218395e+00 7.532253783071915620e+00 -4.130006566480849406e-01 3.899115665442528522e-01
3.184239852345918109e+00 6.034302436199112663e+00 5.423446926200756746e-01 7.326745848981107423e-02
2.372617538171043261e+00 6.888227505567014575e+00 1.759882854414099640e+00 1.018670479916705257e-01
1.608563642539649452e+00 4.367256556049195382e+00 -3.777836529961285938e-01 2.279849943717290883e-01
2.753523665179583357e+00 5.311000865019076755e+00 1.440316703530832187e+00 7.928285631279219370e-02
2.223367322335598306e+00 6.452488359379723981e+00 -4.190929821817815926e-01 2.011785529423134045e-01
1.487350620774597676e+00 5.667858048282099048e+00 1.228112712764739545e-02 2.572205946736796367e-01
1.157395565562403972e+00 5.820545997690985018e+00 -3.398865379291454714e-01 1.166818248816442194e-01
1.538861193447483622e+00 7.382105581835466168e+00 1.271777673744007409e+00 1.325261091514781664e-01
