# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.263998995938031333e+00 3.163087588278112428e+00 4.941169876673482619e+00 9.269728346514270745e-02
9.030261994381603152e-01 3.497880706515196891e+00 5.057955770306850063e+00 9.569304910299880618e-02
1.175789240373466882e+00 5.786218042269307027e+00 4.908123850786449971e+00 1.228972742933060053e-01
1.502617276796561319e+00 9.781137965584536076e+00 4.940346795276626679e+00 7.390249370259874273e-02
1.282930697122234731e+00 7.508637936779331667e+00 4.994746797728596199e+00 1.996465381685508800e-01
1.181197056227115461e+00 4.090376612341245277e+00 4.960499913736899025e+00 1.969200038212350068e-02
1.466598733855852155e+00 4.608365024490055362e+00 4.752793760940693168e+00 1.266438173909906484e-01
1.513366356969464643e+00 8.377813815306966561e+00 5.016650384960477105e+00 1.241094842055021630e-01
1.612572870126710800e+00 8.893135384311577241e+00 5.042302106781980875e+00 8.785807212816863776e-02
1.327300580749946946e+00 9.312512889437458696e+00 5.068975129574996963e+00 1.409839315071630961e-01
1.214723832408932447e+00 9.144636243134382170e+00 5.073294718633544420e+00 1.047062734705917486e-01
1.434940373529057123e+00 3.441926769440661449e+00 5.053743570698034482e+00 1.712056460382147538e-01
1.108860408946798826e+00 4.130063407071969728e+00 4.734524129355061284e+00 1.197517783039567518e-01
2.177683885618949322e+00 3.872160886401636581e+00 5.051407639206173528e+00 2.910304996323866480e-02
1.074297965699363644e+00 6.711531841324552161e+00 5.170295356067020620e+00 3.323030077496920143e-01
1.236669494063175945e+00 3.883896142676326324e+00 4.929204202280039304e+00 1.331519068699215658e-01
1.626701949965260852e+00 6.092959034765122794e+00 4.976176928446482073e+00 3.509605818017497159e-02
1.328591763386681057e+00 6.088981692221172359e+00 4.935760547130939813e+00 1.109640827533716623e-01
1.389643536940576629e+00 9.107685335833366480e+00 5.048130014685263234e+00 4.338897513594670852e-02
1.676403545615535950e+00 4.591747152115670083e+00 4.985119858524285519e+00 1.068717132427475930e-01
1.328691411124875765e+00 3.402191407011819990e+00 5.038233593562750023e+00 3.232356920085042995e-02
1.315269597599575402e+00 5.280767236678575394e+00 5.009412157687503253e+00 5.505677212143776644e-02
1.068377723251112466e+00 5.599632893245517273e+00 4.837389492875223240e+00 9.806725696885341959e-02
1.418663218105189916e+00 3.268886240247207642e+00 5.004450834249224656e+00 2.006568501830446882e-01
1.304391439193280045e+00 6.790132803810442041e+00 4.972345803433524836e+00 5.120510911264610637e-02
1.267262089135332781e+00 7.047940260365582077e+00 4.653244988680636851e+00 3.240669635865610076e-01
1.701915500718210295e+00 5.278528666559701321e+00 5.013264623429497746e+00 2.705526872457788001e-01
8.304879580418450535e-01 6.608578948072200809e+00 4.939027622822696806e+00 1.526549960197375322e-01
1.578631402113555016e+00 5.143057151355292511e+00 4.986649437025834963e+00 8.104208470606967529e-02
2.041635817563484778e+00 6.335218859376421818e+00 4.949090997208680065e+00 1.374153980079338144e-01
1.457458809734566429e+00 9.112459094514242963e+00 4.905585677358922148e+00 1.138197662910713504e-01
1.462639310103150070e+00 4.719960278898282624e+00 5.098549121431276809e+00 2.133271587032101457e-01
1.281606455109661091e+00 3.542453563342418121e+00 4.953511255785072898e+00 9.136237089346781193e-02
1.295727279293150902e+00 3.422147148144251805e+00 5.059361300968142849e+00 9.052561946586387687e-02
1.033137506775569703e+00 9.760473861427769293e+00 4.965688004197346572e+00 1.945123934988493564e-01
9.621399260554074351e-01 3.583078556433210160e+00 4.915081884806932422e+00 8.631165789663319821e-02
1.366885347351843638e+00 3.835756797566796550e+00 5.009617722835532305e+00 8.638066882729963925e-02
1.575436547231502171e+00 8.521307183600210777e+00 4.789337609515920136e+00 1.526191824836391486e-01
1.145660795949824839e+00 4.558000642730770657e+00 5.014739474673504560e+00 2.802156572798941009e-02
1.489141351910161726e+00 4.444548114508757308e+00 5.094046184682061273e+00 7.262572090704963457e-02
1.494888129613517247e+00 4.394742049713867615e+00 5.038632930452913605e+00 9.274723118556096879e-02
1.130507776797127883e+00 5.610849598109934888e+00 4.894052463897050842e+00 3.299764745921349163e-02
1.216824310716755786e+00 3.597243211055669576e+00 4.919373171753256280e+00 1.011529716416913610e-01
1.112292018307637242e+00 4.573916993798508912e+00 4.969826936516662741e+00 1.139524041179987568e-01
1.319424972292074560e+00 7.985470873007367132e+00 4.978062267340727765e+00 6.796469323863853218e-02
1.753314673014482405e+00 5.374858086615816433e+00 4.999881662429007889e+00 7.888535926807535570e-02
9.371041826459264312e-01 4.289825683467683781e+00 4.992833742997606628e+00 8.798773915650233424e-02
1.447225488925678150e+00 7.431124819093055223e+00 4.856276181512087398e+00 6.952230592959547650e-02
6.232442809789338067e-01 4.588508150106321182e+00 4.811103332846520253e+00 5.290244438892170720e-02
1.605403814951850361e+00 5.169184304211305481e+00 5.046151906217311911e+00 1.581951502034994461e-01
1.232382750568927765e+00 6.127274628984531901e+00 4.844826793568326018e+00 1.245581320333924019e-01
1.122492649264957842e+00 7.408318532921732036e+00 4.855938526803853961e+00 1.288970966854118549e-01
1.582432473019259378e+00 1.151005189722745570e+01 5.015486977762189547e+00 5.656261122912703554e-02
1.099537009525715314e+00 4.988381762401742137e+00 5.028182388946323300e+00 2.416465555475750815e-01
1.140773147885075556e+00 5.021452982228932882e+00 4.878753894023055260e+00 7.283608683854268795e-02
1.704833081367512548e+00 4.230533368721948406e+00 4.919450167420350795e+00 1.839707120358776565e-02
1.242400568335484845e+00 4.067632191196569380e+00 4.898540632482465185e+00 5.199362545076711972e-02
1.114915443893365943e+00 7.635370938625122506e+00 4.572648723680038607e+00 2.279242023314752008e-01
1.171355854834778887e+00 5.020543678187107339e+00 4.971527419862999508e+00 5.837383122359347809e-02
1.371843174472029636e+00 7.136103012435446757e+00 4.934921147895012794e+00 6.515620856329870647e-02
1.339501765080206575e+00 3.979402173924459607e+00 4.946666706289494009e+00 5.307900739682788055e-02
1.155565258688190600e+00 4.262017456907867263e+00 4.958045614668469270e+00 1.385309445277979890e-01
1.292955998669903295e+00 4.205327379286304179e+00 5.044816857554994982e+00 1.072328229485302042e-01
1.221717124297525325e+00 6.214190095114064505e+00 4.753905532855183580e+00 1.450050557132187001e-01
1.367569739485042124e+00 5.385277738739095099e+00 4.692160653157863237e+00 1.631832461698218828e-01
1.503919062036072951e+00 4.865189772452129802e+00 4.898007859485877802e+00 7.552264560630117529e-02
1.127280611227609697e+00 5.901923983332265422e+00 5.009001394785827621e+00 6.522411452340165505e-02
1.081984135187151752e+00 5.358767573759196878e+00 4.952084621906970519e+00 7.595878604744392415e-02
1.455693975340598412e+00 7.774710549486319344e+00 4.936697101892558948e+00 6.652605796059525567e-02
1.177147662438167819e+00 2.681963869689318880e+00 4.917975474837406047e+00 4.430166069031596376e-02
1.274100705334504813e+00 3.090262458118578248e+00 4.992085525646057675e+00 8.112865451105297221e-02
2.004400877066104592e+00 6.374121374402713869e+00 4.773600940078839727e+00 2.378778841909003072e-01
1.402226615700713053e+00 4.914715427447518437e+00 4.969286837628902553e+00 2.757903907572369084e-02
2.087622889025482209e+00 5.318259155111729974e+00 4.995148340126974063e+00 2.413784779476296771e-02
1.237391115137414843e+00 3.395070168527531074e+00 5.049842366752501199e+00 2.541187791188865841e-01
1.062957161859933386e+00 4.364239102712179630e+00 4.908562267169562787e+00 1.650437723505085719e-01
1.705561539844329344e+00 7.032829509301083526e+00 4.873287760309108485e+00 2.500900685707855842e-01
1.585426232009609304e+00 8.655453407506087160e+00 4.948566461413724582e+00 5.252657832699283991e-02
1.443008602636222326e+00 1.031557478397639649e+01 4.940899970552605325e+00 7.643569517589658691e-02
9.592079131232220668e-01 2.780201501997265012e+00 4.769643913812359415e+00 1.097204058816590166e-01
1.355960057446377265e+00 5.483916524259956127e+00 4.837912012475928947e+00 1.954756175161548870e-01
1.622693597695315404e+00 4.314548858057295710e+00 4.869547583468913921e+00 1.255445790408623863e-01
1.015254805258523740e+00 6.853572428820263518e+00 5.029108758801303480e+00 2.678340727262924492e-01
1.648129077207507009e+00 7.723291919081955115e+00 4.922258724097195781e+00 7.932044884294144060e-02
1.350422562869369347e+00 8.936778324766494919e+00 4.956748477770296368e+00 4.842134643076977801e-02
8.780971685803484750e-01 3.226761684973276534e+00 4.925685610582565488e+00 5.393744725047924793e-02
1.706471160267295950e+00 7.673673151562285355e+00 4.784654094189678908e+00 1.191053932254519249e-01
1.366931614019530450e+00 5.524355621753915813e+00 4.936561712602223650e+00 4.977867711481405444e-02
1.018074564551157968e+00 5.201773827719332388e+00 4.966036687038974939e+00 6.124817746677672231e-02
1.280678849878910786e+00 6.748093971955650083e+00 4.992911221633778318e+00 1.411476929457234908e-01
1.425611020048734634e+00 6.017859367261515935e+00 4.989992442243660342e+00 8.708311046246827725e-02
1.367990839991522822e+00 5.492808112007651289e+00 4.830496065603662181e+00 1.256035694825409499e-01
1.528965768862613483e+00 8.916913211575913323e+00 4.985362657433046074e+00 5.382731170780116758e-02
1.609118129770091388e+00 5.048291657127972343e+00 5.011778233706163377e+00 7.250136363961365293e-02
1.255425742374955966e+00 4.259082676514081456e+00 5.070070882110154997e+00 1.011565841222432649e-01
1.411909140680613461e+00 6.277997322244985412e+00 5.005062717207602319e+00 3.604620693898560185e-02
1.638201088361924462e+00 3.596502604128310132e+00 5.034849109891161412e+00 1.558985740527922548e-01
1.628040806116380468e+00 8.239212328641333016e+00 4.935404151761826341e+00 6.152657450914705145e-02
1.088719458141629737e+00 3.053399353327491905e+00 5.029829735578135619e+00 2.027185944248344474e-01
1.192840710907850932e+00 8.933380116874298338e+00 5.047043581825064074e+00 1.303766641470875676e-02
1.051423741315794524e+00 6.244125635440543221e+00 4.870972305505678612e+00 1.202507749676549748e-01
1.636654290633635433e+00 6.268987650489677321e+00 4.965487389866668266e+00 4.683354696637542086e-02
1.266040961855989133e+00 6.823801662960872427e+00 4.847380171896756629e+00 1.290055024621031277e-01
1.221752553025786892e+00 4.600312352168792529e+00 4.863978767282953086e+00 1.563028464080622737e-01
1.975552133349081974e+00 4.749388549598217324e+00 4.809704695471167746e+00 1.492406805898311983e-01
1.022857607663050450e+00 4.246125068406771064e+00 5.116471637824455243e+00 9.543715662713143921e-02
1.528738709512542204e+00 1.109776465300214277e+01 4.882332627047654583e+00 1.808349788614300735e-01
1.047397547649356220e+00 2.582152842846484386e+00 5.076069487799509616e+00 5.519460641111845201e-02
1.059199795397754773e+00 8.306509196921295413e+00 4.761543310510570670e+00 7.749634516500830683e-02
1.215735708540308879e+00 4.739358714330407452e+00 4.950650034687431145e+00 5.392578333567173837e-02
1.482977488177608105e+00 6.240746322696427484e+00 4.932853349308987667e+00 3.928161959034094652e-02
1.004699603280824638e+00 4.304631283188856017e+00 5.005441674359524029e+00 1.163285016211338813e-01
1.199167938219171115e+00 3.944382387288500880e+00 4.819805541895735068e+00 2.052551773733863605e-01
1.213306335104495925e+00 3.790297304817777935e+00 5.360854271198184584e+00 2.525295634654108334e-01
1.801000159957985236e+00 6.720877853860763196e+00 4.946401785086229630e+00 9.232237044184736507e-02
1.377497222688599754e+00 6.312203006641545322e+00 5.029261294565854357e+00 4.525805707105191866e-02
1.399014118834837950e+00 4.427503829412519742e+00 4.887829996193699955e+00 1.842059282880269960e-02
1.287158201190433671e+00 5.965923806583711908e+00 4.949794966511029237e+00 2.922458566393566076e-02
1.422807060749504249e+00 6.822686518502750097e+00 5.005217999465908285e+00 8.841014300143697213e-02
1.027883095940172353e+00 5.981374496595392110e+00 4.990075565218285547e+00 2.031444323022362775e-01
1.204608740687376223e+00 7.588154464058528781e+00 4.837845648641270202e+00 1.836744867906704159e-01
1.642034458914092276e+00 4.515534368616682670e+00 5.059010542758389128e+00 5.831364767494708057e-02
1.122971718422002940e+00 5.521653778057557638e+00 5.042785667286344697e+00 1.948361927214203870e-01
1.360213465457998483e+00 3.940648053544034024e+00 4.945479390425909116e+00 1.523054425405763745e-01
1.199369014060045702e+00 7.128696905589620769e+00 4.990532585944550625e+00 7.312071020389940279e-02
1.280260330615638154e+00 1.011774227193326681e+01 4.989625435972701695e+00 6.273610444592614410e-02
1.391364785064113319e+00 6.860008398722147405e+00 4.925624644415377063e+00 1.304175667408709050e-01
1.543702978832473871e+00 8.523425533440413204e+00 4.759421488287673085e+00 1.443360832391630821e-01
1.012136200907167938e+00 6.366095542005862029e+00 4.833517813262811380e+00 1.203908006313778450e-01
1.455207691839667472e+00 7.679459439711075142e+00 4.959424182161364492e+00 1.282921675252760296e-01
1.392926509600822094e+00 1.317274246238988944e+01 4.887961294048506211e+00 2.362920332088055686e-01
1.169849502391298479e+00 4.298086972849914034e+00 5.075771900814473270e+00 1.012995201441312526e-01
1.271679489103298755e+00 7.442434727684623219e+00 4.961890490606864823e+00 1.304410932984696458e-01
1.913836923536608836e+00 4.951486566549140989e+00 5.053610403940759888e+00 1.084301480397718981e-01
1.415549634103631327e+00 7.247305729171705124e+00 5.013125833769811024e+00 3.966146889526266789e-02
1.347040689132555258e+00 3.304113669085610550e+00 5.006211186323450413e+00 2.925841315341327215e-02
1.346298769973475196e+00 1.147230526632589687e+01 4.898860367085251966e+00 7.693159145142433597e-02
8.242274912573505086e-01 2.757649997087614047e+00 4.869635413088665210e+00 8.061713730745816153e-02
1.507766551810534539e+00 6.643412767558363186e+00 4.954817487836981726e+00 1.130238739034810369e-01
1.159625819538737890e+00 3.558112046458259847e+00 4.652388686513840632e+00 1.624365211901706019e-01
1.494146549585340322e+00 7.461972703683706243e+00 4.979906295841201924e+00 1.429256953737179370e-01
1.268894879706512491e+00 7.052330381568425288e+00 4.929230507662059502e+00 7.282550686824615371e-02
1.389132503635217120e+00 5.646483834133169566e+00 5.016159285971400372e+00 5.765438960705275562e-02
1.901488909242401215e+00 6.294102549105227595e+00 4.972188486188795054e+00 5.483374817941601836e-02
1.464851853477480592e+00 4.305419998319100827e+00 4.892129398621410274e+00 4.352031219983704124e-02
1.181698793128296288e+00 4.634465279328503939e+00 4.909831845895680225e+00 9.607261990606749680e-02
1.106572894966655785e+00 7.811947137529298146e+00 4.988972730099288988e+00 7.335694340669277058e-02
1.204249494421153033e+00 4.536642859391659677e+00 4.868098244609768699e+00 9.246397487785698588e-02
1.656855762039471713e+00 4.123392523956118438e+00 5.130040474249284443e+00 1.857615242276317302e-01
8.305068896048269922e-01 5.814516271272806236e+00 4.976492604752262849e+00 4.235675755916530616e-02
1.083905231093309718e+00 7.691338740246525418e+00 4.946234001364214983e+00 4.256623431126896340e-02
1.106766602581020331e+00 6.127344834698563503e+00 4.867864437897000407e+00 1.404496416242163592e-01
1.570254805088691974e+00 3.901735001054668306e+00 4.984536679576055285e+00 1.230652864006049618e-01
1.033051224017473846e+00 6.260991807408033516e+00 4.911227864314825275e+00 1.976619346080932954e-02
1.105751954307399476e+00 1.096885976049619060e+01 4.952819494499726360e+00 1.074985674982000122e-01
1.922503313355177879e+00 5.349016775659297451e+00 4.842253932223000490e+00 9.660064531042159008e-02
1.283547315148974688e+00 6.682016659123327429e+00 5.011966103692977015e+00 1.450425314355007766e-01
1.369918201515339939e+00 6.639147032483297295e+00 4.809229380848064395e+00 2.948197950748431273e-01
1.708469050079819862e+00 4.854870589872181341e+00 4.876666473098717702e+00 1.129239966497540965e-01
