# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.972169476539479938e+00 3.842795708803725674e+00 4.786674187899969901e+00 2.873807625053282355e-01
1.937576682976205777e+00 2.273198719127274892e+00 4.797317686763313382e+00 1.902951388940368471e-01
2.377164485895895130e+00 7.758825418389717399e+00 5.001143573139385623e+00 1.575906647439217212e-01
2.096819946389583578e+00 2.745116395522365860e+00 4.733497629735108347e+00 2.399105594374600359e-01
2.271705787625090345e+00 6.811434621332349337e+00 4.734916273707263201e+00 1.479244961670623248e-01
2.620074178890098526e+00 4.932962305368998379e+00 4.824630033757483893e+00 1.893349465074510574e-01
2.584277764353045459e+00 3.372657789933843020e+00 4.757246901232504044e+00 1.893668318590392419e-01
2.179196806217961413e+00 2.808159107094421181e+00 4.795208562149503528e+00 9.018688298462701480e-02
3.010615750312724881e+00 4.914314982404311749e+00 4.742675796167966418e+00 9.384356089262224643e-02
2.336329368580204235e+00 8.770392832184020548e+00 4.552392799941864965e+00 1.836891857866700395e-01
2.977016768628381271e+00 4.864334763882875556e+00 4.615295359628669658e+00 1.159909416989588354e-01
2.221708126488892265e+00 7.423824223896756891e+00 4.852005987776134788e+00 1.098012636924978053e-01
2.254139247486286024e+00 6.659644909030227211e+00 4.615894951755382891e+00 1.768317926257443606e-01
2.344636074463669395e+00 4.851147906551123157e+00 4.534933122841392716e+00 2.053827283861082709e-01
2.363729158020072330e+00 7.909756710432139570e+00 4.599283652810862044e+00 2.830964033613689312e-01
1.604620087909570003e+00 4.787877373000224424e+00 4.658693287961325424e+00 1.573947543702340635e-01
2.882271750361714791e+00 6.479724298621625245e+00 4.342989261430274972e+00 3.085435461643462607e-01
2.978490483385884957e+00 4.204585004450295038e+00 4.607826107385871062e+00 1.423018791453019016e-01
1.558189375615119054e+00 5.153752713310431055e+00 4.303621220859660035e+00 3.366962913761046283e-01
1.714823792851319251e+00 3.101745960011780934e+00 4.549057240941472458e+00 2.775086544885255746e-01
2.550689154857207264e+00 1.022202489238625489e+01 4.568324030108517952e+00 2.201617984610236833e-01
2.343632521878123764e+00 4.555059961684975178e+00 4.602781272702922699e+00 2.108857272963567120e-01
1.316161836931097895e+00 5.602541580485333128e+00 4.741628427609833274e+00 2.977283198197654968e-01
2.478838966875678729e+00 4.927085041212438732e+00 4.605653886104556172e+00 1.436236909319514587e-01
1.261659602427756655e+00 3.772882869817760998e+00 4.643270365866986715e+00 1.769092564749994989e-01
1.959905586378491327e+00 4.272260611901906202e+00 4.714773855663991320e+00 2.542177785670034496e-01
2.901390983658400202e+00 6.447812680209434433e+00 4.769277169192410071e+00 8.591539143826602831e-02
2.397647924907025274e+00 5.220204701443424966e+00 4.576227845644585734e+00 1.952556736615788102e-01
1.952372466686331798e+00 2.781869437953856661e+00 4.641618809455436256e+00 1.335426484363832211e-01
2.575394557623978731e+00 6.563697330121238238e+00 4.698871288175674010e+00 1.485228011077203425e-01
2.299683349831362023e+00 4.837145392551377654e+00 4.819080283649749497e+00 1.578419229215172748e-01
2.915442458363298073e+00 7.388305694155088865e+00 4.777497883109213639e+00 3.338141787817613948e-01
2.187732371218769512e+00 4.825812036341449840e+00 4.646680819937871298e+00 1.183450593142500451e-01
2.107548996201111802e+00 6.734374613597969628e+00 4.498301154836710225e+00 2.170641391699783540e-01
1.942858355055899100e+00 5.718426663036388469e+00 4.698765986816501261e+00 2.226096399165329864e-01
1.733052228362344405e+00 4.923506610680465911e+00 4.302670980562829151e+00 1.492622031578838548e-01
3.190345186698390734e+00 4.720091001606188996e+00 4.833599091085826416e+00 1.764768763290079090e-01
1.828982278323670885e+00 7.855080128560569364e+00 4.554212005129463670e+00 1.151301565488775380e-01
2.669037102240948922e+00 5.998613156049681372e+00 4.624965700250453615e+00 2.564675015653033463e-01
1.823585770768755498e+00 5.113336992219590371e+00 4.397877224028209575e+00 2.025304429211202684e-01
2.060655077779166788e+00 3.981851805589032622e+00 4.759207441564790919e+00 1.556927984844012347e-01
2.336365888821867021e+00 7.712858228771216851e+00 4.606014196631915247e+00 3.039417142756184465e-01
2.512925118966513605e+00 4.715180399449306670e+00 4.878461797689879198e+00 2.508752920974055556e-01
1.414400933894021994e+00 4.577896336702417024e+00 4.442671973073305303e+00 2.650108718839635502e-01
1.659864804972426056e+00 5.330398880956989771e+00 4.455977570894988027e+00 2.286509384589632543e-01
1.734311788676910382e+00 5.492002889903131013e+00 4.646649014388950505e+00 5.686790795346138155e-02
2.370968181060679303e+00 7.440614447325368808e+00 4.272377795333526684e+00 3.714999497069571555e-01
2.118202732019170309e+00 2.973868807279401061e+00 4.539373674156093941e+00 1.162093216195072554e-01
1.650747555017083368e+00 4.296155870167257973e+00 4.626152198584811970e+00 1.870733269980219549e-01
2.443289237221945243e+00 6.508882019803704289e+00 4.502824128726246045e+00 2.096340733544462542e-01
3.403514970506519077e+00 4.343902904979374924e+00 4.775951632236161259e+00 2.742888437566615850e-02
2.208909759312587706e+00 8.211654145065693911e+00 4.552486927560620344e+00 1.883696428440183868e-01
2.006129870888851308e+00 3.464813756815503965e+00 4.583879910966986770e+00 3.666349547228706096e-01
