# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.349291129624670793e+00 4.277126144474766356e+00 3.735739094784818803e+00 3.702172794789786447e-01
1.964628639647619135e+00 5.209935462869350609e+00 -7.927091972424503696e-01 1.644484845049704880e-01
1.816953620613858789e+00 7.630113625659748600e+00 3.200859745178753712e+00 1.283428460565151641e-01
1.244075557340453830e+00 8.103640221486354989e+00 -4.802426736355880910e-01 3.366661794046468259e-01
1.823784456420514788e+00 5.477248585183332352e+00 2.480203975947401940e+00 8.094657963779099130e-02
1.251653643881076139e+00 3.908085046047378164e+00 1.767851177009108321e+00 1.093526695159807438e-01
1.569639144362161121e+00 5.957618321622687674e+00 3.778275001998965710e+00 1.423704440860816822e-01
1.137345693691927950e+00 5.344750860447626373e+00 2.973120336223188165e+00 3.176081864053721948e-01
2.069586953549005237e+00 6.915818231897903345e+00 -1.861709870020485380e-01 1.335230755776034006e-01
1.289010534730440805e+00 7.038437440851706306e+00 5.450289774713727997e-01 3.469442128308532491e-01
1.444986474463312076e+00 6.969571580714843506e+00 -2.305610931707438582e-01 3.482308615543768804e-01
9.202024076461736701e-01 8.296195538003562575e+00 4.746208194664918167e-01 7.123451704981205446e-02
1.444708851745575950e+00 4.307720857921653490e+00 3.489457418836710012e+00 1.009608798397857443e-01
1.793661775917253287e+00 7.790973944635350534e+00 1.266560589198965081e+00 2.044872874856738798e-01
6.003410227488453765e-01 7.295965723219415722e+00 -2.461782289324848660e-01 2.541905941991480233e-01
7.424218617151207011e-01 3.889650366426833816e+00 3.135418757475785689e+00 1.789815025248589764e-01
1.518886510388766986e+00 8.144701601126083546e+00 8.114231038708721311e-01 2.811957299087499695e-01
1.314346084304935269e+00 3.907835872587845039e+00 -4.354458713902695788e-01 1.428411108261961049e-01
1.907556124341441173e+00 3.158828947850835789e+00 1.502757949411578808e+00 1.204599165383240383e-01
2.359010423723691297e+00 7.034885575445831485e+00 -5.730554893219467205e-01 1.056135122661000653e-01
1.461861411553561307e+00 2.619995128349049462e+00 4.122319569419532037e+00 1.391903513360285838e-01
2.335962734879800440e+00 3.483841939282478428e+00 8.565408991048863996e-01 3.071635181788202607e-01
1.905260112223764235e+00 1.097268615441524098e+01 1.526125545278236295e+00 2.188450284158827697e-01
4.180729792618667062e-01 1.076937882407313651e+01 1.030785656606965084e+00 2.534317609089806189e-01
1.287962154639027412e+00 3.667991697260759576e+00 2.446420831058351730e+00 1.930398180014441800e-01
2.225081268796164302e+00 4.911796466472994283e+00 4.176223362641191983e+00 8.831813165916335695e-02
1.909810196572294894e+00 2.988775821750277117e+00 3.025005345607602258e+00 3.042215057517198007e-01
2.111193945375081427e+00 4.247786880138353816e+00 1.969740563027823521e+00 1.035115766266977294e-01
2.331587236210769909e+00 9.016990387268167595e+00 6.023945190558545049e-01 2.275547995167238602e-01
1.180773953738215587e+00 7.326376462684098811e+00 2.164570868326344488e+00 1.589930621562053725e-01
1.243075452081854104e+00 5.010933578345150075e+00 2.370786617171647404e+00 3.214355851909928563e-01
2.174510995516279355e+00 4.848990015420975297e+00 5.786453698164759629e-01 2.055110076925362184e-01
2.116834576706147608e+00 8.952224724364047148e+00 3.320352313978347070e+00 1.956794307935706134e-01
1.918999883549259877e+00 5.946928261838190899e+00 3.980113864198683959e+00 1.557112912311034991e-01
2.442366245079580445e+00 4.720839140102164322e+00 2.345483047250951358e+00 2.096441583125726871e-01
1.717914971028555948e+00 3.664096206456981530e+00 -1.241053981648543303e+00 8.281808942015912722e-02
1.601631396009068453e+00 3.159534365686759383e+00 -1.260670329114973676e+00 1.913055366607063212e-01
1.755780920841070625e+00 8.223901509411302158e+00 -1.134892999063072949e+00 1.017143263700023142e-01
1.038728613605523377e+00 4.927778673064475257e+00 5.691487746684358306e-01 4.233299988621798127e-01
1.543604132303556753e+00 3.048672810133702171e+00 2.810873190010771960e+00 3.641758663760543691e-01
9.701729682205557648e-01 5.618484556434245825e+00 1.688079922811209110e+00 3.021997608996998541e-01
2.508807664175910279e+00 8.705728005253316582e+00 -1.682944978694855820e+00 2.388007392637071791e-02
2.518974744648253772e+00 5.817462728670661498e+00 3.076808813438857371e+00 1.308215940680025335e-01
1.391061997906685832e+00 5.150229941242358223e+00 3.703670927310694250e+00 1.819210994661220049e-01
8.070978016556744628e-01 4.812309869839399568e+00 1.752144899147471069e+00 8.995372407690431504e-02
1.499716432750763939e+00 7.356522709624173650e+00 3.175586255093556964e+00 2.469228767368908395e-01
7.600832198833078479e-01 4.041494294281139155e+00 -1.736484149145296474e+00 3.753997701772943812e-02
3.109904100464318866e+00 9.101964725732173633e+00 1.500786809392977705e+00 1.412834959883867425e-01
2.092231693761447797e+00 7.763875377475622841e+00 3.866732160068113267e+00 3.072029442457083759e-01
8.605276958116225838e-01 7.530499019958725171e+00 2.361331957990514763e+00 3.267800167055436300e-01
1.291995754212312608e+00 4.677443682396273950e+00 -9.278217883700317081e-01 2.827828595029206471e-01
1.004220169174963484e+00 3.577390393275277525e+00 2.427580922973963773e+00 4.022672721088324521e-01
1.529924986624061400e+00 5.686420814331436979e+00 3.780400920315973412e+00 2.194582312652850753e-01
1.510890310279465965e+00 1.017380985498770585e+01 1.258325855293050299e+00 4.356646450367757106e-02
2.289113268260765999e+00 5.152684126971773360e+00 -2.432347574600951523e-01 2.332151532638888358e-01
2.648124626652464286e+00 5.264198273849897802e+00 4.006328575888740140e+00 6.372228535683199802e-02
1.562040598885914733e+00 6.658390287088867154e+00 -1.858885223669127784e+00 1.825798375722720857e-01
1.935375155409331249e+00 5.953073643815328886e+00 1.758345229514022501e+00 1.532237372014078058e-01
1.483577100387923453e+00 4.104665163128291105e+00 9.089825169509082592e-01 4.437322100464062835e-01
1.268877806489472349e+00 4.225836024003355007e+00 4.125745134057003050e+00 1.697885006635761473e-01
2.220073157282569376e+00 8.335838871802184968e+00 2.031459600775289420e-01 4.176830642325923826e-02
6.042687793414289743e-01 1.122508810176471883e+01 -2.320563146236268859e-01 1.349163282374318262e-01
3.147105125485004429e+00 7.800837694776690867e+00 4.331581711398214907e+00 1.819020766218550078e-01
1.162181956577794217e+00 3.365552433371203911e+00 2.608487101140593900e+00 2.309121197422427663e-01
9.715505693472185067e-01 4.396949013206635115e+00 8.789855425420775026e-01 3.580107731890749267e-01
1.867414623943338459e+00 9.009682165566214707e+00 -1.537415109568076144e+00 1.942451462349585323e-01
1.046911571498641225e+00 4.090370718267498873e+00 3.886260520383504335e-01 2.400259888648533790e-01
1.425002225761268448e+00 8.205779105743815194e+00 1.808135684393616271e+00 1.561291105545200841e-01
2.165157604085428567e+00 6.207145379821892739e+00 2.857022639286335597e+00 3.459227296015903175e-01
1.465860950209117775e+00 3.980987867984648876e+00 2.901542887500575318e+00 8.311921032508423623e-02
