# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.132909573114729618e+00 7.505858361614436980e+00 4.703500192199731700e+00 1.433761403207821084e-01
1.191836966142702625e+00 5.773074322180332452e+00 4.494349150200412701e+00 2.393491854907482119e-01
1.253432722483545092e+00 3.733063291874484158e+00 4.755485978770924937e+00 2.751308577547446066e-01
8.788899777365384303e-01 2.384918032693156054e+00 4.727973131481141955e+00 1.321812598520449578e-01
1.153798547258362284e+00 8.585897256556423329e+00 4.955330750842939835e+00 3.382109235528180102e-02
1.567038991761497746e+00 4.200619615504942672e+00 4.772782711000732370e+00 8.826081349408720911e-02
9.956097043527224466e-01 7.952680028246447819e+00 4.967931787621878925e+00 1.777312983833410909e-01
1.784630715222572661e+00 4.398036840627107757e+00 4.682533115625812314e+00 5.304729954363472666e-02
1.372499576930860776e+00 1.031256212433675756e+01 4.988076175114775523e+00 3.255620150425651005e-01
7.802654301620512989e-01 4.275764252466751181e+00 5.109868063696410445e+00 2.031591244902718474e-01
1.437679900116924925e+00 5.544683592799388272e+00 4.742420349277262304e+00 2.319269468137904466e-01
1.153605097351781517e+00 5.355157060266255264e+00 4.791283472196321114e+00 1.295812018778045582e-01
1.659943401794726991e+00 3.476727341941224569e+00 4.697431919300342429e+00 4.313170401382769581e-02
1.718316496738478749e+00 8.549738771666209658e+00 4.990488754668003679e+00 1.642729070998917018e-01
2.068612950455688715e+00 5.075382070748909236e+00 4.871373844136337006e+00 1.039513218727623201e-01
1.690359320800528087e+00 3.413707870435934044e+00 4.815123556952246808e+00 8.103862384150699316e-02
1.127365224590483495e+00 3.456260768149693074e+00 4.658706674125516756e+00 1.761497040209704379e-01
1.140374996219201131e+00 7.205717874956036439e+00 4.724885845522805994e+00 1.136895742991791414e-01
1.128831961734197531e+00 5.152945791062832015e+00 4.804223732211889697e+00 2.579860098040321348e-01
1.236103153014508793e+00 3.458066136018120407e+00 4.465729445942921316e+00 1.544791527501970796e-01
2.228893605248968957e+00 3.734115466962822261e+00 4.772866867549604208e+00 8.275560841922276201e-02
1.659433773187865890e+00 4.411630411290222931e+00 4.751257343611430706e+00 8.345070024527272146e-02
1.449568152713748947e+00 6.801410167468393553e+00 4.448793981300497968e+00 1.525032912991743927e-01
1.388525546473077465e+00 8.207942967413162094e+00 4.703764337335508472e+00 7.213462436215128948e-02
