# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.291645106596814419e+00 5.279049294098041578e+00 -1.325533070064442986e+00 2.881145914082133275e-01
1.040289921647723714e+00 8.125682303132727213e+00 -6.024292615440567378e-01 5.084078171274106772e-01
2.667602645098962277e+00 5.708051328579489159e+00 1.348086212141703211e+00 4.761206465063713700e-01
1.171786824466175547e+00 5.724266959334676663e+00 -1.062321750229147099e+00 2.426143773257795622e-01
2.422066721834987391e+00 8.660998942256544098e+00 1.353485565270399871e+00 2.451328401050049122e-01
1.955553802361173155e+00 6.368222918572169711e+00 -5.906403526230415979e-01 1.156111829641671418e-01
1.577976003778241321e+00 5.811191573504729924e+00 -1.364462019932528580e-01 3.109312308729383911e-01
1.678021939600373269e+00 7.155334811059886668e+00 -1.650915930244603480e+00 4.173584574548732662e-01
2.103100907418412380e+00 3.349837040946983091e+00 -1.111358684958705600e+00 3.348210564601973860e-01
2.000750953823341671e+00 5.080936699036003645e+00 8.504314348606059060e-01 1.283236760004782817e-01
1.812125886039624323e+00 6.479089161265728869e+00 -3.646348830947298558e-01 9.254362940118421310e-02
1.983817585697626340e+00 6.251385123922627685e+00 4.790489963101758342e-01 2.682257297689356612e-01
1.224908887358508336e+00 6.506494726656431027e+00 -1.716687040081345206e+00 6.123203343838791446e-02
1.860617143114993155e+00 1.190050814854796357e+01 1.046293264101801235e+00 8.800235127001544699e-02
1.454577501217900082e+00 6.165131550305088304e+00 -7.177227775273909982e-01 1.731035893883520749e-01
1.245078401393654222e+00 5.779991416375287017e+00 -1.343105827016858766e+00 1.481545237064251785e-01
1.978926907132164237e+00 5.396671756497102734e+00 -1.256845297581449028e+00 2.308058221091766060e-01
1.301848472849741256e+00 8.612845216036889795e+00 -1.504309978017146054e+00 9.306196330455221433e-02
2.028618787319628858e+00 3.630754721400059282e+00 -6.317659538857938184e-01 1.240449787602507514e-01
1.581701081360479710e+00 6.875733345587029532e+00 -1.510222619916875786e+00 1.401594719144620971e-01
2.404655848383393746e+00 6.969025544295385011e+00 5.128053076450800329e-02 9.985136845648745485e-02
2.133212333315754439e+00 6.485951122437757732e+00 -1.951934597109299951e-01 8.249814514187372994e-02
2.469189537105718646e+00 1.100776539339103444e+01 1.112578181126764987e+00 1.728741767400460705e-01
