# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.098190351018021094e+00 9.176999838618696614e+00 4.120669465850182789e+00 1.601878128843879368e-01
1.425411701086294336e+00 4.980068213283052714e+00 4.276386683000314548e+00 8.272563794601839327e-02
1.886505700236428051e+00 5.379456005872190971e+00 4.230669624100238835e+00 5.652085860532961303e-02
8.600394566674690600e-01 3.334783087899922727e+00 4.267617542229173999e+00 1.565134168894519728e-01
1.886986281532470500e+00 4.837402094597681668e+00 4.105260577287081603e+00 1.334058875225440088e-01
1.098130086484274459e+00 3.685380107116781989e+00 4.093470684672188220e+00 2.160834185859236700e-01
1.578702504970546538e+00 7.887178888315581560e+00 4.203567093944718280e+00 8.593947334904079860e-02
1.460821657684885588e+00 6.461997529871498003e+00 4.273956032913857506e+00 3.576468285075244391e-01
1.600797728261709185e+00 6.776020850693864617e+00 4.441793352164625119e+00 1.224165308430195109e-01
1.182045700087352325e+00 5.795930057202569152e+00 4.206257048004594878e+00 1.611850504119589356e-01
1.197739921115002826e+00 7.696707047636604848e+00 3.923896084531402373e+00 4.621398008628022080e-01
1.302755664932399915e+00 7.255847461290784395e+00 4.172533349416702286e+00 3.490970165533572450e-02
1.213226428381121824e+00 6.642065893733688497e+00 4.053594158308617246e+00 1.717021438911385256e-01
1.543643451643648357e+00 9.212725088190627076e+00 4.205900497022694751e+00 2.182378221243129190e-01
1.381998833109461255e+00 6.887185029369794265e+00 4.147391029695236320e+00 1.591665720840150511e-01
1.706523393467091587e+00 6.901233564045279323e+00 4.216029918337439675e+00 2.065995520191345747e-01
1.298010460340689898e+00 7.914159340800249964e+00 4.354350334022233149e+00 8.299805604234311573e-02
1.309033360496427267e+00 4.616297990269794482e+00 4.086723259552678122e+00 1.284230071064582368e-01
1.580276854339514259e+00 8.324962109674229893e+00 4.045923572599044782e+00 1.978070848731558473e-01
1.697008740291768625e+00 6.887368661840896245e+00 4.262270623911263989e+00 6.293093708303736100e-02
1.348807146325966100e+00 3.324855283021612262e+00 3.930216318046424906e+00 1.238946135535223814e-01
1.304948237050467474e+00 5.190367446590075318e+00 4.209543055563312208e+00 1.864081713249357564e-01
1.988795897423072612e+00 6.045064166392824845e+00 4.396598972938788208e+00 1.692160491615689877e-01
1.101791803167780470e+00 5.766188005119482263e+00 4.226796286566108840e+00 9.733035130018721781e-02
1.264187002475527066e+00 5.356233237949465931e+00 4.116838904095867946e+00 2.190898088660991339e-01
7.752100902717943276e-01 5.215452515752347473e+00 3.894610962190228509e+00 8.481963404747651369e-02
2.256496906572614591e+00 8.586073299316051788e+00 4.285877750168630484e+00 5.308262678201648710e-02
1.278658420030807097e+00 6.282919188227531038e+00 4.206162909607541245e+00 3.911841653353102105e-02
1.471661703196320170e+00 4.091763722341454468e+00 3.977145628702533298e+00 1.109926070854786728e-01
1.003516042508834971e+00 8.059763679843486628e+00 4.163267964289815382e+00 6.097383140714493499e-02
1.530022786180657235e+00 6.686918922207174099e+00 4.225864975964373826e+00 9.076012508491401731e-02
1.091205374160483688e+00 5.323484467335622305e+00 4.210308113265746499e+00 1.650564881957812535e-01
1.447539156459506815e+00 3.696039738902452410e+00 4.130106827422201476e+00 1.210866271393304383e-01
1.236255060529937388e+00 9.140806425650561451e+00 4.080552058050957775e+00 1.301651623228008425e-01
1.950189964452129887e+00 5.407762519020912428e+00 4.148044776133824385e+00 1.573860195033054687e-01
1.133137025707400714e+00 3.839754631601219881e+00 3.727356918455765555e+00 2.658467541785343724e-01
1.115634577224026147e+00 4.310353329376074072e+00 4.396340776874920309e+00 1.357462629742261506e-01
9.318564015345726093e-01 8.633270240268560158e+00 4.148090011366676322e+00 1.577926729908885606e-01
9.629773904717746635e-01 7.762303057308834298e+00 4.131013597068922572e+00 6.361897307053192285e-02
1.969192317386277535e+00 7.600962943150879170e+00 4.132002943861777133e+00 1.180771999430354213e-01
1.889720906770515851e+00 3.429550996618699887e+00 4.335065287083952335e+00 1.835994658124727730e-01
9.785317383276922465e-01 8.561144822433615076e+00 4.183696518148321886e+00 1.131823508803624367e-01
1.347932907086694554e+00 9.198319118084127055e+00 4.157129645442943833e+00 4.343809296115835883e-02
1.172569333279478432e+00 2.706717492623369914e+00 4.173753072893109817e+00 9.883415040136750429e-02
1.925757151439230652e+00 5.719037168929939519e+00 4.210319272668163748e+00 6.358297440627978803e-02
1.266749402976798722e+00 4.901945855817847253e+00 4.273349641794273346e+00 6.475508769078433535e-02
1.614231115829576568e+00 2.784531891711929941e+00 4.349081215337065487e+00 1.315795956827538749e-01
1.710850857389325741e+00 7.601086100356631903e+00 4.425393714340109419e+00 9.419488259328209767e-02
1.079385510064595266e+00 5.946523080426572072e+00 3.960132401706749850e+00 3.467624935804574093e-01
1.369262662241941264e+00 5.807689313406451781e+00 4.180171632668794324e+00 1.066213379515822401e-01
1.116358856913196806e+00 6.538357727005018383e+00 3.845017914386642754e+00 2.170489906231922728e-01
1.966534028887779062e+00 5.563131063297761969e+00 4.253887105142554859e+00 1.940974699516714030e-01
1.295538356877091735e+00 3.674822304132918216e+00 4.229060924864390003e+00 1.438359963397925212e-01
1.256378398570514809e+00 9.744149526823086660e+00 4.399686216509439696e+00 2.226556861523533992e-01
1.683325513156434639e+00 1.047830380359062907e+01 4.106044214906646950e+00 9.525519431158482875e-02
8.913203918370889989e-01 7.409889220978085334e+00 4.668606228061415564e+00 3.215410053055546835e-01
1.086280074532261164e+00 8.483117592767387194e+00 4.116859426134750422e+00 1.254971587605744066e-01
1.180230722759670003e+00 4.885802669263160425e+00 4.057240519923777100e+00 1.485519825060692967e-01
1.335955740376854495e+00 3.907052346238470530e+00 4.362537058043586491e+00 2.092601525754940739e-01
1.973371582323191209e+00 1.087429722872662730e+01 4.314196946075623984e+00 4.910777373666419532e-02
1.786855296352054534e+00 7.058463897885987492e+00 4.412763064569484861e+00 3.081413959849432782e-01
1.126825004235480820e+00 4.712688068006865016e+00 3.964688384975726176e+00 1.003079083286946976e-01
1.118162357780217109e+00 3.559614493471442209e+00 4.371941722940483110e+00 1.256769151845932853e-01
1.605328303539320212e+00 9.626652359201928633e+00 4.307928096253416328e+00 6.678637305913451283e-02
1.611666368556639251e+00 4.232235382098426868e+00 4.098300750893876909e+00 1.382037810737817007e-01
1.650216875313097464e+00 6.108068149721658457e+00 4.306693990850344100e+00 1.301871541371741881e-01
1.679620809080795585e+00 9.329208107365831282e+00 4.457910580625456198e+00 2.087718527398731705e-01
1.457918287552414371e+00 7.064877929448766025e+00 4.281698266186699797e+00 1.948088112233942182e-01
2.018119186234953677e+00 3.025900663437812721e+00 4.120147900372516325e+00 1.391370199288541054e-01
1.160769678778542646e+00 4.053270140450083048e+00 4.153318825894390720e+00 1.247663936416569530e-01
1.305158023752870378e+00 1.058224234806514197e+01 4.038218574158460861e+00 9.732107225725586397e-02
1.289884441542402671e+00 8.505958939945587716e+00 4.102572921149239882e+00 1.837910030665184380e-01
1.448562947834006520e+00 6.187780579081337606e+00 4.246324340814274123e+00 1.373915891069246165e-01
1.927488219234944955e+00 2.868006551396535819e+00 4.538326653309860959e+00 2.829527441971463331e-01
1.364969264329713106e+00 2.099975533798851934e+00 4.207043665545646682e+00 3.833844474309458517e-02
1.820749467920304676e+00 4.709911335769855434e+00 4.246187252965833103e+00 1.142209977293004025e-01
1.399816859021863369e+00 5.035115092829510530e+00 4.211599720014411297e+00 1.133524448050910322e-01
1.758945942087711378e+00 8.949523333622483534e+00 4.612868852822940902e+00 1.609433472520125918e-01
1.499563730627145652e+00 4.459809032714712629e+00 4.352331573315042057e+00 4.862110795661274409e-02
1.816242801473730628e+00 6.347879583696331096e+00 4.236424544567608308e+00 1.393615391564329564e-01
1.094262912793404929e+00 6.874912170866076089e+00 4.136519201598276574e+00 1.089229048433508484e-01
1.851651294283313431e+00 2.621879588057554056e+00 4.246414503688819231e+00 2.755109313005919547e-01
8.992452224178072440e-01 6.669816554447397294e+00 4.116955448898133696e+00 9.670326440439087901e-02
1.266851717214741768e+00 6.188503260228241487e+00 4.162671168214373552e+00 1.550395651093383065e-01
1.475773178156587928e+00 1.143564285283527227e+01 4.184546500376739253e+00 2.505948922691310088e-01
1.211351368152153718e+00 8.638205796379875068e+00 4.261158608172475049e+00 2.212602841544465126e-01
1.985289266869109337e+00 5.080601364711483825e+00 4.352667626633365039e+00 7.866431061065087826e-02
1.361382446658051304e+00 5.695501599217691613e+00 4.261382581622473964e+00 1.608361324213778976e-01
9.253956125413974609e-01 1.157568330854573802e+01 4.324077014268080887e+00 1.287152350228184527e-01
2.196600726555991034e+00 7.587627916350288437e+00 4.309314509670162607e+00 4.368395421698146874e-01
1.314117631540405506e+00 9.876887084228007652e+00 3.988026897298968532e+00 1.081819115576603818e-01
1.662171843271420979e+00 8.492343206543566225e+00 4.080746967813653647e+00 1.006381842260141435e-01
9.066262206615889330e-01 9.699859927309637087e+00 3.798408825964135094e+00 1.851037847458393282e-01
1.033028308055175204e+00 3.673197898707373010e+00 4.437669971951064163e+00 1.297510610505544504e-01
9.269788676549594042e-01 1.299060025114040329e+01 4.123989880219016690e+00 1.073308262147897180e-01
1.109504740945957746e+00 6.271081065857846859e+00 4.519690943708126518e+00 1.659253104544231305e-01
1.076888920954027773e+00 4.750681960963439643e+00 4.259081465307370529e+00 4.615060822998259121e-02
1.625546607319322767e+00 4.195582795373911544e+00 4.381286168990371266e+00 6.827739638763850871e-02
1.112671670526184986e+00 7.866599091075299199e+00 4.336658084390891510e+00 1.008917521196443512e-01
2.107817218964772810e+00 5.875545373919605296e+00 4.384279636514862410e+00 7.277170734854385148e-02
1.354428147495249535e+00 1.382642431341280975e+01 3.986365223027148463e+00 1.241226332615214673e-01
1.788094417135266401e+00 3.277436957053245337e+00 4.105350230118494537e+00 1.877876312614656096e-01
1.606302231345882792e+00 4.325854239902136023e+00 4.264630018002766754e+00 1.389929936065845140e-01
1.557160112137437435e+00 7.322127644257187207e+00 4.341095187774574704e+00 5.614743824391642268e-02
1.778267913849022941e+00 3.248665683179141173e+00 4.368532561059701003e+00 8.897727390725188035e-02
1.088604838608135283e+00 6.422051098932696434e+00 4.290635893336795625e+00 1.066917456339080833e-01
1.642815335720350323e+00 4.462619271874293858e+00 4.207820208803044970e+00 2.017260570475547521e-01
1.007605252468709578e+00 6.362577673828250013e+00 4.200796225546929996e+00 2.084445704947377742e-01
1.658021020968384329e+00 5.617481378111357948e+00 4.290836256617530431e+00 2.693900074869119421e-01
1.388609549889380235e+00 1.049205668932342661e+01 4.352569028862666833e+00 1.379571768504306850e-01
1.929912640365692766e+00 6.825993176502848314e+00 4.164753744591814133e+00 8.927691021656897208e-02
1.367864833242146805e+00 5.307802730237203725e+00 3.971780645430873058e+00 1.758787627071342341e-01
9.369119899294392484e-01 1.073241424495736140e+01 4.314308951111928359e+00 6.528402547524095323e-02
1.821345979560423434e+00 9.981324288524456634e+00 4.218464438272301997e+00 3.149481640329366838e-01
9.894176105532014320e-01 4.742252029492227905e+00 4.222230955786868911e+00 1.749374395188292852e-01
1.704200599490500956e+00 3.204244554890550933e+00 4.163017639189095398e+00 8.944413131857020804e-02
7.037517281597663876e-01 3.254925521492091356e+00 4.193570378042715596e+00 1.112267570102638131e-01
1.664764782676272814e+00 2.818058883106552948e+00 4.192261113553838570e+00 4.289894606012457923e-02
2.103381105982429222e+00 6.713690662004671239e+00 4.100551780797061951e+00 3.197756896271578553e-01
1.927501408201409472e+00 4.751552066457669810e+00 4.229881448386761278e+00 5.625744885836313908e-02
1.355441288982747405e+00 1.794453286132218395e+01 4.181944642144932445e+00 2.032468912969828123e-01
1.023781891700955127e+00 9.645626674641686549e+00 3.896985419430927244e+00 3.634714556538404251e-01
1.505967006326110802e+00 2.758077609537759489e+00 4.094771887569256918e+00 1.418561181490705370e-01
1.984924905160110775e+00 4.470998377974074955e+00 4.246132136672819080e+00 8.116962566554342118e-02
1.813456655129073392e+00 5.688649965262998265e+00 4.348868406245415486e+00 1.687911970296563646e-01
8.959234610550683708e-01 9.430901919469892647e+00 4.135867729442508356e+00 7.318916451112908450e-02
1.286403660051820053e+00 1.363253854832742640e+01 4.105474617097979007e+00 1.707638491031505390e-01
1.254213713998494795e+00 3.627041592504202772e+00 3.903673641164605357e+00 2.313382039839426974e-01
1.070780707585001323e+00 4.879529332138548448e+00 4.237111490125694324e+00 9.556685777242318602e-02
9.759379381871147174e-01 5.996841621796899169e+00 4.581985213455382677e+00 1.181062295330210232e-01
1.301381604948739001e+00 6.555437030727011560e+00 4.375860513578721189e+00 4.722666359783422863e-02
1.923806962705324919e+00 4.714285437843494186e+00 4.314223388911834434e+00 1.363259945301583675e-01
2.350933224447915748e+00 5.974419044850343141e+00 4.253194043218025300e+00 8.720028731286022516e-02
1.948974431416501618e+00 7.276698229569023901e+00 4.305480709341573231e+00 1.030699140396604818e-01
1.055831687323789403e+00 7.893482596038606580e+00 4.166098559616508545e+00 1.984987332602656529e-01
1.016825998281063459e+00 6.186836970825092763e+00 4.218201729477467410e+00 7.759703146534724372e-02
1.023080476467293387e+00 7.390001722201379408e+00 4.060376764347759959e+00 1.174677793920857333e-01
9.531670414486000942e-01 6.086294027454985489e+00 4.028486213594161924e+00 1.391861756757167834e-01
2.197516563298300696e+00 5.403114533340952264e+00 4.051787433393115201e+00 3.899093189616263389e-01
8.059958997709875117e-01 6.270669780364561241e+00 3.573626135719611963e+00 4.750779401580120798e-01
1.486415777290873486e+00 1.138276311758247417e+01 4.329666120802889040e+00 6.704702538840276449e-02
8.770919124307632320e-01 5.513814839850873284e+00 3.877833179043495448e+00 3.661308554514534075e-01
1.510163079948414477e+00 8.292898390021862909e+00 4.353308778655026856e+00 9.718683442395570360e-02
