# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.131728095708981474e+00 6.187474526533925712e+00 2.666206842064687166e+00 1.972154947280409798e-01
1.706608187019173828e+00 7.129823019965832565e+00 3.282231641183257054e+00 2.219359931021989418e-01
1.071054075893987712e+00 4.847126761678856255e+00 1.423089366864120464e+00 1.037763537821335957e-01
7.576078948637529065e-01 7.283776334605848390e+00 -1.419124241621287030e+00 2.583768700720481815e-01
1.584141365163663329e+00 5.990841847459028813e+00 1.078604134813963888e+00 6.367033994794175922e-02
4.300288893777663435e-01 3.288261963463099846e+00 -1.130651996344514743e+00 9.430040684493717906e-02
8.002925538950268480e-01 4.873594198867142069e+00 7.003754671658339870e-01 1.111612513820484649e-01
8.131455438288418547e-01 2.881266243729467824e+00 -1.086706402391000914e+00 1.745192938486160861e-01
1.282583828712150043e+00 5.119773223390140515e+00 3.350766361218125322e+00 1.416815148696797810e-01
7.076085407383932990e-01 5.081773888172794962e+00 2.407254638073081376e-01 1.166353300917413877e-01
7.724849182559330174e-01 7.898103980680200920e+00 2.858111463678210118e+00 6.659716298841730775e-02
7.215715641676262448e-01 4.016893994255269718e+00 6.797778650314557636e-01 8.185809611490625637e-02
1.403275536531216172e+00 5.477631030784347210e+00 -1.108634690632064101e+00 1.191132387345370525e-01
6.069342095952344751e-01 5.213659083071729761e+00 1.666884804501485240e+00 1.235684187917757415e-01
2.039090823642701000e+00 1.083202841342868261e+01 1.469542480784465255e+00 1.693265942386704970e-01
1.568344927960425128e+00 7.308090859256499705e+00 -1.076586239184767146e+00 8.002203390624659796e-02
7.071024032647014179e-01 3.937604037391499556e+00 2.181238331261249552e+00 1.926121661756563797e-01
9.745179313042052760e-01 6.269060708304788676e+00 1.889943302977113437e-01 2.913816718869349787e-01
8.973905046718307910e-01 5.364299160147140810e+00 -5.695393100419495758e-01 1.059617943092880932e-01
1.645879041957499123e+00 4.016111408357419421e+00 7.141942380650452282e-01 8.233739619337678006e-02
1.236709302192248394e+00 7.679459611795093288e+00 -1.161989814277300193e+00 3.200985619187203812e-01
