# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.620739182765337016e+00 6.931643629500733539e+00 4.019332065041652413e+00 1.715855916365379430e-01
3.528502197380966265e+00 8.275320232607482396e+00 4.074698560700960925e+00 6.798849343247441446e-02
3.479311950990148006e+00 9.740977073477347759e+00 3.998749843574190610e+00 1.818948651499071589e-01
2.293744701260688412e+00 4.858362503987780912e+00 4.044811741544993566e+00 8.879423257788975066e-02
2.437013305884034420e+00 6.725296299741780892e+00 4.128172594910204829e+00 2.578884578218942902e-01
2.807868834750479881e+00 8.458835335729020244e+00 4.017036007470190739e+00 4.645942451590177880e-02
3.082465720615843008e+00 7.542063444842046493e+00 4.014938862333235825e+00 1.975198498213671106e-01
2.104514950238095761e+00 7.405516067256891155e+00 3.855597394541560252e+00 1.627648389530811923e-01
2.912218627707137131e+00 4.251630525898080215e+00 3.911254602482550080e+00 1.020316381172221842e-01
1.962238665930366555e+00 4.161734547066807899e+00 3.832049530703736995e+00 2.696782432204619662e-01
2.915140479265482032e+00 6.522461793787361017e+00 3.855778981616231782e+00 1.421654450763619182e-01
3.210091036183851276e+00 7.545327155281665199e+00 3.878458226897380623e+00 1.809060305394043500e-01
3.009876633038271798e+00 6.635717922724582607e+00 3.684640256105510936e+00 2.080655793681676080e-01
3.785793210609810444e+00 7.019244928510808279e+00 4.122089769501769752e+00 1.182571477875510313e-01
1.972210393120241489e+00 4.968227370779801255e+00 3.923829638463297798e+00 9.605564094101745609e-02
2.330297686877635499e+00 9.504444286514384999e+00 4.035036208991663820e+00 1.613797053529396341e-01
3.154589875388389864e+00 5.392561057696277693e+00 3.624757791509273019e+00 4.055943820079011553e-01
2.874281805288066760e+00 4.581089028574357513e+00 4.014798933720493679e+00 2.369376535307090303e-01
2.316887676345918301e+00 7.866705448069450490e+00 4.031144934116879242e+00 2.874759938452682850e-01
2.497167327694069350e+00 9.303521626340961248e+00 3.929196685375371256e+00 2.445527747726610190e-01
3.139959480358378574e+00 8.395069940151183019e+00 4.045495589689656946e+00 1.061046469191024022e-01
2.527413874299505814e+00 6.898407735969742660e+00 3.972356829274621415e+00 1.449031738814461900e-01
2.814076166938345391e+00 1.166798113597676512e+01 4.086164033308956611e+00 8.564081213716454033e-02
2.887913494926242830e+00 8.250272811887738200e+00 4.067974537403913793e+00 9.174738747280730689e-02
2.954193810226015238e+00 8.837346982746298707e+00 3.732083691394504577e+00 1.799359439446740483e-01
2.458194262537675367e+00 5.071087642866395129e+00 4.202049863816466946e+00 6.546331267062321935e-02
3.067169277437800545e+00 3.241566049946312145e+00 4.225769790673412629e+00 1.083810424611859058e-01
3.090174120394276081e+00 5.438712139667273071e+00 3.635806487361817663e+00 3.123215755884652944e-01
2.025413270109921893e+00 4.833587721356364497e+00 4.017101538511119507e+00 7.698801764249266211e-02
2.145453280940449403e+00 6.646343864768637033e+00 3.954251492011251035e+00 1.869381881848742044e-01
2.585065972736216633e+00 5.202141248440717014e+00 3.906312981567571008e+00 1.387715819207510359e-01
3.046770085486664836e+00 7.081481416854597200e+00 4.054793016842690001e+00 1.627294382930304095e-01
3.680658671720349329e+00 7.462214659423302976e+00 4.141570348199057783e+00 2.833015754409680120e-01
2.803912785582973743e+00 4.912613139878668989e+00 4.029135595341296394e+00 2.891529288796888808e-02
2.678768639831866860e+00 1.126253746266547573e+01 3.900884778673644249e+00 1.283876868263872373e-01
2.830627788812825507e+00 5.365978942019649978e+00 3.999479987216955301e+00 1.467391339106694503e-01
2.763416395650393653e+00 5.812446233000016171e+00 3.998663089525661185e+00 2.645380512376112048e-01
2.419901824495600540e+00 6.417069413980011738e+00 3.933065958268313178e+00 2.124575513290915263e-01
2.890189370800618107e+00 5.641913805878191468e+00 3.886634176997397550e+00 8.265940936642311720e-02
3.116196753854818091e+00 6.296455573097283320e+00 4.033611828346524319e+00 7.603997773695093942e-02
2.327807352323718604e+00 6.738232652377966758e+00 3.978035486473070481e+00 1.004148467810655476e-01
3.294462572113545651e+00 2.669465807828372395e+00 3.882895571907162502e+00 1.414672280197704635e-01
3.265944471159079932e+00 4.961472323058025324e+00 3.942871365398809225e+00 4.837230956784237257e-02
2.796031376979768890e+00 1.049590966446796081e+01 3.830901026367287798e+00 2.649188569706480423e-01
1.860386498744264205e+00 2.994643480541275604e+00 4.015217962563284892e+00 1.092589832937025940e-01
2.578163731726200503e+00 6.156959537677892946e+00 4.060466715211633826e+00 7.533991263937012128e-02
2.546415634554532570e+00 9.690311150312021837e+00 3.682726652401490774e+00 2.750893649173833388e-01
3.248081213207821172e+00 5.975106093230694526e+00 4.047527758708599599e+00 2.641851901121368695e-01
3.271330989079894724e+00 5.992201203855532121e+00 4.002994466073665158e+00 1.102873451658558379e-01
3.386876146341130323e+00 9.038842218600128930e+00 4.080812124149821862e+00 1.341918184509251488e-01
3.312775009938728310e+00 1.143348300805420692e+01 4.098405324125864446e+00 6.428569971217869272e-02
3.035474879325438025e+00 8.676704610554162755e+00 4.036933608082512670e+00 8.806202312701705281e-02
2.589953528375246616e+00 5.200659866047282698e+00 4.119611581649818000e+00 1.917276852375363883e-01
2.909349897909891514e+00 7.374248256489616793e+00 4.205929765200747461e+00 1.642478455631895540e-01
3.013652231701962059e+00 7.420326283428315683e+00 3.979935176383880613e+00 9.265691511583466766e-02
3.197027211917816469e+00 7.840001591550464610e+00 3.950991940604787533e+00 1.447800820553456769e-01
2.568453467174839577e+00 7.120287209061029188e+00 4.036933920092339534e+00 8.227055330732351013e-02
2.463990519102704280e+00 4.209939980598168319e+00 4.074468846538899847e+00 1.398867244124253340e-01
3.296167101012347000e+00 9.091961999149136275e+00 3.936983233806356175e+00 7.650890002257011713e-02
2.623645976275460701e+00 5.766707125822618352e+00 3.937449471569694381e+00 1.155773838602163900e-01
2.993298493131892002e+00 4.928388965608615280e+00 3.957099851095341680e+00 1.855451825820214617e-01
