# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.523424403460610366e+00 3.173239116189373377e+00 3.365851355226136654e+00 2.065560483077189813e-01
1.666074601488350071e+00 3.428050266257792078e+00 3.571360065148500240e+00 3.116261278873976859e-01
1.663461600281809893e+00 3.974217108917657448e+00 3.802770502471722214e+00 2.927183465863400502e-01
1.676128903137498405e+00 2.525800076432416219e+00 3.365111457946204254e+00 2.920188154416936688e-01
1.168039463051397719e+00 4.480868906826529496e+00 3.308140427739926004e+00 4.057848574903618610e-01
2.178976275584747047e+00 3.349749186008154300e+00 3.278851499381930878e+00 4.144907754556013679e-01
1.302692601750972567e+00 3.898039073488503981e+00 2.306706166395399826e+00 5.230825748239378292e-01
1.398476564222774998e+00 3.578752110287343413e+00 4.592887868185930422e+00 6.362291765200247529e-01
2.142589585921270245e+00 2.698949182359855481e+00 3.390796018109800247e+00 1.717929138645579723e-01
1.814816982965110181e+00 4.654620909529747053e+00 3.544931800745997119e+00 1.976186494177480379e-01
9.840554413198404626e-01 4.692031646914752940e+00 3.260993132862915367e+00 4.014249467668868920e-01
1.731109361031730742e+00 3.857271611232055086e+00 3.225050361770385177e+00 2.257955545081443693e-01
1.505520507964908550e+00 5.176620773185567792e+00 3.942881770864546720e+00 2.813353321508926808e-01
2.261196791095292369e+00 5.317735916415763597e+00 3.755048857600296053e+00 4.265433636399723616e-01
7.612339028259027529e-01 2.168562468619020578e+00 4.041208951805704608e+00 1.420763604819851866e-01
1.620671984235907637e+00 6.366085815691949534e+00 3.518123394603714704e+00 1.449923683807200214e-01
1.900760103924606037e+00 5.487801483296339100e+00 3.927022402226620912e+00 1.484136281156178683e-01
1.935351338690074030e+00 3.739539413496598907e+00 3.879844001277545473e+00 1.718135979550231285e-01
1.359819780065194106e+00 5.375473078667362792e+00 3.672518648777292505e+00 6.436083091195250738e-02
1.199612963466573090e+00 5.001668459054251947e+00 3.411036270857970010e+00 2.389712208364205837e-01
1.259828118394219931e+00 3.380875572471475632e+00 4.026431867722023661e+00 3.773682519084734510e-01
1.980809221607599424e+00 3.291793570258022328e+00 4.225498781302651885e+00 3.484330764044908380e-01
1.156216076235518919e+00 6.137995635308400644e+00 3.871060032533541140e+00 3.590345142566588876e-01
1.461653183439746595e+00 2.254589906109312203e+00 3.251730068762999082e+00 1.873380611205515689e-01
1.440169781309038832e+00 6.270052782252749424e+00 3.046198022287351925e+00 3.374769277629290354e-01
1.760048579503295851e+00 5.755828024778628205e+00 3.723913377462781060e+00 2.366060936882956045e-01
1.911439422831589408e+00 4.216153816431378765e+00 3.162950356962735743e+00 3.951715020163609760e-01
1.908786189678496115e+00 4.134396640837465497e+00 3.278730659015027804e+00 3.713425626975227489e-01
1.449190724242426453e+00 5.219899611759007740e+00 3.717718853882204577e+00 2.128374588152863456e-01
2.465548301217889371e+00 4.399692749999736030e+00 3.810464907825989567e+00 3.130368389563321085e-01
8.925667694890748738e-01 5.022727526296520750e+00 3.772385583670352815e+00 1.857804060830623716e-01
1.093548858622956033e+00 4.220366854734867168e+00 3.565738675677736946e+00 2.931582232076094252e-01
1.588815996834127553e+00 6.491701449469609031e+00 2.921105221296718124e+00 4.454726274581917722e-01
1.683683429605265403e+00 5.234351098088228404e+00 3.634119366861527922e+00 3.404477671272836958e-01
2.008073427192113236e+00 4.104613555002083025e+00 3.459106163309704218e+00 3.286938818019744524e-01
2.718148965751455925e+00 4.362455571479815220e+00 3.352848983444954634e+00 3.949034013551310784e-01
2.509926032675395380e+00 4.754459850295254419e+00 3.657198265729049158e+00 1.141519418925977941e-01
1.034893363677204192e+00 3.640190340918652900e+00 3.434370486908220776e+00 2.629785941036396069e-01
1.954339829069086765e+00 7.834600162248667843e+00 3.473095066863087332e+00 3.755455167067517919e-01
1.430144311178329186e+00 5.186751759630367609e+00 3.244089881324219160e+00 2.812318250334326919e-01
2.234406263139173898e+00 3.491973482113966298e+00 3.825376017794949401e+00 1.814442228586659323e-01
1.494624191593587614e+00 2.517038620666301352e+00 3.736759658724934319e+00 2.346207115120704789e-01
1.756667951888758017e+00 3.453406997746493179e+00 3.809854254323145284e+00 2.501383184868645193e-01
1.849259741078028485e+00 5.905211279164540805e+00 3.904051416892229565e+00 1.690431600767766385e-01
2.347430151998780801e+00 3.763624418227022428e+00 3.889764396333686314e+00 4.123857449985649515e-01
1.564035030458049480e+00 2.482694397129103336e+00 3.895590601680521736e+00 2.755669669423667090e-01
1.423768431308829463e+00 2.765677840664381382e+00 3.982854446829654727e+00 1.974916219256047101e-01
1.751045532789877290e+00 3.163778711434497293e+00 3.952052939480127147e+00 2.784544642957121896e-01
1.904087036661948451e+00 4.708966317103408628e+00 4.190205878106375792e+00 4.102691357557443630e-01
2.357758028987476440e+00 4.334325969076223473e+00 4.309489594130278434e+00 3.706826947260352667e-01
1.736399813592303776e+00 3.285336179721557226e+00 3.910309687792307365e+00 2.501892822532417737e-01
1.311377016086695768e+00 2.506654042744549393e+00 3.721909418143833026e+00 4.285117214086318072e-01
1.701159611493700208e+00 4.919409352961248594e+00 3.834486452699278569e+00 2.041462276777958329e-01
2.498551596718697976e+00 2.900207494512923478e+00 3.189705688361106795e+00 3.219365659111553812e-01
1.473979211716409665e+00 3.234815146434709909e+00 3.656771074915527109e+00 3.544088872360549036e-01
1.544685621352326121e+00 3.152647187213315494e+00 3.154746877476514832e+00 6.157613889590956013e-01
1.629735301136031156e+00 3.243252622069702440e+00 3.839655138916373556e+00 1.506421220469931488e-01
1.588333845431308733e+00 3.585950558280332157e+00 3.901252252487168448e+00 3.245250897922620781e-01
1.173643779715455970e+00 4.405087485137419101e+00 3.256921416092001031e+00 3.692874812724648570e-01
1.810017996946297059e+00 1.209076775873502463e+01 3.947818449442529243e+00 4.029203030852130940e-01
1.533511070473714044e+00 5.915295441793687381e+00 3.867929697773948128e+00 1.117720713703409530e-01
2.088451932179652193e+00 4.101716593317430437e+00 3.944354291902311793e+00 9.314355765561319056e-02
2.227290116018896704e+00 4.550605320875958704e+00 4.038279816678571166e+00 3.853698573256278403e-01
2.236422102991995065e+00 3.149906212996966381e+00 4.134699932005589496e+00 1.998490011395257504e-01
9.801987090250432466e-01 3.986244303709736592e+00 3.338913515119109832e+00 2.263716484385440153e-01
2.244868697357137677e+00 3.260623582545620014e+00 3.229285476085972384e+00 2.390517964375303561e-01
1.637823741464044636e+00 3.598270019534649755e+00 3.683256959578594891e+00 2.777261984367025982e-01
1.497773456074216414e+00 4.004553250633083650e+00 3.055386180502909443e+00 2.900449179312077908e-01
9.870357057204481865e-01 2.932939217997588166e+00 4.606096364520014141e+00 4.331971617127610696e-01
2.622802792960653662e+00 3.178596450490089875e+00 3.067392772598271034e+00 4.641214345671333952e-01
1.584381736218753778e+00 6.307221392820425265e+00 3.945848433675604117e+00 9.551890051958708550e-02
1.329120729599136297e+00 6.757114183734098667e+00 4.669084171345547318e+00 2.935412804407251386e-01
2.049704097905092226e+00 3.910975729093054465e+00 4.010071213314907901e+00 3.021534073772479401e-01
1.513434971154016928e+00 3.326246958647590457e+00 3.792121447181792337e+00 3.882798036114381568e-01
1.764855397462647080e+00 5.013372178331273687e+00 3.903690046367162214e+00 1.135505848220200453e-01
2.473086060326493918e+00 4.466483714045456743e+00 4.187031990010639859e+00 3.760201173159612997e-01
1.001027125109993587e+00 3.652497348884285344e+00 3.887094521978855521e+00 1.699100485855731812e-01
1.893768168476851699e+00 3.128088645152864444e+00 3.896075393726089686e+00 1.978864020393269474e-01
1.967178932428125027e+00 3.659199481279811650e+00 3.711505763101436983e+00 3.243889698500131424e-01
1.618519931931371225e+00 6.974917527018059005e+00 3.861130070464101838e+00 1.455478339608692051e-01
1.255876405804077667e+00 6.605502101869780596e+00 3.289798142680141702e+00 2.607396390627967908e-01
1.415484997383559707e+00 3.939085395775065557e+00 3.771020883190277395e+00 2.380533390482399980e-01
1.543047945425555900e+00 5.309069003937969988e+00 3.164705000370418464e+00 2.075917625203644867e-01
1.670208776711757492e+00 2.915003004926022268e+00 3.855576855168396211e+00 2.304876844950805859e-01
1.467706478853391561e+00 3.658886627055914609e+00 3.409558278864866843e+00 2.138329715953940224e-01
1.648406809688336860e+00 7.257272811956006819e+00 3.248502318880150508e+00 3.066332743370981939e-01
1.293942706594828795e+00 2.555919900391867117e+00 3.646794133381908054e+00 2.240118065749255316e-01
1.392862078068070497e+00 3.477957940475629783e+00 3.719554745362656956e+00 2.766897550430560959e-01
1.285082622082844184e+00 3.280097057949773909e+00 3.869755169446197574e+00 4.636328864259193216e-01
2.154063040141781293e+00 3.531847324570374980e+00 4.014055312940109310e+00 2.634433665115789580e-01
2.186323297949394284e+00 3.517897826177875942e+00 3.900411700241749102e+00 2.086822254195213611e-01
1.754192263961521059e+00 8.253496119052805113e+00 3.911034535902533804e+00 2.275755380982741882e-01
1.806238805980437956e+00 3.088198610970722235e+00 4.145220605958185978e+00 1.796920153864368097e-01
1.601217294109103850e+00 4.183424468838267352e+00 3.744843715142441631e+00 1.400022617006626002e-01
1.604987361727976403e+00 5.521630561253864755e+00 3.888248953043011991e+00 1.573128812708579072e-01
1.140516493649422092e+00 4.416726309279320972e+00 3.406532099296455396e+00 2.764160282582909245e-01
1.712382407668028517e+00 3.582334624230997910e+00 3.691172435801966412e+00 3.301354589723633493e-01
1.572726496298622711e+00 5.586847556327318998e+00 3.448184612190910325e+00 3.126895094573534650e-01
2.417192497775128235e+00 2.283144171439951187e+00 3.560371074922777268e+00 5.094270854409260751e-01
1.617377786516310811e+00 5.820228619969624262e+00 3.752976138849628995e+00 2.441678758426220619e-01
8.503180143699298199e-01 2.651858068497699339e+00 3.508795020637212936e+00 1.874754805669792135e-01
2.773003725686366661e+00 3.113352921550931907e+00 4.025565698802958003e+00 2.238950375460926900e-01
2.901487555362799675e+00 3.653169846095825068e+00 3.900508045884716335e+00 1.775958862966862672e-01
1.454096914612567293e+00 4.400490135665791058e+00 3.935395493371308895e+00 2.098593811031567169e-01
2.046973433432636380e+00 4.466554350013016261e+00 3.462162469612084070e+00 3.870353831640893083e-01
2.104019658224645095e+00 6.196475320650758789e+00 3.268137736708982111e+00 1.824830268335813910e-01
1.775180260519689357e+00 4.570467697937449003e+00 3.742618136212222613e+00 1.294448297559442906e-01
2.025040117440269238e+00 4.041877824973087563e+00 4.187021376402107364e+00 1.439968604918267503e-01
3.232408795239471111e+00 3.475905116241809090e+00 4.178214779781152188e+00 3.979947758068140828e-01
2.397901030398601030e+00 3.463011748621489083e+00 3.956849599165963571e+00 2.588053341144853081e-01
9.209369258995375729e-01 5.301681882372559329e+00 3.580020088398621514e+00 3.650886278901140369e-01
1.307798326762857455e+00 4.106098992446643337e+00 3.550267220160602477e+00 2.074829380977577520e-01
1.313897580373920571e+00 2.350992516074241756e+00 3.298429047921632051e+00 2.602356027617416245e-01
1.753900429110730519e+00 5.134084583530246881e+00 3.567878552989525609e+00 1.702338594932851779e-01
1.429454096174106903e+00 6.342517798709071286e+00 3.807876303253007855e+00 3.228523354773495391e-01
1.519656309350206680e+00 3.468879039373571338e+00 3.859693394932197208e+00 2.859455909318546762e-01
1.393822048657894275e+00 5.852896936196885669e+00 3.960508558661160361e+00 9.455466882485406843e-02
3.056357009611734288e+00 2.319026884791540066e+00 3.955679951799399241e+00 1.805398552688629032e-01
1.636435775808359194e+00 4.013064843413343574e+00 3.649109675266186237e+00 1.589503016755037523e-01
