# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.408843526742367125e+00 4.054262798626564468e+00 5.343044326779947006e+00 1.680741208999388669e-01
9.511811063147719292e-01 6.428299299570003456e+00 5.241007706860485449e+00 4.358137785425419269e-02
1.281396632295258353e+00 3.837721195449762313e+00 5.252701517523750141e+00 9.845845141966413916e-02
1.093263958732731522e+00 5.804872140457407959e+00 5.318703981602361353e+00 4.325990665735775231e-02
1.090832403705223053e+00 5.003704869889465279e+00 5.307086077720830630e+00 5.856250589573631926e-02
1.196979302836908010e+00 6.699661793734543735e+00 5.243714438124315258e+00 1.516961236496651155e-01
1.778228494014632899e+00 3.711928589254359867e+00 5.199924498995604161e+00 2.374833091830332865e-01
1.496109068913992646e+00 3.112870598594637883e+00 5.261817798930042756e+00 8.685259701579386982e-02
1.584820721373306984e+00 5.400998306456999742e+00 5.256883010704697767e+00 6.124182152504615423e-02
1.386520531724163785e+00 5.663567056053785187e+00 5.274113483488398479e+00 1.192486149650242022e-01
1.355708544660569448e+00 9.943828952183642045e+00 5.276456922667689398e+00 1.065289598446035046e-01
1.221431409894389697e+00 3.481213580537360741e+00 5.380841112745262222e+00 2.677109359031150659e-01
1.832911440954164251e+00 4.086351422618764495e+00 5.330315924012081652e+00 1.265788344686102074e-01
1.322872517154757954e+00 3.217723882355409515e+00 5.349650153259203123e+00 2.027922377162718892e-01
1.397727168047979029e+00 5.172746058724746021e+00 5.265927842542992288e+00 3.032041824839765143e-02
1.121266764102475610e+00 7.731350420992024297e+00 5.198424742088805672e+00 1.003931827846830521e-01
1.857466580716261362e+00 1.020336183584249845e+01 5.313183536063863066e+00 6.169366405134112108e-02
1.270882489234995694e+00 7.186026960125065699e+00 5.128506073533816156e+00 2.676395941587315086e-01
9.262766933254339419e-01 6.199509100263520978e+00 5.335880181891460516e+00 1.464132990252561273e-01
1.957072856395817073e+00 8.650949841658569284e+00 5.319561824048177456e+00 6.322045724896518948e-02
1.232971202281530676e+00 5.344116041785210491e+00 5.322590129282561477e+00 7.796559343510653384e-02
1.533337467269852317e+00 6.645104450818845265e+00 5.184336988711224059e+00 1.913764477878200920e-01
9.355333820979274684e-01 8.884457690864019597e+00 5.297408639292973120e+00 1.002938748162419125e-01
1.320143375177417422e+00 1.162267959468766065e+01 5.338290583238896936e+00 9.716968684850360582e-02
1.797959621567988275e+00 3.407241819505666847e+00 5.177009421900345743e+00 1.061760265088520783e-01
1.162488175214940522e+00 8.537786120896084796e+00 5.588242338246987018e+00 2.311145512946370661e-01
1.394041166012645272e+00 1.507970028144085717e+01 5.263483602398961736e+00 9.174110146201552851e-02
1.177587048481307574e+00 5.060643524897393775e+00 5.322627900619405494e+00 6.155580665615130453e-02
1.655700576295696447e+00 3.223787114001265053e+00 5.353236132651658430e+00 7.140965105349490749e-02
9.934662817177494221e-01 1.336251342046177903e+01 5.189301383758640362e+00 1.374398968127353293e-01
9.935395133823451408e-01 7.807240689331409911e+00 5.569208065720244072e+00 2.056392489902991172e-01
1.671531344002690211e+00 3.621208926054459987e+00 5.074372001532328369e+00 1.571488323806857212e-01
