# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.098144888860115520e+00 6.067126909747621255e+00 4.389437601646731579e+00 1.444253522351968133e-01
9.111934882735814867e-01 9.210075369982309468e+00 4.215396389221714557e+00 8.309833846067898877e-02
7.512589142076208093e-01 4.966714410735395546e+00 4.587811529293644774e+00 1.294150760637394759e-01
1.073873328638488278e+00 3.480020171854229183e+00 4.280712666739914241e+00 2.841278109646131478e-01
1.346007275896050626e+00 5.609271734765187034e+00 4.360502643827775415e+00 8.197911334052673804e-02
8.657382901481166515e-01 5.289319858711283295e+00 4.160406780744365207e+00 1.227480084905107766e-01
1.139391299284453263e+00 7.141617906279685180e+00 4.376607168936355485e+00 6.063972267859125270e-02
1.372391021922386267e+00 3.620817900566576153e+00 4.343009776032864977e+00 1.784394457798582079e-01
9.555459916219153360e-01 7.790326181545070838e+00 4.227104683165028298e+00 2.409291223171768637e-01
1.437009088474106022e+00 3.528689418910502695e+00 4.590792098570811497e+00 1.197768811072849326e-01
1.063065751773171641e+00 8.426579420739912507e+00 4.503651182688956922e+00 5.906208488849866434e-02
1.056681692877576184e+00 5.229747900317847531e+00 4.404410129346656433e+00 1.530817804749329269e-01
1.080593348931368602e+00 6.541916681896955410e+00 4.394494178457270195e+00 1.165081212524198551e-01
8.541684778947464807e-01 5.629890887870861782e+00 4.538575674050830955e+00 1.849721071780939252e-01
1.082932599826236908e+00 3.803794803728123064e+00 4.424394413471189225e+00 1.217282703286648726e-01
1.292502679848122504e+00 5.154210172881177776e+00 4.454119887662495891e+00 4.811091068933151527e-02
1.066286481993920621e+00 4.841640115257209942e+00 4.413716729197273203e+00 4.780767880366813827e-02
1.498721837822142966e+00 8.846840771205876308e+00 4.636240475422590102e+00 1.429819914648723378e-01
9.078298420863002427e-01 6.611408484158618037e+00 4.271262162822810460e+00 3.325211600641880816e-01
1.099107432565821441e+00 5.930828334228507970e+00 4.518260011142119836e+00 3.878968538176542219e-02
7.999785962539037731e-01 8.545347332769033244e+00 4.147652840824433085e+00 1.696936959023006009e-01
1.123924386695558608e+00 9.084990128139406096e+00 4.541876972207694152e+00 8.367929648224282924e-02
9.723366268916741051e-01 1.025878404816513623e+01 4.575232940356313449e+00 2.025488451839279891e-01
1.065907834080105587e+00 3.878549300501953123e+00 4.831460879553702625e+00 1.871836334077116859e-01
1.004951947703942805e+00 3.764488536012585040e+00 4.247577687203894392e+00 2.195836142152923220e-01
1.131973189183497208e+00 8.957444511540245458e+00 4.385021521651039755e+00 1.188541351105182331e-01
1.455548919124021179e+00 5.066890048849070460e+00 4.731868651611919496e+00 1.875665426471828656e-01
1.107831168849055858e+00 3.494100290830165267e+00 4.634093607718759777e+00 1.734964219518935202e-01
1.694814912251157324e+00 2.515098550262989008e+00 4.587074170611045609e+00 9.463179648681874223e-02
1.304936516123559320e+00 3.732980541750510195e+00 4.496052961187308128e+00 8.095080842246378527e-02
1.456435418298900775e+00 5.838449109731762121e+00 4.639594241802336150e+00 1.958435948796806436e-01
7.671124388510061065e-01 5.865558062013296770e+00 4.599739864468304518e+00 1.729190946924583083e-01
1.214115480817477888e+00 2.535123918901673878e+00 4.416186400033445203e+00 9.126274297750627817e-02
1.038249403206755295e+00 4.182423702086250472e+00 4.499865897641965873e+00 6.322283910542148000e-02
9.430579180567517650e-01 5.309892591814234564e+00 4.153061117533475510e+00 4.914543725447881317e-02
1.503230017123033058e+00 4.443220240400292731e+00 4.304386093109282996e+00 2.269875035521938256e-01
1.037245696907896031e+00 9.376450197048320945e+00 4.361887840830890539e+00 1.713414398706279429e-01
9.351502888369996880e-01 2.697416301882146428e+00 4.551144647564467682e+00 9.057157298748240437e-02
1.256793095941136862e+00 5.722894124717223363e+00 4.454846589069103580e+00 2.276016047991603064e-01
1.027427314573814643e+00 5.982443676406163924e+00 4.687257790015243231e+00 1.146361787062687987e-01
1.639568585273606383e+00 4.153249385990341658e+00 4.438906280174458097e+00 5.824416044800552472e-02
9.991254096347664815e-01 4.977375422874372290e+00 4.367444901440273419e+00 9.068095768600761830e-02
9.069208361402563146e-01 5.369888316099409309e+00 4.348745394469709424e+00 1.088884025800420374e-01
8.196149443358252684e-01 7.020246816255659716e+00 4.434087118435269481e+00 1.605263934065287723e-01
1.018974668569913256e+00 6.535513280831548144e+00 4.391310909637629933e+00 9.771730909201811754e-02
1.351449508720609316e+00 4.338134525519547147e+00 4.469437823637283813e+00 5.937819154547026301e-02
1.169631008464114164e+00 6.139422615926895865e+00 4.602882993182668692e+00 2.529786364923327091e-01
1.373078452345040334e+00 6.300255145679363622e+00 4.452535675441927410e+00 7.599011083557660751e-02
6.715657829706175308e-01 6.369855692907044897e+00 4.355819086893961689e+00 2.192387658945576800e-01
1.098937471724306780e+00 7.350766156472205992e+00 4.439481943569795419e+00 6.107354502694456455e-02
1.514583232590434481e+00 5.614559567598709222e+00 4.598059706791916668e+00 1.625448863735688421e-01
1.079340619528860845e+00 3.636714762907036658e+00 4.312278146926827205e+00 1.107655456310396719e-01
8.795284557678291204e-01 4.702265514883755770e+00 4.490878313310255443e+00 2.350855559189969357e-01
1.160463039891002746e+00 1.003899418710081548e+01 4.404470198164769812e+00 4.114395773026988806e-02
1.304887516775268930e+00 8.949855519478479238e+00 4.369041821854187546e+00 3.351962424599878587e-01
1.447366458055219018e+00 6.142868814256759791e+00 4.433321624705779840e+00 1.242806227757922433e-01
1.573643247455448035e+00 4.923633475424256112e+00 4.311288293544431660e+00 1.132046703246279845e-01
1.249483767585665595e+00 4.621271676677366713e+00 4.270278441183402052e+00 9.973840816627438377e-02
1.213595359701584053e+00 7.862258997421025519e+00 4.372438790212870074e+00 1.456971007435989840e-01
9.292578430680695778e-01 9.444710308831085754e+00 4.674237247261670447e+00 8.853002012270869137e-02
1.154803291222891382e+00 4.217744589026086288e+00 4.499193462770326057e+00 1.106663752702816417e-01
1.442724833397040829e+00 8.965406557186735625e+00 4.704111186457742733e+00 1.377067009759324057e-01
1.140856525736349880e+00 6.729513826611626115e+00 4.485907125690954622e+00 6.718111405798049551e-02
