# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.622397093208689745e+00 6.058137642830274672e+00 2.381112608405958397e+00 3.582087030896156099e-01
9.039761718280566738e-01 3.193775102972377766e+00 6.449855620655597921e-01 1.464276877618661543e-01
8.103311937861255032e-01 6.254122612601083375e+00 1.290752847411497983e+00 2.175989542335318716e-01
9.123673600473442002e-01 6.436571147246853641e+00 -1.729222586157143748e+00 2.406600095678805840e-01
3.699716020217503232e+00 3.327793687394259070e+00 -3.984057416326560741e-01 1.657743659133315839e-01
8.657807803536394786e-01 5.918703544198876010e+00 2.300162931664290866e+00 2.157565077543036058e-01
2.107000070723269225e+00 6.790010527127286366e+00 1.873769681388499198e+00 2.015187747249469752e-01
1.857005179750724988e+00 3.222018501857954575e+00 -1.746719564018167636e+00 6.184686639248967999e-02
1.050637730447463003e+00 4.374372231864162686e+00 -1.288138425486552219e+00 3.308531179128696431e-01
2.041335074183991072e+00 2.826218269233701008e+00 -6.367351909250079656e-01 1.784713871477722757e-01
1.112229897824590141e+00 4.064649839635571027e+00 2.255949387671052797e+00 8.673864099970504671e-02
2.249123707502975300e+00 4.315394245422300656e+00 2.256370250517473419e+00 2.169005815420359806e-01
2.558214307828951206e+00 6.236839562869862519e+00 1.192874515567267091e+00 4.997102029996165484e-01
9.515575667721470898e-01 7.793476869637073534e+00 2.722860885616614546e+00 3.153775334110265893e-01
9.750230353220182833e-01 6.451508314479510453e+00 -1.844603458094906667e-02 2.131458701234257291e-01
1.517228851894108166e+00 4.469250344169287459e+00 -4.024757238838183593e-02 2.473865602463858060e-01
2.455565313433127450e+00 6.291306734520006216e+00 1.561165893212171363e-01 2.133489754890278423e-01
1.861735478070152716e+00 7.082181273476384931e+00 2.089490454649108209e+00 1.716532945380653818e-01
2.168943686903232138e+00 7.027180284641310948e+00 2.570973734562596591e-01 1.934361617204880535e-01
6.353947443362242264e-01 5.280280184644963626e+00 -1.423877294112215530e+00 7.141295038059547462e-01
1.799537343812326107e+00 3.469928640553187282e+00 2.883928239377065772e+00 2.136750276492482004e-01
1.341443942352549934e+00 1.249716593247001306e+01 2.584803129160269997e+00 1.433888039314177298e-01
1.687382035913239653e+00 7.809760258771146546e+00 -7.965019481292286985e-01 7.814972909844254689e-02
3.459904231344974601e+00 6.748362329654471026e+00 3.768346241162646049e+00 1.486330993533626077e-01
2.018628928432124159e+00 4.346566193177010540e+00 -9.832231377929340210e-01 1.845537066296824569e-01
8.322538184360177560e-01 3.462766925287664055e+00 3.045307691741757083e-01 1.183479973368046084e-01
1.293376614859304219e+00 4.705112753818922577e+00 4.567884677488225353e-01 1.393582734785742683e-01
1.258911014616042712e+00 5.636503169053178830e+00 1.965204438769138084e+00 1.803645674090277318e-01
2.537157815754766066e+00 2.733824472940454164e+00 2.507171836261210540e+00 2.687147131134867140e-01
1.703172727598256220e+00 5.362120349126882068e+00 3.010283821203026289e+00 1.323957164806011388e-01
1.134550909303150501e+00 8.498267716066674637e+00 -1.757489250503936340e-01 2.596532013290303587e-01
1.809277054437278709e+00 4.566589437889608583e+00 1.176117989518324025e+00 1.680037973438625043e-01
1.051518901225851010e+00 6.404983849360241344e+00 1.194901616255607646e+00 6.592631404890955671e-02
1.018709263024454303e+00 7.210657990545845664e+00 2.011900427869305119e+00 8.937750256606212529e-02
1.193892650410766088e+00 6.077898564913909674e+00 -2.185991806452652897e-01 9.121875566661155621e-02
2.560724901797670761e+00 5.917966284511482655e+00 -8.692350943425405374e-01 1.575555009686525620e-01
2.351941237632590553e+00 7.178419361739898363e+00 1.202952897075071359e-02 3.984323332312875166e-02
1.243116249798127182e+00 4.378564475159590685e+00 1.042332196917952425e+00 3.570549358846119015e-01
1.139583712640806823e+00 3.529940971213026746e+00 2.092399053310461277e+00 1.258300109142168333e-01
1.934974637079167170e+00 5.291607867830369294e+00 -1.464286184915440714e+00 3.367480011633144366e-01
1.296230989717133575e+00 6.318862653391476236e+00 -9.834087857482999295e-01 7.663742215355422160e-02
1.513293070212006430e+00 5.892523717539729589e+00 1.153635462374407172e-01 2.931885993740009355e-01
2.409642897762577896e+00 6.729414541868691479e+00 -1.730337025773724058e+00 1.880928072072849122e-01
2.428426209723640206e+00 5.326323826756174995e+00 3.383714546216346486e-01 1.682959461557340108e-01
1.440456303187372056e+00 5.061081101183368958e+00 -1.009886831522699646e+00 2.044824837651967875e-01
1.833975945475831093e+00 6.279634899864008801e+00 -1.038201240580128859e+00 1.110715081604628646e-01
2.172871022486817516e+00 4.032617736215569515e+00 1.928714535236978111e+00 4.096216343513159330e-01
2.499604952264435909e+00 4.166049857588819627e+00 7.516550257010332081e-02 5.088988213137086297e-02
1.180838941696410238e+00 4.127914902446728540e+00 2.657977587065950553e-01 2.146692754660118885e-01
2.193761232023363927e+00 4.225062119966756846e+00 -3.130380084573154420e-01 2.183714696332773320e-01
9.907260798959235393e-01 8.664473286306805022e+00 5.540186087402718673e-01 2.852571884463342422e-01
1.067791325569525274e+00 5.824605801036673469e+00 6.317904302041645881e-01 2.282236821438362873e-01
1.288146653269925279e+00 5.881756189645332533e+00 1.803297235490952222e+00 1.158827665494595455e-01
1.172239094538323645e+00 4.774161654147632383e+00 2.784529711523331397e+00 1.479648816923247456e-01
1.166674773436241486e+00 7.564703772260559234e+00 1.104805361665886831e+00 1.637494252404682049e-01
1.361888175435955528e+00 5.498773170699541524e+00 2.011769727395004814e+00 6.374989772009122257e-02
1.284748345113776447e+00 4.961519163375482044e+00 1.450937398355296892e+00 5.576508403982879947e-02
1.323856193998001807e+00 6.258079321636717651e+00 8.005364253381428430e-01 2.742529087241689090e-01
8.661775501447466219e-01 4.748601823847014458e+00 5.075080829365601343e-01 2.314040150359008563e-01
9.707815661525368567e-01 4.399832214574519007e+00 -1.218224691738499565e+00 3.670953460533236956e-02
1.407872129243895376e+00 5.345766188799446539e+00 2.879879406144226550e+00 7.242911323011977376e-02
2.466762725529655587e+00 6.565002247947740344e+00 1.178337332368718737e+00 3.530085437453240327e-01
7.375262631643914046e-01 3.794487435593020486e+00 -7.868144729400324833e-01 2.949471473292464285e-01
2.199072194322155394e+00 7.452709601918278359e+00 3.498211402914924939e+00 1.291788120806320883e-01
1.299894096000071109e+00 3.001257483912324275e+00 -3.047469353456635499e-01 1.626603135914623244e-01
6.947712437294278898e-01 6.167997224790322974e+00 2.446554766316627827e+00 2.491886433770187093e-01
2.278968020836704245e+00 6.565787802168945753e+00 3.970773045623570696e-01 1.203143423490004998e-01
1.169588742174572538e+00 3.736498266071349050e+00 1.020650082338878661e-01 1.104133317975331124e-01
1.356375479499014158e+00 5.107722768050220630e+00 2.546756618083139134e+00 9.378588809823196204e-02
1.710094240440600544e+00 7.395003041021951162e+00 1.884974497017811057e+00 2.622596815328233077e-01
1.337737300298664334e+00 8.720377073440268134e+00 3.042531047923183074e+00 2.710565214256660527e-01
1.442740100720682150e+00 3.243249528275897298e+00 -9.312972192828436468e-02 3.185057409181829557e-01
2.816549108313699534e+00 4.344901332808756678e+00 2.811560922490439651e+00 2.942836794982384152e-01
6.787254771530466524e-01 7.057376144620986835e+00 -1.297219499480850358e+00 1.013081860493542097e-01
2.338072282540654800e+00 3.794171935018486597e+00 -8.553404865829690173e-01 2.858540065732835811e-01
3.678554993032928655e-01 8.452590251370997620e+00 -5.320058181660027863e-01 8.415520618121093144e-02
1.642502689842864738e+00 5.746939759753403543e+00 2.256610963694378746e+00 1.648895029514501898e-01
1.376990774781504667e+00 7.270304595216707355e+00 2.122049655757896502e+00 3.668360406738339075e-01
1.576373423368194970e+00 3.393370993628441301e+00 2.152561342815637158e+00 2.998026623380329325e-01
1.697491026339266629e+00 5.654437507875359259e+00 -3.461739311407578956e-01 1.078746993692578093e-01
1.510828095350670308e+00 1.070590476965318771e+01 6.977821984689537294e-01 7.740925355836020261e-02
7.477358277325039104e-01 2.894009363910211796e+00 1.542592930864479239e-01 1.216801129030541245e-01
1.343127039005068024e+00 2.220575212436256773e+00 -8.328926292080924831e-01 1.218655317504993563e-01
8.441005686406090058e-01 5.112132966050079830e+00 8.461296888606917310e-01 3.550378636974352853e-01
2.222970186335255338e+00 2.807887995928300295e+00 2.348860748339371085e+00 1.278562122005072466e-01
1.484748122627374656e+00 7.139942616581404167e+00 2.603948750230513642e+00 3.624982439570484938e-01
2.616375055557704332e+00 6.514185933195134837e+00 -1.428475346532557699e+00 2.914460369151901376e-02
1.206888336254988037e+00 5.465855133494718743e+00 -1.016464123677624842e+00 1.841563169379504539e-01
7.379460228654828313e-01 6.602960799618458054e+00 2.354227691620079721e+00 3.478735842283572910e-01
1.117466306015498567e+00 9.924649023391191704e+00 1.406342070445150805e+00 2.132201549403086871e-01
2.208863212886212679e+00 2.997929482477032170e+00 3.695974413063202180e-01 6.419144806008471316e-02
2.291825069660400782e+00 5.670064781672859766e+00 5.291800612175712182e-03 2.307471123908881872e-01
1.767044065174240064e+00 4.619825633307559798e+00 7.545330130145255776e-01 2.631100262053858163e-01
1.991788939366456956e+00 1.080168415103114299e+01 3.253503281067488651e+00 2.963923273999453656e-01
1.151494592726861610e+00 5.518291813324325723e+00 -5.469859421402626376e-01 1.388852549714345019e-01
1.731592759685280036e+00 6.706790422656302653e+00 1.139757922610416419e+00 3.469550993085160906e-01
2.290260784085885071e+00 3.268394025086834187e+00 2.105091736309092187e+00 1.938447339136256387e-01
1.220892644996280030e+00 3.125975414214092751e+00 -1.385152728338789219e+00 1.931403098157125076e-01
3.651309936178976034e+00 6.869153589544215954e+00 3.211548418363799229e+00 3.741670278448202547e-01
1.260748734471213606e+00 3.928169461827727638e+00 1.868466194586569928e-01 7.050584888077621182e-02
1.236072121497854059e+00 5.545881638506646283e+00 3.867559858414768570e-01 1.024735340317244892e-01
2.848185563362195527e+00 7.462471337241121105e+00 1.969072026331585956e+00 1.157276328520593922e-01
2.564421126498666048e+00 3.913676630938617507e+00 2.364669830406234130e+00 4.654731386858015213e-02
1.615134158460707070e+00 4.194110802141590710e+00 2.450394819087818588e-01 1.407642773501613098e-01
2.218420240736675098e+00 4.489635931705402427e+00 3.374929293931459018e+00 1.317506454427663232e-01
1.573647604421611224e+00 5.007896621273056681e+00 -3.489515401345235079e-01 1.910280035369749108e-01
1.098614177438120620e+00 6.858754776829003141e+00 7.888429933350061818e-01 3.937828941115658482e-02
1.163142088934702612e+00 6.678655729497029014e+00 2.101624915085656298e+00 1.613124155557555395e-01
2.089157722413635732e+00 6.349017595499121036e+00 -9.744066978635730347e-01 2.107939880684749356e-01
1.211207340060962423e+00 8.301478432783243377e+00 1.850651874125105678e+00 9.421325560091470264e-02
2.131635218544658539e+00 6.574481994492693993e+00 5.974114856248017302e-01 1.565807561304647377e-01
2.156331508414852660e+00 5.115865299514971376e+00 -1.209179956548723345e+00 2.313473594182580695e-01
