# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.166702453818011076e+00 4.856176872455200133e+00 -1.165224369714639607e+00 8.312684742114168079e-02
1.885980340698401925e+00 3.619552876740355973e+00 -2.748906157192336774e-01 8.219502919240179173e-02
1.473523672773080495e+00 5.237228893102893856e+00 -9.978480131415224941e-01 2.226942158401644112e-01
1.365946907869856508e+00 7.261388623444677393e+00 3.102675710893518790e+00 1.874086410509194223e-01
1.385335818542721142e+00 5.614173147953008147e+00 2.839337340789997111e+00 6.771421524642973200e-02
1.178260712100641872e+00 3.190450816129669853e+00 1.298648655803420038e+00 1.215500179932179903e-01
1.399158263651814504e+00 8.429309040211727222e+00 -4.463127030737487622e-01 1.337272122569922728e-01
1.003578905365277496e+00 6.933148810846159193e+00 3.031445510512655872e+00 7.826030622513886759e-02
9.921751385257067124e-01 4.914514394686793963e+00 7.715401943200519419e-01 2.821943942350532142e-01
1.584491238991987627e+00 4.979046101947116831e+00 -1.165530968443214688e-01 1.680570485439377426e-01
1.328736104735509294e+00 7.187734820941711789e+00 8.236837962871800256e-01 1.991272259482444185e-01
1.626754992400930133e+00 3.353795158716309732e+00 -1.620849397725110386e-01 2.873571435070930158e-01
1.910790948802695732e+00 5.540735293865542310e+00 3.153138322663328275e+00 2.446881741079950379e-01
3.304725185844074264e+00 3.159260218839764711e+00 -3.181374445994846756e-01 1.622898482148509292e-01
1.778849046557456903e+00 4.187058980574589029e+00 7.511171932450367850e-01 1.651711439553531779e-01
3.083214351338379178e+00 7.702843043815757795e+00 -2.636996658941225813e-01 7.799105664230608637e-02
1.364453332788884143e+00 3.351804395698137373e+00 -1.320664645072396670e+00 2.199195615827178041e-01
1.525532318287125655e+00 7.063125302175770948e+00 -4.668957095506460209e-01 2.329943268702860670e-01
1.882082219474869866e+00 3.605614215474458373e+00 1.554202679916214747e+00 3.712161424944759869e-01
1.635055318484621267e+00 3.251510607926866303e+00 3.370381355821286729e+00 6.352329844390698643e-02
1.953117362080322827e+00 4.073845586013581155e+00 -1.650825556695956431e+00 1.302640109984851968e-01
1.614226335409376212e+00 1.136824961473313422e+01 -1.029875258587411135e+00 1.744898707735187127e-01
9.059612673930800275e-01 2.651808439825172226e+00 -3.331257194238422814e-01 3.254673595640629746e-01
3.340786521208953364e+00 8.068439450615761288e+00 1.889560915205587222e+00 1.003303869820934557e-01
2.072864301232690831e+00 1.139073824278005453e+01 3.709366639473388183e+00 1.454249695496377948e-01
1.821426009004091018e+00 6.244868962704394733e+00 -1.392650389973059566e+00 2.727530260441819454e-01
2.010500663928301179e+00 3.863859559228416174e+00 -1.049918925505866296e+00 1.164991935639917292e-01
1.547161060133869448e+00 6.146782662135645836e+00 2.882374526155258576e-01 1.498217586890493169e-01
1.044665016235689858e+00 2.675111593484175820e+00 2.665643966129589426e-01 1.418816920463761844e-01
1.285279893815293173e+00 7.704244935785212078e+00 -3.119967719673265583e-01 1.567875564561788670e-01
6.074557527515926925e-01 4.036712365555633397e+00 5.632231784828165555e-01 1.289418889266690793e-01
1.321665789204024222e+00 7.289690460103633640e+00 -1.749638472729469374e+00 1.414200996912458597e-01
9.187049598593063360e-01 4.226610011072022388e+00 9.527970849536580022e-01 1.982418058205150380e-01
3.089696885934070103e+00 4.844784806794589116e+00 -5.840557077202479519e-02 3.168590607827650452e-01
7.050340927711093997e-01 4.523917084135992361e+00 6.936040601867690114e-01 2.007926452564924302e-01
1.834721599984436624e+00 4.012616359343948780e+00 -1.293854816625865878e+00 3.766774574877946313e-01
9.464148335313542493e-01 4.987137145346228984e+00 1.765566625117322319e+00 1.393359299394773820e-01
