# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
9.488966608106443879e-01 3.284822281144942568e+00 -9.238857865857329488e-01 4.174924125420639148e-02
3.159333667727446393e+00 3.394456957722625567e+00 1.759554735397360625e-01 1.627223684060145337e-01
1.098201613997210391e+00 7.799864172235054127e+00 5.046687800676155078e-01 2.353435227583070832e-01
1.986240713991717310e+00 3.027496475358259165e+00 -6.113347128410826503e-01 2.992420063322955293e-01
2.435853461001040277e+00 5.151379909325115136e+00 2.007203345620153900e+00 2.341884673329284183e-01
2.514539164438082341e+00 4.629419214959793472e+00 -7.031260956750224889e-01 2.031206637327565567e-01
1.092082533054688609e+00 3.901090747459753594e+00 1.175836610401366500e-01 2.434543206516993630e-01
3.379721130255943784e+00 4.740591461925414585e+00 2.038941573503142202e+00 3.872078466562337562e-01
2.676945861710322561e+00 6.476137917402063238e+00 1.260699256946720137e-01 2.107119819901379643e-01
1.282599173289472816e+00 6.081723937013608250e+00 6.521052012392007935e-01 4.400288496005612116e-01
1.621964845923292486e+00 3.956391601515243828e+00 -8.483380329005371090e-01 3.547203359505005649e-01
1.650813387586419045e+00 4.306714190040939805e+00 7.073775362461808269e-01 1.236313449169841316e-01
1.295049198604275364e+00 4.861053966500603174e+00 1.206513624054149636e+00 2.989826056805193200e-01
2.327403845724253184e+00 1.169999787592379015e+01 -1.884333569822021826e+00 1.179639159839413753e-01
1.129683935022932850e+00 1.034009060761441745e+01 -6.947066104185253277e-01 2.102104232469163558e-01
2.118179992329027872e+00 6.588409523163113235e+00 8.102889937516302155e-01 1.666832871138179961e-01
1.666876043250216100e+00 6.597341939530676491e+00 -7.642677331326769297e-01 1.765613474463661181e-01
1.371421874522657847e+00 3.776016276877876443e+00 1.305317716749399004e-01 1.529547414457340382e-01
1.432449154780493394e+00 9.035216207690018209e+00 -1.503363175032104593e+00 1.588447442632181517e-01
1.953056732382217220e+00 7.293638625944284470e+00 1.909211410480839977e-01 2.457377926827251924e-01
1.106821657300008921e+00 6.852694332759392992e+00 -1.429168671247298628e+00 2.611613466724648780e-01
2.839646300993381889e+00 4.017053462147265108e+00 1.133202849306741200e+00 9.565222434239883942e-02
2.842432482058055321e+00 6.074876999952799395e+00 3.256076236799561485e+00 3.677526433632173908e-01
2.982548246394026048e+00 6.004056601044570840e+00 8.452373763106073579e-01 1.167229649591546570e-01
7.278688016782423054e-01 2.739378048038423330e+00 -1.394865547247718940e+00 2.361401172831656126e-01
1.315458615918853491e+00 5.998543727341884235e+00 8.163923715483691890e-01 1.500298572641880213e-01
1.779181754332434640e+00 2.774127726245458447e+00 1.010120292668823083e+00 4.245664236774700229e-02
1.401938399842844518e+00 5.526799014635844998e+00 2.559886053673387618e+00 2.222214748073201851e-01
1.536947866935250540e+00 2.704515261878535082e+00 -1.135679999108231586e+00 1.136291745643792928e-01
1.863143836661125929e+00 2.295138124216122399e+00 1.289851585921467425e+00 4.801187120161595767e-02
1.730709367812238719e+00 3.219426599493699470e+00 2.284272342351318041e+00 2.363766169423939800e-01
1.336171990008080179e+00 6.174804460431449371e+00 1.301266650818152515e+00 1.380844872603299300e-01
8.402631896066188322e-01 5.879481536872315672e+00 -1.788850101871184428e-01 7.510756652150578361e-02
1.902103347514165321e+00 8.782129673165661288e+00 1.594810350779478192e+00 3.101655040804263130e-01
1.186433151530053465e+00 5.897702922503861522e+00 -4.799249151615363473e-01 4.925619757130303977e-01
1.667324941615573985e+00 6.441726586909627628e+00 3.291092396562334876e+00 3.042241947791074486e-01
1.670844900023126467e+00 5.862069579526504093e+00 1.352523447562114400e+00 4.548259957707856960e-01
1.750498839396882778e+00 1.279860906804725573e+01 -1.443866168188163268e+00 2.160691474244058052e-01
1.585149054268604862e+00 7.794206102557373228e+00 1.363943205741571907e+00 3.710493736761803496e-01
1.473562614390676817e+00 8.209365478748198441e+00 -9.860722802835042433e-01 2.599869936354038957e-01
9.559307787674324874e-01 7.426910603059362792e+00 -5.399576153976048953e-01 3.669097348089458421e-01
1.281709383418559334e+00 3.639982520813528577e+00 -8.880052952960177937e-01 1.160611189055113374e-01
2.177422085012969522e+00 8.989153914402038481e+00 7.165324927851830505e-01 1.060732402701929644e-01
1.837516350766660977e+00 6.732777855690528668e+00 -1.359451894988559228e-01 2.334915238717479857e-01
2.143384447103030777e+00 1.102398063408453766e+01 1.694349587318135564e+00 3.652989083283969540e-01
1.640156899027561899e+00 5.315063228219496949e+00 -1.144746121535136218e-01 1.544211960673526340e-01
1.417971569113347208e+00 6.160682047089694358e+00 3.048131996729788185e+00 1.458489766558694889e-01
1.248179086728471443e+00 5.621510927442247230e+00 3.533961999126081777e-01 3.588247608829492341e-02
9.342097046135522387e-01 2.595675552937802610e+00 -1.603474849091601540e+00 1.030030923597262393e-01
2.381000613036688307e+00 7.117486248870153354e+00 3.419305362680118421e-01 2.083635272585427911e-01
1.632633661527624014e+00 3.614094148996447764e+00 -1.484659593384353382e+00 5.656713212406260655e-02
2.057558367736684435e+00 6.345489193667398276e+00 -9.729562566692546710e-01 2.722140548837898022e-01
2.032304295661549798e+00 2.364079682769056667e+00 1.563624371643003608e+00 1.658336256097714678e-01
2.347428586611858048e+00 6.472492372810557448e+00 1.269168582655562538e+00 2.485764956363171185e-01
