# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.600491464911479866e+00 1.117375532800566518e+01 5.079751644147496137e+00 1.082125860466540412e-01
1.414474408332517363e+00 4.306298714732779587e+00 5.017387930676060037e+00 5.158410400083977831e-02
1.367249700757254161e+00 6.150347765521650523e+00 5.038516464973151088e+00 1.193578243122800503e-01
1.274053046631649533e+00 6.499635012900358610e+00 4.989111228511228013e+00 7.091656159328051101e-02
1.286609161292177728e+00 7.837267083022627645e+00 5.090903862759589060e+00 8.163063967333011872e-02
1.602225025092186117e+00 5.744946346753759592e+00 5.039404821780279597e+00 5.748458787822229715e-02
1.270811724192965730e+00 5.368863627655396265e+00 5.015329691903808396e+00 2.464203685311725511e-01
1.018207120075445005e+00 5.859124229407437490e+00 5.005058545043294949e+00 4.358162015151136048e-02
1.443760592565489720e+00 6.575090764083346251e+00 4.892469582085078095e+00 2.804760436109339228e-01
1.231098047370650095e+00 8.768217934168912819e+00 5.316391922494829281e+00 1.505490433187569588e-01
9.349544043243287472e-01 1.284269063870243599e+01 4.582567308359298153e+00 3.002809597872089786e-01
1.124584798150838116e+00 7.621283418002684940e+00 4.965030916315010145e+00 1.155939513900271637e-01
1.209108109096972195e+00 4.945191255221827120e+00 4.942989306735296573e+00 1.788666216286856070e-01
1.239275860486232173e+00 1.201557246692379621e+01 4.929308580594645939e+00 2.924470519650233108e-02
1.453327205281952583e+00 3.119961383884756412e+00 4.945757622875913029e+00 9.365190653201566073e-02
1.229803425788638771e+00 7.195448818652272926e+00 5.073022256830062027e+00 5.050335807873770899e-02
1.286333769107258718e+00 8.248606259525663731e+00 5.052903059942893904e+00 1.383350683072219200e-01
1.406109873736678395e+00 8.748823826036026929e+00 5.045191267014277337e+00 6.753124938948057432e-02
1.647311756595191135e+00 5.696668314567650881e+00 5.099101425420707656e+00 1.735171951299389059e-01
1.689193243602653327e+00 4.742668229090119425e+00 5.008482496525392236e+00 3.184156538832067507e-01
1.545732683774385663e+00 9.837858176982397396e+00 5.001259241568378755e+00 1.104548698854463523e-01
1.115222351574161275e+00 8.180515447595896106e+00 4.955096771946999823e+00 5.653653393072054917e-02
1.218122469241995409e+00 3.046694559599345986e+00 5.096904894421694365e+00 2.135572636937489444e-01
1.011806834644251696e+00 1.034644242396463909e+01 4.982356366344575349e+00 9.504025286298101172e-02
1.047788760685657738e+00 6.573774438082997662e+00 4.934571903613126587e+00 1.429179199663185504e-02
9.499290164999359964e-01 1.171068843286699490e+01 5.026100792825650032e+00 1.189375207402742912e-01
1.174754639913894394e+00 2.915600392926896323e+00 5.133241502194504591e+00 3.920171985727010505e-02
1.492845713235870120e+00 5.346740627279537250e+00 5.094959748473914196e+00 1.799205889800988833e-01
1.281504263930935972e+00 9.399265492668526178e+00 5.054179675981526287e+00 2.670729008094198387e-02
1.696307913100973730e+00 8.886061379823473771e+00 5.009901582246675034e+00 2.851350621994297452e-02
1.441044340673860003e+00 1.213185133199637455e+01 5.072251007574309689e+00 8.176674580172799134e-02
1.608873265372319228e+00 8.867257209943383955e+00 5.058703021832669400e+00 3.346033316419771975e-02
1.227473951863671031e+00 3.514602902005272700e+00 5.112276607920840377e+00 9.608967676850227457e-02
1.345026969039071263e+00 5.143778537946612772e+00 4.897532942215524265e+00 1.620918158430270650e-01
1.281039231336126960e+00 4.362062908937963002e+00 4.968369729280182945e+00 1.338335757233042878e-01
8.803445565628672531e-01 5.817601172666245546e+00 5.053430322853256662e+00 1.334243039934572272e-01
1.295497846699828148e+00 5.317058864070060231e+00 4.986686447023211954e+00 7.134055496700705823e-02
1.058068581236176531e+00 1.457827723409607579e+01 4.745573732781814158e+00 1.105896647425032853e-01
1.466432956303686641e+00 4.569980012959203641e+00 5.127997342119262392e+00 1.715657479996427620e-02
1.005285061381366418e+00 6.906945301073399435e+00 4.967182866394842300e+00 4.356289519115560255e-02
1.651796398275084510e+00 5.677528852166625839e+00 5.059150209480048233e+00 1.234578033325121893e-01
1.096633084011051196e+00 7.739271352182226060e+00 5.206919301110579212e+00 8.532191667715190164e-02
1.330129991196113526e+00 1.249054987153551188e+01 5.099499318438554418e+00 9.322394258840788206e-02
1.365072772948087598e+00 5.286230458634135765e+00 5.017035342054860791e+00 1.365171788669305442e-01
2.454535031545547863e+00 4.142136744395532588e+00 5.055159166495283074e+00 8.649214526184162422e-02
1.237804633219026673e+00 5.094101532729959914e+00 5.018761942138345589e+00 9.126115843534626793e-02
9.767690506189168342e-01 8.913258011959168670e+00 4.520144974946567196e+00 2.214751364765646380e-01
2.346854922010378264e+00 4.712466243328077731e+00 5.149619955854014997e+00 1.067205861117363208e-01
1.713910336194591766e+00 8.146361781160173621e+00 5.112002878880575807e+00 9.472447196089310573e-02
1.075243430981388082e+00 1.035769281559401378e+01 4.986620934402998806e+00 1.192729766063444913e-01
1.376569662732216592e+00 3.946636061978530563e+00 5.051389872224610222e+00 6.351108561694038257e-02
1.637727297333992693e+00 3.231363800286537025e+00 5.019497275750208765e+00 9.660628196417328506e-02
