# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.170388410067475515e+00 6.294098333292772907e+00 3.786607770301404052e+00 1.620103177526583393e-01
3.154357122789641199e+00 3.135636639142674209e+00 4.935293511911166497e+00 2.770371885730091854e-01
2.042065612312417233e+00 7.680733289850886436e+00 4.005675854523404134e+00 1.465526749991019895e-01
2.265913548929197496e+00 5.312358921712197812e+00 4.099455455615644617e+00 1.247416153527707017e-01
1.877086873532521238e+00 7.342161816689696252e+00 7.317416742007343267e-02 1.768824085378838951e-01
1.551829421690517075e+00 6.141296388233195458e+00 2.996686771105968816e+00 2.079551901278286485e-01
1.169110031646713344e+00 1.053906698112223594e+01 3.317132663850847152e+00 1.289704705628342551e-01
1.750331427853585753e+00 6.844724336130490805e+00 3.398120644701025928e+00 2.128530800956630054e-01
1.518123062074614005e+00 4.757671724594324303e+00 -6.814009188417749496e-03 1.619460929483124423e-01
1.491386615416198547e+00 5.888410383217716593e+00 1.408633178787747298e+00 1.901339703806930459e-01
1.077821110582657838e+00 5.100288316541362832e+00 2.201673773791326560e+00 9.720650884952246329e-02
7.018032867170204137e-01 1.247075325591455019e+01 1.416220045666578553e+00 1.025438761273221727e-01
2.992380684722439010e+00 3.947541107574904284e+00 3.380398132770684461e-01 2.166145088521357343e-01
1.645139745560401989e+00 2.487120829152949852e+00 3.439971747335168306e+00 1.114803055726805020e-01
9.864013167685110606e-01 8.413021191779952446e+00 -1.364122775102331486e+00 2.409950860413715978e-01
1.051963950048619978e+00 6.825278982530094574e+00 2.842879945459339197e+00 1.261283883752256085e-01
1.491694381230366240e+00 7.687017150179916491e+00 3.723994025136527330e+00 6.218883003252761998e-02
1.835553299677193495e+00 3.601039872479297355e+00 -1.826580901346364083e+00 2.445717464993422963e-01
2.021385425649909973e+00 5.344550167868636237e+00 5.700428997675062170e-01 1.388966448387837227e-01
2.886449020574715973e+00 8.531641369376522732e+00 4.263334457980425540e+00 1.246823242448233393e-01
1.758366655166982317e+00 5.629828877284809074e+00 4.452330436851488216e+00 1.215317843271071369e-01
1.808942604117419695e+00 8.798848683755100097e+00 4.035110869153705870e+00 1.216392012097585462e-01
3.062799830775102095e+00 1.087701286917720189e+01 4.568248253687364979e+00 1.405798563452523020e-01
2.165636064416220030e+00 5.346730335999720474e+00 4.237520656344493375e+00 1.330621091142145662e-01
2.268252880572928731e+00 2.735974209047642880e+00 4.028362204747061526e+00 2.291883279150602748e-01
1.008276170417273354e+00 5.608773883997370646e+00 3.372558227086021043e-01 2.287538848945240288e-01
2.162478651302254917e+00 5.802446643764758605e+00 4.347290877415270316e+00 2.509171271145304027e-01
2.292739441008575962e+00 6.748633341166275557e+00 4.328517897988520602e+00 1.924767216536936165e-01
1.392969450565441303e+00 4.416883089819722663e+00 3.551413006799834626e+00 3.383089880537966665e-01
1.362923887746735563e+00 7.233588816595218240e+00 3.812554304080056689e+00 1.904970075639874638e-01
1.825827569796330652e+00 1.026357676757059778e+01 4.451464783028490579e+00 1.883848964611603838e-01
1.317119617970931911e+00 5.479773716484413804e+00 -1.626459019118503546e+00 3.019616258324387403e-01
1.397144619500090279e+00 4.162342456194116025e+00 4.351733214541433803e+00 1.556320531118992045e-01
