# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.193262576547490461e+00 4.802113015239350524e+00 4.423664973218667029e+00 1.703400882013459405e-01
3.445499990060847395e+00 6.906162156232544369e+00 4.662261007582841010e+00 4.282137205205252539e-02
2.444291867060394807e+00 8.450187106051215480e+00 4.399008711629351254e+00 1.019178015504432905e-01
2.230485091364478478e+00 2.880663226244105424e+00 4.752524244453527835e+00 3.231707082356630178e-02
2.590846829873552082e+00 6.544893379570818404e+00 4.619282397632702875e+00 1.278766762242708466e-01
2.437228897727976573e+00 8.512800028650261197e+00 4.694414632801334974e+00 8.845853202898706913e-02
1.604463944003932330e+00 1.113184795445651787e+01 3.890718256407029507e+00 2.655828666937646299e-01
2.104244312031892772e+00 7.243938692545558666e+00 4.703731639827767097e+00 2.787689993575336866e-01
1.759354394635714636e+00 3.572917292918181165e+00 4.623557983502387003e+00 1.056638651973259291e-01
2.148772990676669714e+00 6.243584081368080518e+00 4.403503580801498174e+00 8.012202216963162926e-02
2.310715037774730973e+00 6.894132453740101418e+00 5.046398168863881040e+00 3.018671305554803674e-01
1.554961634422358463e+00 3.712458301704797403e+00 4.491686855685306234e+00 1.940932189942359831e-01
2.284755114796745534e+00 5.790430217241720356e+00 4.818329240336139740e+00 2.495208966081623458e-01
2.511987024439538363e+00 7.938118250254153629e+00 4.380853688266983070e+00 8.447677035632286668e-02
2.121171711287924921e+00 7.233737027087816074e+00 3.994317056807877631e+00 2.245864584061066371e-01
2.436646553400795945e+00 4.575493425018616556e+00 4.384568834771483736e+00 9.967049845027327326e-02
1.526113144540028665e+00 2.476226408788577693e+00 4.482574674086318822e+00 3.506135519036301385e-01
2.620531769547433942e+00 1.046449385491360218e+01 4.511653594475808049e+00 1.691456050405630296e-01
2.764345511622056328e+00 8.584930354023525112e+00 4.555321290770298681e+00 5.749126296085554921e-02
2.734277167913087059e+00 4.999783492646665550e+00 4.539333132758218703e+00 1.610457795408989368e-01
2.848371972782617778e+00 3.079956435883532961e+00 4.532301364871408111e+00 9.434282156107490214e-02
2.436773415753052952e+00 7.506636095121812957e+00 4.401836993588646330e+00 1.398672521297157356e-01
2.554002972749313205e+00 1.614449312253842450e+01 4.888733199506861027e+00 2.664491808060204803e-01
2.117365708600416063e+00 3.009652881358177989e+00 4.615032173448406994e+00 7.085443771641312949e-02
2.257448067117257651e+00 5.544905450371753197e+00 4.528107462386419257e+00 1.515869756164953119e-01
1.940749086309479177e+00 4.646578908033773381e+00 4.868347539359817233e+00 3.915046943551614977e-01
3.299369024992442778e+00 4.377383822393268176e+00 4.594317461136331104e+00 1.723157677006094124e-01
2.164409124379668370e+00 6.556737336919352899e+00 4.530260716685111433e+00 4.166857275953085582e-02
2.821485754400212098e+00 9.028172285623130122e+00 4.374696847537038913e+00 1.391674790571338916e-01
3.969218108282538626e+00 5.255603556732068249e+00 4.710771944069906070e+00 7.155789653651679905e-02
2.057781653966099800e+00 3.167833493387622656e+00 4.636424081489494142e+00 1.666739582901091143e-01
2.198891293927379920e+00 2.980069318314317428e+00 4.535448735509459262e+00 1.712063940627279457e-01
1.718245555087567267e+00 3.063866328165889996e+00 4.330210212512351831e+00 1.025841831680279481e-01
3.077999231777433842e+00 9.408801461862388749e+00 4.668505856015006117e+00 6.466122236965667069e-02
1.469183575721828117e+00 6.774610470898768888e+00 4.280298410655722030e+00 3.145810814331005956e-01
2.089629151942630436e+00 5.744941906178372193e+00 4.597333327365878297e+00 2.289129006324055193e-01
2.322399742961598790e+00 1.018759296774820733e+01 4.670864434286397859e+00 7.631732353667283753e-02
2.812022483854338173e+00 9.551076122493508791e+00 4.260995754093824139e+00 2.121422268692320090e-01
2.186794735259760536e+00 5.249520470371076719e+00 4.595007596020578511e+00 2.804460191950766679e-01
2.069850646679338269e+00 4.619386634531233327e+00 4.470102044881198111e+00 8.895190725994470138e-02
2.237801043652156263e+00 4.621980493888221631e+00 4.545444627076985711e+00 1.612592852264339294e-01
1.846994095422100468e+00 5.257380823314371732e+00 3.635103593499754204e+00 3.466103268672815485e-01
2.947145486413359716e+00 5.429212899788475433e+00 4.708748839990091639e+00 1.160503181007916662e-01
2.909843723997073361e+00 5.030199289196486845e+00 4.851601148416127884e+00 1.302840758713305347e-01
2.794832798284405229e+00 7.893642699053189382e+00 5.000369115018954425e+00 1.749609705966007622e-01
2.092391399753100067e+00 4.687395589575689137e+00 4.450908692431209346e+00 2.815526699811981559e-01
1.722754824730075462e+00 4.885819234283294676e+00 4.552191722590002598e+00 1.742330230566895288e-01
2.531565585597191248e+00 6.759960658206722428e+00 4.161643920250554629e+00 3.308307727516032193e-01
2.769430891036272602e+00 4.078675144902919492e+00 4.769840579211022558e+00 2.235521353689962076e-01
2.026448195970599553e+00 5.686694498877366222e+00 4.391505246833804499e+00 2.761199552723203055e-01
2.813353696618238420e+00 5.922008676100523061e+00 4.516349628990421472e+00 1.013100791496400338e-01
1.888205145214799874e+00 5.090693650119046509e+00 4.581378466969922236e+00 1.442103558432351051e-01
2.169197618564514762e+00 6.529541759985827198e+00 4.471278302836074303e+00 1.308554325803474860e-01
2.841165238115038072e+00 8.317797872270148218e+00 4.487496498674021339e+00 9.517310449713338449e-02
3.478055366563030049e+00 1.062798781729789788e+01 4.737978577562045324e+00 1.804138546549929334e-01
1.982999872899368521e+00 1.087341929952964392e+01 3.964248360692489648e+00 1.924208262790310930e-01
2.834401985836024984e+00 9.052406565625348733e+00 4.467970112769829250e+00 1.248023657887114002e-01
3.171592523190583712e+00 7.044583959346253366e+00 5.386174907977522075e+00 3.515747383492729417e-01
2.503601709111957341e+00 2.705689185809492692e+00 4.541733478572650640e+00 1.498853425602602041e-01
1.962340687689362095e+00 4.378210466414344637e+00 4.450341845479378833e+00 1.188741995700559190e-01
2.356962965731091320e+00 4.667809850815571870e+00 4.462380488151231006e+00 1.890608435335685011e-01
3.869209240527980764e+00 1.132269101715581350e+01 4.664221945020853077e+00 4.895573350579038308e-02
2.353317618996539018e+00 4.798579277989533765e+00 4.449221118582933343e+00 1.188717290891981582e-01
2.886172819154607438e+00 3.723453388412449883e+00 4.674853947219157924e+00 1.653264351003741472e-01
2.804386309430112689e+00 6.689194953206521355e+00 4.575145069990628421e+00 1.757381220427459700e-01
2.303103757928425033e+00 3.701907649490663754e+00 4.647617847355955512e+00 6.893708008653604002e-02
2.015248150378480041e+00 6.160411614226662280e+00 4.686097523409271659e+00 1.525899886284768636e-01
3.244953429621963981e+00 1.356263217458085002e+01 4.963263624343925429e+00 1.515547815709784862e-01
3.063587098979564605e+00 5.036305474839658736e+00 4.695146601306254830e+00 1.014397697246878921e-01
3.954360636617784142e+00 5.342855096776006008e+00 4.880721699741814135e+00 2.472195243808127108e-01
3.968789698735247118e+00 9.640517628245893533e+00 4.814643404970251339e+00 2.303493982678768703e-01
1.868088843385290021e+00 5.755290323836504740e+00 4.016849854557584365e+00 9.465340196708264819e-02
3.300211143781802026e+00 8.534905986174308623e+00 4.703171363016332762e+00 2.227969276045782820e-01
3.271764123381923905e+00 7.027006162409191958e+00 4.744954754408561293e+00 1.941849204699991893e-01
2.639298520639253631e+00 6.817949202811809606e+00 4.328304713300813233e+00 1.717064356393492586e-01
2.145488700531688941e+00 1.091387566917966012e+01 4.341593819163104051e+00 2.820423329396246070e-01
3.146093719509727826e+00 6.125983633634051628e+00 4.573678518291673711e+00 1.162720780172986773e-01
2.571279821282276501e+00 5.500578557817029868e+00 4.654443467682907176e+00 6.652555713085415989e-02
2.140228713069262767e+00 7.783622157945376152e+00 4.786001140718947333e+00 2.677249453164425308e-01
2.265738686254809231e+00 2.651514369080826938e+00 4.579147357943215368e+00 5.622406385752971858e-02
1.784147435561735051e+00 6.076462059094136947e+00 4.631691061411635779e+00 8.320134746077421928e-02
2.246851894874605904e+00 6.952214866822460593e+00 4.421855042397354829e+00 1.403000200550703902e-01
2.850085107642168492e+00 4.369320687662090030e+00 4.510882062634438583e+00 7.889250987584006669e-02
1.956355888992453274e+00 5.587714955396368310e+00 4.824619204200680578e+00 1.182517928500825544e-01
2.112128311329823926e+00 3.186377633472364579e+00 4.107619605600484114e+00 1.098073338186805470e-01
1.850093942134903191e+00 8.415673467284914722e+00 4.316489695497489620e+00 1.234006469004288870e-01
2.413647338565146239e+00 1.126777282151692816e+01 4.269891669801811673e+00 3.012561367004276125e-01
1.998912532578823953e+00 5.910325601902908232e+00 4.130615444348488374e+00 2.544289812782036808e-01
2.026003346019628726e+00 5.861760292610714629e+00 4.570908305196658361e+00 4.708437788831846410e-02
2.670598067136914722e+00 1.537527980922656567e+01 4.527391863152643303e+00 4.162620334633197056e-02
3.110438661109982572e+00 8.529091512624480842e+00 4.604574506624243391e+00 5.214376423707031694e-02
3.057926158996278065e+00 7.505808220677328002e+00 4.600965664126713150e+00 6.574428185492081633e-02
1.815358201682458539e+00 9.217934723581775458e+00 4.573620169836305038e+00 1.717718826372439112e-01
2.086947242116318879e+00 6.345121882403379487e+00 4.207642813830409168e+00 2.105815678944047975e-01
2.380702724533756864e+00 6.063558532292045555e+00 4.624290835190718596e+00 2.126670103426561431e-01
2.575990606252119619e+00 7.040826439943382198e+00 4.359051706276172666e+00 1.249844899772801499e-01
2.643350585258741337e+00 5.360899805458780421e+00 4.620665789380488775e+00 1.045024048292886587e-01
3.625581845076605081e+00 3.692662198102391269e+00 4.750613193592028161e+00 8.985279919305189100e-02
3.576348379303817548e+00 8.209471477728875755e+00 4.381808844950855431e+00 1.841180944154648391e-01
2.696245494497050643e+00 6.264688839950142807e+00 4.650051828896027750e+00 7.896148297828570195e-02
2.457807891623501551e+00 6.242935198249661255e+00 4.682177161035480317e+00 1.347586153092007188e-01
2.016995863461475746e+00 8.832751356731183279e+00 4.631702670201648608e+00 6.664884282134947435e-02
2.868424595192411442e+00 7.377609930253113291e+00 4.645042179936472948e+00 2.534744738121027519e-01
2.879039512244314647e+00 5.918740190806426327e+00 4.393607426325891296e+00 1.202599399351628878e-01
2.532828270437842200e+00 6.377045084975405231e+00 4.715844464682074744e+00 8.526951925739227611e-02
1.714667842785410512e+00 4.193544369843598574e+00 4.420330346831639723e+00 7.041644579341160837e-02
2.809515036000701294e+00 3.338784151969752312e+00 4.643432620200407257e+00 1.120293425490220263e-01
2.804030304354593550e+00 4.892039295110582664e+00 4.627918413240937667e+00 1.107105342418929356e-01
2.267788601935420978e+00 8.711104456020262177e+00 4.391425451538903069e+00 4.093706443507103693e-02
2.280930093298305206e+00 1.545159920951724786e+01 4.505751888761629687e+00 1.003033381982194605e-01
2.502899356400284603e+00 9.406257329664452271e+00 4.546991723861233403e+00 5.732051255877801399e-02
2.227499325162483945e+00 5.939264583306488099e+00 4.628775721017380995e+00 3.410512345713865301e-01
1.778732468069996964e+00 4.320315112035896910e+00 4.634748333345421578e+00 1.485388243201830605e-01
3.180865119062413982e+00 7.869256940258415156e+00 4.640038463681579017e+00 1.323130905211591657e-01
2.284662800732387922e+00 4.794683852869319196e+00 4.642682381566153538e+00 3.176292698803006020e-01
2.719187798837629622e+00 4.147167342929321876e+00 4.584505082781650920e+00 1.983698755846397821e-01
1.902897593889994354e+00 7.290999578619968169e+00 4.107195645317770705e+00 1.405124735256494395e-01
3.308624829040180071e+00 5.853879142739674357e+00 4.758152612724065200e+00 9.476460517830898045e-02
3.533655303821938709e+00 4.513019227355036023e+00 4.777469863906057768e+00 1.480305982320965497e-01
2.932938727476869900e+00 1.045371886379531112e+01 4.625703769658350950e+00 3.395546017367317287e-02
2.034647438513261353e+00 6.733845395186354388e+00 4.863611542706324897e+00 2.464555552049031151e-01
1.843632196311639548e+00 6.383302664186718545e+00 4.377968452285490031e+00 1.899678463227814085e-01
2.662738055644340740e+00 4.693940075297819980e+00 4.555337218110739883e+00 1.956930132336863193e-01
2.742755110069259761e+00 4.805235312675968373e+00 4.382627125432786208e+00 1.662263320150055845e-01
2.007830882519142435e+00 3.591583652017279249e+00 4.631644570729802624e+00 1.804386686516208094e-01
2.053229342330519902e+00 3.321729317747538435e+00 4.365864901768953033e+00 2.579921490065448797e-01
2.260321808595988635e+00 8.587398995128033619e+00 4.121951495663499720e+00 2.272685605253222663e-01
2.625041229260668185e+00 4.739324561041923900e+00 4.579186169936787287e+00 1.084382161446516973e-01
2.905806810189387690e+00 5.753247103110660454e+00 4.492278293276315004e+00 1.452176283473758656e-01
2.030033316177407343e+00 6.536477981887294675e+00 4.559438086649480582e+00 2.693693788274979517e-01
2.044191209951405686e+00 8.639843907187083616e+00 4.341094236739891699e+00 2.348629567400505325e-01
1.714037738753259488e+00 5.041296852652504157e+00 4.556154825265623209e+00 1.947263169206169542e-01
2.237021228315608568e+00 5.345834682531362958e+00 4.620654609423926473e+00 1.498664163802389815e-01
2.300158414255943917e+00 6.206269065961053322e+00 4.503140709730080182e+00 2.295331656773079709e-01
3.028975857399173854e+00 4.153626459062138565e+00 4.580900093696038233e+00 1.439153508565975126e-01
2.421966881888983014e+00 7.492105373633164866e+00 4.718977933949135561e+00 1.048388291219653490e-01
2.132085005785818055e+00 5.737534736409938496e+00 4.618941662521670821e+00 2.051829527052587698e-01
1.922615610906899697e+00 6.004111050658829996e+00 4.264199814560917012e+00 1.061350665036068230e-01
1.831479956720239555e+00 6.127851269208121288e+00 4.403990677325543501e+00 1.074366215278498016e-01
1.773912231716553434e+00 4.830220649914820363e+00 4.655490066587068654e+00 8.019198726819122547e-02
1.353673281655620508e+00 6.016652645296514557e+00 3.853957489757051214e+00 2.514201362711912524e-01
2.016284932474078584e+00 6.363622291599319247e+00 4.692234621309511411e+00 1.528676516283884179e-01
2.090918314089772245e+00 4.673958554949807720e+00 4.559567825370963945e+00 1.507640821447508439e-01
3.165553885620655095e+00 3.718218485089043401e+00 4.730158544625099992e+00 1.526445012922628131e-01
2.819420324910066000e+00 5.942560775256210626e+00 4.898216108208797159e+00 1.162030024119602711e-01
2.715774007980971572e+00 6.300322627190793945e+00 4.552099932512397196e+00 8.551386619595756355e-02
2.706902706257268143e+00 5.376967736411986110e+00 4.532452215663949957e+00 2.180898669048655092e-01
1.954177293571044194e+00 3.959373517722589941e+00 4.951327974778934937e+00 2.284253621279558888e-01
3.225642337968931184e+00 1.433151671168256058e+01 4.647948895000793890e+00 7.218806996861135139e-02
2.484871973752481811e+00 7.687491363095252161e+00 4.757409825433592587e+00 1.105624636915746306e-01
3.545372650398299630e+00 3.919979244907811022e+00 4.788725509044712503e+00 1.244426680108953881e-01
2.259694532154635560e+00 7.421144107387133815e+00 4.595465990629492126e+00 9.979555016438219905e-02
2.051328171500974573e+00 8.045454291517257772e+00 4.582857422038614459e+00 5.978969546804710489e-02
2.941382368990389740e+00 7.855066651808624734e+00 4.490638704627500921e+00 6.733918221988191566e-02
1.989719352516719608e+00 5.162799139117789871e+00 4.602562246533686618e+00 1.611620098349534069e-01
4.508184903059351711e+00 8.446171220990141393e+00 4.725725261880443284e+00 2.091482012620390907e-02
3.057973388027738437e+00 5.226548827533408215e+00 4.694708562891786841e+00 4.313656461617099147e-02
2.536238714555108853e+00 2.843240600902273929e+00 4.581688898970511126e+00 1.545665469392999702e-01
2.040390187000737487e+00 4.680792389207718784e+00 4.642010303490208045e+00 9.474868395342320171e-02
3.123812693599941515e+00 7.792855385871081175e+00 4.620647652688968599e+00 9.115017384361458197e-02
2.270027132634178990e+00 6.831256560491478780e+00 4.748243097846381211e+00 1.528216429898675566e-01
1.899102041889238146e+00 3.168615491932762929e+00 4.732255159531015387e+00 2.631675229056100740e-01
2.876859835636383700e+00 6.603702768857406369e+00 4.688646200945062681e+00 1.480794446704895850e-01
1.755894201085868245e+00 4.678636921601246890e+00 4.196258561339957005e+00 2.324978033190878146e-01
2.211117227116299766e+00 4.075339725855507744e+00 4.411009595013536178e+00 2.518079750802330041e-01
3.543424668992434690e+00 9.520529576969273933e+00 4.506729724659309433e+00 2.187515153693955217e-01
2.052332750729609856e+00 3.747972148751726795e+00 4.456698722503960930e+00 1.153710098525843053e-01
2.401636626895343074e+00 1.406121780993433390e+01 4.615204742485564005e+00 1.368039274480448153e-01
2.424870298801037105e+00 3.802509579664492545e+00 4.546199089280940520e+00 1.049986744683871626e-01
3.322242768642740263e+00 1.097125741714107861e+01 4.638863498144957020e+00 1.742348521565820485e-01
3.141510852829411338e+00 3.526405595903113088e+00 4.588325230741890692e+00 9.418741087088895736e-02
1.961733885530581478e+00 5.675555688114493513e+00 4.701465335668291168e+00 7.805167738149038081e-02
2.768571488964810090e+00 6.161178315773639724e+00 4.603008406168258126e+00 2.042546917930163630e-01
2.086431114405900900e+00 7.085270718597559636e+00 4.493417061979606331e+00 2.621355627015286016e-01
2.094583760671801187e+00 7.377236191730888848e+00 4.507829621598371972e+00 9.417608302310803703e-02
2.173981902270260225e+00 4.387732015202211677e+00 4.491117345372589220e+00 2.120513569182484459e-01
4.458876642208033481e+00 4.627815030267253604e+00 4.641508765341966658e+00 1.272085232627518936e-01
2.458267755070242089e+00 9.735046203812004251e+00 4.546127407344147109e+00 1.112926303057842209e-01
2.395087547465542421e+00 9.138930633538107529e+00 4.370880863667775174e+00 1.005223174004563624e-01
3.128498805571517938e+00 4.783707544938335943e+00 4.296817141585713706e+00 2.177029402195596597e-01
2.284885189743311784e+00 4.909910640917315661e+00 4.679895601775251102e+00 2.702258176326658434e-01
2.821395731406324714e+00 9.555504524565970215e+00 4.449611150647021063e+00 3.447027698173029675e-01
3.400464986924655264e+00 9.132771759131738776e+00 4.504733387117362930e+00 2.384287112453516710e-01
2.615321526025105037e+00 5.366298580005720353e+00 4.655767045567599460e+00 1.300243677924901031e-01
2.288560258021252292e+00 8.331727346425017444e+00 4.631470116931247105e+00 2.181196182470142644e-02
2.003752050257433304e+00 5.212805325185946081e+00 4.494589611698152076e+00 9.285248477962644575e-02
3.504089213862854546e+00 4.796702866964706935e+00 4.496288892081405919e+00 1.499129423670004513e-01
2.360358621621251096e+00 4.088336848253740108e+00 4.530156485891556173e+00 8.914745719170728833e-02
2.755221476928197966e+00 7.881018938112984706e+00 4.664352649647591775e+00 9.485861928706579294e-02
1.607479406440489367e+00 2.607029815101780557e+00 4.694744858017339872e+00 1.484223531318885347e-01
2.768229787928771390e+00 8.918808468477349649e+00 4.635174489110890583e+00 1.684786966259593233e-01
2.023324077303382040e+00 2.787252015318511855e+00 4.744502583093495929e+00 1.018537165636203279e-01
2.048290213603165100e+00 2.937617647285643674e+00 4.824543939132034609e+00 2.948955835606175135e-01
1.920963038220562691e+00 6.052765700235391400e+00 4.520882111734201736e+00 8.635187454782310146e-02
2.715332970107733779e+00 6.179231605178185482e+00 4.559175565933392349e+00 1.150072363963781652e-01
3.182643764496001726e+00 7.640140629723478405e+00 4.579745086691435318e+00 1.687376156673887351e-01
1.878469294797401545e+00 5.882867880968441376e+00 4.628374533461636631e+00 5.740214508991253739e-02
1.883875598811071139e+00 5.869152337077383486e+00 4.559035964993017664e+00 3.091762635431590314e-02
3.880972774640110590e+00 6.236714362963102332e+00 4.636334357922839544e+00 1.569708130562809389e-01
2.243033930995090852e+00 8.572223853887985356e+00 4.639916616184394549e+00 1.558279892368755470e-01
2.777481916438234499e+00 6.967478424355032729e+00 4.462982236502837097e+00 2.608155081117567442e-01
2.770636527602379218e+00 6.363243797262960300e+00 4.774757103329492658e+00 1.626092740482585897e-01
3.375761320692830303e+00 5.897430195811814713e+00 4.728717736557651818e+00 2.355758231901056154e-02
2.697794760909392409e+00 5.871482069824137895e+00 4.168627786677855163e+00 1.347320842489768966e-01
2.502936586466228075e+00 4.845411886309149985e+00 4.687759294936157062e+00 1.172331361076280332e-01
2.028952363428881078e+00 7.053158880242619055e+00 4.618401413617230666e+00 3.457554026751242793e-01
1.824241361827570795e+00 3.583326181839812996e+00 4.321591041634873065e+00 2.133086303868223232e-01
2.171330769074646838e+00 4.566628794931981261e+00 4.288660807540681574e+00 2.455421350498258881e-01
2.618060855051556945e+00 7.017090026228437694e+00 4.842981193816902952e+00 7.751042432731138077e-02
2.323912543762986171e+00 3.674708502655458453e+00 4.636374097219596813e+00 6.888415063286117135e-02
3.059434542472756924e+00 4.998609054337087798e+00 4.714037904176533900e+00 9.318384779629823589e-02
2.390045798983485792e+00 6.451709745098823667e+00 5.010102970027872082e+00 3.315410217192563125e-01
2.884674593115285735e+00 1.039057750692936644e+01 4.656717302513832202e+00 6.696544398874929027e-02
2.492354163619027396e+00 3.126897961138330295e+00 4.850704910759335853e+00 1.162931230860597825e-01
2.709222484706242717e+00 7.110470981257249967e+00 4.549180273204417091e+00 3.283383816617508888e-01
2.603094200952472903e+00 7.700065541412631553e+00 4.448968278156224088e+00 3.195697143464464318e-01
2.005125006509890007e+00 6.300224399395832009e+00 4.554766596538487811e+00 9.885200395483428881e-02
3.561061606333763674e+00 7.187188445857955799e+00 4.701500823853883126e+00 6.230139852975991044e-02
2.204695397440987747e+00 5.317985204893505014e+00 4.637487467892275284e+00 8.454590673408078627e-02
2.008204153040978657e+00 4.968834839389382196e+00 4.361060440220460244e+00 2.629505750483847604e-01
2.053056955613010715e+00 5.189332872588039436e+00 4.558741141581475809e+00 9.090210004011203826e-02
2.345147064861639041e+00 6.490438766752056665e+00 5.116962605263615238e+00 3.504586996513586739e-01
2.912647243570642530e+00 3.221013188680326600e+00 4.766615433034863791e+00 7.980125790312903034e-02
1.958993949277254787e+00 7.222429018320926097e+00 4.425184418186042024e+00 1.170048174945563235e-01
2.290870491641223694e+00 4.580020934672618615e+00 4.474932330650514878e+00 1.010960525414322242e-01
2.406043544540786616e+00 6.766793113707409546e+00 4.274019435976815551e+00 9.992421191177632001e-02
2.689108528692232714e+00 4.049877148972618635e+00 4.628890513804977402e+00 8.518067323998250451e-02
2.461098039122407322e+00 1.088042219500770891e+01 4.569237643308861507e+00 1.697964234272994755e-01
2.038930024876941527e+00 4.139503021879822775e+00 4.613797681211612378e+00 1.694346824336538659e-01
2.586335917293698827e+00 6.772720097438144293e+00 4.621835634789660752e+00 1.797087738213377084e-01
1.781068819260948066e+00 3.528302167198670958e+00 4.470705001296703784e+00 2.030343984127783441e-01
2.349393467762734833e+00 3.206155606869948826e+00 4.773274079441070405e+00 6.301950969698752458e-02
2.012791798486572414e+00 4.718523356183170314e+00 4.250828528518929339e+00 1.583196255732116642e-01
